"node1","node2","Pin_Pout","Pin_Nout","Nin_Pout","Nin_Nout","Pin_Pin","Pin_Nin","Nin_Pin","Nin_Nin","Pout_Pin","Pout_Nin","Nout_Pin","Nout_Nin","Pout_Pout","Pout_Nout","Nout_Pout","Nout_Nout"
1,194,9.6,18,10,20,7.2,36,7.5,30,12,48,45,45,10.6666666666667,32,60,90
1,8811,0,0,0,0,12,0,10,0,16,0,15,0,0,0,0,0
2,8811,0,0,0,0,9,0,4,0,3,0,1,0,0,0,0,0
2,8812,0,0,0,0,4.5,0,2,0,1.5,0,0.5,0,0,0,0,0
4,1018,0,2.33333333333333,0,1.2,0,14,0,6,0,10,0,8,0,1.66666666666667,4,8
5,196,0,0,0.571428571428571,0,0,0,2,0,1.5,0,0.5,0,1.5,0,0.0833333333333333,0
5,8813,0,0,0,0,0,0,2,0,1.5,0,0.5,0,0,0,0,0
5,209,0,0,0.5,0,0,0,0,4,0,3,0,1,0.230769230769231,0,1,0
6,201,4.5,1.5,6.6,2.2,2.4,12,1.83333333333333,11,0.833333333333333,5,4,4,1.875,0.714285714285714,12,4
7,201,0.75,0.222222222222222,2.57142857142857,0.857142857142857,1,0.333333333333333,3,1.5,3,3,0,0,9,3,0,0
8,200,7.8,6,9.75,8,12,7.5,12,10,12,15,24,20,19.5,12,19.5,16
8,1027,0,0,0,0,0.428571428571429,6,0.5,6,0.428571428571429,6,6,12,0,0,6,0
1,1027,0,0,0,0,2,24,1.66666666666667,20,2.28571428571429,32,15,30,0,0,15,0
9,195,1,0.857142857142857,2.4,1.71428571428571,0,3,0,6,0,8,0,7,2.66666666666667,2,14,14
10,8814,0,0,0,0,1,0,0.5,0,1.5,0,1.5,0,0,0,0,0
10,8815,0,0,0,0,0.25,2,0.142857142857143,1,0.375,3,3,3,0,0,0,0
11,8815,0,0,0,0,0.5,0.142857142857143,0.5,0.142857142857143,1.5,1.5,0.5,0.166666666666667,0,0,0,0
12,1022,0.181818181818182,0.166666666666667,0.1,0.0909090909090909,0,2,0,1,0,4,0,3,0.4,0.363636363636364,3,3
12,8816,0,0,0,0,1,0,0.5,0,2,0,1.5,0,0,0,0,0
13,8817,0,0,0,0,1,0,0,0,2.5,0,1,0,0,0,0,0
13,1027,0,0,0,0,1,0.666666666666667,0,0,2.5,5,1,0.8,2.5,0,0,0
14,200,13,9.6,13,10.6666666666667,9.6,60,8,40,1.14285714285714,10,56,70,2.16666666666667,1.6,91,56
15,200,23.4,18,13,10.6666666666667,14.4,90,8,40,11.2,70,72,90,18.2,14,117,72
16,1123,1.75,1,4,1.66666666666667,1,14,2,20,1.83333333333333,22,9,18,3.66666666666667,1.83333333333333,18,9
16,1018,0,2.33333333333333,0,4,0,14,0,20,0,22,0,18,0,4.4,9,18
9,8818,0,0,0,0,1.5,0,3,0,4,0,3.5,0,0,0,0,0
9,200,6.5,4.8,13,9.6,12,7.5,24,15,32,40,28,35,52,32,22.75,14
18,4797,0,0,0,0,1,0,3,0,4,0,0,0,2,0,0,0
19,1188,7.5,1,24.75,2.2,17.5,25,38.5,55,45.5,65,49,35,58.5,6.5,63,7
20,1188,2.57142857142857,0.333333333333333,5.4,0.6,7,10,10.5,15,10.5,15,14,10,13.5,1.5,18,2
21,1534,2,4,8,18,16,7.2,48,27,72,81,8,4.5,36,54,1.33333333333333,2.4
22,1676,0,0,0,0,0,0,0,0,0,6,1,6,0.1,0,1,0
24,8820,0,0,0,0,0,0,0,0,4.5,1.5,3,0.4,0,0,0,0
24,532,0,0,0,0,0,0,0,0,0.375,9,2,6,0.230769230769231,0.5,2,2
25,1534,0.444444444444444,0.857142857142857,0,0,4,1.5,0,0,4,4.5,4,2.25,2,3,0.666666666666667,1.5
26,1534,0,0,0,0,0,0,0,0,16,18,24,18,8,12,6,12
27,1188,0,0,0,0,0,0,0,0,3.5,2.5,7,1.66666666666667,4.5,0.5,3.6,0.25
27,2023,0,0,0,0,0,0,0,0,0,1,0,2,0.166666666666667,0,2,0
27,8821,0,0,0,0,0,0,0,0,0.142857142857143,1,2,2,0,0,0,0
20,1192,10.8,7.5,20.25,15,12,4.8,18,12,18,18,12,8,40.5,22.5,10.8,7.5
26,1192,0,0,0,0,0,0,0,0,9.6,48,72,72,21.6,15,162,90
29,1192,0,0,0,0,0,0,0,0,0,12,12,12,0,0,27,15
29,8822,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0
30,1676,0,0,0,0,0,0,0,0,0.5,3,0,0,0.5,0,0,0
31,1676,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0
32,8820,0,0,0,0,0.428571428571429,1,1.5,3,4.2,7,21,7,0,0,0,0
33,8820,0,0,0,0,1.5,0.111111111111111,1.5,0,3,1,6,1.33333333333333,0,0,0,0
34,1534,1.14285714285714,2.4,2.28571428571429,4.8,8,4.5,16,9,20,22.5,8,4.5,10,15,1.33333333333333,2.4
20,1534,1.14285714285714,2.4,2,4.5,8,3.6,12,9,12,13.5,8,3.6,6,9,1.33333333333333,2.4
19,1192,27,18.75,74.25,55,12,60,33,132,31.2,156,84,84,58.5,39,189,105
35,1192,113.4,63,202.5,150,126,84,180,180,300,300,138,138,675,375,155.25,115
35,1531,9,0,18,0,52.5,12.6,75,22.5,125,75,57.5,13.8,75,0,17.25,0
36,8823,0,0,0,0,85.5,153,9.5,17,28.5,51,95,85,0,0,0,0
37,8823,0,0,0,0,38,13.6,28.5,12.75,171,153,95,56.6666666666667,0,0,0,0
38,8825,0,0,0,0,3,0,1,0,10,0,9,0,0,0,0,0
38,8826,0,0,0,0,0.75,3,0.25,1,2.22222222222222,10,18,9,0,0,0,0
