QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
1,11:44.0,,J. Holiday misses 2-pt layup from 2 ft,0,0
1,11:42.0,Defensive rebound by J. Okogie,,0,0
1,11:30.0,K. Towns makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,3,0
1,11:10.0,,A. Davis makes 2-pt dunk from 1 ft (assist by K. Williams),3,2
1,10:47.0,Personal foul by D. Miller (drawn by T. Gibson),,3,2
1,10:33.0,A. Wiggins makes 2-pt layup from 2 ft (assist by I. Canaan),,5,2
1,10:24.0,,D. Miller misses 3-pt jump shot from 26 ft,5,2
1,10:22.0,Defensive rebound by T. Gibson,,5,2
1,10:14.0,K. Towns makes 2-pt dunk from 1 ft (assist by I. Canaan),,7,2
1,10:07.0,,Turnover by J. Holiday (bad pass),7,2
1,9:59.0,A. Wiggins misses 3-pt jump shot from 26 ft,,7,2
1,9:56.0,,Defensive rebound by F. Jackson,7,2
1,9:41.0,,A. Davis makes 2-pt jump shot from 15 ft,7,4
1,9:20.0,K. Towns misses 2-pt jump shot from 9 ft,,7,4
1,9:19.0,,Defensive rebound by K. Williams,7,4
1,9:19.0,,Turnover by K. Williams (step out of bounds),7,4
1,9:06.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,9,4
1,9:06.0,Shooting foul by A. Davis (drawn by T. Gibson),,9,4
1,9:06.0,T. Gibson makes free throw 1 of 1,,10,4
1,8:57.0,,A. Davis misses 2-pt jump shot from 19 ft,10,4
1,8:53.0,Defensive rebound by T. Gibson,,10,4
1,8:47.0,T. Gibson makes 2-pt jump shot from 19 ft (assist by A. Wiggins),,12,4
1,8:36.0,,J. Holiday misses 3-pt jump shot from 26 ft,12,4
1,8:33.0,Defensive rebound by A. Wiggins,,12,4
1,8:24.0,A. Wiggins makes 2-pt layup from 3 ft,,14,4
1,8:20.0,,New Orleans full timeout,14,4
1,8:12.0,,D. Miller misses 2-pt layup from 2 ft (block by K. Towns),14,4
1,8:12.0,,Offensive rebound by Team,14,4
1,8:01.0,,J. Holiday misses 2-pt jump shot from 8 ft (block by J. Okogie),14,4
1,7:59.0,Defensive rebound by K. Towns,,14,4
1,7:51.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by K. Williams),,14,4
1,7:47.0,,Defensive rebound by F. Jackson,14,4
1,7:38.0,,D. Miller misses 3-pt jump shot from 26 ft,14,4
1,7:31.0,Defensive rebound by K. Towns,,14,4
1,7:24.0,Personal foul by D. Miller (drawn by T. Gibson),,14,4
1,7:24.0,,J. Randle enters the game for D. Miller,14,4
1,7:12.0,Turnover by J. Okogie (bad pass; steal by J. Randle),,14,4
1,7:06.0,,Shooting foul by J. Okogie (drawn by A. Davis),14,4
1,7:06.0,,A. Davis makes free throw 1 of 2,14,5
1,7:06.0,,A. Davis makes free throw 2 of 2,14,6
1,6:52.0,K. Towns makes 2-pt jump shot from 8 ft (assist by A. Wiggins),,16,6
1,6:43.0,,Shooting foul by I. Canaan (drawn by J. Holiday),16,6
1,6:43.0,,J. Holiday makes free throw 1 of 2,16,7
1,6:43.0,,J. Holiday makes free throw 2 of 2,16,8
1,6:28.0,Turnover by T. Gibson (lost ball; steal by J. Randle),,16,8
1,6:28.0,,Personal foul by T. Gibson (drawn by J. Holiday),16,8
1,6:19.0,,A. Davis makes 2-pt dunk from 1 ft (assist by F. Jackson),16,10
1,5:59.0,T. Gibson makes 2-pt layup from 1 ft (assist by K. Towns),,18,10
1,5:50.0,,Shooting foul by A. Wiggins (drawn by A. Davis),18,10
1,5:50.0,,A. Davis makes free throw 1 of 2,18,11
1,5:50.0,D. Šarić enters the game for I. Canaan,,18,11
1,5:50.0,J. Teague enters the game for T. Gibson,,18,11
1,5:50.0,,A. Davis makes free throw 2 of 2,18,12
1,5:42.0,A. Wiggins makes 3-pt jump shot from 26 ft,,21,12
1,5:26.0,,J. Holiday makes 2-pt jump shot from 6 ft,21,14
1,5:12.0,J. Okogie misses 3-pt jump shot from 27 ft,,21,14
1,5:09.0,,Defensive rebound by A. Davis,21,14
1,5:04.0,,F. Jackson makes 2-pt layup from 2 ft (assist by A. Davis),21,16
1,4:44.0,D. Šarić misses 2-pt jump shot from 12 ft,,21,16
1,4:42.0,Offensive rebound by K. Towns,,21,16
1,4:41.0,K. Towns makes 2-pt layup from 2 ft,,23,16
1,4:32.0,,F. Jackson makes 2-pt layup from 1 ft (assist by J. Holiday),23,18
1,4:27.0,Minnesota full timeout,,23,18
1,4:27.0,L. Deng enters the game for J. Okogie,,23,18
1,4:27.0,G. Dieng enters the game for K. Towns,,23,18
1,4:27.0,,S. Johnson enters the game for A. Davis,23,18
1,4:14.0,Turnover by J. Teague (bad pass; steal by J. Randle),,23,18
1,4:04.0,,F. Jackson misses 2-pt layup from 3 ft,23,18
1,4:02.0,Defensive rebound by G. Dieng,,23,18
1,3:53.0,G. Dieng makes 2-pt dunk from 1 ft (assist by J. Teague),,25,18
1,3:38.0,,Turnover by J. Randle (lost ball; steal by G. Dieng),25,18
1,3:33.0,A. Wiggins misses 2-pt layup from 6 ft (block by J. Holiday),,25,18
1,3:33.0,,Defensive rebound by Team,25,18
1,3:17.0,,J. Holiday misses 2-pt layup from 1 ft,25,18
1,3:15.0,Defensive rebound by J. Teague,,25,18
1,3:14.0,Shooting foul by K. Williams (drawn by J. Teague),,25,18
1,3:14.0,J. Teague misses free throw 1 of 2,,25,18
1,3:14.0,Offensive rebound by Team,,25,18
1,3:14.0,,I. Clark enters the game for F. Jackson,25,18
1,3:14.0,J. Teague misses free throw 2 of 2,,25,18
1,3:14.0,Offensive rebound by D. Šarić,,25,18
1,3:14.0,Shooting foul by S. Johnson (drawn by D. Šarić),,25,18
1,3:14.0,D. Šarić makes free throw 1 of 2,,26,18
1,3:14.0,,C. Diallo enters the game for K. Williams,26,18
1,3:14.0,D. Šarić makes free throw 2 of 2,,27,18
1,3:03.0,,S. Johnson misses 3-pt jump shot from 25 ft,27,18
1,3:01.0,Defensive rebound by A. Wiggins,,27,18
1,2:53.0,J. Teague makes 2-pt layup from 4 ft,,29,18
1,2:44.0,,J. Randle misses 2-pt layup from 2 ft,29,18
1,2:42.0,,Offensive rebound by J. Randle,29,18
1,2:35.0,,J. Holiday misses 3-pt jump shot from 25 ft,29,18
1,2:30.0,Defensive rebound by D. Šarić,,29,18
1,2:28.0,Turnover by D. Šarić (lost ball; steal by S. Johnson),,29,18
1,2:24.0,,J. Randle misses 3-pt jump shot from 26 ft,29,18
