QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
1,11:44.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),0,2
1,11:29.0,A. Gordon makes 2-pt jump shot from 19 ft (assist by J. Isaac),,2,2
1,11:18.0,,P. George misses 2-pt jump shot from 13 ft,2,2
1,11:14.0,,Offensive rebound by J. Grant,2,2
1,11:13.0,,Turnover by R. Westbrook (bad pass),2,2
1,10:58.0,J. Isaac makes 2-pt layup at rim,,4,2
1,10:45.0,,Turnover by P. George (lost ball; steal by A. Gordon),4,2
1,10:31.0,E. Fournier misses 3-pt jump shot from 26 ft,,4,2
1,10:28.0,,Defensive rebound by R. Westbrook,4,2
1,10:20.0,,T. Ferguson makes 3-pt jump shot from 22 ft (assist by S. Adams),4,5
1,9:57.0,N. Vučević misses 2-pt jump shot from 7 ft,,4,5
1,9:55.0,,Defensive rebound by J. Grant,4,5
1,9:51.0,,Personal foul by N. Vučević (drawn by S. Adams),4,5
1,9:46.0,,R. Westbrook misses 2-pt layup from 3 ft,4,5
1,9:44.0,Defensive rebound by N. Vučević,,4,5
1,9:37.0,A. Gordon makes 2-pt layup at rim (assist by N. Vučević),,6,5
1,9:37.0,Shooting foul by P. George (drawn by A. Gordon),,6,5
1,9:37.0,A. Gordon misses free throw 1 of 1,,6,5
1,9:35.0,,Defensive rebound by R. Westbrook,6,5
1,9:24.0,,J. Grant makes 2-pt layup at rim (assist by R. Westbrook),6,7
1,9:01.0,A. Gordon makes 3-pt jump shot from 23 ft (assist by E. Fournier),,9,7
1,8:52.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Westbrook),9,10
1,8:28.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by N. Vučević),,12,10
1,8:18.0,,P. George misses 3-pt jump shot from 25 ft,12,10
1,8:15.0,Defensive rebound by N. Vučević,,12,10
1,8:10.0,J. Isaac makes 2-pt jump shot from 18 ft (assist by A. Gordon),,14,10
1,7:47.0,,S. Adams misses 2-pt hook shot from 5 ft,14,10
1,7:45.0,Defensive rebound by N. Vučević,,14,10
1,7:41.0,A. Gordon misses 3-pt jump shot from 25 ft,,14,10
1,7:38.0,,Defensive rebound by T. Ferguson,14,10
1,7:34.0,,P. George misses 3-pt jump shot from 22 ft,14,10
1,7:30.0,Defensive rebound by J. Isaac,,14,10
1,7:24.0,Personal foul by T. Ferguson (drawn by D. Augustin),,14,10
1,7:11.0,D. Augustin misses 3-pt jump shot from 25 ft,,14,10
1,7:06.0,,Defensive rebound by J. Grant,14,10
1,7:00.0,,T. Ferguson makes 3-pt jump shot from 25 ft (assist by P. George),14,13
1,6:46.0,Turnover by N. Vučević (lost ball; steal by T. Ferguson),,14,13
