QUARTER,TIME_REMAINING,MEMPHIS_ACTION,UTAH_ACTION,MEMPHIS_SCORE,UTAH_SCORE
1,11:33.0,Turnover by M. Gasol (bad pass; steal by R. Rubio),,0,0
1,11:29.0,,R. Rubio makes 3-pt jump shot from 25 ft,0,3
1,11:05.0,G. Temple misses 2-pt jump shot from 9 ft,,0,3
1,11:03.0,,Defensive rebound by R. Gobert,0,3
1,10:56.0,,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio),0,6
1,10:32.0,Turnover by J. Jackson (bad pass; steal by J. Ingles),,0,6
1,10:26.0,,D. Favors misses 3-pt jump shot from 23 ft,0,6
1,10:24.0,Defensive rebound by Team,,0,6
1,10:07.0,M. Conley makes 2-pt layup from 2 ft,,2,6
1,9:50.0,,Turnover by J. Ingles (bad pass; steal by J. Jackson),2,6
1,9:43.0,J. Jackson misses 3-pt jump shot from 25 ft,,2,6
1,9:39.0,,Defensive rebound by R. Gobert,2,6
1,9:32.0,,R. Rubio makes 2-pt jump shot from 17 ft,2,8
1,9:25.0,Memphis full timeout,,2,8
1,9:11.0,M. Gasol misses 2-pt jump shot from 12 ft,,2,8
1,9:08.0,,Defensive rebound by J. Ingles,2,8
1,8:57.0,,R. Rubio misses 2-pt jump shot from 7 ft,2,8
1,8:56.0,Defensive rebound by M. Conley,,2,8
1,8:52.0,Personal foul by R. Rubio (drawn by J. Jackson),,2,8
1,8:40.0,G. Temple makes 3-pt jump shot from 24 ft (assist by M. Conley),,5,8
1,8:27.0,,G. Allen makes 2-pt dunk from 2 ft (assist by R. Rubio),5,10
1,8:03.0,M. Conley misses 2-pt jump shot from 12 ft,,5,10
1,8:02.0,,Defensive rebound by R. Gobert,5,10
1,7:55.0,,R. Rubio makes 2-pt layup from 2 ft,5,12
1,7:38.0,M. Gasol makes 2-pt jump shot from 8 ft,,7,12
1,7:38.0,Shooting foul by D. Favors (drawn by M. Gasol),,7,12
1,7:38.0,M. Gasol makes free throw 1 of 1,,8,12
1,7:26.0,,J. Ingles misses 3-pt jump shot from 25 ft,8,12
1,7:25.0,,Offensive rebound by Team,8,12
1,7:25.0,Loose ball foul by J. Jackson (drawn by D. Favors),,8,12
1,7:25.0,D. Brooks enters the game for K. Anderson,,8,12
1,7:14.0,,J. Ingles makes 2-pt layup from 3 ft (assist by R. Rubio),8,14
