QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
1,11:37.0,,L. Markkanen misses 2-pt jump shot from 23 ft,0,0
1,11:33.0,Defensive rebound by K. Irving,,0,0
1,11:19.0,M. Morris makes 2-pt jump shot from 15 ft (assist by J. Tatum),,2,0
1,11:06.0,,J. Holiday misses 2-pt jump shot from 13 ft,2,0
1,11:02.0,Defensive rebound by D. Theis,,2,0
1,10:43.0,Personal foul by W. Carter (drawn by D. Theis),,2,0
1,10:34.0,D. Theis makes 2-pt jump shot from 21 ft (assist by J. Tatum),,4,0
1,10:04.0,,J. Holiday misses 3-pt jump shot from 25 ft,4,0
1,10:02.0,Defensive rebound by M. Morris,,4,0
1,9:56.0,M. Morris misses 3-pt jump shot from 26 ft,,4,0
1,9:53.0,,Defensive rebound by L. Markkanen,4,0
1,9:44.0,,Personal foul by D. Theis (drawn by J. Holiday),4,0
1,9:39.0,,W. Carter misses 2-pt jump shot from 17 ft,4,0
1,9:34.0,Defensive rebound by J. Tatum,,4,0
1,9:28.0,J. Tatum makes 2-pt jump shot from 13 ft,,6,0
1,9:14.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,6,0
1,9:11.0,Defensive rebound by M. Morris,,6,0
1,9:05.0,J. Tatum makes 3-pt jump shot from 23 ft,,9,0
1,8:50.0,,Chicago full timeout,9,0
1,8:48.0,,J. Holiday misses 3-pt jump shot from 24 ft,9,0
1,8:44.0,Defensive rebound by M. Smart,,9,0
1,8:31.0,D. Theis makes 2-pt dunk from 1 ft (assist by M. Smart),,11,0
1,8:20.0,,L. Markkanen misses 3-pt jump shot from 26 ft,11,0
1,8:17.0,Defensive rebound by K. Irving,,11,0
1,8:05.0,J. Tatum makes 2-pt jump shot from 21 ft,,13,0
1,7:43.0,,L. Markkanen misses 3-pt jump shot from 26 ft,13,0
1,7:40.0,Defensive rebound by M. Smart,,13,0
1,7:30.0,D. Theis misses 2-pt jump shot from 9 ft,,13,0
1,7:27.0,,Defensive rebound by W. Carter,13,0
1,7:27.0,,S. Harrison enters the game for R. Arcidiacono,13,0
1,7:27.0,,C. Hutchison enters the game for W. Carter,13,0
1,7:27.0,,R. Lopez enters the game for J. Holiday,13,0
1,7:27.0,,J. Parker enters the game for Z. LaVine,13,0
1,7:27.0,,C. Payne enters the game for L. Markkanen,13,0
1,7:05.0,,S. Harrison misses 2-pt jump shot from 19 ft,13,0
1,7:05.0,,Offensive rebound by Team,13,0
1,7:05.0,,Turnover by Team (shot clock),13,0
1,6:57.0,K. Irving makes 2-pt jump shot from 7 ft,,15,0
1,6:48.0,,Offensive foul by R. Lopez (drawn by K. Irving),15,0
1,6:48.0,,Turnover by R. Lopez (offensive foul),15,0
1,6:31.0,J. Tatum misses 2-pt jump shot from 11 ft,,15,0
1,6:29.0,,Defensive rebound by C. Payne,15,0
1,6:19.0,,J. Parker misses 2-pt jump shot from 15 ft,15,0
1,6:16.0,Defensive rebound by M. Smart,,15,0
1,6:12.0,M. Morris makes 2-pt dunk at rim (assist by M. Smart),,17,0
1,6:12.0,,Chicago full timeout,17,0
1,6:12.0,G. Hayward enters the game for J. Tatum,,17,0
1,5:56.0,,C. Hutchison misses 2-pt jump shot from 8 ft,17,0
1,5:52.0,Defensive rebound by D. Theis,,17,0
1,5:51.0,K. Irving misses 3-pt jump shot from 27 ft,,17,0
1,5:47.0,,Defensive rebound by J. Parker,17,0
1,5:42.0,,Shooting foul by K. Irving (drawn by J. Parker),17,0
1,5:42.0,,J. Parker makes free throw 1 of 2,17,1
1,5:42.0,,J. Parker makes free throw 2 of 2,17,2
1,5:28.0,M. Smart makes 3-pt jump shot from 24 ft (assist by D. Theis),,20,2
1,5:06.0,,R. Lopez makes 2-pt hook shot from 1 ft,20,4
1,4:54.0,M. Morris makes 3-pt jump shot from 24 ft (assist by G. Hayward),,23,4
1,4:36.0,,J. Parker makes 2-pt jump shot from 18 ft (assist by C. Hutchison),23,6
1,4:12.0,D. Theis misses 3-pt jump shot from 27 ft,,23,6
1,4:11.0,Offensive rebound by Team,,23,6
1,4:11.0,J. Brown enters the game for M. Smart,,23,6
1,4:11.0,G. Yabusele enters the game for D. Theis,,23,6
1,4:00.0,K. Irving misses 2-pt hook shot from 4 ft,,23,6
1,3:58.0,,Defensive rebound by R. Lopez,23,6
1,3:43.0,,C. Payne makes 2-pt jump shot from 21 ft,23,8
1,3:25.0,G. Hayward misses 2-pt jump shot from 11 ft,,23,8
1,3:22.0,,Defensive rebound by C. Hutchison,23,8
1,3:16.0,,C. Payne makes 2-pt jump shot from 7 ft,23,10
1,3:02.0,Personal foul by J. Parker (drawn by M. Morris),,23,10
1,2:55.0,M. Morris makes 3-pt jump shot from 25 ft (assist by K. Irving),,26,10
1,2:35.0,,S. Harrison misses 2-pt layup from 2 ft,26,10
1,2:33.0,Defensive rebound by J. Brown,,26,10
1,2:31.0,K. Irving misses 3-pt jump shot from 25 ft,,26,10
1,2:26.0,Offensive rebound by G. Yabusele,,26,10
1,2:24.0,K. Irving makes 3-pt jump shot from 22 ft (assist by M. Morris),,29,10
1,2:01.0,,S. Harrison makes 3-pt jump shot from 26 ft (assist by C. Hutchison),29,13
1,1:54.0,Personal foul by C. Hutchison (drawn by G. Hayward),,29,13
1,1:54.0,T. Rozier enters the game for K. Irving,,29,13
1,1:42.0,Turnover by G. Hayward (lost ball; steal by C. Payne),,29,13
1,1:35.0,,C. Hutchison makes 2-pt jump shot from 7 ft (assist by C. Payne),29,15
1,1:25.0,Shooting foul by C. Payne (drawn by M. Morris),,29,15
1,1:25.0,M. Morris makes free throw 1 of 2,,30,15
1,1:25.0,M. Morris makes free throw 2 of 2,,31,15
1,1:10.0,,R. Lopez misses 2-pt hook shot from 8 ft,31,15
1,1:08.0,Defensive rebound by G. Hayward,,31,15
1,1:00.0,G. Yabusele makes 2-pt layup from 3 ft (assist by T. Rozier),,33,15
1,0:53.0,,C. Payne misses 2-pt jump shot from 11 ft,33,15
1,0:50.0,Defensive rebound by T. Rozier,,33,15
1,0:50.0,J. Tatum enters the game for M. Morris,,33,15
1,0:33.0,G. Hayward makes 2-pt jump shot from 22 ft,,35,15
1,0:20.0,,S. Harrison makes 2-pt jump shot from 6 ft (assist by J. Parker),35,17
1,0:02.0,G. Hayward misses 2-pt layup from 3 ft (block by S. Harrison),,35,17
1,0:02.0,,Defensive rebound by R. Lopez,35,17
1,0:00.0,,C. Payne misses 3-pt jump shot from 55 ft,35,17
1,0:00.0,,Offensive rebound by Team,35,17
2,11:48.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Yabusele),,38,17
2,11:18.0,,J. Holiday misses 2-pt jump shot from 14 ft,38,17
2,11:14.0,,Offensive rebound by R. Arcidiacono,38,17
2,11:07.0,,Shooting foul by J. Brown (drawn by Z. LaVine),38,17
2,11:07.0,,Z. LaVine makes free throw 1 of 2,38,18
2,11:07.0,,Z. LaVine makes free throw 2 of 2,38,19
2,10:53.0,Turnover by J. Tatum (out of bounds lost ball),,38,19
2,10:36.0,,Z. LaVine misses 2-pt layup from 4 ft,38,19
2,10:35.0,,Offensive rebound by W. Carter,38,19
2,10:32.0,,W. Carter makes 2-pt layup from 2 ft,38,21
2,10:16.0,T. Rozier makes 2-pt jump shot from 11 ft,,40,21
2,10:02.0,,Z. LaVine misses 3-pt jump shot from 25 ft,40,21
2,9:57.0,Defensive rebound by T. Rozier,,40,21
2,9:52.0,Personal foul by Z. LaVine (drawn by J. Brown),,40,21
2,9:47.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by G. Yabusele),,43,21
2,9:21.0,,L. Markkanen makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),43,24
2,8:58.0,Turnover by J. Tatum (bad pass; steal by J. Holiday),,43,24
2,8:43.0,,Z. LaVine makes 2-pt layup from 1 ft,43,26
2,8:29.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by G. Hayward),,46,26
2,8:02.0,,L. Markkanen misses 3-pt jump shot from 27 ft,46,26
2,8:01.0,,Offensive rebound by W. Carter,46,26
2,8:01.0,,Shooting foul by G. Yabusele (drawn by W. Carter),46,26
2,8:01.0,,W. Carter misses free throw 1 of 2,46,26
2,8:01.0,,Offensive rebound by Team,46,26
2,8:01.0,,W. Carter makes free throw 2 of 2,46,27
2,7:44.0,T. Rozier makes 2-pt layup from 1 ft (assist by G. Hayward),,48,27
2,7:27.0,,L. Markkanen misses 3-pt jump shot from 25 ft,48,27
2,7:25.0,,Offensive rebound by R. Arcidiacono,48,27
2,7:22.0,,J. Holiday misses 3-pt jump shot from 24 ft,48,27
2,7:22.0,Defensive rebound by G. Hayward,,48,27
2,7:14.0,G. Hayward misses 2-pt layup from 2 ft,,48,27
2,7:14.0,,Defensive rebound by Team,48,27
2,6:57.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by R. Arcidiacono),48,30
2,6:30.0,J. Brown misses 2-pt jump shot from 21 ft,,48,30
