QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
1,11:42.0,,Turnover by E. Bledsoe (bad pass; steal by J. Tatum),0,0
1,11:38.0,J. Tatum makes 2-pt dunk at rim,,2,0
1,11:24.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,2,0
1,11:21.0,Defensive rebound by M. Morris,,2,0
1,11:03.0,J. Brown misses 2-pt hook shot from 9 ft,,2,0
1,11:00.0,,Defensive rebound by B. Lopez,2,0
1,10:53.0,,N. Mirotić misses 3-pt jump shot from 29 ft,2,0
1,10:50.0,Defensive rebound by K. Irving,,2,0
1,10:34.0,J. Tatum misses 2-pt jump shot from 16 ft,,2,0
1,10:31.0,,Defensive rebound by K. Middleton,2,0
1,10:18.0,,B. Lopez makes 3-pt jump shot from 30 ft (assist by G. Antetokounmpo),2,3
1,9:50.0,M. Morris makes 2-pt jump shot from 21 ft,,4,3
1,9:42.0,,Turnover by E. Bledsoe (out of bounds lost ball),4,3
1,9:29.0,K. Irving misses 2-pt layup from 5 ft (block by E. Bledsoe),,4,3
1,9:26.0,,Defensive rebound by G. Antetokounmpo,4,3
1,9:19.0,,N. Mirotić misses 3-pt jump shot from 28 ft,4,3
1,9:17.0,Defensive rebound by A. Horford,,4,3
1,9:07.0,Shooting foul by N. Mirotić (drawn by J. Brown),,4,3
1,9:07.0,J. Brown makes free throw 1 of 3,,5,3
1,9:07.0,J. Brown makes free throw 2 of 3,,6,3
1,9:07.0,J. Brown makes free throw 3 of 3,,7,3
1,8:51.0,,Shooting foul by J. Tatum (drawn by G. Antetokounmpo),7,3
1,8:51.0,,G. Antetokounmpo makes free throw 1 of 2,7,4
1,8:51.0,,G. Antetokounmpo makes free throw 2 of 2,7,5
1,8:43.0,Shooting foul by N. Mirotić (drawn by J. Brown),,7,5
1,8:43.0,J. Brown makes free throw 1 of 2,,8,5
1,8:43.0,,P. Connaughton enters the game for N. Mirotić,8,5
1,8:43.0,J. Brown makes free throw 2 of 2,,9,5
1,8:27.0,Defensive rebound by J. Tatum,,9,5
1,8:27.0,,K. Middleton misses 2-pt jump shot from 20 ft,9,5
1,8:18.0,A. Horford makes 3-pt jump shot from 27 ft (assist by J. Tatum),,12,5
1,8:17.0,,Milwaukee full timeout,12,5
1,8:03.0,,K. Middleton makes 2-pt layup from 1 ft,12,7
1,8:03.0,,Shooting foul by J. Brown (drawn by K. Middleton),12,7
1,8:03.0,,K. Middleton makes free throw 1 of 1,12,8
1,7:43.0,Shooting foul by K. Middleton (drawn by J. Tatum),,12,8
1,7:43.0,J. Tatum misses free throw 1 of 2,,12,8
1,7:43.0,Offensive rebound by Team,,12,8
1,7:43.0,A. Baynes enters the game for A. Horford,,12,8
1,7:43.0,J. Tatum makes free throw 2 of 2,,13,8
1,7:25.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,13,8
1,7:22.0,Defensive rebound by J. Brown,,13,8
1,7:14.0,Turnover by K. Irving (bad pass; steal by G. Antetokounmpo),,13,8
1,7:12.0,,Turnover by G. Antetokounmpo (lost ball; steal by K. Irving),13,8
1,7:12.0,Personal take foul by G. Antetokounmpo (drawn by K. Irving),,13,8
1,7:12.0,,E. İlyasova enters the game for B. Lopez,13,8
1,6:56.0,K. Irving misses 2-pt jump shot from 11 ft,,13,8
1,6:53.0,,Defensive rebound by E. İlyasova,13,8
1,6:50.0,,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),13,8
1,6:50.0,,G. Antetokounmpo makes free throw 1 of 2,13,9
1,6:50.0,G. Hayward enters the game for J. Tatum,,13,9
1,6:50.0,,G. Antetokounmpo makes free throw 2 of 2,13,10
1,6:28.0,K. Irving misses 2-pt hook shot from 7 ft,,13,10
1,6:25.0,Offensive rebound by M. Morris,,13,10
1,6:25.0,M. Morris makes 2-pt layup at rim,,15,10
1,6:15.0,,G. Antetokounmpo misses 3-pt jump shot from 29 ft,15,10
1,6:14.0,Defensive rebound by Team,,15,10
1,6:01.0,A. Baynes misses 3-pt jump shot from 27 ft,,15,10
1,5:56.0,,Defensive rebound by K. Middleton,15,10
1,5:49.0,,P. Connaughton makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),15,13
1,5:29.0,K. Irving misses 2-pt jump shot from 5 ft,,15,13
1,5:26.0,,Defensive rebound by G. Antetokounmpo,15,13
1,5:19.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by E. İlyasova),15,16
1,5:02.0,K. Irving misses 3-pt jump shot from 29 ft,,15,16
1,4:59.0,,Defensive rebound by K. Middleton,15,16
1,4:56.0,,Shooting foul by A. Baynes (drawn by G. Antetokounmpo),15,16
1,4:56.0,,G. Antetokounmpo makes free throw 1 of 2,15,17
1,4:56.0,A. Horford enters the game for A. Baynes,,15,17
1,4:56.0,T. Rozier enters the game for J. Brown,,15,17
1,4:56.0,,G. Hill enters the game for E. Bledsoe,15,17
1,4:56.0,,G. Antetokounmpo misses free throw 2 of 2,15,17
1,4:52.0,Defensive rebound by A. Horford,,15,17
1,4:35.0,A. Horford misses 2-pt hook shot from 5 ft,,15,17
1,4:32.0,,Defensive rebound by G. Antetokounmpo,15,17
1,4:20.0,,G. Antetokounmpo misses 2-pt jump shot from 6 ft,15,17
1,4:18.0,,Offensive rebound by G. Antetokounmpo,15,17
1,4:15.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,15,17
1,4:12.0,Defensive rebound by M. Morris,,15,17
1,4:00.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Hayward),,18,17
1,3:46.0,,Personal foul by T. Rozier (drawn by G. Antetokounmpo),18,17
1,3:46.0,,G. Antetokounmpo misses free throw 1 of 2,18,17
1,3:46.0,,Offensive rebound by Team,18,17
1,3:46.0,,B. Lopez enters the game for E. İlyasova,18,17
1,3:46.0,,G. Antetokounmpo misses free throw 2 of 2,18,17
1,3:43.0,Defensive rebound by A. Horford,,18,17
1,3:29.0,A. Horford makes 2-pt hook shot from 2 ft (assist by T. Rozier),,20,17
1,3:16.0,,K. Middleton misses 3-pt jump shot from 25 ft,20,17
1,3:16.0,Defensive rebound by T. Rozier,,20,17
1,3:16.0,Personal foul by P. Connaughton (drawn by T. Rozier),,20,17
1,3:16.0,T. Rozier makes free throw 1 of 2,,21,17
1,3:16.0,,E. İlyasova enters the game for G. Antetokounmpo,21,17
1,3:16.0,T. Rozier makes free throw 2 of 2,,22,17
1,3:02.0,,G. Hill misses 2-pt jump shot from 9 ft,22,17
1,2:59.0,Defensive rebound by A. Horford,,22,17
