QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
1,11:44.0,,Turnover by G. Temple (bad pass),0,0
1,11:24.0,D. Gallinari misses 3-pt jump shot from 24 ft,,0,0
1,11:21.0,,Defensive rebound by K. Anderson,0,0
1,11:18.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by M. Conley),0,2
1,11:04.0,M. Gortat misses 2-pt layup from 1 ft,,0,2
1,11:02.0,,Defensive rebound by M. Conley,0,2
1,10:57.0,,J. Jackson makes 2-pt hook shot from 6 ft (assist by G. Temple),0,4
1,10:44.0,Turnover by M. Gortat (lost ball; steal by J. Jackson),,0,4
1,10:34.0,,J. Jackson misses 3-pt jump shot from 26 ft,0,4
1,10:31.0,Defensive rebound by T. Harris,,0,4
1,10:26.0,T. Harris misses 2-pt jump shot from 19 ft,,0,4
1,10:23.0,,Defensive rebound by M. Conley,0,4
1,10:17.0,,M. Gasol misses 2-pt hook shot from 7 ft,0,4
1,10:13.0,Defensive rebound by D. Gallinari,,0,4
1,10:00.0,D. Gallinari misses 2-pt jump shot from 23 ft,,0,4
1,9:59.0,,Defensive rebound by K. Anderson,0,4
1,9:55.0,,M. Conley makes 2-pt layup from 2 ft (assist by K. Anderson),0,6
1,9:40.0,Turnover by S. Gilgeous-Alexander (lost ball; steal by M. Conley),,0,6
1,9:34.0,,K. Anderson misses 2-pt layup at rim (block by M. Gortat),0,6
1,9:33.0,,Offensive rebound by K. Anderson,0,6
1,9:33.0,,K. Anderson makes 2-pt jump shot from 4 ft,0,8
1,9:33.0,LA Clippers full timeout,,0,8
1,9:11.0,D. Gallinari misses 2-pt layup at rim (block by J. Jackson),,0,8
1,9:11.0,Offensive rebound by Team,,0,8
1,9:09.0,T. Harris misses 2-pt jump shot from 20 ft,,0,8
1,9:06.0,,Defensive rebound by J. Jackson,0,8
1,8:56.0,,J. Jackson misses 2-pt layup from 2 ft (block by M. Gortat),0,8
1,8:56.0,,Offensive rebound by Team,0,8
1,8:47.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by K. Anderson),0,10
1,8:33.0,A. Bradley misses 2-pt jump shot from 16 ft (block by M. Conley),,0,10
1,8:31.0,,Defensive rebound by M. Conley,0,10
1,8:22.0,,M. Gasol misses 2-pt jump shot from 12 ft,0,10
1,8:18.0,Defensive rebound by A. Bradley,,0,10
1,8:12.0,A. Bradley misses 2-pt jump shot from 17 ft,,0,10
1,8:09.0,,Defensive rebound by M. Gasol,0,10
1,8:00.0,,G. Temple misses 3-pt jump shot from 26 ft,0,10
1,7:58.0,Defensive rebound by M. Gortat,,0,10
1,7:38.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by T. Harris),,3,10
