QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
1,5:13.0,Shooting foul by W. Cauley-Stein (drawn by W. Hernangómez),,14,19
1,5:13.0,W. Hernangómez makes free throw 1 of 2,,15,19
1,5:13.0,M. Monk enters the game for J. Lamb,,15,19
1,5:13.0,W. Hernangómez misses free throw 2 of 2,,15,19
1,5:11.0,,Defensive rebound by I. Shumpert,15,19
1,4:59.0,,Turnover by B. Bogdanović (bad pass; steal by K. Walker),15,19
1,4:56.0,Turnover by K. Walker (bad pass),,15,19
1,4:40.0,,M. Bagley misses 2-pt hook shot from 7 ft,15,19
1,4:37.0,Defensive rebound by W. Hernangómez,,15,19
1,4:28.0,M. Monk makes 3-pt jump shot from 23 ft (assist by K. Walker),,18,19
1,4:13.0,,M. Bagley misses 3-pt jump shot from 25 ft,18,19
1,4:09.0,Defensive rebound by M. Bridges,,18,19
1,4:06.0,M. Bridges misses 2-pt layup from 6 ft,,18,19
1,4:03.0,,Defensive rebound by B. Bogdanović,18,19
1,3:52.0,,M. Bagley makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),18,21
1,3:39.0,K. Walker makes 2-pt layup from 3 ft,,20,21
1,3:29.0,,Shooting foul by M. Bridges (drawn by D. Fox),20,21
1,3:29.0,,D. Fox makes free throw 1 of 2,20,22
1,3:29.0,,N. Bjelica enters the game for W. Cauley-Stein,20,22
1,3:29.0,,J. Jackson enters the game for I. Shumpert,20,22
1,3:29.0,,D. Fox makes free throw 2 of 2,20,23
1,3:14.0,Turnover by M. Monk (bad pass; steal by D. Fox),,20,23
1,3:12.0,,Personal foul by M. Kidd-Gilchrist (drawn by D. Fox),20,23
1,3:12.0,,D. Fox makes free throw 1 of 2,20,24
1,3:12.0,D. Graham enters the game for K. Walker,,20,24
1,3:12.0,,D. Fox makes free throw 2 of 2,20,25
1,2:56.0,M. Monk makes 2-pt layup from 2 ft,,22,25
1,2:54.0,,Sacramento full timeout,22,25
1,2:54.0,,Y. Ferrell enters the game for D. Fox,22,25
1,2:33.0,,M. Bagley misses 2-pt jump shot from 12 ft,22,25
1,2:30.0,Defensive rebound by M. Bridges,,22,25
1,2:25.0,D. Graham makes 3-pt jump shot from 26 ft,,25,25
1,2:12.0,,B. Bogdanović makes 2-pt jump shot from 21 ft (assist by N. Bjelica),25,27
1,1:53.0,Turnover by W. Hernangómez (bad pass; steal by N. Bjelica),,25,27
1,1:49.0,,Shooting foul by M. Monk (drawn by M. Bagley),25,27
1,1:49.0,,M. Bagley misses free throw 1 of 2,25,27
1,1:49.0,,Offensive rebound by Team,25,27
1,1:49.0,,M. Bagley misses free throw 2 of 2,25,27
1,1:46.0,Defensive rebound by D. Graham,,25,27
1,1:36.0,M. Monk misses 2-pt jump shot from 10 ft,,25,27
1,1:36.0,Offensive rebound by Team,,25,27
1,1:31.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by M. Monk),,27,27
1,1:31.0,Shooting foul by M. Bagley (drawn by W. Hernangómez),,27,27
1,1:31.0,W. Hernangómez misses free throw 1 of 1,,27,27
1,1:24.0,Offensive rebound by M. Kidd-Gilchrist,,27,27
1,1:22.0,Turnover by M. Kidd-Gilchrist (bad pass; steal by M. Bagley),,27,27
1,1:20.0,,Y. Ferrell makes 2-pt layup from 1 ft,27,29
1,1:04.0,D. Graham misses 3-pt jump shot from 26 ft,,27,29
1,1:01.0,,Defensive rebound by M. Bagley,27,29
1,0:56.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by J. Jackson),27,32
