QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
4,8:47.0,K. Walker enters the game for J. Lamb,,80,87
4,8:38.0,M. Monk misses 3-pt jump shot from 24 ft,,80,87
4,8:35.0,,Defensive rebound by M. Bagley,80,87
4,8:22.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,80,87
4,8:16.0,Defensive rebound by M. Williams,,80,87
4,8:12.0,Personal foul by H. Giles (drawn by B. Biyombo),,80,87
4,8:01.0,Turnover by M. Monk (traveling),,80,87
4,7:43.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Jackson),80,90
4,7:28.0,K. Walker misses 3-pt jump shot from 25 ft,,80,90
4,7:28.0,,Defensive rebound by Y. Ferrell,80,90
4,7:09.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by H. Giles),80,92
4,6:51.0,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Williams),,83,92
4,6:37.0,,Turnover by J. Jackson (traveling),83,92
4,6:37.0,N. Batum enters the game for M. Monk,,83,92
4,6:37.0,,W. Cauley-Stein enters the game for H. Giles,83,92
4,6:27.0,K. Walker makes 2-pt layup from 3 ft,,85,92
4,6:27.0,Shooting foul by W. Cauley-Stein (drawn by K. Walker),,85,92
4,6:27.0,,D. Fox enters the game for Y. Ferrell,85,92
4,6:27.0,K. Walker makes free throw 1 of 1,,86,92
4,6:04.0,,B. Bogdanović misses 2-pt jump shot from 16 ft (block by B. Biyombo),86,92
4,5:59.0,Defensive rebound by M. Williams,,86,92
4,5:57.0,K. Walker misses 2-pt jump shot from 6 ft,,86,92
4,5:52.0,,Defensive rebound by B. Bogdanović,86,92
4,5:49.0,,D. Fox misses 3-pt jump shot from 25 ft,86,92
4,5:45.0,Defensive rebound by N. Batum,,86,92
4,5:37.0,D. Graham makes 3-pt jump shot from 23 ft (assist by N. Batum),,89,92
4,5:37.0,Personal foul by W. Cauley-Stein (drawn by B. Biyombo),,89,92
4,5:37.0,,Personal foul by B. Biyombo (drawn by W. Cauley-Stein),89,92
4,5:37.0,,Sacramento full timeout,89,92
4,5:37.0,,B. Hield enters the game for J. Jackson,89,92
4,5:25.0,,M. Bagley misses 2-pt jump shot from 16 ft,89,92
4,5:21.0,Defensive rebound by D. Graham,,89,92
4,5:16.0,M. Williams misses 3-pt jump shot from 26 ft,,89,92
4,5:13.0,,Defensive rebound by D. Fox,89,92
4,5:00.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),89,95
4,4:37.0,K. Walker makes 2-pt jump shot from 16 ft (assist by M. Williams),,91,95
4,4:22.0,,D. Fox misses 2-pt jump shot from 7 ft,91,95
4,4:22.0,Defensive rebound by Team,,91,95
4,4:22.0,,Loose ball foul by W. Cauley-Stein (drawn by M. Williams),91,95
4,4:08.0,K. Walker misses 3-pt jump shot from 26 ft,,91,95
4,4:03.0,,Defensive rebound by W. Cauley-Stein,91,95
4,3:54.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),91,97
4,3:28.0,D. Graham misses 3-pt jump shot from 26 ft,,91,97
4,3:25.0,,Defensive rebound by D. Fox,91,97
4,3:20.0,,D. Fox misses 2-pt layup from 4 ft (block by M. Williams),91,97
4,3:20.0,,Offensive rebound by Team,91,97
4,3:20.0,,Sacramento full timeout,91,97
4,3:20.0,M. Kidd-Gilchrist enters the game for B. Biyombo,,91,97
4,3:03.0,,Turnover by D. Fox (bad pass; steal by M. Williams),91,97
4,2:51.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft,,91,97
4,2:48.0,Offensive rebound by D. Graham,,91,97
4,2:41.0,K. Walker misses 3-pt jump shot from 25 ft,,91,97
4,2:38.0,,Defensive rebound by M. Bagley,91,97
4,2:24.0,,B. Hield makes 2-pt jump shot from 15 ft (assist by W. Cauley-Stein),91,99
4,2:06.0,K. Walker misses 2-pt layup from 2 ft,,91,99
4,2:04.0,Offensive rebound by M. Kidd-Gilchrist,,91,99
4,2:02.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,91,99
4,1:59.0,,Defensive rebound by D. Fox,91,99
4,1:38.0,,D. Fox misses 3-pt jump shot from 26 ft,91,99
4,1:34.0,Defensive rebound by M. Williams,,91,99
4,1:30.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,94,99
4,1:08.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),94,102
4,1:08.0,Charlotte full timeout,,94,102
4,1:01.0,D. Graham misses 3-pt jump shot from 25 ft,,94,102
4,0:54.0,Offensive rebound by N. Batum,,94,102
4,0:53.0,Shooting foul by D. Fox (drawn by K. Walker),,94,102
4,0:53.0,K. Walker misses free throw 1 of 2,,94,102
4,0:53.0,Offensive rebound by Team,,94,102
4,0:53.0,K. Walker makes free throw 2 of 2,,95,102
4,0:41.0,,D. Fox makes 2-pt layup from 6 ft,95,104
4,0:41.0,,Shooting foul by N. Batum (drawn by D. Fox),95,104
4,0:41.0,M. Monk enters the game for K. Walker,,95,104
4,0:41.0,,D. Fox misses free throw 1 of 1,95,104
4,0:41.0,Defensive rebound by N. Batum,,95,104
4,0:35.0,Shooting foul by B. Hield (drawn by N. Batum),,95,104
4,0:35.0,N. Batum makes free throw 1 of 3,,96,104
4,0:35.0,N. Batum misses free throw 2 of 3,,96,104
4,0:35.0,Offensive rebound by Team,,96,104
4,0:35.0,M. Bridges enters the game for M. Williams,,96,104
4,0:35.0,N. Batum makes free throw 3 of 3,,97,104
4,0:26.0,,Turnover by B. Bogdanović (bad pass; steal by N. Batum),97,104
4,0:22.0,M. Bridges misses 3-pt jump shot from 27 ft,,97,104
4,0:18.0,,Defensive rebound by B. Bogdanović,97,104
