QUARTER,TIME_REMAINING,DALLAS_ACTION,WASHINGTON_ACTION,DALLAS_SCORE,WASHINGTON_SCORE
1,11:45.0,T. Hardaway makes 2-pt jump shot from 19 ft (assist by L. Dončić),,2,0
1,11:29.0,,T. Ariza makes 2-pt layup at rim (assist by T. Satoranský),2,2
1,11:10.0,T. Hardaway misses 3-pt jump shot from 27 ft,,2,2
1,11:06.0,Offensive rebound by D. Finney-Smith,,2,2
1,11:03.0,J. Brunson misses 3-pt jump shot from 26 ft,,2,2
1,10:59.0,,Defensive rebound by B. Portis,2,2
1,10:43.0,,J. Green makes 2-pt jump shot from 10 ft,2,4
1,10:43.0,,Shooting foul by L. Dončić (drawn by J. Green),2,4
1,10:43.0,,J. Green makes free throw 1 of 1,2,5
1,10:32.0,L. Dončić makes 2-pt layup from 2 ft,,4,5
1,10:32.0,Shooting foul by J. Green (drawn by L. Dončić),,4,5
1,10:32.0,L. Dončić makes free throw 1 of 1,,5,5
1,10:17.0,,T. Ariza misses 2-pt layup from 3 ft,5,5
1,10:15.0,,Offensive rebound by T. Ariza,5,5
1,10:13.0,,T. Ariza misses 2-pt layup from 4 ft,5,5
1,10:11.0,,Offensive rebound by T. Ariza,5,5
1,10:07.0,,T. Ariza makes 2-pt layup at rim,5,7
1,10:00.0,J. Brunson misses 2-pt jump shot from 10 ft,,5,7
1,10:00.0,,Defensive rebound by T. Satoranský,5,7
1,9:46.0,,J. Green makes 2-pt hook shot from 10 ft,5,9
1,9:27.0,L. Dončić makes 2-pt layup from 4 ft,,7,9
1,9:17.0,,J. Green makes 3-pt jump shot from 28 ft (assist by T. Satoranský),7,12
1,9:04.0,T. Hardaway makes 2-pt layup from 3 ft,,9,12
1,8:50.0,,B. Portis misses 2-pt hook shot from 9 ft,9,12
1,8:48.0,Defensive rebound by L. Dončić,,9,12
1,8:35.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,9,12
1,8:32.0,,Defensive rebound by T. Ariza,9,12
1,8:26.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by T. Ariza),9,15
1,8:11.0,L. Dončić makes 2-pt dunk from 1 ft (assist by J. Brunson),,11,15
1,7:57.0,,T. Satoranský misses 2-pt jump shot from 11 ft,11,15
1,7:54.0,,Offensive rebound by B. Portis,11,15
1,7:46.0,,B. Beal misses 2-pt layup from 2 ft (block by D. Finney-Smith),11,15
1,7:46.0,,Offensive rebound by Team,11,15
1,7:44.0,,B. Portis misses 2-pt jump shot from 19 ft,11,15
1,7:40.0,Defensive rebound by D. Finney-Smith,,11,15
1,7:30.0,D. Powell makes 2-pt layup from 2 ft (assist by D. Finney-Smith),,13,15
1,7:16.0,,B. Beal misses 3-pt jump shot from 28 ft,13,15
1,7:12.0,,Offensive rebound by B. Portis,13,15
1,7:12.0,,B. Portis makes 2-pt layup at rim,13,17
1,7:03.0,L. Dončić makes 3-pt jump shot from 26 ft,,16,17
1,6:48.0,,T. Ariza misses 2-pt layup from 2 ft,16,17
1,6:47.0,Defensive rebound by L. Dončić,,16,17
1,6:42.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by L. Dončić),,19,17
1,6:25.0,,B. Portis misses 2-pt hook shot from 5 ft,19,17
1,6:22.0,Defensive rebound by L. Dončić,,19,17
1,6:09.0,T. Hardaway misses 3-pt jump shot from 25 ft,,19,17
1,6:05.0,Offensive rebound by D. Powell,,19,17
1,5:58.0,L. Dončić misses 3-pt jump shot from 27 ft,,19,17
1,5:54.0,,Defensive rebound by B. Beal,19,17
1,5:51.0,,Personal foul by L. Dončić (drawn by B. Portis),19,17
1,5:51.0,,Washington full timeout,19,17
1,5:51.0,J. Jackson enters the game for L. Dončić,,19,17
1,5:51.0,S. Mejri enters the game for D. Powell,,19,17
1,5:45.0,,B. Beal makes 2-pt jump shot from 15 ft,19,19
1,5:28.0,T. Hardaway makes 2-pt jump shot from 20 ft (assist by S. Mejri),,21,19
1,5:12.0,,Offensive foul by B. Portis (drawn by T. Hardaway),21,19
