QUARTER,TIME_REMAINING,PORTLAND_ACTION,SAN ANTONIO_ACTION,PORTLAND_SCORE,SAN ANTONIO_SCORE
1,11:44.0,,Violation by Team (kicked ball),0,0
1,11:37.0,C. McCollum makes 2-pt jump shot from 8 ft (assist by J. Nurkić),,2,0
1,11:08.0,,D. DeRozan makes 2-pt jump shot from 16 ft,2,2
1,10:53.0,M. Harkless misses 2-pt jump shot from 8 ft,,2,2
1,10:51.0,Offensive rebound by M. Harkless,,2,2
1,10:49.0,M. Harkless misses 2-pt layup from 2 ft,,2,2
1,10:47.0,,Defensive rebound by L. Aldridge,2,2
1,10:42.0,,Turnover by L. Aldridge (bad pass),2,2
1,10:34.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,2
1,10:30.0,,Defensive rebound by B. Forbes,2,2
1,10:18.0,,D. Bertāns misses 2-pt jump shot from 8 ft (block by M. Harkless),2,2
1,10:18.0,Defensive rebound by M. Harkless,,2,2
1,10:03.0,D. Lillard misses 2-pt jump shot from 21 ft,,2,2
1,9:59.0,,Defensive rebound by D. DeRozan,2,2
1,9:50.0,,D. DeRozan misses 2-pt jump shot from 10 ft (block by M. Harkless),2,2
1,9:47.0,Defensive rebound by A. Aminu,,2,2
1,9:45.0,Turnover by C. McCollum (bad pass),,2,2
1,9:27.0,,Turnover by L. Aldridge (lost ball; steal by J. Nurkić),2,2
1,9:20.0,C. McCollum makes 2-pt jump shot from 8 ft,,4,2
1,9:03.0,,L. Aldridge misses 2-pt jump shot from 12 ft,4,2
1,9:01.0,Defensive rebound by M. Harkless,,4,2
1,8:57.0,Personal foul by B. Forbes (drawn by J. Nurkić),,4,2
1,8:49.0,D. Lillard makes 2-pt jump shot from 20 ft,,6,2
1,8:35.0,,D. DeRozan misses 2-pt jump shot from 20 ft,6,2
1,8:33.0,,Offensive rebound by L. Aldridge,6,2
1,8:30.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by B. Forbes),6,4
1,8:11.0,D. Lillard makes 3-pt jump shot from 26 ft (assist by J. Nurkić),,9,4
1,8:05.0,,Personal foul by C. McCollum (drawn by D. DeRozan),9,4
1,7:58.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. DeRozan),9,6
1,7:41.0,D. Lillard makes 2-pt jump shot from 17 ft,,11,6
