QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
1,11:50.0,Turnover by M. Conley (bad pass; steal by D. Jones),,0,0
1,11:45.0,,K. Thompson makes 2-pt jump shot from 13 ft (assist by D. Jones),0,2
1,11:20.0,K. Anderson misses 2-pt jump shot from 17 ft,,0,2
1,11:20.0,,Defensive rebound by D. Jones,0,2
1,11:06.0,,Personal foul by M. Conley (drawn by S. Curry),0,2
1,10:59.0,,K. Thompson makes 2-pt jump shot from 16 ft (assist by K. Durant),0,4
1,10:39.0,M. Conley makes 3-pt jump shot from 27 ft,,3,4
1,10:32.0,,S. Curry misses 3-pt jump shot from 31 ft,3,4
1,10:30.0,Defensive rebound by Team,,3,4
1,10:06.0,M. Conley makes 2-pt layup from 2 ft,,5,4
1,9:49.0,,K. Durant makes 2-pt jump shot from 11 ft (assist by D. Green),5,6
1,9:26.0,Turnover by J. Jackson (out of bounds lost ball),,5,6
1,9:19.0,,K. Thompson misses 3-pt jump shot from 23 ft,5,6
1,9:17.0,,Offensive rebound by S. Curry,5,6
1,9:15.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),5,6
1,9:01.0,G. Temple makes 2-pt jump shot from 11 ft (assist by K. Anderson),,7,6
1,8:46.0,,S. Curry misses 2-pt jump shot from 22 ft,7,6
1,8:45.0,Defensive rebound by M. Gasol,,7,6
1,8:37.0,J. Jackson makes 2-pt layup from 1 ft (assist by G. Temple),,9,6
1,8:23.0,,Shooting foul by K. Anderson (drawn by D. Jones),9,6
1,8:23.0,,D. Jones makes free throw 1 of 2,9,7
1,8:23.0,,D. Jones makes free throw 2 of 2,9,8
1,8:10.0,Turnover by M. Gasol (bad pass; steal by K. Durant),,9,8
1,8:02.0,,K. Durant makes 2-pt layup from 2 ft,9,10
1,7:49.0,M. Gasol makes 2-pt jump shot from 14 ft (assist by M. Conley),,11,10
1,7:35.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,10
1,7:33.0,Defensive rebound by M. Gasol,,11,10
1,7:13.0,M. Conley misses 3-pt jump shot from 25 ft,,11,10
1,7:11.0,,Defensive rebound by D. Green,11,10
1,7:04.0,,K. Thompson makes 2-pt layup from 2 ft (assist by D. Green),11,12
1,7:03.0,Memphis full timeout,,11,12
1,6:40.0,K. Anderson misses 2-pt jump shot from 9 ft,,11,12
1,6:37.0,,Defensive rebound by D. Jones,11,12
1,6:33.0,,K. Thompson misses 3-pt jump shot from 28 ft,11,12
1,6:29.0,Defensive rebound by M. Gasol,,11,12
1,6:28.0,J. Jackson misses 2-pt hook shot from 7 ft,,11,12
1,6:20.0,,Defensive rebound by S. Curry,11,12
1,6:11.0,,D. Green misses 2-pt layup from 1 ft,11,12
1,6:07.0,Defensive rebound by M. Gasol,,11,12
1,5:51.0,M. Conley misses 3-pt jump shot from 27 ft,,11,12
1,5:47.0,,Defensive rebound by S. Curry,11,12
1,5:43.0,,Offensive foul by D. Jones (drawn by M. Gasol),11,12
1,5:43.0,,Turnover by D. Jones (offensive foul),11,12
1,5:43.0,D. Brooks enters the game for K. Anderson,,11,12
1,5:23.0,D. Brooks makes 3-pt jump shot from 23 ft (assist by J. Jackson),,14,12
1,5:06.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by K. Durant),14,15
1,4:41.0,D. Brooks makes 2-pt layup from 2 ft (assist by M. Gasol),,16,15
1,4:41.0,Shooting foul by D. Jones (drawn by D. Brooks),,16,15
1,4:41.0,S. Mack enters the game for M. Conley,,16,15
1,4:41.0,W. Selden enters the game for G. Temple,,16,15
1,4:41.0,,K. Looney enters the game for D. Jones,16,15
1,4:41.0,D. Brooks makes free throw 1 of 1,,17,15
1,4:32.0,,Offensive foul by K. Looney (drawn by S. Mack),17,15
1,4:32.0,,Turnover by K. Looney (offensive foul),17,15
1,4:11.0,D. Brooks misses 3-pt jump shot from 25 ft,,17,15
1,4:08.0,,Defensive rebound by K. Durant,17,15
1,4:04.0,,Shooting foul by J. Jackson (drawn by K. Durant),17,15
1,4:04.0,,K. Durant makes free throw 1 of 2,17,16
1,4:04.0,K. Anderson enters the game for J. Jackson,,17,16
1,4:04.0,,J. Jerebko enters the game for D. Green,17,16
1,4:04.0,,A. McKinnie enters the game for K. Thompson,17,16
1,4:04.0,,K. Durant makes free throw 2 of 2,17,17
1,3:44.0,D. Brooks makes 2-pt layup from 3 ft (assist by M. Gasol),,19,17
1,3:36.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),19,17
1,3:31.0,W. Selden makes 2-pt layup from 2 ft (assist by K. Anderson),,21,17
1,3:23.0,,Shooting foul by M. Gasol (drawn by K. Durant),21,17
1,3:23.0,,K. Durant makes free throw 1 of 2,21,18
1,3:23.0,,K. Durant makes free throw 2 of 2,21,19
1,3:15.0,D. Brooks misses 3-pt jump shot from 27 ft,,21,19
1,3:09.0,,Defensive rebound by K. Looney,21,19
1,2:56.0,,S. Curry misses 3-pt jump shot from 28 ft,21,19
1,2:53.0,Defensive rebound by K. Anderson,,21,19
1,2:46.0,Shooting foul by K. Looney (drawn by M. Gasol),,21,19
1,2:46.0,,Golden State full timeout,21,19
1,2:46.0,M. Gasol makes free throw 1 of 2,,22,19
1,2:46.0,M. Gasol makes free throw 2 of 2,,23,19
1,2:32.0,,S. Curry misses 2-pt jump shot from 17 ft,23,19
1,2:30.0,,Offensive rebound by K. Looney,23,19
1,2:22.0,,Turnover by S. Curry (lost ball; steal by K. Anderson),23,19
