QUARTER,TIME_REMAINING,DENVER_ACTION,NEW ORLEANS_ACTION,DENVER_SCORE,NEW ORLEANS_SCORE
1,11:47.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by M. Morris),,2,0
1,11:29.0,,Turnover by J. Okafor (3 sec),2,0
1,11:15.0,P. Millsap makes 2-pt jump shot from 9 ft (assist by G. Harris),,4,0
1,11:15.0,Shooting foul by S. Hill (drawn by P. Millsap),,4,0
1,11:15.0,P. Millsap makes free throw 1 of 1,,5,0
1,11:08.0,,S. Hill misses 3-pt jump shot from 26 ft,5,0
1,11:05.0,Defensive rebound by N. Jokić,,5,0
1,10:56.0,P. Millsap makes 2-pt dunk at rim (assist by G. Harris),,7,0
1,10:41.0,,D. Miller misses 3-pt jump shot from 26 ft,7,0
1,10:37.0,Defensive rebound by W. Barton,,7,0
1,10:34.0,W. Barton misses 3-pt jump shot from 26 ft,,7,0
1,10:32.0,,Defensive rebound by F. Jackson,7,0
1,10:19.0,,F. Jackson misses 2-pt jump shot from 7 ft,7,0
1,10:17.0,,Offensive rebound by F. Jackson,7,0
1,10:17.0,,F. Jackson misses 2-pt layup from 1 ft,7,0
1,10:17.0,,Offensive rebound by Team,7,0
1,10:14.0,,F. Jackson misses 3-pt jump shot from 24 ft,7,0
1,10:11.0,Defensive rebound by N. Jokić,,7,0
1,9:57.0,G. Harris misses 3-pt jump shot from 26 ft,,7,0
1,9:54.0,,Defensive rebound by J. Okafor,7,0
1,9:41.0,,S. Hill misses 3-pt jump shot from 24 ft,7,0
1,9:37.0,Defensive rebound by M. Morris,,7,0
1,9:27.0,P. Millsap misses 2-pt jump shot from 10 ft,,7,0
1,9:24.0,,Defensive rebound by D. Miller,7,0
1,9:17.0,,Personal foul by N. Jokić (drawn by J. Okafor),7,0
1,9:14.0,,Shooting foul by W. Barton (drawn by J. Holiday),7,0
1,9:14.0,,J. Holiday makes free throw 1 of 2,7,1
1,9:14.0,,J. Holiday makes free throw 2 of 2,7,2
1,8:59.0,G. Harris misses 3-pt jump shot from 26 ft,,7,2
1,8:56.0,,Defensive rebound by D. Miller,7,2
1,8:50.0,,F. Jackson misses 2-pt layup from 3 ft (block by N. Jokić),7,2
1,8:47.0,Defensive rebound by M. Morris,,7,2
1,8:44.0,P. Millsap misses 3-pt jump shot from 25 ft,,7,2
1,8:40.0,,Defensive rebound by J. Okafor,7,2
1,8:25.0,,J. Holiday makes 2-pt layup from 1 ft,7,4
1,8:09.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),,9,4
1,7:50.0,,Shooting foul by W. Barton (drawn by D. Miller),9,4
1,7:50.0,,D. Miller makes free throw 1 of 3,9,5
1,7:50.0,,D. Miller makes free throw 2 of 3,9,6
1,7:50.0,M. Beasley enters the game for W. Barton,,9,6
1,7:50.0,,D. Miller makes free throw 3 of 3,9,7
1,7:38.0,N. Jokić makes 2-pt jump shot from 2 ft (assist by M. Morris),,11,7
1,7:31.0,,F. Jackson makes 2-pt layup from 1 ft,11,9
1,7:15.0,Shooting foul by J. Okafor (drawn by N. Jokić),,11,9
1,7:15.0,N. Jokić makes free throw 1 of 2,,12,9
1,7:15.0,N. Jokić makes free throw 2 of 2,,13,9
1,6:54.0,,J. Okafor makes 2-pt layup from 2 ft,13,11
1,6:43.0,Turnover by G. Harris (bad pass; steal by J. Holiday),,13,11
1,6:39.0,,J. Holiday makes 2-pt layup from 2 ft (assist by S. Hill),13,13
1,6:26.0,M. Morris makes 2-pt jump shot from 12 ft (assist by N. Jokić),,15,13
1,6:07.0,,J. Okafor makes 2-pt jump shot from 7 ft (assist by D. Miller),15,15
1,5:49.0,M. Beasley misses 3-pt jump shot from 26 ft,,15,15
1,5:45.0,,Defensive rebound by F. Jackson,15,15
1,5:39.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by D. Miller),15,18
1,5:37.0,Denver full timeout,,15,18
1,5:37.0,M. Plumlee enters the game for P. Millsap,,15,18
1,5:37.0,,K. Williams enters the game for S. Hill,15,18
1,5:13.0,M. Beasley misses 2-pt jump shot from 17 ft,,15,18
1,5:09.0,,Defensive rebound by K. Williams,15,18
1,4:56.0,,D. Miller misses 2-pt jump shot from 15 ft,15,18
1,4:53.0,Defensive rebound by N. Jokić,,15,18
1,4:46.0,G. Harris misses 3-pt jump shot from 25 ft,,15,18
1,4:43.0,,Defensive rebound by F. Jackson,15,18
1,4:33.0,,Turnover by D. Miller (bad pass; steal by M. Beasley),15,18
1,4:30.0,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),,17,18
1,4:30.0,Shooting foul by J. Holiday (drawn by M. Beasley),,17,18
1,4:30.0,M. Beasley misses free throw 1 of 1,,17,18
1,4:27.0,,Defensive rebound by K. Williams,17,18
1,4:15.0,,Turnover by J. Holiday (bad pass; steal by N. Jokić),17,18
1,4:11.0,M. Morris makes 2-pt dunk from 2 ft (assist by N. Jokić),,19,18
1,4:10.0,,Turnover by F. Jackson (inbound),19,18
1,4:10.0,T. Craig enters the game for G. Harris,,19,18
1,4:10.0,,I. Clark enters the game for F. Jackson,19,18
1,4:06.0,Personal foul by K. Williams (drawn by M. Morris),,19,18
1,4:06.0,,C. Diallo enters the game for J. Okafor,19,18
1,4:02.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by M. Plumlee),,22,18
1,3:44.0,,J. Holiday misses 2-pt jump shot from 9 ft,22,18
1,3:42.0,Defensive rebound by M. Plumlee,,22,18
1,3:40.0,Shooting foul by I. Clark (drawn by M. Plumlee),,22,18
1,3:40.0,M. Plumlee misses free throw 1 of 2,,22,18
1,3:40.0,Offensive rebound by Team,,22,18
1,3:40.0,M. Plumlee makes free throw 2 of 2,,23,18
1,3:26.0,,Personal foul by M. Plumlee (drawn by K. Williams),23,18
1,3:14.0,,C. Diallo makes 2-pt hook shot from 11 ft,23,20
1,2:59.0,N. Jokić makes 2-pt jump shot from 12 ft,,25,20
1,2:47.0,,J. Holiday misses 2-pt layup from 1 ft,25,20
1,2:45.0,Defensive rebound by N. Jokić,,25,20
1,2:36.0,M. Plumlee makes 2-pt dunk at rim (assist by M. Morris),,27,20
1,2:27.0,,New Orleans full timeout,27,20
1,2:27.0,B. Goodwin enters the game for M. Morris,,27,20
1,2:14.0,,K. Williams makes 3-pt jump shot from 22 ft (assist by J. Holiday),27,23
1,1:48.0,Turnover by B. Goodwin (bad pass),,27,23
1,1:48.0,T. Lyles enters the game for N. Jokić,,27,23
1,1:48.0,,T. Frazier enters the game for J. Holiday,27,23
1,1:33.0,,D. Miller makes 3-pt jump shot from 24 ft (assist by I. Clark),27,26
1,1:15.0,M. Beasley misses 2-pt layup from 4 ft (block by C. Diallo),,27,26
1,1:11.0,,Defensive rebound by C. Diallo,27,26
1,0:53.0,,C. Diallo misses 2-pt jump shot from 3 ft,27,26
1,0:51.0,Defensive rebound by T. Lyles,,27,26
1,0:39.0,T. Lyles makes 2-pt jump shot from 18 ft (assist by T. Craig),,29,26
1,0:28.0,,K. Williams misses 2-pt jump shot from 18 ft,29,26
1,0:25.0,Defensive rebound by M. Plumlee,,29,26
1,0:03.0,T. Lyles misses 3-pt jump shot from 26 ft,,29,26
1,0:00.0,,Defensive rebound by T. Frazier,29,26
2,11:49.0,,I. Clark misses 3-pt jump shot from 25 ft,29,26
2,11:46.0,Defensive rebound by J. Hernangómez,,29,26
2,11:31.0,M. Plumlee makes 2-pt hook shot from 10 ft,,31,26
2,11:12.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by S. Hill),31,28
2,10:56.0,J. Hernangómez misses 3-pt jump shot from 25 ft,,31,28
2,10:52.0,,Defensive rebound by T. Frazier,31,28
2,10:42.0,,S. Hill misses 2-pt jump shot from 7 ft,31,28
2,10:40.0,Defensive rebound by M. Plumlee,,31,28
2,10:30.0,M. Beasley misses 2-pt jump shot from 7 ft,,31,28
2,10:27.0,,Defensive rebound by T. Frazier,31,28
2,10:24.0,,K. Williams makes 2-pt layup from 2 ft (assist by T. Frazier),31,30
2,10:01.0,T. Lyles misses 3-pt jump shot from 25 ft,,31,30
2,9:58.0,,Defensive rebound by T. Frazier,31,30
2,9:52.0,,Turnover by I. Clark (bad pass),31,30
2,9:38.0,M. Plumlee misses 2-pt hook shot from 7 ft,,31,30
2,9:35.0,,Defensive rebound by S. Hill,31,30
2,9:25.0,,I. Clark misses 2-pt layup from 3 ft,31,30
2,9:23.0,Defensive rebound by T. Lyles,,31,30
2,9:20.0,M. Beasley makes 2-pt layup from 1 ft (assist by T. Lyles),,33,30
