QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
1,11:47.0,,J. Collins misses 3-pt jump shot from 25 ft,0,0
1,11:45.0,,Offensive rebound by K. Huerter,0,0
1,11:32.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),0,2
1,11:09.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,2
1,11:00.0,,T. Young makes 3-pt jump shot from 34 ft (assist by J. Collins),3,5
1,10:43.0,M. Harkless misses 3-pt jump shot from 25 ft,,3,5
1,10:41.0,,Defensive rebound by T. Young,3,5
1,10:37.0,,J. Anderson misses 3-pt jump shot from 25 ft,3,5
1,10:34.0,Defensive rebound by D. Lillard,,3,5
1,10:31.0,J. Layman makes 2-pt dunk from 1 ft (assist by D. Lillard),,5,5
1,10:18.0,,T. Young misses 2-pt jump shot from 6 ft (block by D. Lillard),5,5
1,10:18.0,,Offensive rebound by Team,5,5
1,10:14.0,,T. Young makes 2-pt jump shot from 12 ft,5,7
1,9:52.0,E. Freedom makes 2-pt layup from 3 ft (assist by D. Lillard),,7,7
1,9:27.0,,J. Anderson misses 2-pt jump shot from 18 ft,7,7
1,9:23.0,Defensive rebound by E. Freedom,,7,7
1,9:19.0,Shooting foul by J. Collins (drawn by A. Aminu),,7,7
1,9:19.0,A. Aminu makes free throw 1 of 2,,8,7
1,9:19.0,A. Aminu makes free throw 2 of 2,,9,7
1,9:10.0,,Turnover by K. Huerter (lost ball; steal by J. Layman),9,7
1,9:10.0,Personal take foul by K. Huerter (drawn by J. Layman),,9,7
1,8:54.0,D. Lillard makes 2-pt jump shot from 19 ft,,11,7
1,8:42.0,,T. Young makes 2-pt jump shot from 7 ft,11,9
1,8:29.0,M. Harkless misses 2-pt jump shot from 18 ft,,11,9
1,8:24.0,,Defensive rebound by J. Anderson,11,9
1,8:22.0,,T. Young misses 3-pt jump shot from 31 ft,11,9
1,8:18.0,Defensive rebound by M. Harkless,,11,9
1,8:11.0,A. Aminu makes 2-pt layup at rim (assist by D. Lillard),,13,9
1,7:58.0,,K. Huerter makes 2-pt jump shot from 12 ft (assist by J. Collins),13,11
1,7:45.0,D. Lillard misses 2-pt layup from 2 ft (block by J. Anderson),,13,11
1,7:42.0,,Defensive rebound by K. Huerter,13,11
1,7:39.0,,K. Huerter misses 3-pt jump shot from 25 ft,13,11
1,7:36.0,Defensive rebound by J. Layman,,13,11
1,7:23.0,E. Freedom makes 2-pt layup from 2 ft,,15,11
1,7:03.0,,J. Collins misses 2-pt jump shot from 12 ft,15,11
1,7:00.0,Defensive rebound by A. Aminu,,15,11
1,6:51.0,D. Lillard makes 3-pt jump shot from 27 ft,,18,11
1,6:36.0,,J. Anderson misses 2-pt jump shot from 11 ft,18,11
1,6:36.0,Defensive rebound by M. Harkless,,18,11
1,6:30.0,M. Harkless makes 2-pt layup from 1 ft,,20,11
1,6:30.0,,Atlanta full timeout,20,11
1,6:30.0,,K. Bazemore enters the game for J. Anderson,20,11
1,6:30.0,,D. Bembry enters the game for D. Dedmon,20,11
1,6:30.0,,D. Davis enters the game for K. Huerter,20,11
1,6:10.0,,D. Bembry misses 2-pt layup from 2 ft,20,11
1,6:07.0,Defensive rebound by E. Freedom,,20,11
1,5:45.0,E. Freedom misses 2-pt layup from 1 ft (block by J. Collins),,20,11
1,5:45.0,,Defensive rebound by T. Young,20,11
1,5:38.0,,D. Davis makes 2-pt dunk at rim (assist by T. Young),20,13
1,5:14.0,D. Lillard makes 2-pt jump shot from 17 ft,,22,13
1,5:00.0,,J. Collins makes 2-pt dunk from 1 ft,22,15
1,4:47.0,Shooting foul by K. Bazemore (drawn by J. Layman),,22,15
1,4:47.0,J. Layman misses free throw 1 of 2,,22,15
1,4:47.0,Offensive rebound by Team,,22,15
1,4:47.0,R. Hood enters the game for E. Freedom,,22,15
1,4:47.0,J. Layman makes free throw 2 of 2,,23,15
1,4:30.0,,Shooting foul by M. Harkless (drawn by T. Young),23,15
1,4:30.0,,T. Young makes free throw 1 of 2,23,16
1,4:30.0,S. Curry enters the game for J. Layman,,23,16
1,4:30.0,,T. Young makes free throw 2 of 2,23,17
1,4:07.0,A. Aminu makes 2-pt layup from 1 ft (assist by R. Hood),,25,17
1,3:53.0,,T. Young makes 2-pt jump shot from 10 ft,25,19
1,3:42.0,D. Lillard misses 3-pt jump shot from 25 ft,,25,19
1,3:41.0,,Defensive rebound by K. Bazemore,25,19
1,3:21.0,,Turnover by T. Young (bad pass; steal by M. Harkless),25,19
1,3:17.0,M. Harkless misses 2-pt dunk from 1 ft,,25,19
1,3:16.0,Offensive rebound by A. Aminu,,25,19
1,3:16.0,Shooting foul by D. Davis (drawn by A. Aminu),,25,19
1,3:16.0,A. Aminu makes free throw 1 of 2,,26,19
1,3:16.0,A. Aminu makes free throw 2 of 2,,27,19
1,3:01.0,,T. Young makes 2-pt jump shot from 18 ft (assist by D. Davis),27,21
1,2:45.0,Personal foul by D. Davis (drawn by D. Lillard),,27,21
1,2:45.0,Portland full timeout,,27,21
1,2:45.0,,D. Dedmon enters the game for D. Davis,27,21
1,2:45.0,D. Lillard makes free throw 1 of 2,,28,21
1,2:45.0,D. Lillard makes free throw 2 of 2,,29,21
1,2:31.0,,J. Collins makes 2-pt layup from 5 ft (assist by K. Bazemore),29,23
1,2:16.0,Turnover by M. Harkless (bad pass; steal by D. Bembry),,29,23
1,2:09.0,,T. Young makes 2-pt layup at rim,29,25
1,1:53.0,S. Curry makes 3-pt jump shot from 26 ft (assist by R. Hood),,32,25
1,1:30.0,,J. Collins misses 2-pt jump shot from 4 ft,32,25
1,1:26.0,Defensive rebound by A. Aminu,,32,25
1,1:21.0,D. Lillard makes 2-pt layup from 1 ft,,34,25
1,1:03.0,,D. Bembry makes 2-pt dunk from 1 ft,34,27
1,0:49.0,D. Lillard makes 2-pt layup at rim,,36,27
1,0:42.0,,Shooting foul by D. Lillard (drawn by T. Young),36,27
1,0:42.0,,T. Young makes free throw 1 of 3,36,28
1,0:42.0,,T. Young makes free throw 2 of 3,36,29
1,0:42.0,Z. Collins enters the game for A. Aminu,,36,29
1,0:42.0,M. Leonard enters the game for M. Harkless,,36,29
1,0:42.0,,V. Carter enters the game for J. Collins,36,29
1,0:42.0,,T. Young makes free throw 3 of 3,36,30
1,0:30.0,Turnover by D. Lillard (bad pass; steal by T. Young),,36,30
1,0:25.0,,K. Bazemore misses 3-pt jump shot from 23 ft,36,30
1,0:20.0,Defensive rebound by M. Leonard,,36,30
1,0:13.0,D. Lillard makes 2-pt layup at rim,,38,30
1,0:02.0,,Turnover by T. Young (out of bounds lost ball),38,30
2,11:50.0,S. Curry misses 3-pt jump shot from 25 ft,,38,30
2,11:46.0,Offensive rebound by M. Leonard,,38,30
2,11:43.0,Personal foul by V. Carter (drawn by E. Turner),,38,30
2,11:36.0,R. Hood misses 3-pt jump shot from 25 ft,,38,30
2,11:33.0,,Defensive rebound by D. Dedmon,38,30
2,11:21.0,,D. Dedmon misses 3-pt jump shot from 25 ft,38,30
2,11:17.0,Defensive rebound by S. Curry,,38,30
2,11:04.0,Z. Collins misses 2-pt hook shot from 4 ft,,38,30
2,11:00.0,,Defensive rebound by D. Dedmon,38,30
2,10:54.0,,D. Dedmon makes 2-pt jump shot from 6 ft (assist by K. Huerter),38,32
2,10:36.0,R. Hood misses 2-pt jump shot from 14 ft,,38,32
2,10:35.0,,Defensive rebound by Team,38,32
2,10:25.0,,V. Carter misses 3-pt jump shot from 26 ft,38,32
2,10:22.0,Defensive rebound by E. Turner,,38,32
2,10:15.0,E. Turner makes 2-pt hook shot from 5 ft,,40,32
2,10:02.0,,K. Huerter makes 2-pt jump shot from 3 ft,40,34
2,9:49.0,E. Turner misses 2-pt jump shot from 17 ft,,40,34
2,9:44.0,,Defensive rebound by J. Adams,40,34
2,9:40.0,,K. Huerter misses 2-pt jump shot from 3 ft,40,34
2,9:36.0,Defensive rebound by M. Leonard,,40,34
2,9:22.0,Z. Collins misses 2-pt jump shot from 12 ft,,40,34
2,9:18.0,,Defensive rebound by V. Carter,40,34
2,9:12.0,,V. Carter misses 2-pt jump shot from 9 ft,40,34
2,9:10.0,Defensive rebound by M. Leonard,,40,34
2,9:02.0,Personal foul by K. Huerter (drawn by M. Leonard),,40,34
2,8:57.0,R. Hood misses 3-pt jump shot from 25 ft,,40,34
2,8:54.0,,Defensive rebound by D. Dedmon,40,34
2,8:46.0,,K. Bazemore misses 3-pt jump shot from 25 ft,40,34
2,8:41.0,Defensive rebound by Z. Collins,,40,34
2,8:32.0,Z. Collins makes 3-pt jump shot from 26 ft (assist by E. Turner),,43,34
2,8:32.0,,D. Davis enters the game for D. Dedmon,43,34
2,8:12.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by K. Huerter),43,37
2,7:57.0,M. Leonard makes 2-pt layup from 1 ft (assist by E. Turner),,45,37
2,7:49.0,,V. Carter makes 3-pt jump shot from 26 ft (assist by J. Adams),45,40
2,7:27.0,R. Hood makes 2-pt jump shot from 22 ft,,47,40
2,7:06.0,,K. Bazemore misses 2-pt layup from 4 ft,47,40
2,7:03.0,Defensive rebound by E. Turner,,47,40
2,6:58.0,S. Curry misses 2-pt jump shot from 15 ft,,47,40
2,6:54.0,Offensive rebound by Z. Collins,,47,40
2,6:52.0,S. Curry makes 3-pt jump shot from 25 ft (assist by Z. Collins),,50,40
2,6:31.0,,K. Huerter misses 2-pt jump shot from 10 ft,50,40
2,6:29.0,Defensive rebound by Z. Collins,,50,40
2,6:22.0,M. Leonard misses 3-pt jump shot from 22 ft,,50,40
2,6:19.0,,Defensive rebound by K. Bazemore,50,40
2,6:14.0,,K. Bazemore makes 2-pt jump shot from 18 ft,50,42
2,5:49.0,E. Turner misses 3-pt jump shot from 26 ft,,50,42
2,5:47.0,,Defensive rebound by K. Bazemore,50,42
2,5:38.0,,V. Carter misses 3-pt jump shot from 23 ft,50,42
2,5:35.0,Defensive rebound by Z. Collins,,50,42
2,5:27.0,E. Turner makes 2-pt layup from 1 ft,,52,42
2,5:27.0,,Atlanta full timeout,52,42
2,5:27.0,A. Aminu enters the game for Z. Collins,,52,42
2,5:27.0,E. Freedom enters the game for M. Leonard,,52,42
2,5:27.0,,J. Anderson enters the game for J. Adams,52,42
