QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,SACRAMENTO_ACTION,MILWAUKEE_SCORE,SACRAMENTO_SCORE
4,7:57.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by K. Middleton),,113,104
4,7:40.0,,H. Giles misses 2-pt jump shot from 16 ft,113,104
4,7:35.0,Defensive rebound by N. Mirotić,,113,104
4,7:20.0,N. Mirotić misses 2-pt jump shot from 16 ft,,113,104
4,7:17.0,,Defensive rebound by H. Giles,113,104
4,7:12.0,,Turnover by H. Giles (bad pass),113,104
4,6:56.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by K. Middleton),,116,104
4,6:54.0,,Sacramento full timeout,116,104
4,6:54.0,,D. Fox enters the game for C. Brewer,116,104
4,6:54.0,,B. Hield enters the game for Y. Ferrell,116,104
4,6:41.0,,B. Bogdanović makes 2-pt layup from 3 ft (assist by D. Fox),116,106
4,6:29.0,K. Middleton makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,118,106
4,6:22.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,118,106
4,6:19.0,Defensive rebound by T. Snell,,118,106
4,6:14.0,E. Bledsoe makes 2-pt layup from 3 ft,,120,106
4,6:06.0,,H. Giles makes 2-pt layup from 1 ft (assist by D. Fox),120,108
4,5:44.0,K. Middleton misses 3-pt jump shot from 25 ft,,120,108
4,5:40.0,,Defensive rebound by H. Giles,120,108
4,5:37.0,,D. Fox misses 2-pt jump shot from 4 ft,120,108
4,5:37.0,Defensive rebound by Team,,120,108
4,5:37.0,,W. Cauley-Stein enters the game for H. Giles,120,108
4,5:14.0,K. Middleton misses 2-pt jump shot from 4 ft (block by B. Bogdanović),,120,108
4,5:11.0,Offensive rebound by E. Bledsoe,,120,108
4,5:11.0,E. Bledsoe misses 2-pt jump shot from 3 ft,,120,108
4,5:09.0,,Defensive rebound by B. Bogdanović,120,108
4,5:08.0,,Shooting foul by T. Snell (drawn by B. Hield),120,108
4,5:08.0,,B. Hield makes free throw 1 of 2,120,109
4,5:08.0,G. Antetokounmpo enters the game for B. Lopez,,120,109
4,5:08.0,,B. Hield makes free throw 2 of 2,120,110
4,4:54.0,T. Snell misses 3-pt jump shot from 23 ft,,120,110
4,4:50.0,,Defensive rebound by B. Hield,120,110
4,4:50.0,,Shooting foul by K. Middleton (drawn by B. Hield),120,110
4,4:50.0,,B. Hield makes free throw 1 of 2,120,111
4,4:50.0,M. Brogdon enters the game for E. Bledsoe,,120,111
4,4:50.0,,B. Hield makes free throw 2 of 2,120,112
4,4:29.0,Turnover by K. Middleton (lost ball; steal by B. Hield),,120,112
4,4:24.0,,B. Hield makes 2-pt layup from 3 ft,120,114
4,4:24.0,Milwaukee full timeout,,120,114
4,4:24.0,E. Bledsoe enters the game for T. Snell,,120,114
4,4:11.0,E. Bledsoe misses 2-pt layup from 3 ft (block by D. Fox),,120,114
4,4:11.0,Offensive rebound by Team,,120,114
4,4:11.0,P. Connaughton enters the game for N. Mirotić,,120,114
4,4:01.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,120,114
4,3:55.0,,Defensive rebound by W. Cauley-Stein,120,114
4,3:36.0,,B. Hield misses 2-pt layup from 3 ft (block by G. Antetokounmpo),120,114
4,3:32.0,Defensive rebound by M. Brogdon,,120,114
4,3:23.0,Shooting foul by W. Cauley-Stein (drawn by G. Antetokounmpo),,120,114
4,3:23.0,G. Antetokounmpo makes free throw 1 of 2,,121,114
4,3:23.0,B. Lopez enters the game for P. Connaughton,,121,114
4,3:23.0,G. Antetokounmpo makes free throw 2 of 2,,122,114
4,3:14.0,,D. Fox misses 2-pt jump shot from 9 ft,122,114
4,3:12.0,Defensive rebound by G. Antetokounmpo,,122,114
4,3:02.0,K. Middleton misses 2-pt jump shot from 13 ft,,122,114
4,2:59.0,,Defensive rebound by D. Fox,122,114
4,2:54.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),122,117
4,2:26.0,K. Middleton misses 3-pt jump shot from 24 ft,,122,117
4,2:24.0,,Defensive rebound by D. Fox,122,117
4,2:17.0,,D. Fox makes 2-pt layup from 3 ft,122,119
4,1:53.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,124,119
4,1:44.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Fox),124,122
4,1:22.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,124,122
4,1:18.0,,Defensive rebound by B. Bogdanović,124,122
4,1:00.0,,B. Bogdanović makes 2-pt jump shot from 4 ft,124,124
4,0:46.0,Personal foul by B. Bogdanović (drawn by G. Antetokounmpo),,124,124
4,0:46.0,Milwaukee full timeout,,124,124
4,0:35.0,Turnover by K. Middleton (bad pass; steal by H. Barnes),,124,124
4,0:29.0,,D. Fox misses 2-pt layup from 3 ft (block by B. Lopez),124,124
4,0:29.0,,Offensive rebound by W. Cauley-Stein,124,124
4,0:28.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,124,126
4,0:11.0,E. Bledsoe makes 2-pt layup from 5 ft,,126,126
4,0:11.0,,Sacramento full timeout,126,126
4,0:00.0,,Turnover by D. Fox (lost ball; steal by E. Bledsoe),126,126
1OT,4:36.0,E. Bledsoe makes 3-pt jump shot from 25 ft (assist by K. Middleton),,129,126
1OT,4:13.0,,B. Hield misses 2-pt jump shot from 11 ft,129,126
1OT,4:10.0,Defensive rebound by N. Mirotić,,129,126
1OT,3:47.0,B. Lopez misses 2-pt jump shot from 20 ft,,129,126
1OT,3:44.0,,Defensive rebound by D. Fox,129,126
1OT,3:38.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,129,126
1OT,3:34.0,Defensive rebound by N. Mirotić,,129,126
1OT,3:22.0,B. Lopez misses 2-pt hook shot from 6 ft,,129,126
1OT,3:19.0,,Defensive rebound by H. Barnes,129,126
1OT,3:11.0,,Personal foul by B. Lopez (drawn by B. Hield),129,126
1OT,3:07.0,Violation by Team (kicked ball),,129,126
1OT,2:57.0,,B. Hield misses 2-pt layup from 3 ft (block by B. Lopez),129,126
1OT,2:53.0,Defensive rebound by K. Middleton,,129,126
1OT,2:52.0,N. Mirotić makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,132,126
1OT,2:52.0,,Sacramento full timeout,132,126
1OT,2:36.0,,B. Bogdanović makes 2-pt jump shot from 9 ft,132,128
1OT,2:23.0,E. Bledsoe makes 2-pt layup from 2 ft,,134,128
1OT,2:07.0,,B. Hield makes 2-pt jump shot from 18 ft,134,130
1OT,1:51.0,N. Mirotić misses 3-pt jump shot from 27 ft,,134,130
1OT,1:48.0,,Defensive rebound by H. Barnes,134,130
1OT,1:40.0,,B. Hield misses 2-pt jump shot from 15 ft,134,130
1OT,1:35.0,Defensive rebound by B. Lopez,,134,130
1OT,1:24.0,E. Bledsoe misses 2-pt jump shot from 4 ft,,134,130
1OT,1:22.0,,Defensive rebound by B. Bogdanović,134,130
1OT,1:21.0,,B. Hield misses 3-pt jump shot from 24 ft,134,130
1OT,1:21.0,,Offensive rebound by Team,134,130
1OT,1:20.0,Loose ball foul by K. Middleton (drawn by B. Bogdanović),,134,130
1OT,1:20.0,P. Connaughton enters the game for K. Middleton,,134,130
1OT,1:12.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Fox),134,133
1OT,0:55.0,M. Brogdon misses 3-pt jump shot from 26 ft,,134,133
1OT,0:51.0,,Defensive rebound by B. Bogdanović,134,133
1OT,0:43.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by B. Lopez),134,133
1OT,0:43.0,,Offensive rebound by Team,134,133
1OT,0:40.0,,Turnover by W. Cauley-Stein (bad pass),134,133
1OT,0:40.0,Milwaukee full timeout,,134,133
1OT,0:16.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by P. Connaughton),,137,133
1OT,0:11.0,,Shooting foul by P. Connaughton (drawn by B. Bogdanović),137,133
1OT,0:11.0,,B. Bogdanović misses free throw 1 of 3,137,133
1OT,0:11.0,,Offensive rebound by Team,137,133
1OT,0:11.0,,B. Bogdanović makes free throw 2 of 3,137,134
1OT,0:11.0,G. Antetokounmpo enters the game for P. Connaughton,,137,134
1OT,0:11.0,,B. Bogdanović makes free throw 3 of 3,137,135
1OT,0:11.0,Personal take foul by H. Barnes (drawn by M. Brogdon),,137,135
1OT,0:09.0,Personal take foul by B. Bogdanović (drawn by N. Mirotić),,137,135
1OT,0:09.0,N. Mirotić makes free throw 1 of 2,,138,135
1OT,0:09.0,P. Connaughton enters the game for G. Antetokounmpo,,138,135
1OT,0:09.0,,H. Giles enters the game for D. Fox,138,135
1OT,0:09.0,N. Mirotić makes free throw 2 of 2,,139,135
1OT,0:09.0,,Sacramento full timeout,139,135
1OT,0:09.0,,D. Fox enters the game for H. Giles,139,135
1OT,0:06.0,,B. Hield misses 3-pt jump shot from 25 ft,139,135
1OT,0:04.0,,Offensive rebound by B. Hield,139,135
1OT,0:04.0,,B. Hield makes 2-pt layup from 3 ft,139,137
1OT,0:04.0,Milwaukee full timeout,,139,137
1OT,0:04.0,G. Antetokounmpo enters the game for P. Connaughton,,139,137
1OT,0:03.0,Personal take foul by H. Barnes (drawn by M. Brogdon),,139,137
1OT,0:03.0,M. Brogdon makes free throw 1 of 2,,140,137
1OT,0:03.0,P. Connaughton enters the game for N. Mirotić,,140,137
1OT,0:03.0,M. Brogdon makes free throw 2 of 2,,141,137
1OT,0:00.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),141,140
