QUARTER,TIME_REMAINING,INDIANA_ACTION,ATLANTA_ACTION,INDIANA_SCORE,ATLANTA_SCORE
1,11:40.0,D. Collison makes 2-pt jump shot from 14 ft (assist by K. O'Quinn),,2,0
1,11:29.0,,A. Len misses 3-pt jump shot from 26 ft,2,0
1,11:25.0,Defensive rebound by T. Leaf,,2,0
1,11:13.0,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Collison),,5,0
1,11:00.0,,T. Prince makes 2-pt layup from 1 ft (assist by T. Young),5,2
1,10:42.0,D. McDermott misses 2-pt layup from 1 ft,,5,2
1,10:39.0,,Defensive rebound by J. Collins,5,2
1,10:36.0,,T. Young misses 3-pt jump shot from 29 ft,5,2
1,10:32.0,Defensive rebound by T. Evans,,5,2
1,10:22.0,K. O'Quinn misses 2-pt jump shot from 17 ft,,5,2
1,10:19.0,,Defensive rebound by J. Collins,5,2
1,10:10.0,,T. Prince misses 2-pt jump shot from 18 ft,5,2
1,10:03.0,Defensive rebound by K. O'Quinn,,5,2
1,9:58.0,T. Evans makes 3-pt jump shot from 25 ft,,8,2
1,9:46.0,,Personal foul by D. Collison (drawn by T. Young),8,2
1,9:38.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),8,4
1,9:27.0,T. Leaf misses 3-pt jump shot from 25 ft,,8,4
1,9:23.0,,Defensive rebound by T. Prince,8,4
1,9:16.0,,T. Prince misses 2-pt jump shot from 14 ft,8,4
1,9:13.0,Defensive rebound by K. O'Quinn,,8,4
1,8:58.0,K. O'Quinn makes 2-pt layup from 1 ft (assist by D. Collison),,10,4
1,8:45.0,,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Prince),10,7
1,8:35.0,Shooting foul by T. Prince (drawn by T. Evans),,10,7
1,8:35.0,T. Evans makes free throw 1 of 2,,11,7
1,8:35.0,T. Evans makes free throw 2 of 2,,12,7
1,8:30.0,,Personal foul by T. Evans (drawn by T. Young),12,7
1,8:21.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by K. Huerter),12,10
1,8:08.0,T. Leaf misses 2-pt layup from 1 ft (block by J. Collins),,12,10
1,8:05.0,,Defensive rebound by T. Young,12,10
1,7:54.0,,A. Len misses 2-pt jump shot from 12 ft,12,10
1,7:50.0,,Offensive rebound by A. Len,12,10
1,7:47.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Collins),12,12
1,7:28.0,D. McDermott misses 2-pt jump shot from 17 ft,,12,12
1,7:25.0,Offensive rebound by T. Leaf,,12,12
1,7:21.0,Turnover by T. Evans (bad pass; steal by K. Huerter),,12,12
1,7:18.0,,Turnover by K. Huerter (bad pass),12,12
1,7:07.0,D. Collison misses 2-pt jump shot from 18 ft,,12,12
1,7:03.0,,Defensive rebound by J. Collins,12,12
1,6:55.0,,J. Collins misses 2-pt dunk at rim,12,12
1,6:52.0,Defensive rebound by T. Evans,,12,12
1,6:50.0,T. Evans makes 2-pt layup at rim,,14,12
