QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
3,9:49.0,B. Adebayo makes 2-pt hook shot from 5 ft,,69,53
3,9:33.0,,B. Forbes misses 3-pt jump shot from 25 ft,69,53
3,9:29.0,Defensive rebound by B. Adebayo,,69,53
3,9:21.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by J. Richardson),,71,53
3,9:20.0,,San Antonio full timeout,71,53
3,9:02.0,,D. White misses 2-pt layup from 3 ft,71,53
3,8:59.0,Defensive rebound by B. Adebayo,,71,53
3,8:45.0,J. Richardson misses 3-pt jump shot from 27 ft,,71,53
3,8:42.0,,Defensive rebound by R. Gay,71,53
3,8:32.0,,Turnover by L. Aldridge (lost ball; steal by B. Adebayo),71,53
3,8:24.0,Turnover by B. Adebayo (out of bounds lost ball),,71,53
3,8:24.0,,M. Belinelli enters the game for L. Aldridge,71,53
3,8:24.0,,D. Bertāns enters the game for B. Forbes,71,53
3,8:24.0,,P. Mills enters the game for R. Gay,71,53
3,8:24.0,,J. Poeltl enters the game for D. White,71,53
3,8:03.0,,D. Bertāns makes 3-pt jump shot from 26 ft (assist by D. DeRozan),71,56
3,7:42.0,J. Richardson makes 2-pt dunk from 1 ft (assist by B. Adebayo),,73,56
3,7:30.0,,P. Mills misses 3-pt jump shot from 25 ft (block by D. Jones),73,56
3,7:30.0,Defensive rebound by D. Waiters,,73,56
3,7:09.0,D. Waiters misses 2-pt jump shot from 18 ft,,73,56
3,7:05.0,,Defensive rebound by D. DeRozan,73,56
3,6:49.0,,P. Mills misses 3-pt jump shot from 26 ft,73,56
3,6:45.0,Defensive rebound by B. Adebayo,,73,56
3,6:41.0,Turnover by D. Waiters (bad pass),,73,56
3,6:24.0,,M. Belinelli misses 3-pt jump shot from 27 ft (block by D. Jones),73,56
3,6:19.0,,Offensive rebound by J. Poeltl,73,56
3,6:15.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by J. Poeltl),73,59
3,6:03.0,J. Richardson makes 2-pt jump shot from 14 ft,,75,59
3,5:53.0,,Turnover by M. Belinelli (bad pass; steal by J. Richardson),75,59
3,5:52.0,J. Richardson makes 2-pt layup from 2 ft,,77,59
3,5:52.0,,San Antonio full timeout,77,59
3,5:40.0,,Personal foul by K. Olynyk (drawn by J. Poeltl),77,59
3,5:36.0,,D. Bertāns misses 2-pt jump shot from 12 ft,77,59
3,5:30.0,,Offensive rebound by J. Poeltl,77,59
3,5:30.0,,J. Poeltl makes 2-pt layup at rim,77,61
3,5:18.0,J. Richardson misses 3-pt jump shot from 25 ft,,77,61
3,5:12.0,,Defensive rebound by J. Poeltl,77,61
3,5:12.0,,Turnover by J. Poeltl (bad pass; steal by B. Adebayo),77,61
3,5:02.0,D. Waiters makes 2-pt layup from 2 ft,,79,61
3,4:51.0,,M. Belinelli misses 2-pt jump shot from 12 ft,79,61
3,4:51.0,Defensive rebound by B. Adebayo,,79,61
3,4:32.0,D. Jones misses 3-pt jump shot from 23 ft,,79,61
3,4:28.0,,Defensive rebound by D. DeRozan,79,61
3,4:26.0,,Shooting foul by K. Olynyk (drawn by M. Belinelli),79,61
3,4:26.0,,M. Belinelli makes free throw 1 of 3,79,62
3,4:26.0,,M. Belinelli makes free throw 2 of 3,79,63
3,4:26.0,D. Wade enters the game for J. Richardson,,79,63
3,4:26.0,,L. Aldridge enters the game for J. Poeltl,79,63
3,4:26.0,,M. Belinelli makes free throw 3 of 3,79,64
3,4:11.0,D. Wade misses 2-pt jump shot from 16 ft,,79,64
3,4:07.0,,Defensive rebound by D. DeRozan,79,64
3,3:56.0,,D. Bertāns misses 3-pt jump shot from 27 ft,79,64
3,3:54.0,Defensive rebound by K. Olynyk,,79,64
3,3:40.0,K. Olynyk makes 2-pt hook shot from 3 ft (assist by B. Adebayo),,81,64
3,3:31.0,,D. DeRozan makes 2-pt jump shot from 8 ft,81,66
3,3:31.0,Miami full timeout,,81,66
3,3:31.0,G. Dragić enters the game for D. Jones,,81,66
3,3:31.0,J. Johnson enters the game for K. Olynyk,,81,66
3,3:18.0,D. Wade misses 2-pt layup from 3 ft,,81,66
3,3:18.0,Offensive rebound by Team,,81,66
3,3:18.0,,Loose ball foul by D. Bertāns (drawn by B. Adebayo),81,66
3,3:18.0,H. Whiteside enters the game for B. Adebayo,,81,66
3,3:07.0,D. Wade misses 3-pt jump shot from 24 ft,,81,66
3,3:04.0,,Defensive rebound by D. DeRozan,81,66
3,2:53.0,,D. DeRozan makes 2-pt jump shot from 3 ft,81,68
3,2:33.0,D. Waiters makes 3-pt jump shot from 25 ft,,84,68
3,2:10.0,,Personal foul by J. Johnson (drawn by M. Belinelli),84,68
3,2:10.0,J. Richardson enters the game for D. Waiters,,84,68
3,2:10.0,,B. Forbes enters the game for D. DeRozan,84,68
3,1:59.0,,M. Belinelli makes 2-pt layup from 3 ft (assist by D. Bertāns),84,70
3,1:42.0,J. Johnson makes 3-pt jump shot from 27 ft (assist by G. Dragić),,87,70
3,1:31.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by B. Forbes),87,73
3,1:05.0,J. Richardson misses 2-pt jump shot from 18 ft,,87,73
3,1:02.0,,Defensive rebound by P. Mills,87,73
3,0:57.0,,M. Belinelli makes 2-pt jump shot from 20 ft (assist by P. Mills),87,75
3,0:43.0,G. Dragić misses 3-pt jump shot from 27 ft,,87,75
3,0:40.0,,Defensive rebound by Team,87,75
3,0:38.0,,D. Bertāns misses 3-pt jump shot from 27 ft,87,75
3,0:34.0,Defensive rebound by G. Dragić,,87,75
3,0:24.0,Offensive foul by D. Wade (drawn by P. Mills),,87,75
3,0:24.0,Turnover by D. Wade (offensive foul),,87,75
3,0:24.0,,D. DeRozan enters the game for L. Aldridge,87,75
3,0:04.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Mills),87,78
3,0:00.0,D. Wade makes 3-pt jump shot from 50 ft (assist by H. Whiteside),,90,78
4,11:36.0,J. Johnson misses 3-pt jump shot from 26 ft,,90,78
4,11:31.0,,Defensive rebound by L. Aldridge,90,78
4,11:24.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by L. Aldridge),90,81
4,11:08.0,J. Johnson makes 2-pt layup from 3 ft (assist by J. Richardson),,92,81
4,11:02.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by P. Mills),92,83
4,10:39.0,H. Whiteside misses 2-pt hook shot from 8 ft,,92,83
4,10:35.0,,Defensive rebound by M. Belinelli,92,83
4,10:31.0,,M. Belinelli misses 3-pt jump shot from 26 ft,92,83
4,10:28.0,Defensive rebound by D. Wade,,92,83
4,10:19.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,94,83
4,10:03.0,,M. Belinelli misses 2-pt jump shot from 17 ft,94,83
4,9:59.0,Defensive rebound by H. Whiteside,,94,83
4,9:53.0,D. Wade misses 2-pt jump shot from 12 ft,,94,83
4,9:50.0,Offensive rebound by H. Whiteside,,94,83
4,9:50.0,H. Whiteside makes 2-pt layup from 1 ft,,96,83
4,9:50.0,,San Antonio full timeout,96,83
4,9:50.0,,R. Gay enters the game for D. Bertāns,96,83
4,9:37.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by R. Gay),96,86
4,9:19.0,D. Wade makes 2-pt jump shot from 11 ft,,98,86
4,9:10.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by R. Gay),98,89
4,8:52.0,H. Whiteside makes 2-pt layup from 2 ft (assist by J. Johnson),,100,89
4,8:35.0,,L. Aldridge makes 2-pt layup from 2 ft (assist by R. Gay),100,91
4,8:12.0,D. Wade misses 2-pt jump shot from 15 ft,,100,91
4,8:09.0,,Defensive rebound by R. Gay,100,91
4,8:02.0,,Personal foul by G. Dragić (drawn by M. Belinelli),100,91
4,7:53.0,,Shooting foul by H. Whiteside (drawn by L. Aldridge),100,91
4,7:53.0,,L. Aldridge makes free throw 1 of 2,100,92
4,7:53.0,,D. DeRozan enters the game for M. Belinelli,100,92
4,7:53.0,,D. White enters the game for P. Mills,100,92
4,7:53.0,,L. Aldridge makes free throw 2 of 2,100,93
4,7:32.0,G. Dragić misses 3-pt jump shot from 27 ft,,100,93
4,7:28.0,,Defensive rebound by D. DeRozan,100,93
4,7:20.0,,Personal foul by D. Wade (drawn by R. Gay),100,93
4,7:07.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by R. Gay),100,95
4,7:06.0,Miami full timeout,,100,95
4,7:06.0,B. Adebayo enters the game for G. Dragić,,100,95
4,7:06.0,D. Jones enters the game for D. Wade,,100,95
4,7:06.0,D. Waiters enters the game for H. Whiteside,,100,95
4,6:41.0,D. Jones misses 2-pt layup from 4 ft,,100,95
4,6:37.0,,Defensive rebound by D. DeRozan,100,95
4,6:31.0,,D. DeRozan misses 2-pt jump shot from 10 ft,100,95
4,6:28.0,,Offensive rebound by R. Gay,100,95
4,6:22.0,,L. Aldridge misses 2-pt jump shot from 11 ft,100,95
4,6:19.0,Defensive rebound by D. Jones,,100,95
4,6:04.0,D. Waiters misses 3-pt jump shot from 25 ft,,100,95
4,6:04.0,,Defensive rebound by D. White,100,95
4,5:50.0,,B. Forbes misses 2-pt layup from 2 ft,100,95
4,5:46.0,Defensive rebound by D. Waiters,,100,95
4,5:31.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,103,95
4,5:13.0,,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. DeRozan),103,98
4,4:46.0,J. Richardson misses 2-pt jump shot from 10 ft (block by R. Gay),,103,98
4,4:42.0,,Defensive rebound by D. DeRozan,103,98
4,4:37.0,,D. White misses 2-pt layup from 4 ft (block by J. Richardson),103,98
4,4:37.0,Defensive rebound by D. Jones,,103,98
4,4:26.0,J. Richardson misses 2-pt jump shot from 9 ft,,103,98
4,4:22.0,,Defensive rebound by D. DeRozan,103,98
4,4:13.0,,Turnover by D. DeRozan (lost ball; steal by J. Johnson),103,98
4,4:12.0,,Technical foul by D. DeRozan,103,98
4,4:12.0,Miami full timeout,,103,98
4,4:12.0,G. Dragić enters the game for D. Jones,,103,98
4,4:12.0,,P. Mills enters the game for D. White,103,98
4,4:12.0,J. Richardson makes technical free throw,,104,98
4,4:02.0,G. Dragić misses 2-pt jump shot from 10 ft,,104,98
4,3:57.0,,Defensive rebound by R. Gay,104,98
4,3:51.0,,D. DeRozan misses 2-pt jump shot from 11 ft,104,98
4,3:48.0,,Offensive rebound by R. Gay,104,98
4,3:35.0,,R. Gay makes 2-pt layup from 4 ft (assist by B. Forbes),104,100
4,3:18.0,G. Dragić misses 2-pt jump shot from 5 ft,,104,100
4,3:15.0,Offensive rebound by G. Dragić,,104,100
4,3:14.0,G. Dragić makes 2-pt layup from 3 ft,,106,100
4,2:56.0,,R. Gay misses 2-pt jump shot from 4 ft,106,100
4,2:56.0,Defensive rebound by J. Johnson,,106,100
4,2:36.0,J. Johnson misses 3-pt jump shot from 24 ft,,106,100
4,2:34.0,,Defensive rebound by R. Gay,106,100
