QUARTER,TIME_REMAINING,MIAMI_ACTION,SAN ANTONIO_ACTION,MIAMI_SCORE,SAN ANTONIO_SCORE
1,11:47.0,J. Richardson misses 3-pt jump shot from 26 ft,,0,0
1,11:42.0,,Defensive rebound by D. DeRozan,0,0
1,11:32.0,,D. White misses 2-pt jump shot from 8 ft,0,0
1,11:28.0,Defensive rebound by J. Richardson,,0,0
1,11:15.0,D. Jones misses 3-pt jump shot from 25 ft,,0,0
1,11:11.0,Offensive rebound by B. Adebayo,,0,0
1,11:04.0,J. Richardson misses 2-pt jump shot from 19 ft,,0,0
1,11:00.0,,Defensive rebound by J. Poeltl,0,0
1,10:48.0,,B. Forbes misses 2-pt jump shot from 10 ft,0,0
1,10:46.0,Defensive rebound by D. Jones,,0,0
1,10:33.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,3,0
1,10:22.0,,Personal foul by D. Waiters (drawn by D. DeRozan),3,0
1,10:15.0,,D. DeRozan makes 2-pt jump shot from 11 ft,3,2
1,9:58.0,K. Olynyk misses 3-pt jump shot from 25 ft,,3,2
1,9:56.0,Offensive rebound by B. Adebayo,,3,2
1,9:48.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,6,2
1,9:28.0,,L. Aldridge misses 2-pt jump shot from 10 ft,6,2
1,9:24.0,Defensive rebound by B. Adebayo,,6,2
1,9:17.0,Turnover by D. Waiters (bad pass; steal by D. DeRozan),,6,2
1,9:11.0,,D. DeRozan misses 2-pt layup from 4 ft,6,2
1,9:06.0,Defensive rebound by K. Olynyk,,6,2
1,9:00.0,D. Jones makes 3-pt jump shot from 22 ft (assist by J. Richardson),,9,2
1,8:48.0,,J. Poeltl misses 2-pt hook shot from 5 ft,9,2
1,8:48.0,,Offensive rebound by J. Poeltl,9,2
1,8:41.0,,J. Poeltl misses 2-pt layup from 1 ft,9,2
1,8:40.0,Defensive rebound by B. Adebayo,,9,2
1,8:40.0,Offensive foul by J. Richardson (drawn by D. White),,9,2
1,8:40.0,Turnover by J. Richardson (offensive foul),,9,2
1,8:18.0,,D. White misses 2-pt layup from 2 ft,9,2
1,8:15.0,Defensive rebound by B. Adebayo,,9,2
1,8:12.0,B. Adebayo makes 2-pt layup from 6 ft,,11,2
1,7:57.0,,B. Forbes misses 2-pt jump shot from 19 ft,11,2
1,7:57.0,Defensive rebound by D. Waiters,,11,2
1,7:39.0,K. Olynyk misses 2-pt jump shot from 15 ft,,11,2
1,7:37.0,,Defensive rebound by D. DeRozan,11,2
1,7:25.0,,D. White misses 3-pt jump shot from 25 ft,11,2
1,7:20.0,Defensive rebound by B. Adebayo,,11,2
1,7:16.0,D. Jones misses 2-pt layup from 7 ft,,11,2
1,7:11.0,,Defensive rebound by J. Poeltl,11,2
1,7:03.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. White),11,4
1,6:51.0,Personal foul by D. White (drawn by J. Richardson),,11,4
1,6:51.0,,San Antonio full timeout,11,4
1,6:51.0,,R. Gay enters the game for J. Poeltl,11,4
1,6:44.0,Turnover by D. Waiters (bad pass; steal by D. White),,11,4
1,6:33.0,,R. Gay misses 3-pt jump shot from 26 ft,11,4
1,6:29.0,Defensive rebound by J. Richardson,,11,4
1,6:16.0,B. Adebayo misses 2-pt layup from 6 ft (block by L. Aldridge),,11,4
1,6:12.0,,Defensive rebound by L. Aldridge,11,4
1,5:58.0,,R. Gay misses 2-pt jump shot from 17 ft,11,4
1,5:54.0,Defensive rebound by B. Adebayo,,11,4
1,5:48.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,14,4
1,5:30.0,,B. Forbes misses 3-pt jump shot from 27 ft,14,4
1,5:25.0,Defensive rebound by B. Adebayo,,14,4
1,5:18.0,J. Richardson misses 2-pt jump shot from 19 ft,,14,4
1,5:15.0,,Defensive rebound by D. DeRozan,14,4
1,5:10.0,,D. DeRozan misses 2-pt layup from 2 ft,14,4
1,5:02.0,,L. Aldridge makes 2-pt layup from 1 ft,14,6
1,5:02.0,,Offensive rebound by L. Aldridge,14,6
1,4:45.0,D. Waiters makes 2-pt jump shot from 17 ft (assist by K. Olynyk),,16,6
1,4:25.0,,L. Aldridge makes 2-pt layup from 1 ft (assist by D. DeRozan),16,8
1,4:17.0,K. Olynyk misses 2-pt jump shot from 17 ft,,16,8
1,4:12.0,,Defensive rebound by D. DeRozan,16,8
1,4:02.0,,D. White misses 2-pt layup from 4 ft (block by J. Richardson),16,8
1,3:58.0,Defensive rebound by D. Waiters,,16,8
1,3:56.0,Miami full timeout,,16,8
1,3:56.0,G. Dragić enters the game for B. Adebayo,,16,8
1,3:56.0,D. Wade enters the game for J. Richardson,,16,8
1,3:56.0,H. Whiteside enters the game for D. Waiters,,16,8
1,3:56.0,,M. Belinelli enters the game for D. DeRozan,16,8
1,3:56.0,,D. Bertāns enters the game for B. Forbes,16,8
1,3:56.0,,P. Mills enters the game for D. White,16,8
1,3:49.0,Personal foul by D. Bertāns (drawn by H. Whiteside),,16,8
1,3:36.0,Shooting foul by L. Aldridge (drawn by K. Olynyk),,16,8
1,3:36.0,K. Olynyk misses free throw 1 of 2,,16,8
1,3:36.0,Offensive rebound by Team,,16,8
1,3:36.0,K. Olynyk makes free throw 2 of 2,,17,8
1,3:22.0,,P. Mills makes 2-pt layup from 2 ft,17,10
1,3:06.0,D. Wade makes 2-pt layup from 3 ft,,19,10
1,2:59.0,,R. Gay makes 2-pt dunk from 2 ft (assist by P. Mills),19,12
1,2:44.0,H. Whiteside misses 2-pt jump shot from 10 ft,,19,12
1,2:44.0,Offensive rebound by K. Olynyk,,19,12
1,2:32.0,G. Dragić makes 2-pt jump shot from 11 ft,,21,12
1,2:16.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by P. Mills),21,15
1,1:53.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,24,15
1,1:39.0,,P. Mills misses 2-pt layup from 3 ft,24,15
1,1:39.0,,Offensive rebound by L. Aldridge,24,15
1,1:32.0,,L. Aldridge makes 2-pt layup from 1 ft,24,17
1,1:29.0,D. Jones misses 2-pt layup from 3 ft,,24,17
1,1:27.0,,Defensive rebound by L. Aldridge,24,17
1,1:27.0,,Personal take foul by K. Olynyk (drawn by R. Gay),24,17
1,1:27.0,J. Johnson enters the game for D. Jones,,24,17
1,1:27.0,J. Richardson enters the game for K. Olynyk,,24,17
1,1:27.0,,J. Poeltl enters the game for L. Aldridge,24,17
1,1:09.0,,P. Mills misses 3-pt jump shot from 24 ft,24,17
1,1:07.0,,Offensive rebound by J. Poeltl,24,17
1,1:07.0,,Shooting foul by H. Whiteside (drawn by J. Poeltl),24,17
1,1:07.0,,J. Poeltl misses free throw 1 of 2,24,17
1,1:07.0,,Offensive rebound by Team,24,17
1,1:07.0,,J. Poeltl misses free throw 2 of 2,24,17
1,1:04.0,Defensive rebound by H. Whiteside,,24,17
1,0:53.0,G. Dragić misses 3-pt jump shot from 25 ft,,24,17
1,0:50.0,,Defensive rebound by J. Poeltl,24,17
1,0:45.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by P. Mills),24,19
1,0:39.0,D. Wade misses 2-pt jump shot from 18 ft,,24,19
1,0:39.0,,Defensive rebound by R. Gay,24,19
1,0:34.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by R. Gay),24,22
1,0:19.0,Turnover by G. Dragić (bad pass),,24,22
1,0:03.0,,M. Belinelli misses 3-pt jump shot from 25 ft,24,22
1,0:03.0,Defensive rebound by H. Whiteside,,24,22
1,0:00.0,J. Richardson misses 3-pt jump shot from 41 ft,,24,22
1,0:00.0,Offensive rebound by Team,,24,22
2,11:45.0,,Turnover by D. Bertāns (out of bounds lost ball),24,22
2,11:30.0,Shooting foul by M. Belinelli (drawn by H. Whiteside),,24,22
2,11:30.0,H. Whiteside makes free throw 1 of 2,,25,22
2,11:30.0,H. Whiteside makes free throw 2 of 2,,26,22
2,11:13.0,,R. Gay makes 2-pt jump shot from 18 ft (assist by J. Poeltl),26,24
2,10:58.0,Turnover by D. Wade (bad pass),,26,24
2,10:53.0,,P. Mills misses 2-pt jump shot from 11 ft,26,24
2,10:50.0,,Offensive rebound by P. Mills,26,24
2,10:50.0,,Personal foul by J. Johnson (drawn by P. Mills),26,24
2,10:46.0,,M. Belinelli misses 2-pt jump shot from 17 ft,26,24
2,10:43.0,Defensive rebound by H. Whiteside,,26,24
2,10:35.0,D. Wade misses 2-pt jump shot from 15 ft,,26,24
2,10:31.0,,Defensive rebound by D. Bertāns,26,24
2,10:29.0,,Personal foul by H. Whiteside (drawn by P. Mills),26,24
2,10:21.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by R. Gay),26,27
2,10:07.0,G. Dragić makes 2-pt jump shot from 14 ft,,28,27
2,9:54.0,,D. Bertāns makes 3-pt jump shot from 27 ft (assist by M. Belinelli),28,30
2,9:43.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Johnson),,31,30
2,9:26.0,,P. Mills misses 2-pt layup from 3 ft,31,30
2,9:26.0,Defensive rebound by H. Whiteside,,31,30
2,9:11.0,J. Richardson makes 2-pt jump shot from 7 ft (assist by H. Whiteside),,33,30
2,9:08.0,,San Antonio full timeout,33,30
2,9:08.0,,D. DeRozan enters the game for R. Gay,33,30
2,9:08.0,,D. White enters the game for P. Mills,33,30
2,8:48.0,,D. DeRozan misses 2-pt layup from 5 ft (block by H. Whiteside),33,30
2,8:44.0,Defensive rebound by D. Wade,,33,30
2,8:44.0,Shooting foul by D. Bertāns (drawn by H. Whiteside),,33,30
2,8:44.0,H. Whiteside makes free throw 1 of 2,,34,30
2,8:44.0,,L. Aldridge enters the game for D. DeRozan,34,30
2,8:44.0,,R. Gay enters the game for J. Poeltl,34,30
2,8:44.0,H. Whiteside makes free throw 2 of 2,,35,30
2,8:34.0,,Shooting foul by D. Wade (drawn by D. Bertāns),35,30
2,8:34.0,,D. Bertāns makes free throw 1 of 2,35,31
2,8:34.0,,D. Bertāns misses free throw 2 of 2,35,31
2,8:32.0,Defensive rebound by H. Whiteside,,35,31
2,8:23.0,Offensive foul by J. Johnson (drawn by D. White),,35,31
2,8:23.0,Turnover by J. Johnson (offensive foul),,35,31
2,8:23.0,,B. Forbes enters the game for M. Belinelli,35,31
2,8:08.0,,L. Aldridge misses 2-pt jump shot from 15 ft,35,31
2,8:05.0,Defensive rebound by J. Johnson,,35,31
2,7:57.0,D. Wade makes 2-pt layup from 2 ft,,37,31
2,7:48.0,,D. Bertāns misses 3-pt jump shot from 27 ft,37,31
2,7:42.0,Defensive rebound by J. Richardson,,37,31
2,7:34.0,Shooting foul by L. Aldridge (drawn by H. Whiteside),,37,31
2,7:34.0,H. Whiteside makes free throw 1 of 2,,38,31
2,7:34.0,D. Jones enters the game for J. Richardson,,38,31
2,7:34.0,D. Waiters enters the game for D. Wade,,38,31
2,7:34.0,,D. DeRozan enters the game for D. Bertāns,38,31
2,7:34.0,H. Whiteside makes free throw 2 of 2,,39,31
2,7:28.0,,Shooting foul by D. Jones (drawn by R. Gay),39,31
2,7:28.0,,R. Gay misses free throw 1 of 2,39,31
2,7:28.0,,Offensive rebound by Team,39,31
2,7:28.0,,R. Gay makes free throw 2 of 2,39,32
2,7:21.0,G. Dragić makes 3-pt jump shot from 26 ft (assist by J. Johnson),,42,32
2,7:04.0,,D. White misses 3-pt jump shot from 23 ft,42,32
2,7:04.0,Defensive rebound by J. Johnson,,42,32
2,6:56.0,D. Waiters misses 2-pt layup from 3 ft,,42,32
2,6:54.0,,Defensive rebound by D. DeRozan,42,32
2,6:50.0,,R. Gay misses 3-pt jump shot from 27 ft,42,32
2,6:46.0,,Offensive rebound by D. White,42,32
2,6:39.0,,D. White makes 2-pt layup from 3 ft (assist by D. DeRozan),42,34
2,6:39.0,,Shooting foul by G. Dragić (drawn by D. White),42,34
2,6:39.0,,D. White makes free throw 1 of 1,42,35
2,6:30.0,G. Dragić makes 3-pt jump shot from 27 ft (assist by J. Johnson),,45,35
2,6:26.0,,San Antonio full timeout,45,35
2,6:07.0,,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. White),45,37
2,5:47.0,D. Jones misses 3-pt jump shot from 23 ft,,45,37
2,5:42.0,Offensive rebound by Team,,45,37
2,5:32.0,H. Whiteside misses 2-pt jump shot from 18 ft,,45,37
2,5:28.0,,Defensive rebound by L. Aldridge,45,37
2,5:17.0,,B. Forbes makes 2-pt jump shot from 2 ft (assist by R. Gay),45,39
2,5:09.0,Shooting foul by D. White (drawn by G. Dragić),,45,39
2,5:09.0,G. Dragić misses free throw 1 of 3,,45,39
2,5:09.0,Offensive rebound by Team,,45,39
2,5:09.0,G. Dragić makes free throw 2 of 3,,46,39
2,5:09.0,B. Adebayo enters the game for H. Whiteside,,46,39
2,5:09.0,,P. Mills enters the game for D. White,46,39
2,5:09.0,G. Dragić makes free throw 3 of 3,,47,39
2,4:56.0,,P. Mills misses 3-pt jump shot from 26 ft,47,39
2,4:53.0,Defensive rebound by B. Adebayo,,47,39
2,4:45.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,50,39
2,4:23.0,,R. Gay misses 2-pt jump shot from 10 ft,50,39
2,4:21.0,Defensive rebound by J. Johnson,,50,39
2,4:11.0,G. Dragić makes 2-pt layup from 2 ft (assist by D. Waiters),,52,39
2,3:50.0,,L. Aldridge misses 2-pt jump shot from 13 ft,52,39
2,3:47.0,Defensive rebound by J. Johnson,,52,39
2,3:45.0,Violation by Team (kicked ball),,52,39
2,3:45.0,J. Richardson enters the game for G. Dragić,,52,39
2,3:34.0,,Personal foul by B. Adebayo (drawn by L. Aldridge),52,39
2,3:34.0,,L. Aldridge makes free throw 1 of 2,52,40
2,3:34.0,,L. Aldridge makes free throw 2 of 2,52,41
2,3:24.0,D. Waiters misses 3-pt jump shot from 28 ft,,52,41
2,3:21.0,,Defensive rebound by D. DeRozan,52,41
2,3:13.0,,Shooting foul by D. Jones (drawn by D. DeRozan),52,41
2,3:13.0,,D. DeRozan makes free throw 1 of 2,52,42
2,3:13.0,,D. DeRozan misses free throw 2 of 2,52,42
2,3:12.0,Defensive rebound by B. Adebayo,,52,42
2,3:10.0,Miami full timeout,,52,42
2,3:10.0,,D. Bertāns enters the game for B. Forbes,52,42
2,2:57.0,J. Johnson misses 2-pt layup from 4 ft,,52,42
2,2:53.0,,Defensive rebound by L. Aldridge,52,42
2,2:46.0,,R. Gay misses 2-pt layup from 4 ft,52,42
2,2:44.0,Defensive rebound by J. Richardson,,52,42
2,2:41.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by J. Richardson),,55,42
2,2:23.0,,D. Bertāns misses 3-pt jump shot from 28 ft,55,42
2,2:23.0,Defensive rebound by B. Adebayo,,55,42
2,2:08.0,Personal foul by R. Gay (drawn by D. Waiters),,55,42
2,2:08.0,D. Waiters misses free throw 1 of 2,,55,42
2,2:08.0,Offensive rebound by Team,,55,42
2,2:08.0,D. Waiters misses free throw 2 of 2,,55,42
2,2:05.0,,Defensive rebound by R. Gay,55,42
2,1:49.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by D. DeRozan),55,45
2,1:26.0,J. Richardson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,58,45
2,1:05.0,,Turnover by L. Aldridge (lost ball; steal by J. Johnson),58,45
2,1:01.0,J. Johnson makes 2-pt dunk from 1 ft,,60,45
2,0:35.0,,D. DeRozan misses 3-pt jump shot from 28 ft,60,45
2,0:31.0,Defensive rebound by D. Waiters,,60,45
2,0:14.0,D. Waiters makes 2-pt jump shot from 22 ft,,62,45
2,0:04.0,,D. DeRozan makes 2-pt jump shot from 13 ft,62,47
2,0:00.0,D. Waiters misses 3-pt jump shot from 35 ft,,62,47
2,0:00.0,Offensive rebound by Team,,62,47
3,11:36.0,,R. Gay makes 3-pt jump shot from 24 ft (assist by D. White),62,50
3,11:23.0,Personal foul by B. Forbes (drawn by D. Jones),,62,50
3,11:11.0,Shooting foul by L. Aldridge (drawn by D. Jones),,62,50
3,11:11.0,D. Jones makes free throw 1 of 2,,63,50
3,11:11.0,D. Jones makes free throw 2 of 2,,64,50
3,10:56.0,,D. DeRozan makes 2-pt jump shot from 16 ft (assist by D. White),64,52
3,10:35.0,D. Waiters misses 3-pt jump shot from 28 ft,,64,52
3,10:31.0,Offensive rebound by K. Olynyk,,64,52
3,10:18.0,D. Waiters makes 3-pt jump shot from 26 ft,,67,52
3,10:08.0,,Shooting foul by J. Richardson (drawn by D. DeRozan),67,52
3,10:08.0,,D. DeRozan misses free throw 1 of 2,67,52
3,10:08.0,,Offensive rebound by Team,67,52
3,10:08.0,,D. DeRozan makes free throw 2 of 2,67,53
