QUARTER,TIME_REMAINING,ATLANTA_ACTION,MILWAUKEE_ACTION,ATLANTA_SCORE,MILWAUKEE_SCORE
1,11:45.0,,Turnover by B. Lopez (bad pass; steal by T. Young),0,0
1,11:33.0,D. Dedmon misses 3-pt jump shot from 27 ft,,0,0
1,11:30.0,,Defensive rebound by G. Antetokounmpo,0,0
1,11:23.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),0,3
1,11:03.0,K. Huerter makes 2-pt jump shot from 14 ft (assist by D. Dedmon),,2,3
1,10:54.0,,E. Bledsoe makes 2-pt layup from 1 ft,2,5
1,10:43.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,5,5
1,10:33.0,,G. Antetokounmpo misses 2-pt layup from 4 ft,5,5
1,10:30.0,Defensive rebound by D. Hamilton,,5,5
1,10:24.0,Turnover by D. Hamilton (bad pass; steal by K. Middleton),,5,5
1,10:20.0,,M. Brogdon makes 2-pt dunk from 2 ft (assist by G. Antetokounmpo),5,7
1,10:08.0,Offensive foul by D. Dedmon (drawn by M. Brogdon),,5,7
1,10:08.0,Turnover by D. Dedmon (offensive foul),,5,7
1,9:58.0,,B. Lopez misses 3-pt jump shot from 27 ft,5,7
1,9:55.0,Defensive rebound by J. Collins,,5,7
1,9:48.0,T. Young misses 2-pt jump shot from 19 ft,,5,7
1,9:46.0,Offensive rebound by J. Collins,,5,7
1,9:46.0,J. Collins misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,5,7
1,9:44.0,,Defensive rebound by Team,5,7
1,9:32.0,,B. Lopez makes 2-pt layup from 2 ft (assist by K. Middleton),5,9
1,9:20.0,Turnover by D. Dedmon (lost ball; steal by E. Bledsoe),,5,9
1,9:18.0,,Personal take foul by D. Hamilton (drawn by E. Bledsoe),5,9
1,9:13.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),5,11
1,8:56.0,T. Young makes 2-pt jump shot from 12 ft,,7,11
1,8:48.0,,Shooting foul by J. Collins (drawn by G. Antetokounmpo),7,11
1,8:48.0,,G. Antetokounmpo makes free throw 1 of 2,7,12
1,8:48.0,,G. Antetokounmpo makes free throw 2 of 2,7,13
1,8:36.0,T. Young misses 3-pt jump shot from 28 ft,,7,13
1,8:33.0,,Defensive rebound by G. Antetokounmpo,7,13
1,8:27.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,7,15
1,8:18.0,D. Dedmon misses 3-pt jump shot from 28 ft,,7,15
1,8:14.0,,Defensive rebound by G. Antetokounmpo,7,15
1,8:08.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),7,18
1,8:08.0,Atlanta full timeout,,7,18
1,8:08.0,D. Bembry enters the game for D. Dedmon,,7,18
1,8:08.0,A. Len enters the game for D. Hamilton,,7,18
1,7:57.0,Personal foul by E. Bledsoe (drawn by T. Young),,7,18
1,7:51.0,Turnover by A. Len (traveling),,7,18
1,7:32.0,,M. Brogdon misses 3-pt jump shot from 26 ft,7,18
1,7:31.0,,Offensive rebound by E. Bledsoe,7,18
1,7:24.0,,E. Bledsoe makes 2-pt layup from 1 ft,7,20
1,7:13.0,T. Young misses 2-pt jump shot from 20 ft,,7,20
1,7:10.0,,Defensive rebound by G. Antetokounmpo,7,20
1,7:01.0,,G. Antetokounmpo makes 2-pt jump shot from 20 ft,7,22
1,6:44.0,K. Huerter makes 2-pt jump shot from 11 ft,,9,22
1,6:33.0,,M. Brogdon makes 2-pt layup from 2 ft,9,24
1,6:15.0,D. Bembry misses 3-pt jump shot from 24 ft,,9,24
1,6:11.0,,Defensive rebound by G. Antetokounmpo,9,24
1,6:06.0,,B. Lopez misses 3-pt jump shot from 29 ft,9,24
1,6:03.0,Defensive rebound by J. Collins,,9,24
1,5:54.0,Turnover by D. Bembry (bad pass; steal by K. Middleton),,9,24
1,5:50.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by M. Brogdon),9,26
1,5:50.0,J. Anderson enters the game for K. Huerter,,9,26
1,5:50.0,J. Lin enters the game for T. Young,,9,26
1,5:50.0,,P. Connaughton enters the game for G. Antetokounmpo,9,26
1,5:50.0,,D. Wilson enters the game for M. Brogdon,9,26
1,5:31.0,D. Bembry makes 2-pt layup from 1 ft (assist by J. Collins),,11,26
1,5:31.0,Shooting foul by K. Middleton (drawn by D. Bembry),,11,26
1,5:31.0,D. Bembry makes free throw 1 of 1,,12,26
1,5:17.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),12,29
1,5:00.0,J. Anderson misses 2-pt layup from 4 ft,,12,29
1,4:58.0,,Defensive rebound by E. Bledsoe,12,29
1,4:54.0,,E. Bledsoe makes 2-pt layup from 2 ft,12,31
1,4:38.0,J. Lin misses 3-pt jump shot from 29 ft,,12,31
1,4:35.0,,Defensive rebound by E. Bledsoe,12,31
1,4:29.0,,E. Bledsoe misses 3-pt jump shot from 28 ft,12,31
1,4:25.0,Defensive rebound by D. Bembry,,12,31
1,4:21.0,D. Bembry misses 2-pt jump shot from 20 ft,,12,31
1,4:17.0,,Defensive rebound by D. Wilson,12,31
1,4:17.0,V. Carter enters the game for J. Collins,,12,31
1,4:17.0,,G. Hill enters the game for E. Bledsoe,12,31
1,4:17.0,,E. İlyasova enters the game for B. Lopez,12,31
1,4:07.0,,K. Middleton misses 2-pt layup from 3 ft,12,31
1,4:04.0,Defensive rebound by A. Len,,12,31
1,4:04.0,Offensive foul by J. Anderson (drawn by E. İlyasova),,12,31
1,4:04.0,Turnover by J. Anderson (offensive foul),,12,31
1,3:50.0,,E. İlyasova makes 2-pt layup from 3 ft (assist by K. Middleton),12,33
1,3:39.0,Shooting foul by E. İlyasova (drawn by J. Anderson),,12,33
1,3:39.0,J. Anderson misses free throw 1 of 2,,12,33
1,3:39.0,Offensive rebound by Team,,12,33
1,3:39.0,,T. Snell enters the game for K. Middleton,12,33
1,3:39.0,J. Anderson misses free throw 2 of 2,,12,33
1,3:37.0,,Defensive rebound by E. İlyasova,12,33
1,3:23.0,,G. Hill misses 3-pt jump shot from 25 ft,12,33
1,3:23.0,Defensive rebound by Team,,12,33
1,3:23.0,,Loose ball foul by T. Snell (drawn by J. Lin),12,33
1,3:14.0,D. Bembry misses 3-pt jump shot from 24 ft,,12,33
1,3:11.0,,Defensive rebound by D. Wilson,12,33
1,3:05.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by D. Wilson),12,36
1,2:52.0,A. Len misses 2-pt jump shot from 11 ft,,12,36
1,2:50.0,,Defensive rebound by E. İlyasova,12,36
1,2:34.0,,P. Connaughton misses 3-pt jump shot from 28 ft,12,36
1,2:32.0,Defensive rebound by J. Anderson,,12,36
1,2:29.0,Offensive foul by A. Len (drawn by E. İlyasova),,12,36
1,2:29.0,Turnover by A. Len (offensive foul),,12,36
1,2:29.0,,Milwaukee full timeout,12,36
1,2:29.0,D. Dedmon enters the game for J. Anderson,,12,36
1,2:29.0,D. Hamilton enters the game for D. Bembry,,12,36
1,2:29.0,K. Huerter enters the game for A. Len,,12,36
1,2:29.0,T. Young enters the game for J. Lin,,12,36
1,2:11.0,,G. Hill misses 3-pt jump shot from 28 ft,12,36
1,2:10.0,,Offensive rebound by E. İlyasova,12,36
1,2:08.0,,Turnover by E. İlyasova (bad pass; steal by T. Young),12,36
1,2:01.0,T. Young misses 2-pt layup from 1 ft,,12,36
1,2:00.0,Offensive rebound by D. Hamilton,,12,36
1,1:59.0,D. Hamilton makes 2-pt layup from 1 ft,,14,36
1,1:38.0,,D. Wilson makes 2-pt dunk from 1 ft (assist by P. Connaughton),14,38
1,1:17.0,V. Carter misses 3-pt jump shot from 26 ft,,14,38
1,1:14.0,,Defensive rebound by E. İlyasova,14,38
1,1:04.0,,P. Connaughton misses 3-pt jump shot from 28 ft,14,38
1,1:01.0,Defensive rebound by K. Huerter,,14,38
1,0:55.0,D. Dedmon misses 2-pt hook shot from 2 ft,,14,38
1,0:52.0,,Defensive rebound by E. İlyasova,14,38
1,0:50.0,,P. Connaughton misses 2-pt layup from 3 ft (block by V. Carter),14,38
1,0:50.0,,Offensive rebound by Team,14,38
1,0:50.0,,G. Antetokounmpo enters the game for D. Wilson,14,38
1,0:44.0,,T. Snell makes 3-pt jump shot from 26 ft,14,41
1,0:28.0,D. Dedmon misses 3-pt jump shot from 26 ft,,14,41
1,0:24.0,,Defensive rebound by G. Antetokounmpo,14,41
1,0:07.0,,P. Connaughton makes 2-pt hook shot from 4 ft (assist by G. Antetokounmpo),14,43
1,0:02.0,Turnover by D. Dedmon (traveling),,14,43
1,0:00.0,,G. Antetokounmpo misses 3-pt jump shot from 28 ft,14,43
1,0:00.0,,Offensive rebound by Team,14,43
2,11:46.0,K. Huerter makes 2-pt layup from 1 ft,,16,43
2,11:32.0,,B. Lopez misses 2-pt layup from 5 ft,16,43
2,11:28.0,,Offensive rebound by G. Hill,16,43
2,11:24.0,,B. Lopez misses 3-pt jump shot from 28 ft,16,43
2,11:22.0,,Offensive rebound by M. Brogdon,16,43
2,11:08.0,,M. Brogdon misses 3-pt jump shot from 27 ft,16,43
