QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
4,3:23.0,,Turnover by T. Rozier (bad pass; steal by T. Frazier),90,108
4,3:21.0,A. Davis makes 2-pt layup from 5 ft (assist by T. Frazier),,92,108
4,3:21.0,Shooting foul by M. Morris (drawn by A. Davis),,92,108
4,3:21.0,A. Harrison enters the game for J. Holiday,,92,108
4,3:21.0,,M. Smart enters the game for J. Tatum,92,108
4,3:21.0,A. Davis makes free throw 1 of 1,,93,108
4,3:16.0,,Personal take foul by T. Frazier (drawn by T. Rozier),93,108
4,3:16.0,K. Williams enters the game for A. Davis,,93,108
4,3:05.0,,M. Morris misses 2-pt jump shot from 16 ft,93,108
4,2:59.0,Defensive rebound by C. Diallo,,93,108
4,2:45.0,A. Harrison makes 3-pt jump shot from 26 ft (assist by T. Frazier),,96,108
4,2:30.0,,Shooting foul by T. Frazier (drawn by M. Morris),96,108
4,2:30.0,,M. Morris makes free throw 1 of 2,96,109
4,2:30.0,J. Okafor enters the game for D. Miller,,96,109
4,2:30.0,,R. Williams enters the game for D. Theis,96,109
4,2:30.0,,M. Morris makes free throw 2 of 2,96,110
4,2:16.0,K. Williams misses 3-pt jump shot from 26 ft,,96,110
4,2:15.0,,Defensive rebound by R. Williams,96,110
4,2:08.0,,J. Brown makes 3-pt jump shot from 27 ft (assist by T. Rozier),96,113
4,1:56.0,K. Williams makes 2-pt layup from 1 ft (assist by A. Harrison),,98,113
4,1:56.0,,P. Dozier enters the game for J. Brown,98,113
4,1:56.0,,S. Ojeleye enters the game for M. Morris,98,113
4,1:56.0,,D. Theis enters the game for T. Rozier,98,113
4,1:56.0,,B. Wanamaker enters the game for M. Smart,98,113
4,1:36.0,,P. Dozier misses 3-pt jump shot from 26 ft,98,113
4,1:35.0,Defensive rebound by C. Diallo,,98,113
4,1:23.0,C. Diallo makes 2-pt hook shot from 9 ft (assist by T. Frazier),,100,113
4,0:59.0,,S. Ojeleye misses 3-pt jump shot from 26 ft,100,113
4,0:58.0,Defensive rebound by A. Harrison,,100,113
4,0:34.0,J. Okafor misses 2-pt hook shot from 9 ft,,100,113
4,0:30.0,,Defensive rebound by D. Theis,100,113
4,0:08.0,,Turnover by Team (shot clock),100,113
