QUARTER,TIME_REMAINING,BOSTON_ACTION,CLEVELAND_ACTION,BOSTON_SCORE,CLEVELAND_SCORE
1,11:34.0,,D. Nwaba misses 3-pt jump shot from 26 ft,0,0
1,11:32.0,Defensive rebound by A. Horford,,0,0
1,11:18.0,A. Horford makes 2-pt layup at rim (assist by M. Smart),,2,0
1,11:02.0,,D. Nwaba makes 2-pt layup from 2 ft (assist by C. Sexton),2,2
1,11:02.0,Violation by Team (def goaltending),,2,2
1,10:53.0,Personal foul by A. Burks (drawn by J. Tatum),,2,2
1,10:43.0,J. Tatum misses 2-pt jump shot from 1 ft,,2,2
1,10:37.0,Offensive rebound by J. Tatum,,2,2
1,10:37.0,J. Tatum misses 2-pt layup from 1 ft,,2,2
1,10:36.0,,Defensive rebound by A. Žižić,2,2
1,10:23.0,,A. Burks misses 3-pt jump shot from 27 ft,2,2
1,10:20.0,Defensive rebound by J. Tatum,,2,2
1,10:09.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by A. Horford),,5,2
1,9:43.0,,A. Burks misses 2-pt jump shot from 8 ft,5,2
1,9:40.0,,Offensive rebound by A. Burks,5,2
1,9:39.0,,A. Burks makes 2-pt jump shot from 17 ft,5,4
1,9:30.0,M. Smart makes 2-pt layup from 1 ft (assist by A. Horford),,7,4
1,9:11.0,,C. Sexton makes 2-pt layup at rim (assist by D. Nwaba),7,6
1,8:55.0,J. Brown misses 2-pt jump shot from 12 ft,,7,6
1,8:53.0,,Defensive rebound by D. Adel,7,6
1,8:41.0,,D. Nwaba makes 2-pt jump shot from 10 ft (assist by D. Adel),7,8
1,8:24.0,M. Smart misses 2-pt layup from 3 ft,,7,8
1,8:23.0,,Defensive rebound by D. Nwaba,7,8
1,8:18.0,,Shooting foul by A. Horford (drawn by A. Žižić),7,8
1,8:18.0,,A. Žižić makes free throw 1 of 2,7,9
1,8:18.0,,A. Žižić makes free throw 2 of 2,7,10
1,8:06.0,Personal foul by A. Žižić (drawn by A. Horford),,7,10
1,7:58.0,Turnover by M. Smart (bad pass; steal by C. Sexton),,7,10
1,7:50.0,,D. Adel misses 3-pt jump shot from 25 ft,7,10
1,7:50.0,,Offensive rebound by Team,7,10
1,7:39.0,,A. Žižić misses 2-pt jump shot from 11 ft,7,10
1,7:36.0,,Offensive rebound by A. Žižić,7,10
1,7:35.0,,A. Žižić misses 2-pt layup from 3 ft,7,10
1,7:35.0,,Offensive rebound by D. Nwaba,7,10
1,7:30.0,,A. Žižić makes 2-pt layup from 1 ft,7,12
1,7:13.0,Shooting foul by A. Žižić (drawn by J. Tatum),,7,12
1,7:13.0,J. Tatum makes free throw 1 of 2,,8,12
1,7:13.0,,L. Nance enters the game for A. Žižić,8,12
1,7:13.0,J. Tatum makes free throw 2 of 2,,9,12
1,7:06.0,,C. Sexton makes 2-pt layup from 1 ft (assist by A. Burks),9,14
1,6:46.0,J. Tatum makes 2-pt layup from 2 ft (assist by A. Horford),,11,14
1,6:26.0,,D. Nwaba misses 2-pt layup from 6 ft (block by J. Tatum),11,14
1,6:23.0,,Offensive rebound by D. Nwaba,11,14
1,6:23.0,,Turnover by D. Nwaba (lost ball; steal by J. Tatum),11,14
1,6:23.0,Personal foul by D. Nwaba (drawn by J. Tatum),,11,14
1,6:23.0,,Cleveland full timeout,11,14
1,6:23.0,G. Hayward enters the game for J. Brown,,11,14
1,6:23.0,,J. Clarkson enters the game for D. Nwaba,11,14
1,6:04.0,T. Rozier misses 2-pt jump shot from 14 ft,,11,14
1,6:01.0,,Defensive rebound by J. Clarkson,11,14
1,5:44.0,,C. Sexton makes 2-pt layup from 2 ft (assist by A. Burks),11,16
1,5:31.0,M. Smart makes 3-pt jump shot from 27 ft (assist by A. Horford),,14,16
1,5:16.0,,A. Burks misses 3-pt jump shot from 25 ft,14,16
1,5:14.0,Defensive rebound by T. Rozier,,14,16
1,5:08.0,Personal foul by C. Sexton (drawn by J. Tatum),,14,16
1,5:08.0,J. Tatum makes free throw 1 of 2,,15,16
1,5:08.0,J. Tatum makes free throw 2 of 2,,16,16
1,4:53.0,,Personal foul by T. Rozier (drawn by L. Nance),16,16
1,4:44.0,,C. Sexton misses 2-pt layup from 4 ft (block by A. Horford),16,16
1,4:38.0,,Offensive rebound by L. Nance,16,16
1,4:37.0,,L. Nance makes 2-pt layup from 2 ft,16,18
1,4:31.0,G. Hayward makes 2-pt jump shot from 21 ft (assist by A. Horford),,18,18
1,4:20.0,,J. Clarkson misses 3-pt jump shot from 26 ft,18,18
1,4:18.0,Defensive rebound by J. Tatum,,18,18
1,4:04.0,J. Tatum misses 3-pt jump shot from 24 ft,,18,18
1,4:03.0,,Defensive rebound by C. Sexton,18,18
1,3:42.0,,A. Burks misses 3-pt jump shot from 23 ft,18,18
1,3:39.0,Defensive rebound by G. Hayward,,18,18
1,3:21.0,G. Hayward makes 2-pt layup from 2 ft (assist by A. Horford),,20,18
1,3:05.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Clarkson),20,21
1,2:53.0,J. Tatum makes 2-pt layup from 1 ft (assist by M. Smart),,22,21
1,2:34.0,,A. Burks makes 3-pt jump shot from 23 ft (assist by L. Nance),22,24
1,2:34.0,Boston full timeout,,22,24
1,2:34.0,D. Theis enters the game for A. Horford,,22,24
1,2:34.0,B. Wanamaker enters the game for T. Rozier,,22,24
1,2:34.0,,J. Blossomgame enters the game for D. Adel,22,24
1,2:34.0,,M. Dellavedova enters the game for A. Burks,22,24
1,2:19.0,D. Theis makes 2-pt dunk from 1 ft (assist by G. Hayward),,24,24
1,1:55.0,,Shooting foul by M. Smart (drawn by J. Clarkson),24,24
1,1:55.0,,J. Clarkson makes free throw 1 of 3,24,25
1,1:55.0,,J. Clarkson makes free throw 2 of 3,24,26
1,1:55.0,,J. Clarkson misses free throw 3 of 3,24,26
1,1:51.0,Defensive rebound by G. Hayward,,24,26
1,1:39.0,G. Hayward makes 2-pt jump shot from 14 ft,,26,26
1,1:17.0,,J. Blossomgame misses 3-pt jump shot from 26 ft,26,26
1,1:13.0,,Offensive rebound by L. Nance,26,26
1,1:12.0,,L. Nance misses 2-pt jump shot from 4 ft,26,26
1,1:11.0,,Offensive rebound by J. Blossomgame,26,26
1,1:11.0,,J. Blossomgame makes 2-pt dunk at rim,26,28
1,0:47.0,Shooting foul by M. Dellavedova (drawn by J. Tatum),,26,28
1,0:47.0,J. Tatum makes free throw 1 of 2,,27,28
1,0:47.0,J. Brown enters the game for M. Smart,,27,28
1,0:47.0,J. Tatum makes free throw 2 of 2,,28,28
1,0:37.0,,J. Clarkson makes 2-pt jump shot from 1 ft (assist by M. Dellavedova),28,30
1,0:30.0,G. Hayward misses 3-pt jump shot from 28 ft,,28,30
1,0:27.0,,Defensive rebound by L. Nance,28,30
1,0:07.0,,J. Blossomgame misses 2-pt jump shot from 8 ft,28,30
1,0:05.0,Defensive rebound by B. Wanamaker,,28,30
2,11:43.0,J. Brown misses 2-pt jump shot from 1 ft,,28,30
2,11:40.0,,Defensive rebound by J. Blossomgame,28,30
2,11:37.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,28,30
2,11:33.0,Defensive rebound by D. Theis,,28,30
2,11:32.0,Personal foul by M. Dellavedova (drawn by G. Hayward),,28,30
2,11:25.0,D. Theis makes 2-pt dunk at rim (assist by G. Hayward),,30,30
2,11:10.0,,Personal foul by B. Wanamaker (drawn by C. Sexton),30,30
2,10:55.0,,L. Nance misses 2-pt layup from 2 ft,30,30
2,10:53.0,Defensive rebound by D. Theis,,30,30
2,10:49.0,J. Brown misses 2-pt layup from 1 ft,,30,30
2,10:43.0,Offensive rebound by J. Brown,,30,30
2,10:43.0,J. Brown misses 2-pt layup from 1 ft,,30,30
2,10:42.0,Offensive rebound by J. Brown,,30,30
2,10:41.0,J. Brown misses 2-pt layup from 2 ft,,30,30
2,10:38.0,,Defensive rebound by J. Blossomgame,30,30
2,10:34.0,,C. Sexton makes 3-pt jump shot from 26 ft (assist by J. Blossomgame),30,33
2,10:22.0,G. Hayward misses 3-pt jump shot from 25 ft,,30,33
2,10:19.0,,Defensive rebound by J. Blossomgame,30,33
