QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
1,11:45.0,J. Green makes 2-pt dunk from 1 ft (assist by B. Beal),,2,0
1,11:30.0,,A. Gordon misses 3-pt jump shot from 26 ft,2,0
1,11:27.0,,Offensive rebound by N. Vučević,2,0
1,11:21.0,,N. Vučević makes 2-pt hook shot from 8 ft,2,2
1,11:05.0,T. Satoranský misses 2-pt jump shot from 12 ft,,2,2
1,11:01.0,,Defensive rebound by N. Vučević,2,2
1,10:54.0,,N. Vučević misses 2-pt jump shot from 19 ft,2,2
1,10:52.0,Defensive rebound by T. Ariza,,2,2
1,10:45.0,T. Bryant makes 2-pt jump shot from 16 ft (assist by B. Beal),,4,2
1,10:27.0,,Shooting foul by T. Bryant (drawn by A. Gordon),4,2
1,10:27.0,,A. Gordon misses free throw 1 of 2,4,2
1,10:27.0,,Offensive rebound by Team,4,2
1,10:27.0,,A. Gordon makes free throw 2 of 2,4,3
1,10:15.0,T. Bryant misses 2-pt jump shot from 16 ft,,4,3
1,10:12.0,,Defensive rebound by D. Augustin,4,3
1,10:02.0,,Personal foul by T. Ariza (drawn by J. Isaac),4,3
1,9:47.0,,J. Isaac misses 3-pt jump shot from 25 ft,4,3
1,9:45.0,,Offensive rebound by A. Gordon,4,3
1,9:42.0,,E. Fournier misses 3-pt jump shot from 25 ft,4,3
1,9:38.0,Defensive rebound by B. Beal,,4,3
1,9:27.0,B. Beal misses 3-pt jump shot from 27 ft,,4,3
1,9:25.0,,Defensive rebound by A. Gordon,4,3
1,9:18.0,,A. Gordon misses 2-pt jump shot from 8 ft,4,3
1,9:16.0,Defensive rebound by T. Ariza,,4,3
1,9:14.0,Turnover by T. Ariza (bad pass),,4,3
1,9:03.0,,N. Vučević misses 2-pt hook shot from 2 ft,4,3
1,8:57.0,,Offensive rebound by J. Isaac,4,3
1,8:57.0,,J. Isaac makes 2-pt dunk at rim,4,5
1,8:45.0,T. Satoranský makes 2-pt layup from 2 ft (assist by J. Green),,6,5
1,8:27.0,,E. Fournier makes 2-pt layup from 2 ft,6,7
1,8:22.0,Turnover by T. Bryant (bad pass; steal by E. Fournier),,6,7
1,8:17.0,,E. Fournier misses 3-pt jump shot from 25 ft,6,7
1,8:13.0,Defensive rebound by T. Bryant,,6,7
1,8:06.0,B. Beal misses 2-pt jump shot from 16 ft,,6,7
1,8:02.0,,Defensive rebound by D. Augustin,6,7
1,7:55.0,,J. Isaac misses 3-pt jump shot from 22 ft,6,7
1,7:51.0,Defensive rebound by T. Satoranský,,6,7
1,7:46.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,8,7
1,7:31.0,,N. Vučević makes 2-pt dunk from 1 ft (assist by A. Gordon),8,9
1,7:07.0,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Green),,11,9
1,6:47.0,,E. Fournier misses 2-pt layup from 6 ft,11,9
1,6:44.0,Defensive rebound by T. Ariza,,11,9
1,6:27.0,J. Green misses 3-pt jump shot from 23 ft,,11,9
1,6:24.0,,Defensive rebound by J. Isaac,11,9
1,6:10.0,,Orlando full timeout,11,9
1,6:10.0,,T. Ross enters the game for A. Gordon,11,9
1,6:02.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by E. Fournier),11,11
1,5:47.0,T. Ariza misses 2-pt jump shot from 12 ft,,11,11
1,5:44.0,,Defensive rebound by J. Isaac,11,11
1,5:31.0,,N. Vučević makes 2-pt hook shot from 7 ft,11,13
1,5:18.0,Personal foul by D. Augustin (drawn by T. Satoranský),,11,13
1,5:04.0,J. Green misses 2-pt jump shot from 22 ft,,11,13
1,5:00.0,,Defensive rebound by T. Ross,11,13
1,4:46.0,,N. Vučević misses 2-pt hook shot from 8 ft,11,13
1,4:42.0,Defensive rebound by T. Bryant,,11,13
1,4:35.0,T. Satoranský misses 2-pt jump shot from 15 ft,,11,13
1,4:31.0,,Defensive rebound by J. Isaac,11,13
1,4:17.0,,D. Augustin misses 2-pt jump shot from 10 ft,11,13
1,4:12.0,Defensive rebound by T. Bryant,,11,13
1,4:00.0,Shooting foul by N. Vučević (drawn by T. Ariza),,11,13
1,4:00.0,T. Ariza makes free throw 1 of 2,,12,13
1,4:00.0,I. Mahinmi enters the game for T. Bryant,,12,13
1,4:00.0,O. Porter enters the game for J. Green,,12,13
1,4:00.0,,J. Grant enters the game for D. Augustin,12,13
