QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,PORTLAND_ACTION,LA CLIPPERS_SCORE,PORTLAND_SCORE
1,12:00.0,Violation by Team (jump ball),,0,0
1,12:00.0,Violation by Team (jump ball),,0,0
1,11:36.0,,D. Lillard misses 2-pt jump shot from 9 ft,0,0
1,11:33.0,Defensive rebound by B. Marjanović,,0,0
1,11:14.0,B. Marjanović misses 2-pt hook shot from 8 ft,,0,0
1,11:12.0,,Defensive rebound by A. Aminu,0,0
1,11:08.0,,Shooting foul by P. Beverley (drawn by C. McCollum),0,0
1,11:08.0,,C. McCollum makes free throw 1 of 3,0,1
1,11:08.0,,C. McCollum makes free throw 2 of 3,0,2
1,11:08.0,,C. McCollum makes free throw 3 of 3,0,3
1,10:45.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Harris),,3,3
1,10:30.0,,J. Nurkić makes 2-pt hook shot from 3 ft (assist by C. McCollum),3,5
1,10:11.0,T. Harris misses 2-pt jump shot from 10 ft,,3,5
1,10:09.0,,Defensive rebound by J. Nurkić,3,5
1,10:02.0,,J. Nurkić misses 2-pt hook shot from 2 ft (block by B. Marjanović),3,5
1,9:58.0,,Offensive rebound by Team,3,5
1,9:55.0,,J. Nurkić misses 2-pt jump shot from 22 ft,3,5
1,9:51.0,Defensive rebound by T. Harris,,3,5
1,9:44.0,T. Harris misses 2-pt layup from 2 ft,,3,5
1,9:41.0,Offensive rebound by B. Marjanović,,3,5
1,9:41.0,B. Marjanović makes 2-pt layup at rim,,5,5
1,9:29.0,,C. McCollum misses 3-pt jump shot from 27 ft,5,5
1,9:27.0,Defensive rebound by B. Marjanović,,5,5
1,9:19.0,T. Harris makes 2-pt jump shot from 14 ft,,7,5
1,9:05.0,,D. Lillard makes 2-pt jump shot from 17 ft,7,7
1,8:52.0,S. Gilgeous-Alexander makes 2-pt jump shot from 9 ft,,9,7
1,8:40.0,,J. Nurkić misses 3-pt jump shot from 25 ft,9,7
1,8:38.0,Defensive rebound by T. Harris,,9,7
1,8:29.0,P. Beverley misses 3-pt jump shot from 24 ft,,9,7
1,8:27.0,,Defensive rebound by J. Nurkić,9,7
1,8:20.0,,C. McCollum misses 2-pt jump shot from 7 ft,9,7
1,8:18.0,,Offensive rebound by J. Nurkić,9,7
1,8:17.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Nurkić),9,7
1,8:17.0,,J. Nurkić makes free throw 1 of 2,9,8
1,8:17.0,,J. Nurkić makes free throw 2 of 2,9,9
1,8:06.0,S. Gilgeous-Alexander misses 2-pt jump shot from 13 ft,,9,9
1,8:03.0,,Defensive rebound by J. Nurkić,9,9
1,7:56.0,,Shooting foul by B. Marjanović (drawn by J. Nurkić),9,9
1,7:56.0,,J. Nurkić makes free throw 1 of 2,9,10
1,7:56.0,,J. Nurkić makes free throw 2 of 2,9,11
1,7:38.0,T. Harris misses 2-pt layup from 2 ft,,9,11
1,7:35.0,,Defensive rebound by J. Layman,9,11
1,7:34.0,,C. McCollum makes 2-pt dunk at rim,9,13
