QUARTER,TIME_REMAINING,INDIANA_ACTION,UTAH_ACTION,INDIANA_SCORE,UTAH_SCORE
1,11:40.0,,J. Ingles misses 2-pt jump shot from 3 ft,0,0
1,11:38.0,,Offensive rebound by R. Gobert,0,0
1,11:36.0,,R. Gobert makes 2-pt hook shot from 2 ft,0,2
1,11:19.0,M. Turner makes 2-pt jump shot from 22 ft (assist by D. Collison),,2,2
1,10:57.0,,R. Gobert misses 2-pt layup from 2 ft,2,2
1,10:54.0,Defensive rebound by T. Evans,,2,2
1,10:45.0,T. Young makes 2-pt jump shot from 19 ft (assist by B. Bogdanović),,4,2
1,10:25.0,,Turnover by D. Favors (bad pass; steal by T. Evans),4,2
1,10:21.0,T. Evans makes 2-pt dunk from 1 ft,,6,2
1,9:55.0,,Turnover by J. Ingles (lost ball; steal by D. Collison),6,2
1,9:52.0,M. Turner makes 2-pt layup from 2 ft (assist by T. Evans),,8,2
1,9:52.0,Shooting foul by R. O'Neale (drawn by M. Turner),,8,2
1,9:52.0,M. Turner makes free throw 1 of 1,,9,2
1,9:27.0,,D. Favors makes 2-pt hook shot from 2 ft (assist by R. Rubio),9,4
1,9:22.0,Shooting foul by J. Ingles (drawn by T. Evans),,9,4
1,9:22.0,T. Evans makes free throw 1 of 2,,10,4
1,9:22.0,T. Evans makes free throw 2 of 2,,11,4
1,9:11.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by R. Rubio),11,7
1,8:55.0,T. Young misses 3-pt jump shot from 25 ft,,11,7
1,8:52.0,,Defensive rebound by D. Favors,11,7
1,8:42.0,,Turnover by R. Rubio (lost ball; steal by D. Collison),11,7
1,8:39.0,D. Collison makes 2-pt layup from 2 ft (assist by T. Evans),,13,7
1,8:22.0,,D. Favors misses 3-pt jump shot from 23 ft,13,7
1,8:17.0,,Offensive rebound by R. O'Neale,13,7
1,8:15.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),13,9
1,7:54.0,D. Collison makes 2-pt jump shot from 15 ft,,15,9
1,7:37.0,,Turnover by J. Ingles (lost ball; steal by M. Turner),15,9
1,7:37.0,Turnover by M. Turner (bad pass; steal by R. O'Neale),,15,9
1,7:33.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. O'Neale),15,12
1,7:33.0,,A. Burks enters the game for R. O'Neale,15,12
1,7:16.0,Away from play foul by A. Burks (drawn by B. Bogdanović),,15,12
1,7:16.0,B. Bogdanović makes free throw 1 of 1,,16,12
1,7:04.0,B. Bogdanović makes 2-pt layup from 2 ft,,18,12
1,6:55.0,,Turnover by R. Rubio (lost ball; steal by B. Bogdanović),18,12
1,6:51.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Collison),,20,12
1,6:51.0,,Utah full timeout,20,12
1,6:51.0,,J. Crowder enters the game for D. Favors,20,12
1,6:37.0,,J. Crowder misses 3-pt jump shot from 23 ft,20,12
1,6:33.0,Defensive rebound by D. Collison,,20,12
1,6:16.0,T. Evans misses 3-pt jump shot from 25 ft,,20,12
1,6:13.0,,Defensive rebound by J. Crowder,20,12
1,6:06.0,,J. Ingles misses 3-pt jump shot from 25 ft,20,12
1,6:03.0,Defensive rebound by B. Bogdanović,,20,12
1,5:47.0,Turnover by M. Turner (bad pass; steal by J. Ingles),,20,12
1,5:47.0,,R. O'Neale enters the game for J. Ingles,20,12
1,5:33.0,,R. Rubio makes 2-pt layup from 3 ft,20,14
1,5:33.0,,Shooting foul by M. Turner (drawn by R. Rubio),20,14
1,5:33.0,,R. Rubio makes free throw 1 of 1,20,15
1,5:13.0,Turnover by T. Evans (lost ball; steal by J. Crowder),,20,15
1,5:08.0,,A. Burks misses 3-pt jump shot from 24 ft,20,15
1,5:05.0,Defensive rebound by B. Bogdanović,,20,15
1,4:55.0,D. Collison misses 2-pt layup from 3 ft (block by R. Gobert),,20,15
1,4:52.0,,Defensive rebound by R. Rubio,20,15
1,4:50.0,,J. Crowder misses 2-pt jump shot from 5 ft,20,15
1,4:48.0,,Offensive rebound by R. Gobert,20,15
1,4:48.0,,R. Gobert makes 2-pt dunk from 1 ft,20,17
1,4:24.0,T. Evans makes 2-pt jump shot from 19 ft,,22,17
1,4:11.0,,R. Rubio misses 2-pt jump shot from 19 ft,22,17
1,4:08.0,,Offensive rebound by R. Rubio,22,17
1,4:08.0,C. Joseph enters the game for B. Bogdanović,,22,17
1,4:08.0,D. Sabonis enters the game for T. Young,,22,17
1,4:08.0,,D. Exum enters the game for R. Rubio,22,17
1,3:54.0,,J. Crowder misses 2-pt jump shot from 11 ft (block by D. Sabonis),22,17
1,3:54.0,,Offensive rebound by Team,22,17
1,3:51.0,,Turnover by Team (shot clock),22,17
1,3:36.0,D. Sabonis makes 2-pt layup from 3 ft (assist by D. Collison),,24,17
1,3:24.0,,Personal foul by D. Sabonis (drawn by J. Crowder),24,17
1,3:24.0,,D. Favors enters the game for R. Gobert,24,17
1,3:11.0,,D. Favors makes 2-pt dunk from 2 ft (assist by D. Exum),24,19
1,3:06.0,Indiana full timeout,,24,19
1,3:06.0,D. McDermott enters the game for T. Evans,,24,19
1,3:06.0,,J. Ingles enters the game for R. O'Neale,24,19
1,2:54.0,D. Sabonis misses 2-pt jump shot from 18 ft,,24,19
1,2:50.0,,Defensive rebound by J. Crowder,24,19
1,2:38.0,,A. Burks makes 3-pt jump shot from 25 ft (assist by J. Crowder),24,22
1,2:19.0,C. Joseph makes 2-pt jump shot from 19 ft (assist by D. Sabonis),,26,22
1,2:00.0,,D. Exum misses 3-pt jump shot from 23 ft,26,22
1,1:58.0,Defensive rebound by D. McDermott,,26,22
1,1:52.0,Turnover by C. Joseph (bad pass),,26,22
1,1:52.0,B. Bogdanović enters the game for D. Collison,,26,22
1,1:52.0,A. Holiday enters the game for M. Turner,,26,22
1,1:52.0,,R. Neto enters the game for A. Burks,26,22
1,1:40.0,,R. Neto misses 3-pt jump shot from 25 ft,26,22
1,1:37.0,Defensive rebound by D. Sabonis,,26,22
1,1:31.0,A. Holiday makes 2-pt jump shot from 22 ft,,28,22
1,1:06.0,,J. Ingles misses 2-pt layup from 5 ft,28,22
1,1:05.0,Defensive rebound by D. Sabonis,,28,22
1,0:53.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,31,22
1,0:37.0,,Shooting foul by D. Sabonis (drawn by D. Favors),31,22
1,0:37.0,,D. Favors misses free throw 1 of 2,31,22
1,0:37.0,,Offensive rebound by Team,31,22
1,0:37.0,,D. Favors makes free throw 2 of 2,31,23
1,0:28.0,Personal foul by J. Crowder (drawn by D. Sabonis),,31,23
1,0:22.0,C. Joseph misses 2-pt layup from 4 ft (block by D. Favors),,31,23
1,0:21.0,Offensive rebound by D. Sabonis,,31,23
1,0:21.0,D. Sabonis makes 2-pt dunk from 2 ft,,33,23
1,0:00.0,,J. Ingles makes 2-pt layup from 2 ft (assist by J. Crowder),33,25
2,11:50.0,D. McDermott misses 2-pt jump shot from 21 ft,,33,25
2,11:46.0,,Defensive rebound by D. Favors,33,25
2,11:41.0,,Personal foul by D. McDermott (drawn by J. Ingles),33,25
2,11:32.0,,R. Neto makes 2-pt layup at rim (assist by J. Ingles),33,27
2,11:20.0,D. Sabonis misses 2-pt hook shot from 7 ft,,33,27
2,11:17.0,,Defensive rebound by D. Favors,33,27
2,11:08.0,,J. Ingles misses 2-pt jump shot from 10 ft,33,27
2,11:04.0,Defensive rebound by D. Sabonis,,33,27
2,10:55.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,33,27
2,10:52.0,,Defensive rebound by J. Crowder,33,27
2,10:37.0,,Turnover by D. Exum (bad pass; steal by C. Joseph),33,27
2,10:37.0,Personal foul by R. Neto (drawn by C. Joseph),,33,27
2,10:27.0,D. Sabonis misses 2-pt layup from 4 ft,,33,27
2,10:24.0,,Defensive rebound by D. Exum,33,27
2,10:18.0,,D. Exum misses 2-pt layup from 1 ft,33,27
2,10:13.0,,Offensive rebound by D. Exum,33,27
2,10:13.0,,D. Exum misses 2-pt layup from 1 ft,33,27
2,10:13.0,Defensive rebound by D. Sabonis,,33,27
2,10:06.0,C. Joseph makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,36,27
2,10:04.0,,Utah full timeout,36,27
2,10:04.0,,A. Burks enters the game for J. Crowder,36,27
2,10:04.0,,T. Sefolosha enters the game for D. Exum,36,27
2,9:50.0,,J. Ingles misses 2-pt layup from 6 ft,36,27
2,9:48.0,,Offensive rebound by D. Favors,36,27
2,9:47.0,,D. Favors makes 2-pt dunk from 2 ft,36,29
2,9:24.0,A. Holiday misses 2-pt jump shot from 20 ft,,36,29
2,9:22.0,,Defensive rebound by J. Ingles,36,29
2,9:11.0,,R. Neto makes 2-pt layup from 2 ft (assist by A. Burks),36,31
2,8:59.0,D. McDermott misses 2-pt layup from 5 ft,,36,31
2,8:56.0,,Defensive rebound by D. Favors,36,31
2,8:54.0,,Personal foul by A. Holiday (drawn by R. Neto),36,31
2,8:54.0,T. Young enters the game for B. Bogdanović,,36,31
2,8:54.0,,G. Allen enters the game for J. Ingles,36,31
2,8:50.0,,Personal foul by A. Holiday (drawn by R. Neto),36,31
2,8:39.0,,Turnover by R. Neto (lost ball; steal by T. Young),36,31
2,8:26.0,A. Holiday misses 3-pt jump shot from 25 ft,,36,31
2,8:21.0,,Defensive rebound by D. Favors,36,31
2,8:15.0,,A. Burks makes 2-pt layup from 2 ft,36,33
2,7:59.0,D. McDermott makes 3-pt jump shot from 22 ft (assist by A. Holiday),,39,33
2,7:36.0,,D. Favors misses 2-pt jump shot from 20 ft,39,33
2,7:34.0,Defensive rebound by D. McDermott,,39,33
2,7:28.0,A. Holiday makes 2-pt jump shot from 6 ft,,41,33
2,7:09.0,,D. Favors makes 2-pt hook shot from 8 ft (assist by R. Neto),41,35
2,6:58.0,D. Sabonis makes 2-pt layup from 2 ft (assist by D. McDermott),,43,35
2,6:58.0,Shooting foul by T. Sefolosha (drawn by D. Sabonis),,43,35
2,6:58.0,,Technical foul by T. Sefolosha,43,35
2,6:58.0,,R. Gobert enters the game for D. Favors,43,35
2,6:58.0,,R. Rubio enters the game for R. Neto,43,35
2,6:58.0,D. McDermott makes technical free throw,,44,35
2,6:58.0,D. Sabonis makes free throw 1 of 1,,45,35
2,6:45.0,,R. Gobert makes 2-pt dunk from 3 ft (assist by R. Rubio),45,37
2,6:35.0,D. McDermott misses 2-pt jump shot from 21 ft,,45,37
2,6:33.0,Offensive rebound by D. McDermott,,45,37
2,6:32.0,D. McDermott makes 2-pt layup from 5 ft,,47,37
2,6:17.0,,R. Rubio misses 2-pt layup from 3 ft (block by C. Joseph),47,37
2,6:16.0,,Offensive rebound by R. Rubio,47,37
2,6:16.0,,Personal foul by T. Young (drawn by R. Gobert),47,37
2,6:16.0,M. Turner enters the game for D. Sabonis,,47,37
2,6:02.0,,Turnover by Team (shot clock),47,37
2,5:54.0,D. McDermott misses 2-pt jump shot from 21 ft,,47,37
2,5:51.0,,Defensive rebound by A. Burks,47,37
2,5:40.0,,G. Allen misses 2-pt layup from 2 ft,47,37
2,5:38.0,Defensive rebound by M. Turner,,47,37
2,5:25.0,T. Young misses 2-pt hook shot from 4 ft,,47,37
2,5:25.0,,Defensive rebound by Team,47,37
2,5:25.0,Loose ball foul by T. Young (drawn by G. Allen),,47,37
2,5:25.0,,G. Allen makes free throw 1 of 2,47,38
