QUARTER,TIME_REMAINING,DENVER_ACTION,LA CLIPPERS_ACTION,DENVER_SCORE,LA CLIPPERS_SCORE
1,11:40.0,,A. Bradley makes 2-pt jump shot from 4 ft (assist by T. Harris),0,2
1,11:29.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),,3,2
1,11:17.0,,T. Harris misses 3-pt jump shot from 27 ft,3,2
1,11:17.0,,Offensive rebound by M. Gortat,3,2
1,11:09.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Bradley),3,5
1,10:53.0,J. Murray makes 2-pt jump shot from 14 ft,,5,5
1,10:33.0,,T. Harris misses 2-pt jump shot from 13 ft,5,5
1,10:30.0,Defensive rebound by M. Plumlee,,5,5
1,10:29.0,Personal foul by M. Gortat (drawn by N. Jokić),,5,5
1,10:22.0,J. Murray misses 2-pt jump shot from 13 ft,,5,5
1,10:18.0,,Defensive rebound by M. Gortat,5,5
1,10:16.0,,Turnover by M. Gortat (bad pass; steal by J. Murray),5,5
1,10:12.0,J. Hernangómez misses 3-pt jump shot from 28 ft,,5,5
1,10:10.0,,Defensive rebound by M. Gortat,5,5
1,10:07.0,,D. Gallinari makes 2-pt dunk at rim (assist by A. Bradley),5,7
1,9:44.0,Turnover by M. Plumlee (lost ball; steal by D. Gallinari),,5,7
1,9:36.0,,M. Gortat makes 2-pt layup from 1 ft (assist by D. Gallinari),5,9
1,9:24.0,J. Murray makes 3-pt jump shot from 26 ft,,8,9
1,9:05.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 12 ft,8,9
1,8:58.0,,Offensive rebound by T. Harris,8,9
1,8:58.0,,T. Harris makes 2-pt dunk from 1 ft,8,11
1,8:51.0,M. Plumlee misses 2-pt layup from 1 ft,,8,11
1,8:49.0,,Defensive rebound by M. Gortat,8,11
1,8:41.0,,M. Gortat misses 2-pt dunk from 1 ft,8,11
1,8:38.0,Defensive rebound by J. Murray,,8,11
