QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
1,11:43.0,,K. Towns makes 2-pt hook shot from 6 ft (assist by J. Bayless),0,2
1,11:25.0,N. Jokić makes 2-pt hook shot from 7 ft (assist by M. Morris),,2,2
1,11:08.0,,K. Towns misses 3-pt jump shot from 25 ft,2,2
1,11:05.0,Defensive rebound by N. Jokić,,2,2
1,10:59.0,W. Barton misses 3-pt jump shot from 26 ft,,2,2
1,10:56.0,,Defensive rebound by K. Towns,2,2
1,10:44.0,,A. Wiggins makes 2-pt jump shot from 14 ft,2,4
1,10:26.0,N. Jokić misses 2-pt layup from 4 ft,,2,4
1,10:22.0,,Defensive rebound by J. Okogie,2,4
1,10:12.0,,K. Towns makes 2-pt layup from 3 ft (assist by J. Bayless),2,6
1,10:02.0,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),,4,6
1,9:45.0,,A. Wiggins misses 3-pt jump shot from 25 ft,4,6
1,9:43.0,Defensive rebound by N. Jokić,,4,6
1,9:25.0,W. Barton makes 3-pt jump shot from 28 ft (assist by N. Jokić),,7,6
1,9:03.0,,K. Towns misses 2-pt layup from 2 ft,7,6
1,9:01.0,Defensive rebound by P. Millsap,,7,6
1,8:55.0,W. Barton makes 2-pt jump shot from 9 ft (assist by M. Morris),,9,6
1,8:38.0,,T. Gibson makes 2-pt layup from 3 ft (assist by A. Wiggins),9,8
1,8:25.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),,12,8
1,8:08.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Bayless),12,11
1,7:47.0,M. Beasley misses 3-pt jump shot from 23 ft,,12,11
1,7:47.0,,Defensive rebound by K. Towns,12,11
1,7:35.0,,A. Wiggins misses 3-pt jump shot from 25 ft,12,11
1,7:32.0,Defensive rebound by M. Morris,,12,11
1,7:29.0,M. Beasley makes 2-pt layup at rim (assist by P. Millsap),,14,11
1,7:12.0,,K. Towns makes 2-pt jump shot from 5 ft,14,13
1,7:00.0,W. Barton misses 2-pt jump shot from 17 ft,,14,13
1,6:57.0,Offensive rebound by N. Jokić,,14,13
1,6:56.0,N. Jokić makes 2-pt layup from 2 ft,,16,13
1,6:48.0,,T. Gibson misses 2-pt jump shot from 17 ft,16,13
1,6:45.0,Defensive rebound by W. Barton,,16,13
1,6:41.0,W. Barton misses 2-pt jump shot from 19 ft,,16,13
1,6:38.0,Offensive rebound by N. Jokić,,16,13
1,6:38.0,Shooting foul by T. Gibson (drawn by N. Jokić),,16,13
1,6:38.0,,Minnesota full timeout,16,13
1,6:38.0,N. Jokić makes free throw 1 of 2,,17,13
1,6:38.0,N. Jokić misses free throw 2 of 2,,17,13
1,6:36.0,,Defensive rebound by T. Gibson,17,13
1,6:16.0,,J. Bayless makes 2-pt jump shot from 18 ft,17,15
1,5:57.0,W. Barton misses 3-pt jump shot from 26 ft,,17,15
1,5:54.0,,Defensive rebound by K. Towns,17,15
1,5:50.0,,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Bayless),17,17
1,5:36.0,Personal foul by J. Bayless (drawn by M. Morris),,17,17
1,5:36.0,T. Craig enters the game for P. Millsap,,17,17
1,5:36.0,M. Plumlee enters the game for M. Morris,,17,17
1,5:36.0,,D. Rose enters the game for J. Okogie,17,17
1,5:30.0,M. Beasley misses 2-pt jump shot from 8 ft,,17,17
1,5:27.0,,Defensive rebound by D. Rose,17,17
1,5:17.0,,Turnover by D. Rose (bad pass; steal by M. Beasley),17,17
1,5:10.0,Turnover by M. Plumlee (bad pass; steal by A. Wiggins),,17,17
1,4:58.0,,Personal foul by M. Plumlee (drawn by K. Towns),17,17
1,4:50.0,,D. Rose makes 2-pt layup from 1 ft,17,19
1,4:37.0,N. Jokić misses 2-pt layup from 2 ft (block by T. Gibson),,17,19
1,4:33.0,,Defensive rebound by T. Gibson,17,19
1,4:25.0,,D. Rose misses 3-pt jump shot from 25 ft,17,19
1,4:22.0,,Offensive rebound by J. Bayless,17,19
1,4:22.0,,J. Bayless makes 3-pt jump shot from 25 ft,17,22
1,4:21.0,Denver full timeout,,17,22
1,4:21.0,,D. Šarić enters the game for K. Towns,17,22
1,4:05.0,N. Jokić makes 2-pt layup from 1 ft,,19,22
1,3:49.0,,D. Rose makes 2-pt jump shot from 13 ft,19,24
1,3:36.0,W. Barton makes 2-pt jump shot from 11 ft (assist by N. Jokić),,21,24
1,3:16.0,,D. Šarić misses 2-pt layup from 1 ft,21,24
1,3:14.0,Defensive rebound by N. Jokić,,21,24
1,3:07.0,M. Plumlee misses 2-pt hook shot from 2 ft,,21,24
1,3:04.0,,Defensive rebound by A. Wiggins,21,24
1,3:04.0,T. Lyles enters the game for W. Barton,,21,24
1,3:04.0,M. Morris enters the game for N. Jokić,,21,24
1,3:04.0,,L. Deng enters the game for J. Bayless,21,24
1,3:04.0,,G. Dieng enters the game for T. Gibson,21,24
1,2:50.0,,D. Šarić misses 3-pt jump shot from 26 ft,21,24
1,2:46.0,Defensive rebound by T. Craig,,21,24
1,2:38.0,M. Morris makes 2-pt hook shot from 2 ft,,23,24
1,2:32.0,,L. Deng makes 2-pt layup from 2 ft (assist by D. Rose),23,26
1,2:32.0,,Shooting foul by T. Lyles (drawn by L. Deng),23,26
1,2:32.0,J. Hernangómez enters the game for M. Beasley,,23,26
1,2:32.0,,L. Deng makes free throw 1 of 1,23,27
1,2:15.0,T. Lyles makes 2-pt jump shot from 13 ft (assist by M. Plumlee),,25,27
1,2:00.0,,A. Wiggins makes 2-pt jump shot from 5 ft (assist by D. Rose),25,29
1,1:44.0,M. Plumlee misses 2-pt hook shot from 2 ft,,25,29
1,1:39.0,,Defensive rebound by G. Dieng,25,29
1,1:28.0,,D. Rose misses 2-pt layup from 2 ft,25,29
1,1:26.0,,Offensive rebound by G. Dieng,25,29
1,1:26.0,,G. Dieng makes 2-pt layup at rim,25,31
1,1:04.0,T. Lyles makes 2-pt jump shot from 8 ft,,27,31
1,0:48.0,,G. Dieng makes 2-pt layup from 2 ft (assist by D. Rose),27,33
1,0:40.0,M. Morris makes 2-pt jump shot from 6 ft,,29,33
1,0:36.0,,Personal foul by M. Morris (drawn by D. Rose),29,33
1,0:32.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Rose),29,36
1,0:08.0,J. Hernangómez misses 2-pt layup from 7 ft,,29,36
1,0:05.0,,Defensive rebound by A. Wiggins,29,36
1,0:01.0,,A. Wiggins makes 2-pt jump shot from 20 ft,29,38
2,11:48.0,T. Craig misses 3-pt jump shot from 27 ft,,29,38
2,11:45.0,Offensive rebound by T. Lyles,,29,38
2,11:44.0,T. Lyles misses 3-pt jump shot from 27 ft,,29,38
2,11:42.0,Offensive rebound by M. Plumlee,,29,38
2,11:34.0,J. Hernangómez makes 3-pt jump shot from 23 ft (assist by M. Morris),,32,38
2,11:14.0,,Shooting foul by M. Plumlee (drawn by G. Dieng),32,38
2,11:14.0,,G. Dieng makes free throw 1 of 2,32,39
2,11:14.0,,G. Dieng makes free throw 2 of 2,32,40
2,11:02.0,M. Plumlee makes 2-pt layup from 2 ft (assist by M. Morris),,34,40
2,10:48.0,,D. Rose misses 2-pt layup from 5 ft (block by T. Craig),34,40
2,10:48.0,,Offensive rebound by Team,34,40
2,10:45.0,,D. Šarić misses 2-pt layup from 1 ft (block by J. Hernangómez),34,40
2,10:42.0,,Offensive rebound by Team,34,40
2,10:33.0,,D. Rose misses 2-pt layup from 3 ft,34,40
2,10:31.0,Defensive rebound by M. Morris,,34,40
2,10:26.0,M. Morris misses 3-pt jump shot from 25 ft,,34,40
2,10:23.0,Offensive rebound by M. Plumlee,,34,40
2,10:23.0,T. Lyles makes 2-pt layup from 3 ft (assist by M. Plumlee),,36,40
2,10:23.0,,Violation by Team (def goaltending),36,40
2,10:23.0,,Minnesota full timeout,36,40
2,10:23.0,,K. Towns enters the game for G. Dieng,36,40
2,10:02.0,,J. Okogie misses 3-pt jump shot from 23 ft,36,40
2,10:00.0,,Offensive rebound by D. Šarić,36,40
2,10:00.0,,Personal foul by J. Hernangómez (drawn by D. Šarić),36,40
2,9:51.0,,Turnover by J. Okogie (bad pass; steal by M. Morris),36,40
2,9:47.0,M. Morris makes 2-pt layup from 2 ft,,38,40
2,9:31.0,,L. Deng misses 2-pt layup from 4 ft (block by M. Plumlee),38,40
2,9:28.0,Defensive rebound by T. Craig,,38,40
2,9:21.0,T. Lyles makes 2-pt jump shot from 8 ft,,40,40
2,9:07.0,,L. Deng misses 2-pt layup from 2 ft (block by J. Hernangómez),40,40
2,9:07.0,,Offensive rebound by Team,40,40
2,9:07.0,,J. Bayless enters the game for D. Rose,40,40
2,9:07.0,,A. Tolliver enters the game for D. Šarić,40,40
2,9:05.0,,K. Towns makes 2-pt jump shot from 15 ft (assist by J. Bayless),40,42
2,8:45.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by M. Morris),,43,42
2,8:30.0,,L. Deng misses 3-pt jump shot from 25 ft,43,42
2,8:27.0,Defensive rebound by M. Morris,,43,42
2,8:24.0,M. Morris misses 2-pt layup from 1 ft,,43,42
2,8:22.0,Offensive rebound by T. Craig,,43,42
2,8:20.0,T. Craig makes 2-pt layup from 2 ft,,45,42
2,8:10.0,,Turnover by J. Bayless (bad pass),45,42
2,7:56.0,T. Lyles misses 3-pt jump shot from 25 ft,,45,42
2,7:51.0,,Defensive rebound by L. Deng,45,42
2,7:43.0,,Personal foul by T. Lyles (drawn by K. Towns),45,42
2,7:37.0,,Personal foul by M. Plumlee (drawn by K. Towns),45,42
2,7:37.0,W. Barton enters the game for M. Morris,,45,42
2,7:37.0,P. Millsap enters the game for M. Plumlee,,45,42
2,7:30.0,,A. Tolliver makes 3-pt jump shot from 23 ft (assist by J. Okogie),45,45
2,7:15.0,T. Lyles misses 2-pt jump shot from 14 ft,,45,45
2,7:13.0,,Defensive rebound by K. Towns,45,45
2,7:04.0,,J. Bayless makes 2-pt jump shot from 19 ft,45,47
2,6:55.0,Shooting foul by J. Okogie (drawn by W. Barton),,45,47
2,6:55.0,W. Barton makes free throw 1 of 2,,46,47
2,6:55.0,M. Beasley enters the game for J. Hernangómez,,46,47
2,6:55.0,N. Jokić enters the game for T. Lyles,,46,47
2,6:55.0,,T. Gibson enters the game for L. Deng,46,47
2,6:55.0,W. Barton makes free throw 2 of 2,,47,47
2,6:39.0,,Turnover by K. Towns (bad pass; steal by M. Beasley),47,47
2,6:39.0,Turnover by M. Beasley (step out of bounds),,47,47
2,6:29.0,,T. Gibson misses 2-pt layup from 4 ft,47,47
2,6:26.0,,Offensive rebound by K. Towns,47,47
2,6:26.0,,K. Towns makes 2-pt layup from 1 ft,47,49
2,6:13.0,Turnover by W. Barton (bad pass),,47,49
2,6:13.0,,Personal foul by N. Jokić (drawn by J. Okogie),47,49
