QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
4,2:29.0,C. Sexton makes 2-pt jump shot from 23 ft,,80,93
4,2:13.0,,R. Westbrook makes 2-pt jump shot from 6 ft,80,95
4,1:56.0,J. Clarkson makes 2-pt layup from 1 ft,,82,95
4,1:56.0,Shooting foul by S. Adams (drawn by J. Clarkson),,82,95
4,1:56.0,A. Harrison enters the game for R. Hood,,82,95
4,1:56.0,A. Žižić enters the game for T. Thompson,,82,95
4,1:56.0,J. Clarkson makes free throw 1 of 1,,83,95
4,1:45.0,,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),83,97
4,1:24.0,J. Clarkson misses 3-pt jump shot from 24 ft (block by P. George),,83,97
4,1:22.0,,Defensive rebound by R. Westbrook,83,97
4,1:20.0,,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),83,100
4,1:00.0,A. Harrison misses 3-pt jump shot from 23 ft,,83,100
4,0:57.0,,Defensive rebound by R. Westbrook,83,100
4,0:54.0,,Oklahoma City full timeout,83,100
4,0:54.0,,Á. Abrines enters the game for S. Adams,83,100
4,0:54.0,,D. Burton enters the game for P. George,83,100
4,0:54.0,,T. Davis enters the game for J. Grant,83,100
4,0:54.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,83,100
4,0:54.0,,A. Nader enters the game for R. Westbrook,83,100
4,0:39.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 13 ft,83,100
4,0:35.0,,Offensive rebound by T. Davis,83,100
4,0:35.0,,T. Davis misses 2-pt hook shot from 2 ft,83,100
4,0:32.0,Defensive rebound by L. Nance,,83,100
4,0:19.0,A. Žižić misses 2-pt hook shot from 4 ft,,83,100
4,0:17.0,,Defensive rebound by D. Burton,83,100
