QUARTER,TIME_REMAINING,CLEVELAND_ACTION,OKLAHOMA CITY_ACTION,CLEVELAND_SCORE,OKLAHOMA CITY_SCORE
2,11:52.0,,Personal foul by A. Harrison (drawn by D. Schröder),28,21
2,11:35.0,,P. Patterson misses 2-pt layup from 1 ft,28,21
2,11:31.0,Defensive rebound by A. Žižić,,28,21
2,11:21.0,J. Clarkson misses 2-pt jump shot from 18 ft,,28,21
2,11:15.0,,Defensive rebound by D. Schröder,28,21
2,11:14.0,,Offensive foul by T. Luwawu-Cabarrot (drawn by A. Harrison),28,21
2,11:14.0,,Turnover by T. Luwawu-Cabarrot (offensive foul),28,21
2,10:54.0,Offensive foul by A. Žižić (drawn by N. Noel),,28,21
2,10:54.0,Turnover by A. Žižić (offensive foul),,28,21
2,10:39.0,,N. Noel misses 2-pt layup from 1 ft,28,21
2,10:37.0,Defensive rebound by A. Žižić,,28,21
2,10:30.0,Turnover by A. Žižić (out of bounds lost ball),,28,21
2,10:30.0,C. Osman enters the game for R. Hood,,28,21
2,10:17.0,,D. Schröder misses 2-pt jump shot from 15 ft,28,21
2,10:14.0,Defensive rebound by C. Osman,,28,21
2,10:03.0,J. Clarkson makes 2-pt layup from 4 ft,,30,21
2,9:49.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,30,21
2,9:46.0,Defensive rebound by A. Žižić,,30,21
2,9:35.0,Turnover by A. Harrison (bad pass; steal by T. Luwawu-Cabarrot),,30,21
2,9:32.0,,Shooting foul by C. Osman (drawn by T. Luwawu-Cabarrot),30,21
2,9:32.0,,Offensive rebound by Team,30,21
2,9:32.0,,T. Luwawu-Cabarrot misses free throw 1 of 2,30,21
2,9:32.0,,T. Luwawu-Cabarrot makes free throw 2 of 2,30,22
2,9:10.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by A. Žižić),,33,22
2,9:08.0,,Oklahoma City full timeout,33,22
2,9:00.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft,33,22
2,8:56.0,Defensive rebound by Team,,33,22
2,8:43.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Clarkson),,33,22
2,8:43.0,,D. Burton enters the game for T. Luwawu-Cabarrot,33,22
2,8:43.0,,R. Westbrook enters the game for D. Schröder,33,22
2,8:32.0,A. Harrison misses 2-pt jump shot from 15 ft,,33,22
2,8:28.0,,Defensive rebound by R. Westbrook,33,22
2,8:22.0,,Shooting foul by L. Nance (drawn by N. Noel),33,22
2,8:22.0,,N. Noel makes free throw 1 of 2,33,23
2,8:22.0,,N. Noel makes free throw 2 of 2,33,24
2,8:04.0,J. Clarkson misses 3-pt jump shot from 26 ft,,33,24
2,7:58.0,,Defensive rebound by P. Patterson,33,24
2,7:53.0,,R. Westbrook makes 3-pt jump shot from 26 ft (assist by N. Noel),33,27
2,7:29.0,A. Harrison misses 2-pt dunk from 2 ft (block by N. Noel),,33,27
2,7:28.0,Offensive rebound by J. Clarkson,,33,27
2,7:28.0,Personal foul by R. Westbrook (drawn by J. Clarkson),,33,27
2,7:28.0,C. Sexton enters the game for A. Harrison,,33,27
2,7:28.0,T. Thompson enters the game for A. Žižić,,33,27
2,7:28.0,,J. Grant enters the game for P. Patterson,33,27
2,7:24.0,C. Osman makes 2-pt layup from 1 ft (assist by L. Nance),,35,27
2,7:24.0,,Violation by Team (def goaltending),35,27
2,7:12.0,,Á. Abrines misses 3-pt jump shot from 26 ft,35,27
2,7:12.0,Defensive rebound by C. Sexton,,35,27
2,7:02.0,C. Osman makes 3-pt jump shot from 27 ft (assist by L. Nance),,38,27
2,6:49.0,,D. Burton makes 3-pt jump shot from 23 ft (assist by Á. Abrines),38,30
2,6:35.0,Offensive foul by L. Nance (drawn by D. Burton),,38,30
2,6:35.0,Turnover by L. Nance (offensive foul),,38,30
2,6:35.0,,S. Adams enters the game for Á. Abrines,38,30
2,6:35.0,,P. George enters the game for N. Noel,38,30
2,6:24.0,,Personal foul by C. Sexton (drawn by J. Grant),38,30
2,6:24.0,R. Hood enters the game for L. Nance,,38,30
2,6:14.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),38,32
2,6:06.0,C. Sexton misses 2-pt layup from 2 ft (block by S. Adams),,38,32
2,6:05.0,Offensive rebound by Team,,38,32
2,6:03.0,C. Osman makes 2-pt jump shot from 15 ft (assist by R. Hood),,40,32
2,5:50.0,,J. Grant makes 2-pt dunk at rim (assist by R. Westbrook),40,34
2,5:40.0,Personal foul by P. George (drawn by T. Thompson),,40,34
2,5:40.0,Cleveland full timeout,,40,34
2,5:31.0,C. Sexton makes 2-pt layup from 1 ft (assist by C. Osman),,42,34
2,5:16.0,,P. George misses 2-pt layup from 2 ft,42,34
2,5:16.0,,Offensive rebound by P. George,42,34
2,5:15.0,,Offensive foul by P. George (drawn by C. Osman),42,34
2,5:15.0,,Turnover by P. George (offensive foul),42,34
2,5:15.0,,D. Schröder enters the game for P. George,42,34
2,5:02.0,J. Clarkson misses 2-pt jump shot from 14 ft,,42,34
2,4:59.0,,Defensive rebound by D. Schröder,42,34
2,4:51.0,,D. Burton makes 2-pt dunk at rim (assist by R. Westbrook),42,36
