QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
1,11:54.0,P. Beverley makes 2-pt layup from 2 ft,,2,0
1,11:35.0,,J. McGee makes 2-pt dunk from 2 ft (assist by R. Rondo),2,2
1,11:13.0,Personal foul by J. McGee (drawn by I. Zubac),,2,2
1,11:07.0,Shooting foul by R. Rondo (drawn by L. Shamet),,2,2
1,11:07.0,L. Shamet makes free throw 1 of 3,,3,2
1,11:07.0,L. Shamet makes free throw 2 of 3,,4,2
1,11:07.0,L. Shamet makes free throw 3 of 3,,5,2
1,10:52.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),5,4
1,10:42.0,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,,5,4
1,10:40.0,,Defensive rebound by R. Bullock,5,4
1,10:36.0,,K. Kuzma makes 2-pt dunk from 1 ft (assist by R. Rondo),5,6
1,10:22.0,Turnover by P. Beverley (bad pass; steal by R. Rondo),,5,6
1,10:17.0,,R. Rondo makes 3-pt jump shot from 27 ft,5,9
1,10:04.0,Shooting foul by J. McGee (drawn by I. Zubac),,5,9
1,10:04.0,I. Zubac misses free throw 1 of 2,,5,9
1,10:04.0,Offensive rebound by Team,,5,9
1,10:04.0,I. Zubac makes free throw 2 of 2,,6,9
1,9:49.0,,J. McGee misses 2-pt layup from 3 ft,6,9
1,9:49.0,,Offensive rebound by Team,6,9
1,9:49.0,Loose ball foul by P. Beverley (drawn by L. James),,6,9
1,9:43.0,,Turnover by R. Rondo (bad pass; steal by P. Beverley),6,9
1,9:29.0,I. Zubac makes 2-pt layup from 1 ft (assist by D. Gallinari),,8,9
1,9:20.0,,K. Kuzma misses 2-pt jump shot from 19 ft,8,9
1,9:17.0,Defensive rebound by D. Gallinari,,8,9
1,9:09.0,D. Gallinari misses 2-pt jump shot from 7 ft,,8,9
1,9:06.0,,Defensive rebound by L. James,8,9
1,8:59.0,,K. Kuzma misses 3-pt jump shot from 25 ft,8,9
