QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
4,3:22.0,Turnover by G. Monroe (bad pass; steal by E. Udoh),,120,96
4,3:17.0,,G. Allen makes 2-pt dunk from 2 ft,120,98
4,3:01.0,D. Wright makes 2-pt layup from 2 ft,,122,98
4,2:46.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by T. Sefolosha),122,101
4,2:21.0,D. Wright misses 2-pt layup from 3 ft,,122,101
4,2:19.0,,Defensive rebound by T. Sefolosha,122,101
4,2:08.0,,N. Mitrou-Long misses 3-pt jump shot from 28 ft,122,101
4,2:05.0,,Offensive rebound by T. Sefolosha,122,101
4,2:03.0,,G. Allen makes 3-pt jump shot from 25 ft (assist by T. Sefolosha),122,104
4,1:45.0,C. Miles misses 3-pt jump shot from 28 ft,,122,104
4,1:41.0,,Defensive rebound by E. Udoh,122,104
4,1:38.0,,Shooting foul by L. Brown (drawn by A. Burks),122,104
4,1:38.0,Toronto full timeout,,122,104
4,1:38.0,,A. Burks makes free throw 1 of 2,122,105
4,1:38.0,,A. Burks makes free throw 2 of 2,122,106
4,1:35.0,Personal take foul by N. Mitrou-Long (drawn by C. Miles),,122,106
4,1:35.0,,D. Exum enters the game for A. Burks,122,106
4,1:22.0,,Violation by Team (kicked ball),122,106
4,1:11.0,G. Monroe makes 2-pt hook shot from 8 ft,,124,106
4,1:06.0,,G. Allen misses 3-pt jump shot from 27 ft,124,106
4,1:02.0,Defensive rebound by L. Brown,,124,106
4,0:54.0,G. Monroe misses 3-pt jump shot from 25 ft,,124,106
4,0:52.0,,Defensive rebound by D. Exum,124,106
4,0:41.0,,E. Udoh makes 2-pt jump shot from 4 ft,124,108
4,0:35.0,M. Richardson misses 3-pt jump shot from 23 ft,,124,108
4,0:35.0,,Defensive rebound by T. Sefolosha,124,108
4,0:25.0,,G. Allen makes 3-pt jump shot from 23 ft (assist by D. Exum),124,111
4,0:01.0,Turnover by Team (shot clock),,124,111
