QUARTER,TIME_REMAINING,UTAH_ACTION,HOUSTON_ACTION,UTAH_SCORE,HOUSTON_SCORE
1,11:51.0,Turnover by J. Ingles (bad pass),,0,0
1,11:29.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),0,2
1,11:05.0,Turnover by D. Mitchell (lost ball; steal by E. Gordon),,0,2
1,11:04.0,,E. Gordon makes 2-pt layup from 3 ft,0,4
1,11:04.0,,Shooting foul by D. Mitchell (drawn by E. Gordon),0,4
1,11:04.0,,E. Gordon makes free throw 1 of 1,0,5
1,10:57.0,Personal foul by C. Paul (drawn by D. Mitchell),,0,5
1,10:44.0,D. Favors misses 3-pt jump shot from 23 ft,,0,5
1,10:42.0,Offensive rebound by R. Rubio,,0,5
1,10:41.0,R. Rubio misses 2-pt jump shot from 12 ft,,0,5
1,10:38.0,,Defensive rebound by J. Harden,0,5
1,10:29.0,,J. Harden misses 3-pt jump shot from 26 ft,0,5
1,10:27.0,Defensive rebound by R. Gobert,,0,5
1,10:19.0,D. Favors misses 3-pt jump shot from 23 ft,,0,5
1,10:17.0,Offensive rebound by R. Gobert,,0,5
1,10:14.0,D. Favors makes 2-pt dunk from 2 ft (assist by R. Gobert),,2,5
1,10:05.0,,Personal foul by J. Ingles (drawn by C. Paul),2,5
1,9:50.0,,J. Harden makes 2-pt jump shot from 5 ft,2,7
1,9:37.0,D. Mitchell makes 2-pt jump shot from 15 ft,,4,7
1,9:29.0,,C. Paul misses 3-pt jump shot from 27 ft,4,7
1,9:26.0,Defensive rebound by D. Favors,,4,7
1,9:21.0,D. Mitchell misses 3-pt jump shot from 27 ft,,4,7
1,9:17.0,,Defensive rebound by J. Harden,4,7
1,9:09.0,,J. Harden misses 3-pt jump shot from 26 ft,4,7
1,9:05.0,Defensive rebound by D. Favors,,4,7
1,8:47.0,Turnover by D. Mitchell (bad pass; steal by P. Tucker),,4,7
1,8:41.0,,E. Gordon makes 3-pt jump shot from 29 ft (assist by J. Harden),4,10
1,8:20.0,Turnover by J. Ingles (bad pass; steal by C. Paul),,4,10
1,8:15.0,,E. Gordon makes 2-pt layup from 3 ft (assist by C. Paul),4,12
1,8:14.0,Utah full timeout,,4,12
1,8:14.0,J. Crowder enters the game for D. Favors,,4,12
1,8:06.0,,Violation by Team (kicked ball),4,12
1,7:59.0,D. Mitchell makes 2-pt layup from 2 ft,,6,12
1,7:40.0,,J. Harden makes 3-pt jump shot from 28 ft,6,15
1,7:28.0,J. Crowder makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,9,15
1,7:16.0,,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Harden),9,18
1,7:04.0,Personal foul by J. Harden (drawn by R. Gobert),,9,18
1,7:04.0,,D. House enters the game for C. Paul,9,18
1,6:51.0,R. Rubio misses 3-pt jump shot from 25 ft,,9,18
1,6:48.0,,Defensive rebound by P. Tucker,9,18
1,6:29.0,,D. House makes 3-pt jump shot from 25 ft (assist by J. Harden),9,21
1,6:11.0,D. Mitchell misses 2-pt jump shot from 6 ft,,9,21
1,6:09.0,Offensive rebound by R. Gobert,,9,21
1,6:03.0,D. Mitchell misses 3-pt jump shot from 22 ft,,9,21
1,6:00.0,,Defensive rebound by C. Capela,9,21
1,5:55.0,,Shooting foul by D. Mitchell (drawn by J. Harden),9,21
1,5:55.0,,J. Harden makes free throw 1 of 3,9,22
1,5:55.0,,J. Harden makes free throw 2 of 3,9,23
1,5:55.0,R. O'Neale enters the game for D. Mitchell,,9,23
1,5:55.0,,A. Rivers enters the game for E. Gordon,9,23
1,5:55.0,,J. Harden makes free throw 3 of 3,9,24
1,5:45.0,R. O'Neale misses 3-pt jump shot from 23 ft,,9,24
1,5:42.0,,Defensive rebound by C. Capela,9,24
1,5:29.0,,J. Harden makes 3-pt jump shot from 28 ft,9,27
