QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MINNESOTA_ACTION,SACRAMENTO_SCORE,MINNESOTA_SCORE
1,11:46.0,,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),0,2
1,11:30.0,B. Hield makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,3,2
1,11:08.0,,A. Wiggins misses 2-pt jump shot from 7 ft,3,2
1,11:05.0,Defensive rebound by N. Bjelica,,3,2
1,10:59.0,B. Hield misses 2-pt jump shot from 8 ft,,3,2
1,10:56.0,,Defensive rebound by K. Towns,3,2
1,10:48.0,,D. Rose misses 2-pt jump shot from 7 ft,3,2
1,10:45.0,,Offensive rebound by T. Gibson,3,2
1,10:43.0,,T. Gibson makes 2-pt layup from 1 ft,3,4
1,10:35.0,D. Fox misses 3-pt jump shot from 26 ft,,3,4
1,10:32.0,,Defensive rebound by A. Wiggins,3,4
1,10:21.0,,D. Rose makes 3-pt jump shot from 25 ft (assist by R. Covington),3,7
1,10:13.0,Turnover by D. Fox (bad pass; steal by R. Covington),,3,7
1,10:08.0,,Personal foul by N. Bjelica (drawn by T. Gibson),3,7
1,10:04.0,,D. Rose makes 2-pt layup from 2 ft (assist by K. Towns),3,9
1,9:50.0,Shooting foul by A. Wiggins (drawn by W. Cauley-Stein),,3,9
1,9:50.0,W. Cauley-Stein makes free throw 1 of 2,,4,9
1,9:50.0,W. Cauley-Stein misses free throw 2 of 2,,4,9
1,9:48.0,,Defensive rebound by K. Towns,4,9
1,9:32.0,,T. Gibson makes 2-pt layup from 1 ft (assist by D. Rose),4,11
1,9:19.0,N. Bjelica misses 2-pt layup from 2 ft (block by K. Towns),,4,11
1,9:18.0,,Defensive rebound by D. Rose,4,11
1,9:18.0,,Personal take foul by B. Bogdanović (drawn by D. Rose),4,11
1,9:13.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by D. Rose),4,14
1,9:02.0,B. Bogdanović misses 2-pt jump shot from 21 ft,,4,14
1,9:00.0,,Defensive rebound by K. Towns,4,14
1,8:42.0,,K. Towns misses 2-pt hook shot from 6 ft,4,14
1,8:40.0,Defensive rebound by N. Bjelica,,4,14
1,8:34.0,N. Bjelica misses 2-pt layup from 2 ft,,4,14
1,8:32.0,,Defensive rebound by K. Towns,4,14
1,8:28.0,,Shooting foul by B. Hield (drawn by D. Rose),4,14
1,8:28.0,,D. Rose misses free throw 1 of 2,4,14
1,8:28.0,,Offensive rebound by Team,4,14
1,8:28.0,Sacramento full timeout,,4,14
1,8:28.0,,D. Rose makes free throw 2 of 2,4,15
1,8:09.0,Turnover by N. Bjelica (step out of bounds),,4,15
1,7:51.0,,T. Gibson misses 2-pt hook shot from 7 ft,4,15
1,7:50.0,Defensive rebound by Team,,4,15
1,7:43.0,D. Fox misses 2-pt layup from 4 ft (block by K. Towns),,4,15
1,7:40.0,Offensive rebound by D. Fox,,4,15
1,7:40.0,D. Fox misses 2-pt jump shot at rim,,4,15
1,7:40.0,Offensive rebound by Team,,4,15
1,7:33.0,B. Hield makes 2-pt jump shot from 16 ft (assist by W. Cauley-Stein),,6,15
1,7:15.0,,D. Rose misses 3-pt jump shot from 25 ft,6,15
1,7:12.0,Defensive rebound by B. Bogdanović,,6,15
1,7:01.0,D. Fox misses 3-pt jump shot from 23 ft,,6,15
1,6:58.0,,Defensive rebound by R. Covington,6,15
1,6:53.0,,R. Covington misses 3-pt jump shot from 25 ft,6,15
1,6:50.0,,Offensive rebound by T. Gibson,6,15
1,6:50.0,,Personal foul by W. Cauley-Stein (drawn by T. Gibson),6,15
1,6:50.0,J. Jackson enters the game for N. Bjelica,,6,15
1,6:50.0,K. Koufos enters the game for B. Bogdanović,,6,15
1,6:39.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by K. Towns),6,18
1,6:16.0,J. Jackson misses 3-pt jump shot from 26 ft,,6,18
1,6:14.0,Offensive rebound by K. Koufos,,6,18
1,6:12.0,B. Hield makes 3-pt jump shot from 25 ft (assist by K. Koufos),,9,18
1,6:03.0,,D. Rose makes 2-pt layup from 1 ft,9,20
1,5:58.0,Personal foul by D. Rose (drawn by D. Fox),,9,20
1,5:58.0,Y. Ferrell enters the game for D. Fox,,9,20
1,5:58.0,,G. Dieng enters the game for K. Towns,9,20
1,5:49.0,B. Hield makes 3-pt jump shot from 26 ft,,12,20
1,5:35.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by D. Rose),12,22
1,5:22.0,B. Hield makes 3-pt jump shot from 25 ft (assist by J. Jackson),,15,22
1,5:10.0,,Turnover by D. Rose (bad pass; steal by W. Cauley-Stein),15,22
1,4:56.0,B. Hield makes 2-pt layup from 1 ft,,17,22
1,4:49.0,,Minnesota full timeout,17,22
