QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
1,11:38.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by M. Conley),0,2
1,11:15.0,J. Randle misses 3-pt jump shot from 26 ft,,0,2
1,11:12.0,,Defensive rebound by J. Holiday,0,2
1,11:01.0,,G. Temple misses 3-pt jump shot from 23 ft,0,2
1,10:58.0,Defensive rebound by J. Holiday,,0,2
1,10:48.0,Personal foul by M. Gasol (drawn by J. Okafor),,0,2
1,10:36.0,E. Moore makes 2-pt jump shot from 7 ft (assist by J. Randle),,2,2
1,10:27.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by M. Conley),2,5
1,10:14.0,J. Holiday misses 2-pt jump shot from 8 ft,,2,5
1,10:11.0,,Defensive rebound by J. Holiday,2,5
1,10:06.0,,J. Jackson makes 2-pt dunk at rim (assist by M. Conley),2,7
1,9:50.0,Shooting foul by J. Jackson (drawn by J. Randle),,2,7
1,9:50.0,J. Randle makes free throw 1 of 2,,3,7
1,9:50.0,J. Randle makes free throw 2 of 2,,4,7
1,9:35.0,,G. Temple misses 3-pt jump shot from 25 ft,4,7
1,9:32.0,Defensive rebound by Team,,4,7
1,9:16.0,E. Moore makes 2-pt jump shot from 7 ft (assist by J. Randle),,6,7
1,8:57.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by G. Temple),6,10
1,8:44.0,J. Okafor makes 2-pt jump shot from 10 ft,,8,10
1,8:26.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by M. Conley),8,12
1,8:15.0,J. Holiday misses 3-pt jump shot from 24 ft,,8,12
1,8:13.0,,Defensive rebound by M. Conley,8,12
1,8:09.0,,Turnover by M. Conley (bad pass; steal by J. Randle),8,12
1,8:03.0,J. Randle makes 2-pt dunk from 1 ft,,10,12
1,7:49.0,,M. Gasol misses 3-pt jump shot from 25 ft,10,12
1,7:47.0,Defensive rebound by J. Holiday,,10,12
1,7:38.0,E. Moore misses 3-pt jump shot from 25 ft,,10,12
1,7:34.0,,Defensive rebound by M. Gasol,10,12
1,7:14.0,,M. Conley makes 3-pt jump shot from 22 ft (assist by M. Gasol),10,15
1,6:55.0,Shooting foul by J. Jackson (drawn by J. Randle),,10,15
1,6:55.0,,Memphis full timeout,10,15
1,6:55.0,,J. Green enters the game for J. Jackson,10,15
1,6:55.0,J. Randle misses free throw 1 of 2,,10,15
1,6:55.0,Offensive rebound by Team,,10,15
1,6:55.0,J. Randle makes free throw 2 of 2,,11,15
1,6:47.0,,Def 3 sec tech foul by Team,11,15
1,6:47.0,,M. Conley makes technical free throw,11,16
1,6:38.0,,J. Holiday misses 3-pt jump shot from 22 ft,11,16
1,6:34.0,Defensive rebound by E. Payton,,11,16
1,6:27.0,Turnover by E. Payton (bad pass; steal by J. Holiday),,11,16
1,6:18.0,,J. Green makes 3-pt jump shot from 24 ft (assist by G. Temple),11,19
1,5:51.0,J. Holiday makes 2-pt jump shot from 11 ft (assist by E. Payton),,13,19
1,5:31.0,,Turnover by J. Holiday (bad pass),13,19
1,5:19.0,Turnover by E. Moore (bad pass),,13,19
1,5:19.0,N. Mirotić enters the game for J. Randle,,13,19
1,5:06.0,,M. Conley misses 2-pt jump shot from 10 ft,13,19
1,5:01.0,Defensive rebound by J. Okafor,,13,19
1,4:44.0,E. Payton misses 3-pt jump shot from 26 ft,,13,19
1,4:43.0,Offensive rebound by Team,,13,19
1,4:43.0,,Loose ball foul by J. Green (drawn by J. Okafor),13,19
1,4:43.0,D. Miller enters the game for E. Moore,,13,19
1,4:43.0,,S. Mack enters the game for M. Conley,13,19
1,4:31.0,E. Payton misses 2-pt layup from 1 ft,,13,19
1,4:28.0,,Defensive rebound by G. Temple,13,19
1,4:23.0,,Shooting foul by J. Okafor (drawn by G. Temple),13,19
1,4:23.0,,G. Temple misses free throw 1 of 2,13,19
1,4:23.0,,Offensive rebound by Team,13,19
1,4:23.0,T. Frazier enters the game for E. Payton,,13,19
1,4:23.0,,J. Carter enters the game for J. Holiday,13,19
1,4:23.0,,G. Temple makes free throw 2 of 2,13,20
1,4:04.0,T. Frazier misses 3-pt jump shot from 24 ft,,13,20
1,4:02.0,Offensive rebound by J. Okafor,,13,20
1,4:00.0,D. Miller misses 3-pt jump shot from 25 ft,,13,20
1,3:57.0,,Defensive rebound by J. Green,13,20
1,3:47.0,,J. Green misses 3-pt jump shot from 25 ft,13,20
1,3:43.0,,Offensive rebound by J. Carter,13,20
1,3:32.0,,M. Gasol makes 2-pt jump shot from 16 ft,13,22
1,3:14.0,J. Okafor misses 2-pt hook shot from 4 ft,,13,22
1,3:12.0,,Defensive rebound by J. Green,13,22
1,3:01.0,,Turnover by J. Green (bad pass; steal by N. Mirotić),13,22
1,3:01.0,Personal foul by M. Gasol (drawn by N. Mirotić),,13,22
1,3:01.0,N. Mirotić makes free throw 1 of 2,,14,22
1,3:01.0,F. Jackson enters the game for J. Holiday,,14,22
1,3:01.0,J. Randle enters the game for J. Okafor,,14,22
1,3:01.0,,I. Rabb enters the game for M. Gasol,14,22
