QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
1,11:44.0,C. Osman makes 2-pt layup from 2 ft,,2,0
1,11:25.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,2,2
1,11:01.0,C. Osman misses 2-pt jump shot from 11 ft,,2,2
1,10:58.0,,Defensive rebound by P. Beverley,2,2
1,10:57.0,,I. Zubac makes 2-pt dunk at rim (assist by P. Beverley),2,4
1,10:37.0,Turnover by C. Sexton (lost ball; steal by S. Gilgeous-Alexander),,2,4
1,10:34.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,2,4
1,10:31.0,,Offensive rebound by L. Shamet,2,4
1,10:23.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by S. Gilgeous-Alexander),2,7
1,10:10.0,C. Sexton misses 2-pt layup from 2 ft (block by I. Zubac),,2,7
1,10:07.0,Offensive rebound by T. Thompson,,2,7
1,10:07.0,T. Thompson makes 2-pt layup from 1 ft,,4,7
1,10:02.0,,J. Green makes 2-pt layup from 2 ft (assist by P. Beverley),4,9
1,10:02.0,Cleveland full timeout,,4,9
1,9:52.0,Personal foul by L. Shamet (drawn by C. Sexton),,4,9
1,9:43.0,Shooting foul by I. Zubac (drawn by C. Sexton),,4,9
1,9:43.0,C. Sexton makes free throw 1 of 2,,5,9
1,9:43.0,C. Sexton makes free throw 2 of 2,,6,9
1,9:20.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 22 ft,6,9
1,9:18.0,,Offensive rebound by P. Beverley,6,9
1,9:18.0,,Personal foul by B. Knight (drawn by P. Beverley),6,9
1,9:09.0,,P. Beverley misses 2-pt jump shot from 3 ft,6,9
1,9:06.0,Defensive rebound by T. Thompson,,6,9
1,8:57.0,T. Thompson makes 2-pt hook shot from 9 ft (assist by C. Osman),,8,9
1,8:48.0,,P. Beverley misses 2-pt layup from 2 ft,8,9
1,8:41.0,,Offensive rebound by J. Green,8,9
1,8:41.0,,J. Green makes 2-pt dunk at rim,8,11
1,8:32.0,C. Sexton makes 3-pt jump shot from 25 ft,,11,11
1,8:17.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 24 ft (assist by L. Shamet),11,14
1,7:59.0,D. Nwaba misses 2-pt hook shot from 4 ft,,11,14
1,7:57.0,,Defensive rebound by J. Green,11,14
1,7:44.0,,P. Beverley misses 3-pt jump shot from 25 ft,11,14
1,7:40.0,Defensive rebound by C. Sexton,,11,14
1,7:28.0,Turnover by T. Thompson (bad pass),,11,14
1,7:18.0,,J. Green makes 2-pt layup from 3 ft (assist by P. Beverley),11,16
1,7:02.0,C. Sexton misses 2-pt jump shot from 13 ft,,11,16
1,7:00.0,Offensive rebound by T. Thompson,,11,16
1,6:59.0,Personal foul by J. Green (drawn by T. Thompson),,11,16
1,6:59.0,L. Nance enters the game for D. Nwaba,,11,16
1,6:48.0,C. Osman misses 3-pt jump shot from 26 ft,,11,16
1,6:47.0,Offensive rebound by L. Nance,,11,16
1,6:46.0,L. Nance misses 2-pt layup from 2 ft,,11,16
1,6:45.0,Offensive rebound by T. Thompson,,11,16
1,6:45.0,Turnover by Team (shot clock),,11,16
1,6:34.0,,L. Shamet misses 3-pt jump shot from 26 ft,11,16
1,6:28.0,,Offensive rebound by S. Gilgeous-Alexander,11,16
1,6:24.0,,P. Beverley misses 3-pt jump shot from 28 ft,11,16
1,6:22.0,,Offensive rebound by J. Green,11,16
1,6:20.0,,J. Green makes 2-pt dunk from 2 ft,11,18
1,6:06.0,B. Knight misses 2-pt hook shot from 12 ft,,11,18
1,6:06.0,,Defensive rebound by I. Zubac,11,18
1,5:58.0,,Shooting foul by B. Knight (drawn by S. Gilgeous-Alexander),11,18
1,5:58.0,,S. Gilgeous-Alexander misses free throw 1 of 2,11,18
1,5:58.0,,Offensive rebound by Team,11,18
1,5:58.0,J. Clarkson enters the game for B. Knight,,11,18
1,5:58.0,,S. Gilgeous-Alexander makes free throw 2 of 2,11,19
1,5:38.0,Turnover by L. Nance (bad pass; steal by J. Green),,11,19
1,5:34.0,,L. Shamet misses 3-pt jump shot from 23 ft,11,19
1,5:30.0,Defensive rebound by T. Thompson,,11,19
1,5:26.0,J. Clarkson makes 2-pt jump shot from 3 ft,,13,19
1,5:26.0,Shooting foul by P. Beverley (drawn by J. Clarkson),,13,19
1,5:26.0,M. Chriss enters the game for T. Thompson,,13,19
1,5:26.0,J. Clarkson makes free throw 1 of 1,,14,19
1,5:17.0,,Personal foul by J. Clarkson (drawn by L. Shamet),14,19
1,5:17.0,,M. Harrell enters the game for L. Shamet,14,19
1,5:17.0,,L. Williams enters the game for I. Zubac,14,19
1,5:08.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by S. Gilgeous-Alexander),14,21
1,4:50.0,C. Sexton misses 3-pt jump shot from 23 ft,,14,21
1,4:50.0,Offensive rebound by L. Nance,,14,21
1,4:47.0,C. Osman makes 3-pt jump shot from 26 ft (assist by L. Nance),,17,21
1,4:38.0,,S. Gilgeous-Alexander makes 2-pt layup from 3 ft,17,23
1,4:23.0,M. Chriss makes 2-pt dunk from 1 ft (assist by C. Osman),,19,23
1,4:23.0,Shooting foul by M. Harrell (drawn by M. Chriss),,19,23
1,4:23.0,M. Chriss makes free throw 1 of 1,,20,23
1,4:11.0,,Turnover by L. Williams (lost ball; steal by C. Osman),20,23
1,4:06.0,J. Clarkson makes 2-pt dunk from 1 ft (assist by C. Osman),,22,23
1,3:48.0,,P. Beverley misses 3-pt jump shot from 26 ft,22,23
1,3:44.0,Defensive rebound by L. Nance,,22,23
1,3:35.0,C. Sexton misses 3-pt jump shot from 26 ft,,22,23
1,3:31.0,Offensive rebound by L. Nance,,22,23
1,3:25.0,Offensive foul by M. Chriss (drawn by M. Harrell),,22,23
1,3:25.0,Turnover by M. Chriss (offensive foul),,22,23
1,3:25.0,,LA Clippers full timeout,22,23
1,3:25.0,,W. Chandler enters the game for P. Beverley,22,23
1,3:25.0,,G. Temple enters the game for S. Gilgeous-Alexander,22,23
1,3:25.0,,T. Wallace enters the game for J. Green,22,23
1,3:15.0,,W. Chandler misses 3-pt jump shot from 23 ft,22,23
1,3:12.0,Defensive rebound by C. Osman,,22,23
1,2:59.0,J. Clarkson misses 3-pt jump shot from 24 ft,,22,23
1,2:57.0,Offensive rebound by M. Chriss,,22,23
