QUARTER,TIME_REMAINING,PHOENIX_ACTION,PHILADELPHIA_ACTION,PHOENIX_SCORE,PHILADELPHIA_SCORE
4,0:16.0,,J. Butler makes free throw 2 of 2,108,116
4,0:16.0,Phoenix full timeout,,108,116
4,0:16.0,,M. Muscala enters the game for J. Embiid,108,116
4,0:15.0,M. Bridges makes 3-pt jump shot from 22 ft (assist by T. Warren),,111,116
4,0:14.0,,Philadelphia full timeout,111,116
4,0:14.0,I. Canaan enters the game for D. Booker,,111,116
4,0:14.0,J. Jackson enters the game for T. Warren,,111,116
4,0:10.0,,Personal foul by D. Ayton (drawn by M. Muscala),111,116
4,0:10.0,,M. Muscala misses free throw 1 of 2,111,116
4,0:10.0,,Offensive rebound by Team,111,116
4,0:10.0,D. Booker enters the game for I. Canaan,,111,116
4,0:10.0,T. Warren enters the game for J. Jackson,,111,116
4,0:10.0,,M. Muscala makes free throw 2 of 2,111,117
4,0:05.0,M. Bridges makes 3-pt jump shot from 26 ft (assist by T. Warren),,114,117
4,0:02.0,,Personal take foul by D. Booker (drawn by J. Butler),114,117
4,0:02.0,I. Canaan enters the game for D. Booker,,114,117
4,0:02.0,,J. Butler makes free throw 1 of 2,114,118
4,0:02.0,,J. Butler makes free throw 2 of 2,114,119
