QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
1,11:45.0,Z. LaVine makes 2-pt layup from 2 ft (assist by W. Carter),,2,0
1,11:30.0,,Personal foul by Z. LaVine (drawn by M. Turner),2,0
1,11:19.0,,B. Bogdanović makes 2-pt layup from 1 ft,2,2
1,11:02.0,L. Markkanen misses 3-pt jump shot from 29 ft,,2,2
1,11:01.0,,Defensive rebound by T. Evans,2,2
1,10:41.0,,T. Young misses 2-pt jump shot from 16 ft,2,2
1,10:39.0,Defensive rebound by Z. LaVine,,2,2
1,10:27.0,W. Carter misses 2-pt jump shot from 12 ft,,2,2
1,10:25.0,,Defensive rebound by D. Collison,2,2
1,10:13.0,,Turnover by T. Evans (bad pass; steal by R. Arcidiacono),2,2
1,10:05.0,Personal foul by B. Bogdanović (drawn by J. Holiday),,2,2
1,9:57.0,J. Holiday makes 3-pt jump shot from 23 ft (assist by W. Carter),,5,2
1,9:34.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by M. Turner),5,4
1,9:23.0,R. Arcidiacono misses 2-pt jump shot from 17 ft,,5,4
1,9:20.0,Offensive rebound by J. Holiday,,5,4
1,9:14.0,Shooting foul by D. Collison (drawn by J. Holiday),,5,4
1,9:14.0,J. Holiday makes free throw 1 of 2,,6,4
1,9:14.0,J. Holiday makes free throw 2 of 2,,7,4
1,8:58.0,,Shooting foul by Z. LaVine (drawn by T. Evans),7,4
1,8:58.0,,T. Evans makes free throw 1 of 2,7,5
1,8:58.0,,T. Evans makes free throw 2 of 2,7,6
1,8:46.0,Personal foul by T. Evans (drawn by R. Arcidiacono),,7,6
1,8:41.0,Offensive foul by L. Markkanen (drawn by D. Collison),,7,6
1,8:41.0,Turnover by L. Markkanen (offensive foul),,7,6
1,8:24.0,,Turnover by T. Evans (bad pass),7,6
1,8:15.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,10,6
1,7:56.0,,T. Evans misses 3-pt jump shot from 22 ft,10,6
1,7:54.0,Defensive rebound by J. Holiday,,10,6
1,7:46.0,L. Markkanen misses 3-pt jump shot from 28 ft,,10,6
1,7:42.0,Offensive rebound by W. Carter,,10,6
1,7:33.0,L. Markkanen makes 2-pt dunk from 2 ft (assist by W. Carter),,12,6
1,7:20.0,,D. Collison misses 3-pt jump shot from 26 ft,12,6
1,7:18.0,Defensive rebound by W. Carter,,12,6
1,7:03.0,Turnover by W. Carter (traveling),,12,6
1,7:03.0,,Indiana full timeout,12,6
1,6:47.0,,Turnover by D. Collison (bad pass; steal by W. Carter),12,6
1,6:45.0,Turnover by Z. LaVine (step out of bounds),,12,6
1,6:25.0,,M. Turner makes 2-pt layup from 2 ft (assist by B. Bogdanović),12,8
1,6:10.0,W. Carter misses 2-pt layup from 3 ft,,12,8
1,6:08.0,,Defensive rebound by D. Collison,12,8
1,6:01.0,,M. Turner makes 2-pt jump shot from 17 ft,12,10
1,5:36.0,Z. LaVine misses 2-pt layup from 2 ft (block by M. Turner),,12,10
1,5:34.0,Offensive rebound by J. Holiday,,12,10
1,5:34.0,Turnover by Team (shot clock),,12,10
1,5:34.0,J. Parker enters the game for W. Carter,,12,10
1,5:28.0,,T. Evans makes 2-pt layup from 1 ft,12,12
1,5:08.0,J. Parker misses 3-pt jump shot from 27 ft,,12,12
1,5:05.0,,Defensive rebound by T. Young,12,12
1,4:59.0,,Turnover by T. Evans (bad pass),12,12
1,4:59.0,C. Payne enters the game for Z. LaVine,,12,12
1,4:47.0,L. Markkanen misses 3-pt jump shot from 27 ft,,12,12
1,4:44.0,Offensive rebound by J. Parker,,12,12
1,4:44.0,Turnover by J. Parker (traveling),,12,12
1,4:44.0,,D. Sabonis enters the game for T. Young,12,12
1,4:23.0,,T. Evans makes 2-pt layup from 1 ft,12,14
1,4:06.0,C. Payne misses 2-pt jump shot from 7 ft,,12,14
1,4:06.0,,Defensive rebound by Team,12,14
1,4:06.0,Loose ball foul by C. Payne (drawn by B. Bogdanović),,12,14
1,4:06.0,,C. Joseph enters the game for B. Bogdanović,12,14
1,3:42.0,,D. Collison makes 3-pt jump shot from 24 ft (assist by T. Evans),12,17
1,3:27.0,R. Arcidiacono misses 2-pt jump shot from 8 ft,,12,17
1,3:25.0,,Defensive rebound by D. Sabonis,12,17
1,3:17.0,,M. Turner makes 2-pt hook shot from 8 ft (assist by D. Sabonis),12,19
1,3:15.0,Chicago full timeout,,12,19
1,3:15.0,S. Harrison enters the game for R. Arcidiacono,,12,19
1,3:15.0,,D. McDermott enters the game for T. Evans,12,19
1,3:01.0,L. Markkanen misses 2-pt hook shot from 5 ft,,12,19
1,2:58.0,,Defensive rebound by D. Collison,12,19
1,2:39.0,,D. Sabonis misses 2-pt jump shot from 18 ft,12,19
1,2:35.0,,Offensive rebound by M. Turner,12,19
1,2:35.0,,M. Turner makes 2-pt layup at rim,12,21
1,2:12.0,S. Harrison misses 2-pt layup from 7 ft,,12,21
1,2:08.0,Offensive rebound by L. Markkanen,,12,21
1,2:08.0,L. Markkanen misses 2-pt layup from 1 ft,,12,21
1,2:08.0,,Defensive rebound by M. Turner,12,21
1,2:05.0,,Personal foul by S. Harrison (drawn by D. Sabonis),12,21
1,2:05.0,W. Carter enters the game for L. Markkanen,,12,21
1,1:48.0,,M. Turner misses 2-pt jump shot from 17 ft,12,21
1,1:44.0,Defensive rebound by W. Carter,,12,21
1,1:33.0,W. Carter makes 2-pt layup from 1 ft (assist by J. Holiday),,14,21
1,1:20.0,,D. McDermott misses 2-pt layup from 1 ft,14,21
1,1:19.0,,Offensive rebound by M. Turner,14,21
1,1:19.0,,M. Turner misses 2-pt layup from 1 ft,14,21
1,1:18.0,Defensive rebound by C. Payne,,14,21
1,1:15.0,J. Holiday makes 2-pt dunk from 1 ft (assist by C. Payne),,16,21
1,0:59.0,,M. Turner misses 2-pt jump shot from 16 ft,16,21
1,0:58.0,Defensive rebound by W. Carter,,16,21
1,0:50.0,J. Holiday misses 3-pt jump shot from 24 ft,,16,21
1,0:49.0,,Defensive rebound by D. Collison,16,21
1,0:39.0,,Shooting foul by W. Carter (drawn by M. Turner),16,21
1,0:39.0,,M. Turner makes free throw 1 of 2,16,22
1,0:39.0,,A. Holiday enters the game for D. Collison,16,22
1,0:39.0,,M. Turner makes free throw 2 of 2,16,23
1,0:30.0,C. Payne makes 2-pt layup at rim,,18,23
1,0:30.0,Shooting foul by A. Holiday (drawn by C. Payne),,18,23
1,0:30.0,C. Payne makes free throw 1 of 1,,19,23
1,0:09.0,,Turnover by D. Sabonis (traveling),19,23
1,0:02.0,J. Parker makes 2-pt jump shot from 18 ft,,21,23
1,0:00.0,,A. Holiday misses 3-pt jump shot from 68 ft,21,23
1,0:00.0,,Offensive rebound by Team,21,23
2,11:45.0,,D. Sabonis misses 2-pt jump shot from 6 ft,21,23
2,11:43.0,Defensive rebound by J. Parker,,21,23
2,11:24.0,S. Harrison misses 3-pt jump shot from 27 ft,,21,23
2,11:22.0,,Defensive rebound by D. McDermott,21,23
2,11:16.0,,A. Holiday misses 2-pt jump shot from 21 ft,21,23
2,11:13.0,Defensive rebound by W. Carter,,21,23
2,10:59.0,W. Carter misses 2-pt jump shot from 8 ft,,21,23
2,10:57.0,,Defensive rebound by C. Joseph,21,23
2,10:47.0,,D. McDermott misses 3-pt jump shot from 27 ft,21,23
2,10:44.0,Defensive rebound by J. Parker,,21,23
2,10:33.0,S. Harrison makes 2-pt jump shot from 8 ft (assist by J. Parker),,23,23
2,10:22.0,,Turnover by D. McDermott (bad pass; steal by Z. LaVine),23,23
2,10:18.0,Z. LaVine misses 2-pt jump shot from 7 ft,,23,23
2,10:15.0,,Defensive rebound by D. Sabonis,23,23
2,10:06.0,,A. Holiday misses 2-pt jump shot from 9 ft,23,23
2,10:04.0,Defensive rebound by J. Parker,,23,23
2,9:59.0,Z. LaVine misses 3-pt jump shot from 25 ft,,23,23
2,9:57.0,Offensive rebound by Team,,23,23
2,9:47.0,J. Parker misses 2-pt jump shot from 8 ft,,23,23
2,9:45.0,,Defensive rebound by D. Sabonis,23,23
2,9:34.0,,T. Young misses 3-pt jump shot from 22 ft,23,23
2,9:32.0,Defensive rebound by W. Carter,,23,23
2,9:25.0,W. Carter makes 2-pt jump shot from 8 ft (assist by C. Payne),,25,23
2,9:07.0,,Turnover by C. Joseph (traveling),25,23
2,8:47.0,S. Harrison makes 2-pt layup at rim (assist by Z. LaVine),,27,23
2,8:33.0,,A. Holiday makes 3-pt jump shot from 30 ft (assist by D. McDermott),27,26
2,8:19.0,W. Carter makes 2-pt jump shot from 15 ft (assist by Z. LaVine),,29,26
2,8:08.0,,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),29,28
2,7:59.0,Turnover by W. Carter (bad pass; steal by D. Sabonis),,29,28
2,7:52.0,,Personal foul by C. Payne (drawn by T. Young),29,28
2,7:52.0,R. Arcidiacono enters the game for C. Payne,,29,28
2,7:52.0,,B. Bogdanović enters the game for T. Young,29,28
2,7:44.0,,Turnover by D. Sabonis (bad pass; steal by S. Harrison),29,28
2,7:41.0,Turnover by S. Harrison (lost ball; steal by A. Holiday),,29,28
2,7:33.0,,C. Joseph misses 3-pt jump shot from 26 ft,29,28
2,7:31.0,Defensive rebound by S. Harrison,,29,28
2,7:25.0,J. Parker makes 2-pt jump shot from 15 ft (assist by S. Harrison),,31,28
2,7:10.0,,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Joseph),31,31
2,6:52.0,Shooting foul by D. Sabonis (drawn by W. Carter),,31,31
2,6:52.0,,Indiana full timeout,31,31
2,6:52.0,J. Holiday enters the game for S. Harrison,,31,31
2,6:52.0,C. Hutchison enters the game for J. Parker,,31,31
2,6:52.0,W. Carter makes free throw 1 of 2,,32,31
2,6:52.0,W. Carter makes free throw 2 of 2,,33,31
2,6:41.0,,C. Joseph makes 2-pt layup at rim (assist by A. Holiday),33,33
2,6:17.0,R. Arcidiacono misses 3-pt jump shot from 27 ft,,33,33
2,6:15.0,,Defensive rebound by D. Sabonis,33,33
2,6:09.0,,B. Bogdanović misses 2-pt layup at rim (block by W. Carter),33,33
2,6:06.0,Defensive rebound by C. Hutchison,,33,33
2,6:04.0,Z. LaVine makes 2-pt dunk at rim (assist by C. Hutchison),,35,33
2,5:48.0,,D. Sabonis misses 2-pt jump shot from 19 ft,35,33
2,5:43.0,Defensive rebound by C. Hutchison,,35,33
2,5:26.0,Personal foul by C. Joseph (drawn by Z. LaVine),,35,33
2,5:26.0,,T. Evans enters the game for A. Holiday,35,33
2,5:26.0,,M. Turner enters the game for D. Sabonis,35,33
2,5:13.0,C. Hutchison makes 3-pt jump shot from 26 ft (assist by W. Carter),,38,33
2,4:57.0,,T. Evans misses 2-pt layup from 1 ft,38,33
2,4:54.0,Defensive rebound by W. Carter,,38,33
2,4:49.0,C. Hutchison misses 2-pt layup from 3 ft,,38,33
2,4:46.0,Offensive rebound by W. Carter,,38,33
2,4:46.0,W. Carter misses 2-pt layup from 1 ft,,38,33
2,4:43.0,,Defensive rebound by B. Bogdanović,38,33
2,4:37.0,,M. Turner makes 2-pt hook shot from 7 ft (assist by C. Joseph),38,35
2,4:37.0,L. Markkanen enters the game for W. Carter,,38,35
2,4:37.0,,D. Collison enters the game for D. McDermott,38,35
2,4:14.0,L. Markkanen makes 3-pt jump shot from 28 ft (assist by Z. LaVine),,41,35
2,3:53.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,41,35
2,3:50.0,Defensive rebound by L. Markkanen,,41,35
2,3:45.0,Offensive foul by Z. LaVine (drawn by B. Bogdanović),,41,35
2,3:45.0,Turnover by Z. LaVine (offensive foul),,41,35
2,3:45.0,J. Parker enters the game for Z. LaVine,,41,35
2,3:45.0,,T. Young enters the game for C. Joseph,41,35
2,3:37.0,,D. Collison makes 2-pt layup from 1 ft,41,37
2,3:10.0,L. Markkanen misses 2-pt jump shot from 18 ft,,41,37
2,3:08.0,,Defensive rebound by B. Bogdanović,41,37
2,2:56.0,,T. Evans misses 2-pt layup from 2 ft,41,37
2,2:55.0,Defensive rebound by J. Parker,,41,37
2,2:50.0,R. Arcidiacono misses 3-pt jump shot from 23 ft,,41,37
2,2:46.0,,Defensive rebound by M. Turner,41,37
2,2:34.0,,Personal foul by R. Arcidiacono (drawn by D. Collison),41,37
2,2:34.0,Chicago full timeout,,41,37
2,2:25.0,,B. Bogdanović makes 2-pt jump shot from 17 ft (assist by T. Young),41,39
2,2:08.0,Turnover by R. Arcidiacono (bad pass; steal by M. Turner),,41,39
2,2:06.0,,Shooting foul by R. Arcidiacono (drawn by B. Bogdanović),41,39
2,2:06.0,,B. Bogdanović makes free throw 1 of 2,41,40
2,2:06.0,C. Payne enters the game for R. Arcidiacono,,41,40
2,2:06.0,,B. Bogdanović makes free throw 2 of 2,41,41
2,1:46.0,J. Parker makes 2-pt jump shot from 19 ft (assist by C. Hutchison),,43,41
2,1:27.0,,T. Young misses 2-pt hook shot from 7 ft,43,41
2,1:24.0,Defensive rebound by L. Markkanen,,43,41
2,1:17.0,C. Payne misses 2-pt layup at rim,,43,41
2,1:13.0,Offensive rebound by J. Parker,,43,41
2,1:10.0,Turnover by J. Parker (bad pass; steal by T. Young),,43,41
2,1:05.0,,T. Evans makes 2-pt layup from 1 ft (assist by T. Young),43,43
2,0:52.0,J. Parker misses 2-pt layup from 3 ft,,43,43
2,0:50.0,,Defensive rebound by M. Turner,43,43
2,0:35.0,,T. Evans misses 3-pt jump shot from 27 ft,43,43
2,0:33.0,Defensive rebound by J. Holiday,,43,43
2,0:10.0,L. Markkanen makes 2-pt jump shot from 22 ft,,45,43
3,11:51.0,,Turnover by T. Young (bad pass; steal by L. Markkanen),45,43
3,11:38.0,L. Markkanen misses 3-pt jump shot from 28 ft,,45,43
3,11:35.0,,Defensive rebound by B. Bogdanović,45,43
3,11:26.0,,T. Young misses 2-pt hook shot from 5 ft,45,43
3,11:24.0,,Offensive rebound by T. Young,45,43
3,11:22.0,,T. Young makes 2-pt layup at rim,45,45
