QUARTER,TIME_REMAINING,UTAH_ACTION,OKLAHOMA CITY_ACTION,UTAH_SCORE,OKLAHOMA CITY_SCORE
1,11:45.0,,S. Adams misses 2-pt jump shot from 8 ft,0,0
1,11:42.0,,Offensive rebound by R. Westbrook,0,0
1,11:41.0,,R. Westbrook makes 2-pt layup from 1 ft,0,2
1,11:23.0,J. Ingles misses 3-pt jump shot from 25 ft,,0,2
1,11:21.0,,Defensive rebound by R. Westbrook,0,2
1,11:13.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),0,4
1,10:56.0,Turnover by D. Mitchell (bad pass; steal by P. George),,0,4
1,10:53.0,,P. George makes 2-pt layup from 1 ft,0,6
1,10:52.0,Utah full timeout,,0,6
1,10:31.0,D. Mitchell misses 3-pt jump shot from 24 ft,,0,6
1,10:28.0,Offensive rebound by R. Gobert,,0,6
1,10:26.0,R. Gobert misses 2-pt layup from 2 ft,,0,6
1,10:25.0,,Defensive rebound by R. Westbrook,0,6
1,10:12.0,,Turnover by R. Westbrook (bad pass; steal by R. Rubio),0,6
1,10:07.0,R. Rubio misses 3-pt jump shot from 25 ft,,0,6
1,10:05.0,Offensive rebound by D. Favors,,0,6
1,10:04.0,D. Favors makes 2-pt layup from 1 ft,,2,6
1,9:54.0,,S. Adams misses 2-pt jump shot from 10 ft,2,6
1,9:52.0,,Offensive rebound by J. Grant,2,6
1,9:47.0,,Personal foul by R. Rubio (drawn by S. Adams),2,6
1,9:33.0,,Turnover by S. Adams (lost ball; steal by J. Ingles),2,6
1,9:27.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Favors),,4,6
1,9:03.0,,S. Adams misses 2-pt hook shot from 3 ft,4,6
1,9:02.0,,Offensive rebound by S. Adams,4,6
1,9:02.0,,S. Adams misses 2-pt layup from 1 ft,4,6
1,9:02.0,,Offensive rebound by S. Adams,4,6
1,9:02.0,,Personal foul by R. Gobert (drawn by S. Adams),4,6
1,8:52.0,,R. Westbrook makes 2-pt layup from 1 ft,4,8
1,8:41.0,R. Rubio makes 2-pt layup from 2 ft,,6,8
1,8:31.0,,R. Westbrook misses 2-pt jump shot from 11 ft,6,8
1,8:29.0,Defensive rebound by D. Mitchell,,6,8
1,8:20.0,R. Rubio misses 2-pt layup from 1 ft,,6,8
1,8:18.0,,Defensive rebound by J. Grant,6,8
1,8:14.0,,Shooting foul by J. Ingles (drawn by P. George),6,8
1,8:14.0,,P. George makes free throw 1 of 2,6,9
1,8:14.0,,P. George makes free throw 2 of 2,6,10
1,7:56.0,Personal foul by P. George (drawn by J. Ingles),,6,10
1,7:51.0,Shooting foul by J. Grant (drawn by D. Favors),,6,10
1,7:51.0,D. Favors misses free throw 1 of 2,,6,10
1,7:51.0,Offensive rebound by Team,,6,10
1,7:51.0,D. Favors misses free throw 2 of 2,,6,10
1,7:49.0,,Defensive rebound by R. Westbrook,6,10
1,7:33.0,,R. Westbrook misses 2-pt jump shot from 16 ft,6,10
1,7:31.0,Defensive rebound by R. Gobert,,6,10
1,7:24.0,Turnover by D. Mitchell (bad pass; steal by P. George),,6,10
1,7:19.0,,Turnover by P. George (lost ball; steal by D. Mitchell),6,10
1,7:12.0,Turnover by D. Mitchell (bad pass),,6,10
1,6:53.0,,J. Grant misses 2-pt layup from 1 ft,6,10
1,6:51.0,Defensive rebound by R. Gobert,,6,10
