QUARTER,TIME_REMAINING,BOSTON_ACTION,NEW ORLEANS_ACTION,BOSTON_SCORE,NEW ORLEANS_SCORE
1,11:43.0,A. Horford misses 2-pt hook shot from 11 ft,,0,0
1,11:39.0,,Defensive rebound by A. Davis,0,0
1,11:38.0,,Turnover by A. Davis (bad pass; steal by K. Irving),0,0
1,11:38.0,M. Smart misses 2-pt layup from 2 ft (block by J. Holiday),,0,0
1,11:33.0,,Defensive rebound by Team,0,0
1,11:27.0,,Shooting foul by A. Horford (drawn by A. Davis),0,0
1,11:27.0,,A. Davis makes free throw 1 of 2,0,1
1,11:27.0,,A. Davis makes free throw 2 of 2,0,2
1,11:11.0,M. Morris makes 2-pt jump shot from 11 ft (assist by K. Irving),,2,2
1,10:57.0,,A. Davis misses 2-pt jump shot from 18 ft,2,2
1,10:54.0,Defensive rebound by M. Morris,,2,2
1,10:46.0,Turnover by K. Irving (bad pass; steal by A. Davis),,2,2
1,10:35.0,,Turnover by A. Davis (lost ball; steal by A. Horford),2,2
1,10:33.0,K. Irving misses 2-pt jump shot from 18 ft,,2,2
1,10:24.0,,Defensive rebound by W. Johnson,2,2
1,10:23.0,,W. Johnson misses 2-pt layup from 4 ft,2,2
1,10:23.0,Defensive rebound by K. Irving,,2,2
1,10:23.0,Personal foul by W. Johnson (drawn by K. Irving),,2,2
1,10:12.0,M. Morris makes 3-pt jump shot from 27 ft (assist by K. Irving),,5,2
1,9:58.0,,J. Holiday misses 3-pt jump shot from 25 ft,5,2
1,9:54.0,Defensive rebound by K. Irving,,5,2
1,9:42.0,Personal foul by E. Moore (drawn by M. Morris),,5,2
1,9:32.0,K. Irving misses 3-pt jump shot from 27 ft,,5,2
1,9:29.0,,Defensive rebound by J. Holiday,5,2
1,9:27.0,,Turnover by J. Holiday (bad pass; steal by K. Irving),5,2
1,9:21.0,K. Irving misses 2-pt layup from 2 ft,,5,2
1,9:20.0,,Defensive rebound by A. Davis,5,2
1,9:16.0,,E. Moore misses 3-pt jump shot from 24 ft,5,2
1,9:12.0,Defensive rebound by J. Tatum,,5,2
1,9:07.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Tatum),,8,2
1,8:45.0,,Turnover by J. Holiday (bad pass; steal by M. Smart),8,2
1,8:41.0,M. Smart makes 2-pt layup from 2 ft,,10,2
1,8:41.0,,New Orleans full timeout,10,2
1,8:26.0,,A. Davis makes 2-pt layup from 2 ft (assist by E. Moore),10,4
1,8:10.0,J. Tatum misses 2-pt jump shot from 23 ft,,10,4
1,8:10.0,,Defensive rebound by W. Johnson,10,4
1,7:58.0,,Turnover by E. Moore (bad pass),10,4
1,7:49.0,Shooting foul by J. Holiday (drawn by J. Tatum),,10,4
1,7:49.0,J. Tatum makes free throw 1 of 2,,11,4
1,7:49.0,J. Tatum makes free throw 2 of 2,,12,4
1,7:40.0,,Personal foul by M. Morris (drawn by N. Mirotić),12,4
1,7:30.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by E. Moore),12,7
1,7:07.0,M. Morris misses 2-pt layup from 2 ft,,12,7
1,7:05.0,,Defensive rebound by J. Holiday,12,7
1,7:00.0,,Turnover by J. Holiday (bad pass; steal by A. Horford),12,7
1,6:55.0,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),,15,7
1,6:47.0,,A. Davis makes 2-pt jump shot from 10 ft (assist by J. Holiday),15,9
1,6:34.0,A. Horford makes 2-pt layup from 1 ft (assist by K. Irving),,17,9
1,6:34.0,Shooting foul by N. Mirotić (drawn by A. Horford),,17,9
1,6:34.0,A. Horford makes free throw 1 of 1,,18,9
1,6:19.0,,Turnover by J. Holiday (bad pass; steal by K. Irving),18,9
1,6:14.0,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),,20,9
1,6:05.0,,N. Mirotić misses 3-pt jump shot from 26 ft,20,9
1,6:01.0,Defensive rebound by J. Tatum,,20,9
1,5:55.0,A. Horford makes 2-pt hook shot from 7 ft,,22,9
1,5:54.0,,New Orleans full timeout,22,9
1,5:54.0,,J. Randle enters the game for N. Mirotić,22,9
1,5:39.0,,W. Johnson misses 3-pt jump shot from 23 ft,22,9
1,5:37.0,,Offensive rebound by A. Davis,22,9
1,5:34.0,,W. Johnson makes 2-pt layup from 2 ft (assist by A. Davis),22,11
1,5:17.0,K. Irving makes 2-pt jump shot from 19 ft (assist by M. Smart),,24,11
1,5:11.0,,J. Randle misses 2-pt layup from 2 ft,24,11
1,5:09.0,Defensive rebound by J. Tatum,,24,11
1,5:05.0,Turnover by M. Morris (off goaltending),,24,11
1,4:49.0,,J. Randle misses 3-pt jump shot from 25 ft,24,11
1,4:46.0,,Offensive rebound by J. Holiday,24,11
1,4:42.0,,Turnover by J. Holiday (bad pass; steal by J. Tatum),24,11
1,4:26.0,A. Horford makes 2-pt hook shot from 2 ft,,26,11
1,4:10.0,,W. Johnson makes 3-pt jump shot from 24 ft (assist by J. Randle),26,14
1,3:56.0,A. Horford misses 3-pt jump shot from 26 ft,,26,14
1,3:52.0,,Defensive rebound by A. Davis,26,14
1,3:48.0,,Shooting foul by M. Smart (drawn by J. Randle),26,14
1,3:48.0,,J. Randle makes free throw 1 of 2,26,15
1,3:48.0,A. Baynes enters the game for M. Morris,,26,15
1,3:48.0,G. Hayward enters the game for M. Smart,,26,15
1,3:48.0,,J. Randle makes free throw 2 of 2,26,16
1,3:33.0,J. Tatum misses 3-pt jump shot from 26 ft,,26,16
1,3:28.0,,Defensive rebound by A. Davis,26,16
1,3:14.0,,E. Moore misses 2-pt jump shot from 8 ft,26,16
1,3:11.0,Defensive rebound by A. Horford,,26,16
1,3:11.0,,S. Hill enters the game for W. Johnson,26,16
1,3:11.0,,D. Miller enters the game for E. Moore,26,16
1,3:04.0,Turnover by G. Hayward (bad pass; steal by J. Holiday),,26,16
1,2:52.0,,J. Randle makes 2-pt dunk from 1 ft (assist by J. Holiday),26,18
1,2:27.0,Turnover by G. Hayward (lost ball; steal by D. Miller),,26,18
1,2:23.0,,D. Miller misses 3-pt jump shot from 26 ft,26,18
