QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MEMPHIS_ACTION,NEW ORLEANS_SCORE,MEMPHIS_SCORE
1,11:36.0,Shooting foul by J. Jackson (drawn by K. Williams),,0,0
1,11:36.0,K. Williams makes free throw 1 of 2,,1,0
1,11:36.0,K. Williams misses free throw 2 of 2,,1,0
1,11:33.0,,Defensive rebound by J. Holiday,1,0
1,11:20.0,,Turnover by A. Bradley (bad pass),1,0
1,11:11.0,A. Davis makes 2-pt dunk from 1 ft (assist by J. Holiday),,3,0
1,10:56.0,,J. Jackson misses 3-pt jump shot from 23 ft,3,0
1,10:51.0,,Offensive rebound by Team,3,0
1,10:48.0,,M. Conley misses 3-pt jump shot from 26 ft,3,0
1,10:45.0,Defensive rebound by A. Davis,,3,0
1,10:28.0,D. Miller makes 3-pt jump shot from 26 ft (assist by A. Davis),,6,0
1,9:59.0,,I. Rabb misses 2-pt layup from 2 ft,6,0
1,9:57.0,Defensive rebound by J. Holiday,,6,0
1,9:51.0,K. Williams misses 3-pt jump shot from 26 ft,,6,0
1,9:47.0,,Defensive rebound by J. Holiday,6,0
1,9:34.0,,I. Rabb makes 2-pt layup from 1 ft (assist by M. Conley),6,2
1,9:34.0,,Shooting foul by K. Williams (drawn by I. Rabb),6,2
1,9:34.0,,I. Rabb misses free throw 1 of 1,6,2
1,9:32.0,Defensive rebound by K. Williams,,6,2
1,9:25.0,Personal foul by A. Bradley (drawn by J. Holiday),,6,2
1,9:18.0,Turnover by J. Holiday (bad pass; steal by J. Jackson),,6,2
1,9:13.0,,A. Bradley misses 2-pt jump shot from 22 ft,6,2
1,9:10.0,Defensive rebound by F. Jackson,,6,2
1,9:00.0,J. Holiday makes 2-pt layup from 1 ft,,8,2
1,8:59.0,,Memphis full timeout,8,2
1,8:46.0,,M. Conley misses 2-pt jump shot from 17 ft,8,2
1,8:43.0,Defensive rebound by K. Williams,,8,2
1,8:35.0,Shooting foul by J. Jackson (drawn by J. Holiday),,8,2
1,8:35.0,J. Holiday misses free throw 1 of 2,,8,2
1,8:35.0,Offensive rebound by Team,,8,2
1,8:35.0,,J. Noah enters the game for J. Jackson,8,2
1,8:35.0,J. Holiday misses free throw 2 of 2,,8,2
1,8:33.0,,Defensive rebound by J. Noah,8,2
1,8:14.0,,Turnover by A. Bradley (bad pass; steal by J. Holiday),8,2
1,8:09.0,F. Jackson makes 2-pt layup at rim (assist by J. Holiday),,10,2
1,7:49.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by J. Holiday),10,5
1,7:40.0,F. Jackson misses 3-pt jump shot from 25 ft,,10,5
1,7:37.0,Offensive rebound by K. Williams,,10,5
1,7:29.0,D. Miller misses 3-pt jump shot from 23 ft,,10,5
1,7:26.0,Offensive rebound by K. Williams,,10,5
1,7:25.0,K. Williams makes 2-pt layup from 1 ft,,12,5
1,7:09.0,,Shooting foul by K. Williams (drawn by M. Conley),12,5
1,7:09.0,,M. Conley makes free throw 1 of 2,12,6
1,7:09.0,J. Randle enters the game for K. Williams,,12,6
1,7:09.0,,M. Conley makes free throw 2 of 2,12,7
1,6:47.0,A. Davis makes 2-pt dunk from 1 ft (assist by D. Miller),,14,7
1,6:33.0,,Personal foul by D. Miller (drawn by M. Conley),14,7
1,6:21.0,,J. Noah misses 2-pt hook shot from 6 ft (block by A. Davis),14,7
1,6:21.0,,Offensive rebound by Team,14,7
1,6:21.0,Violation by Team (kicked ball),,14,7
1,6:21.0,T. Frazier enters the game for J. Holiday,,14,7
1,6:08.0,,J. Holiday misses 2-pt jump shot from 21 ft,14,7
1,6:04.0,Defensive rebound by T. Frazier,,14,7
1,5:43.0,Shooting foul by J. Noah (drawn by A. Davis),,14,7
1,5:43.0,E. Moore enters the game for D. Miller,,14,7
1,5:43.0,,D. Wright enters the game for A. Bradley,14,7
1,5:43.0,A. Davis misses free throw 1 of 2,,14,7
1,5:43.0,Offensive rebound by Team,,14,7
1,5:43.0,A. Davis misses free throw 2 of 2,,14,7
1,5:41.0,,Defensive rebound by J. Noah,14,7
