QUARTER,TIME_REMAINING,MINNESOTA_ACTION,TORONTO_ACTION,MINNESOTA_SCORE,TORONTO_SCORE
1,11:39.0,,P. Siakam misses 2-pt layup from 4 ft,0,0
1,11:38.0,Defensive rebound by J. Okogie,,0,0
1,11:21.0,Turnover by K. Towns (bad pass; steal by K. Lowry),,0,0
1,11:16.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Lowry),0,3
1,11:00.0,J. Butler makes 2-pt dunk at rim,,2,3
1,10:36.0,,P. Siakam makes 2-pt hook shot from 4 ft (assist by K. Leonard),2,5
1,10:13.0,T. Gibson makes 2-pt jump shot from 20 ft (assist by J. Teague),,4,5
1,9:56.0,,K. Leonard makes 2-pt layup from 1 ft,4,7
1,9:46.0,J. Okogie misses 2-pt jump shot from 14 ft,,4,7
1,9:43.0,,Defensive rebound by D. Green,4,7
1,9:35.0,,K. Leonard misses 2-pt layup from 2 ft (block by J. Okogie),4,7
1,9:32.0,,Offensive rebound by P. Siakam,4,7
1,9:22.0,,K. Leonard makes 2-pt layup from 1 ft,4,9
1,9:10.0,Turnover by K. Towns (bad pass; steal by K. Lowry),,4,9
1,9:03.0,,Turnover by S. Ibaka (lost ball; steal by J. Butler),4,9
1,8:45.0,J. Okogie misses 2-pt layup from 5 ft (block by K. Leonard),,4,9
1,8:45.0,,Defensive rebound by K. Leonard,4,9
1,8:45.0,,Personal foul by J. Okogie (drawn by K. Leonard),4,9
1,8:33.0,,K. Leonard makes 2-pt jump shot from 8 ft,4,11
1,8:09.0,J. Teague makes 3-pt jump shot from 26 ft,,7,11
1,7:49.0,,K. Lowry misses 2-pt jump shot from 4 ft,7,11
1,7:46.0,Defensive rebound by K. Towns,,7,11
1,7:39.0,J. Okogie misses 2-pt layup from 1 ft,,7,11
1,7:36.0,Offensive rebound by J. Okogie,,7,11
1,7:36.0,J. Okogie misses 2-pt layup at rim,,7,11
1,7:35.0,Offensive rebound by J. Okogie,,7,11
1,7:35.0,J. Okogie misses 2-pt layup at rim,,7,11
1,7:34.0,Offensive rebound by J. Okogie,,7,11
1,7:34.0,J. Okogie misses 2-pt layup at rim,,7,11
1,7:34.0,Offensive rebound by J. Okogie,,7,11
1,7:34.0,Turnover by J. Okogie (lost ball; steal by K. Lowry),,7,11
1,7:27.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),7,13
1,7:10.0,J. Teague misses 2-pt layup from 1 ft (block by P. Siakam),,7,13
1,7:07.0,,Defensive rebound by S. Ibaka,7,13
1,7:04.0,,Turnover by K. Lowry (bad pass; steal by J. Teague),7,13
1,7:04.0,Personal take foul by K. Lowry (drawn by J. Teague),,7,13
1,6:54.0,K. Towns makes 2-pt jump shot from 17 ft (assist by J. Teague),,9,13
1,6:33.0,,Turnover by K. Lowry (bad pass; steal by J. Butler),9,13
1,6:28.0,J. Butler misses 3-pt jump shot from 26 ft,,9,13
1,6:25.0,,Defensive rebound by P. Siakam,9,13
1,6:20.0,,P. Siakam makes 2-pt jump shot from 10 ft,9,15
1,6:09.0,Turnover by J. Teague (bad pass; steal by P. Siakam),,9,15
1,5:58.0,,K. Leonard makes 3-pt jump shot from 27 ft (assist by D. Green),9,18
1,5:50.0,Minnesota full timeout,,9,18
1,5:40.0,T. Gibson misses 2-pt hook shot from 4 ft,,9,18
1,5:38.0,,Defensive rebound by P. Siakam,9,18
1,5:34.0,,K. Leonard misses 3-pt jump shot from 23 ft,9,18
1,5:30.0,Defensive rebound by T. Gibson,,9,18
1,5:11.0,K. Towns misses 2-pt jump shot from 17 ft,,9,18
1,5:09.0,,Defensive rebound by K. Lowry,9,18
1,5:07.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),9,20
1,5:07.0,,Shooting foul by J. Teague (drawn by P. Siakam),9,20
1,5:07.0,D. Rose enters the game for J. Butler,,9,20
1,5:07.0,,P. Siakam misses free throw 1 of 1,9,20
1,5:07.0,Defensive rebound by K. Towns,,9,20
1,4:48.0,D. Rose misses 2-pt layup from 2 ft,,9,20
1,4:48.0,,Defensive rebound by Team,9,20
1,4:34.0,,K. Leonard misses 2-pt hook shot from 5 ft (block by K. Towns),9,20
1,4:30.0,Defensive rebound by J. Teague,,9,20
1,4:28.0,J. Okogie misses 2-pt jump shot from 15 ft,,9,20
1,4:25.0,Offensive rebound by D. Rose,,9,20
1,4:24.0,K. Towns misses 3-pt jump shot from 26 ft,,9,20
1,4:24.0,,Defensive rebound by K. Lowry,9,20
1,4:16.0,,K. Leonard makes 2-pt layup at rim (assist by P. Siakam),9,22
1,4:03.0,Def 3 sec tech foul by Team,,9,22
1,4:03.0,K. Towns makes technical free throw,,10,22
1,4:03.0,,C. Miles enters the game for K. Leonard,10,22
1,3:48.0,J. Teague misses 2-pt jump shot from 14 ft,,10,22
1,3:46.0,,Defensive rebound by D. Green,10,22
1,3:39.0,,K. Lowry misses 3-pt jump shot from 30 ft,10,22
1,3:37.0,Defensive rebound by K. Towns,,10,22
1,3:35.0,Personal foul by P. Siakam (drawn by T. Gibson),,10,22
1,3:35.0,T. Jones enters the game for T. Gibson,,10,22
1,3:35.0,A. Tolliver enters the game for J. Teague,,10,22
1,3:30.0,D. Rose misses 2-pt jump shot from 18 ft,,10,22
1,3:26.0,,Defensive rebound by K. Lowry,10,22
1,3:23.0,,D. Green misses 3-pt jump shot from 26 ft,10,22
1,3:20.0,,Offensive rebound by P. Siakam,10,22
1,3:17.0,,Turnover by D. Green (step out of bounds),10,22
1,3:17.0,,O. Anunoby enters the game for P. Siakam,10,22
1,3:06.0,Personal foul by S. Ibaka (drawn by K. Towns),,10,22
1,3:06.0,,D. Wright enters the game for K. Lowry,10,22
1,2:58.0,K. Towns misses 2-pt hook shot from 5 ft,,10,22
1,2:55.0,Offensive rebound by A. Tolliver,,10,22
1,2:50.0,T. Jones makes 2-pt jump shot from 11 ft (assist by D. Rose),,12,22
1,2:37.0,,C. Miles misses 2-pt jump shot from 4 ft (block by K. Towns),12,22
1,2:34.0,Defensive rebound by A. Tolliver,,12,22
1,2:22.0,Turnover by K. Towns (traveling),,12,22
1,2:22.0,,Toronto full timeout,12,22
1,2:22.0,G. Dieng enters the game for K. Towns,,12,22
1,2:22.0,,N. Powell enters the game for D. Green,12,22
1,2:22.0,,J. Valančiūnas enters the game for S. Ibaka,12,22
1,2:05.0,,J. Valančiūnas makes 2-pt jump shot from 10 ft (assist by N. Powell),12,24
1,1:53.0,Offensive foul by G. Dieng (drawn by D. Wright),,12,24
1,1:53.0,Turnover by G. Dieng (offensive foul),,12,24
1,1:29.0,,O. Anunoby misses 3-pt jump shot from 26 ft,12,24
1,1:26.0,Defensive rebound by D. Rose,,12,24
1,1:21.0,D. Rose makes 2-pt layup from 2 ft,,14,24
1,1:03.0,,N. Powell makes 2-pt layup from 2 ft (assist by J. Valančiūnas),14,26
1,0:51.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Rose),,17,26
1,0:40.0,,J. Valančiūnas misses 2-pt jump shot from 17 ft,17,26
1,0:36.0,Defensive rebound by J. Okogie,,17,26
1,0:26.0,D. Rose makes 2-pt jump shot from 11 ft,,19,26
1,0:02.0,,Turnover by Team (shot clock),19,26
1,0:00.0,T. Jones misses 3-pt jump shot from 26 ft,,19,26
1,0:00.0,Offensive rebound by Team,,19,26
2,11:44.0,J. Butler misses 2-pt jump shot from 12 ft (block by D. Wright),,19,26
2,11:41.0,,Defensive rebound by C. Miles,19,26
2,11:30.0,,C. Miles misses 3-pt jump shot from 24 ft,19,26
2,11:27.0,Defensive rebound by A. Tolliver,,19,26
2,11:20.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by J. Butler),,22,26
2,11:04.0,,O. Anunoby misses 2-pt layup from 1 ft (block by A. Tolliver),22,26
2,11:02.0,Defensive rebound by T. Jones,,22,26
2,10:57.0,D. Rose misses 2-pt jump shot from 15 ft,,22,26
2,10:54.0,,Defensive rebound by K. Leonard,22,26
2,10:44.0,,C. Miles misses 3-pt jump shot from 23 ft,22,26
2,10:39.0,Defensive rebound by G. Dieng,,22,26
2,10:33.0,J. Butler makes 3-pt jump shot from 23 ft (assist by T. Jones),,25,26
2,10:20.0,,Personal foul by A. Tolliver (drawn by J. Valančiūnas),25,26
2,10:11.0,,Turnover by K. Leonard (lost ball; steal by J. Butler),25,26
2,10:09.0,Personal foul by K. Leonard (drawn by J. Butler),,25,26
2,9:59.0,G. Dieng makes 2-pt jump shot from 20 ft (assist by J. Butler),,27,26
2,9:52.0,,Toronto full timeout,27,26
2,9:52.0,,D. Green enters the game for C. Miles,27,26
2,9:52.0,,K. Lowry enters the game for D. Wright,27,26
2,9:41.0,,D. Green misses 2-pt jump shot from 6 ft,27,26
2,9:38.0,,Offensive rebound by J. Valančiūnas,27,26
2,9:38.0,,J. Valančiūnas makes 2-pt layup from 1 ft,27,28
2,9:23.0,J. Butler misses 2-pt jump shot from 18 ft,,27,28
2,9:20.0,,Defensive rebound by K. Lowry,27,28
2,9:14.0,,O. Anunoby misses 3-pt jump shot from 23 ft,27,28
2,9:12.0,,Offensive rebound by J. Valančiūnas,27,28
2,9:10.0,,J. Valančiūnas makes 2-pt jump shot from 7 ft,27,30
2,8:56.0,D. Rose misses 2-pt jump shot from 14 ft,,27,30
2,8:54.0,,Defensive rebound by D. Green,27,30
2,8:45.0,,J. Valančiūnas misses 2-pt hook shot from 2 ft,27,30
2,8:43.0,Defensive rebound by G. Dieng,,27,30
2,8:33.0,D. Rose misses 2-pt layup from 2 ft,,27,30
2,8:32.0,,Defensive rebound by J. Valančiūnas,27,30
2,8:22.0,,O. Anunoby misses 3-pt jump shot from 23 ft,27,30
2,8:20.0,,Offensive rebound by K. Leonard,27,30
2,8:15.0,,K. Leonard makes 3-pt jump shot from 27 ft (assist by D. Green),27,33
2,7:56.0,Turnover by G. Dieng (bad pass; steal by K. Leonard),,27,33
2,7:53.0,,Personal foul by T. Jones (drawn by K. Lowry),27,33
2,7:53.0,K. Towns enters the game for G. Dieng,,27,33
2,7:53.0,,P. Siakam enters the game for O. Anunoby,27,33
2,7:44.0,,K. Leonard makes 2-pt dunk from 1 ft,27,35
2,7:29.0,Turnover by T. Jones (lost ball; steal by K. Lowry),,27,35
2,7:20.0,,D. Green misses 2-pt layup from 1 ft,27,35
2,7:18.0,,Offensive rebound by J. Valančiūnas,27,35
2,7:18.0,,J. Valančiūnas misses 2-pt layup from 1 ft,27,35
2,7:18.0,Defensive rebound by Team,,27,35
2,7:18.0,J. Teague enters the game for T. Jones,,27,35
2,6:59.0,D. Rose misses 2-pt layup from 2 ft,,27,35
2,6:57.0,Offensive rebound by Team,,27,35
2,6:48.0,Shooting foul by K. Lowry (drawn by A. Tolliver),,27,35
2,6:48.0,A. Tolliver makes free throw 1 of 3,,28,35
2,6:48.0,A. Tolliver misses free throw 2 of 3,,28,35
2,6:48.0,Offensive rebound by Team,,28,35
