QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SACRAMENTO_ACTION,NEW ORLEANS_SCORE,SACRAMENTO_SCORE
1,11:44.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),0,3
1,11:28.0,E. Payton makes 2-pt jump shot from 6 ft,,2,3
1,11:18.0,,D. Fox misses 2-pt jump shot from 6 ft (block by I. Clark),2,3
1,11:18.0,Defensive rebound by K. Williams,,2,3
1,11:03.0,J. Okafor makes 2-pt dunk from 1 ft (assist by I. Clark),,4,3
1,10:48.0,,H. Barnes makes 2-pt jump shot from 5 ft,4,5
1,10:47.0,,Violation by Team (delay of game),4,5
1,10:37.0,I. Clark makes 3-pt jump shot from 26 ft (assist by E. Payton),,7,5
1,10:31.0,,Shooting foul by C. Wood (drawn by W. Cauley-Stein),7,5
1,10:31.0,,W. Cauley-Stein makes free throw 1 of 2,7,6
1,10:31.0,,W. Cauley-Stein makes free throw 2 of 2,7,7
1,10:24.0,I. Clark misses 3-pt jump shot from 23 ft,,7,7
1,10:21.0,,Defensive rebound by W. Cauley-Stein,7,7
1,10:18.0,,B. Hield misses 3-pt jump shot from 26 ft (block by E. Payton),7,7
1,10:15.0,,Offensive rebound by B. Hield,7,7
1,10:13.0,,N. Bjelica makes 3-pt jump shot from 26 ft (assist by B. Hield),7,10
1,10:05.0,C. Wood makes 2-pt dunk from 1 ft (assist by E. Payton),,9,10
1,9:53.0,,D. Fox misses 2-pt jump shot from 3 ft,9,10
1,9:51.0,Defensive rebound by C. Wood,,9,10
1,9:46.0,I. Clark makes 3-pt jump shot from 25 ft (assist by E. Payton),,12,10
1,9:35.0,,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),12,12
1,9:24.0,J. Okafor makes 3-pt jump shot from 25 ft (assist by K. Williams),,15,12
1,9:17.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by B. Hield),15,14
1,9:09.0,Turnover by J. Okafor (traveling),,15,14
1,9:02.0,,B. Hield misses 3-pt jump shot from 25 ft,15,14
1,8:59.0,Defensive rebound by C. Wood,,15,14
1,8:50.0,Turnover by C. Wood (bad pass; steal by D. Fox),,15,14
1,8:47.0,,D. Fox makes 2-pt dunk from 2 ft,15,16
1,8:37.0,I. Clark makes 3-pt jump shot from 25 ft,,18,16
1,8:21.0,,N. Bjelica makes 2-pt jump shot from 6 ft (assist by D. Fox),18,18
1,7:59.0,C. Wood misses 2-pt layup from 4 ft,,18,18
1,7:56.0,Offensive rebound by C. Wood,,18,18
1,7:56.0,C. Wood misses 2-pt layup from 1 ft,,18,18
1,7:55.0,,Defensive rebound by D. Fox,18,18
1,7:53.0,,B. Hield misses 3-pt jump shot from 25 ft,18,18
1,7:50.0,Defensive rebound by K. Williams,,18,18
1,7:46.0,Turnover by K. Williams (bad pass; steal by W. Cauley-Stein),,18,18
1,7:39.0,,D. Fox makes 2-pt layup from 2 ft,18,20
1,7:39.0,,Shooting foul by K. Williams (drawn by D. Fox),18,20
1,7:39.0,,D. Fox makes free throw 1 of 1,18,21
1,7:25.0,K. Williams misses 3-pt jump shot from 25 ft,,18,21
1,7:20.0,,Defensive rebound by D. Fox,18,21
