QUARTER,TIME_REMAINING,INDIANA_ACTION,NEW ORLEANS_ACTION,INDIANA_SCORE,NEW ORLEANS_SCORE
1,11:40.0,M. Turner misses 2-pt jump shot from 16 ft,,0,0
1,11:37.0,,Defensive rebound by K. Williams,0,0
1,11:25.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,3
1,11:25.0,,Shooting foul by B. Bogdanović (drawn by D. Miller),0,3
1,11:25.0,,D. Miller makes free throw 1 of 1,0,4
1,11:10.0,C. Joseph misses 2-pt jump shot from 15 ft,,0,4
1,11:07.0,,Defensive rebound by J. Okafor,0,4
1,10:58.0,,F. Jackson misses 2-pt layup from 2 ft,0,4
1,10:57.0,Defensive rebound by Team,,0,4
1,10:47.0,B. Bogdanović misses 2-pt layup from 1 ft,,0,4
1,10:45.0,,Defensive rebound by J. Okafor,0,4
1,10:34.0,,F. Jackson makes 3-pt jump shot from 25 ft (assist by J. Holiday),0,7
1,10:17.0,M. Turner misses 3-pt jump shot from 25 ft,,0,7
1,10:13.0,,Defensive rebound by K. Williams,0,7
1,10:06.0,,Turnover by J. Holiday (traveling),0,7
1,9:45.0,T. Young misses 2-pt hook shot from 2 ft,,0,7
1,9:43.0,,Defensive rebound by J. Okafor,0,7
1,9:32.0,,J. Holiday makes 2-pt jump shot from 10 ft,0,9
1,9:18.0,M. Turner misses 3-pt jump shot from 25 ft,,0,9
1,9:12.0,,Defensive rebound by K. Williams,0,9
1,9:06.0,,J. Okafor makes 2-pt jump shot from 9 ft (assist by K. Williams),0,11
1,8:56.0,Indiana full timeout,,0,11
1,8:47.0,Shooting foul by J. Okafor (drawn by M. Turner),,0,11
1,8:47.0,M. Turner makes free throw 1 of 2,,1,11
1,8:47.0,M. Turner makes free throw 2 of 2,,2,11
1,8:22.0,,Turnover by J. Okafor (lost ball; steal by M. Turner),2,11
1,8:08.0,C. Joseph misses 3-pt jump shot from 25 ft,,2,11
1,8:05.0,,Defensive rebound by K. Williams,2,11
1,7:57.0,,Turnover by J. Holiday (bad pass; steal by M. Turner),2,11
1,7:54.0,Shooting foul by D. Miller (drawn by T. Young),,2,11
1,7:54.0,T. Young makes free throw 1 of 2,,3,11
1,7:54.0,T. Young makes free throw 2 of 2,,4,11
1,7:41.0,,K. Williams misses 3-pt jump shot from 23 ft,4,11
1,7:37.0,Defensive rebound by T. Young,,4,11
1,7:32.0,D. Collison misses 2-pt jump shot from 6 ft,,4,11
1,7:28.0,,Defensive rebound by J. Okafor,4,11
1,7:15.0,,J. Holiday makes 2-pt layup from 2 ft,4,13
1,7:00.0,M. Turner misses 2-pt jump shot from 10 ft,,4,13
1,6:55.0,Offensive rebound by T. Young,,4,13
1,6:55.0,T. Young makes 2-pt layup at rim,,6,13
1,6:48.0,,J. Okafor misses 2-pt layup from 4 ft (block by M. Turner),6,13
1,6:46.0,Defensive rebound by M. Turner,,6,13
1,6:43.0,D. Collison makes 2-pt layup from 2 ft (assist by M. Turner),,8,13
1,6:34.0,,D. Miller misses 3-pt jump shot from 24 ft,8,13
1,6:34.0,Defensive rebound by D. Collison,,8,13
1,6:21.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,8,13
1,6:18.0,,Defensive rebound by J. Holiday,8,13
1,6:11.0,,J. Holiday misses 3-pt jump shot from 24 ft,8,13
1,6:08.0,Defensive rebound by D. Collison,,8,13
1,5:57.0,D. Collison misses 3-pt jump shot from 25 ft,,8,13
1,5:54.0,,Defensive rebound by J. Holiday,8,13
1,5:50.0,,K. Williams misses 2-pt layup from 3 ft,8,13
1,5:48.0,,Offensive rebound by K. Williams,8,13
1,5:48.0,,K. Williams misses 2-pt layup from 1 ft,8,13
1,5:48.0,Defensive rebound by Team,,8,13
1,5:48.0,,C. Diallo enters the game for J. Okafor,8,13
1,5:38.0,T. Young makes 2-pt layup from 2 ft,,10,13
1,5:28.0,,Turnover by D. Miller (bad pass),10,13
1,5:28.0,,I. Clark enters the game for F. Jackson,10,13
1,5:11.0,D. Collison makes 3-pt jump shot from 25 ft (assist by T. Young),,13,13
1,5:03.0,,Personal foul by M. Turner (drawn by C. Diallo),13,13
1,4:52.0,,Turnover by C. Diallo (bad pass),13,13
1,4:36.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),,16,13
1,4:25.0,,New Orleans full timeout,16,13
1,4:25.0,D. Sabonis enters the game for T. Young,,16,13
1,4:16.0,,J. Holiday misses 2-pt layup from 2 ft,16,13
1,4:12.0,,Offensive rebound by J. Holiday,16,13
1,4:12.0,,J. Holiday makes 2-pt layup from 1 ft,16,15
1,4:03.0,M. Turner misses 2-pt jump shot from 17 ft,,16,15
1,4:00.0,,Defensive rebound by K. Williams,16,15
1,3:46.0,,K. Williams misses 2-pt layup from 2 ft (block by M. Turner),16,15
1,3:42.0,Defensive rebound by D. Sabonis,,16,15
1,3:33.0,B. Bogdanović misses 2-pt layup at rim,,16,15
1,3:31.0,,Defensive rebound by C. Diallo,16,15
1,3:27.0,,I. Clark makes 2-pt jump shot from 22 ft (assist by K. Williams),16,17
1,3:07.0,D. Sabonis makes 2-pt hook shot from 4 ft,,18,17
1,2:53.0,,K. Williams misses 2-pt jump shot from 12 ft,18,17
1,2:51.0,Defensive rebound by D. Collison,,18,17
1,2:41.0,B. Bogdanović misses 2-pt layup from 3 ft,,18,17
1,2:38.0,,Defensive rebound by J. Holiday,18,17
1,2:34.0,,I. Clark misses 3-pt jump shot from 23 ft,18,17
1,2:29.0,Defensive rebound by C. Joseph,,18,17
1,2:15.0,Turnover by M. Turner (lost ball; steal by K. Williams),,18,17
1,2:07.0,,I. Clark misses 3-pt jump shot from 22 ft,18,17
1,2:05.0,Defensive rebound by D. Sabonis,,18,17
1,1:59.0,Shooting foul by K. Williams (drawn by M. Turner),,18,17
1,1:59.0,M. Turner misses free throw 1 of 2,,18,17
