QUARTER,TIME_REMAINING,MIAMI_ACTION,PHILADELPHIA_ACTION,MIAMI_SCORE,PHILADELPHIA_SCORE
1,8:21.0,J. Richardson misses 3-pt jump shot from 26 ft,,4,6
1,8:19.0,,Defensive rebound by Team,4,6
1,8:00.0,,J. Redick misses 2-pt jump shot from 9 ft (block by J. Richardson),4,6
1,7:56.0,Defensive rebound by K. Olynyk,,4,6
1,7:54.0,J. Richardson misses 2-pt jump shot from 22 ft,,4,6
1,7:51.0,,Defensive rebound by T. Harris,4,6
1,7:49.0,,J. Butler makes 2-pt dunk at rim (assist by B. Simmons),4,8
1,7:28.0,K. Olynyk makes 2-pt layup from 1 ft (assist by J. Winslow),,6,8
1,7:14.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by B. Marjanović),6,11
1,6:54.0,J. Winslow makes 2-pt jump shot from 15 ft (assist by H. Whiteside),,8,11
1,6:43.0,,B. Simmons misses 2-pt layup from 2 ft,8,11
1,6:39.0,,Offensive rebound by B. Marjanović,8,11
1,6:39.0,,B. Marjanović makes 2-pt dunk at rim,8,13
1,6:32.0,Miami full timeout,,8,13
1,6:32.0,D. Wade enters the game for J. Richardson,,8,13
1,6:32.0,,J. Ennis enters the game for J. Redick,8,13
1,6:32.0,,T. McConnell enters the game for B. Simmons,8,13
1,6:25.0,K. Olynyk misses 2-pt dunk from 1 ft,,8,13
1,6:24.0,Offensive rebound by D. Waiters,,8,13
1,6:23.0,D. Waiters misses 3-pt jump shot from 25 ft,,8,13
1,6:21.0,,Defensive rebound by B. Marjanović,8,13
1,6:14.0,,T. McConnell makes 2-pt jump shot from 19 ft,8,15
1,5:58.0,Shooting foul by T. Harris (drawn by D. Wade),,8,15
1,5:58.0,D. Wade makes free throw 1 of 2,,9,15
1,5:58.0,D. Wade makes free throw 2 of 2,,10,15
1,5:42.0,,T. McConnell misses 2-pt jump shot from 15 ft,10,15
1,5:40.0,,Offensive rebound by B. Marjanović,10,15
1,5:38.0,,Turnover by B. Marjanović (lost ball; steal by H. Whiteside),10,15
1,5:29.0,J. Winslow makes 3-pt jump shot from 24 ft (assist by K. Olynyk),,13,15
1,5:20.0,,B. Marjanović makes 2-pt jump shot from 14 ft (assist by T. McConnell),13,17
1,5:10.0,D. Wade misses 2-pt jump shot from 4 ft,,13,17
1,5:07.0,,Defensive rebound by B. Marjanović,13,17
1,5:03.0,,J. Butler makes 2-pt dunk from 1 ft (assist by T. McConnell),13,19
1,4:37.0,J. Winslow misses 3-pt jump shot from 25 ft,,13,19
1,4:34.0,,Defensive rebound by T. Harris,13,19
1,4:27.0,,J. Ennis misses 2-pt layup from 4 ft,13,19
1,4:25.0,Defensive rebound by H. Whiteside,,13,19
1,4:14.0,Turnover by D. Waiters (bad pass; steal by T. McConnell),,13,19
1,4:09.0,,T. Harris makes 2-pt layup from 2 ft,13,21
1,3:51.0,J. Winslow misses 2-pt jump shot from 8 ft,,13,21
1,3:49.0,,Defensive rebound by B. Marjanović,13,21
1,3:39.0,,B. Marjanović makes 2-pt jump shot from 9 ft (assist by T. McConnell),13,23
1,3:34.0,Miami full timeout,,13,23
1,3:34.0,B. Adebayo enters the game for K. Olynyk,,13,23
1,3:34.0,J. Johnson enters the game for D. Waiters,,13,23
1,3:34.0,R. McGruder enters the game for H. Whiteside,,13,23
1,3:34.0,J. Richardson enters the game for J. Winslow,,13,23
1,3:34.0,,J. Bolden enters the game for J. Butler,13,23
1,3:34.0,,J. Redick enters the game for J. Ennis,13,23
1,3:34.0,,M. Scott enters the game for T. Harris,13,23
1,3:34.0,,B. Simmons enters the game for B. Marjanović,13,23
1,3:34.0,,J. Simmons enters the game for T. McConnell,13,23
1,3:29.0,Offensive foul by D. Wade (drawn by J. Redick),,13,23
