QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
1,11:43.0,C. McCollum misses 2-pt jump shot from 9 ft,,0,0
1,11:41.0,,Defensive rebound by R. Covington,0,0
1,11:25.0,,T. Gibson misses 2-pt jump shot from 20 ft,0,0
1,11:22.0,Defensive rebound by A. Aminu,,0,0
1,11:13.0,A. Aminu misses 3-pt jump shot from 26 ft,,0,0
1,11:10.0,,Defensive rebound by R. Covington,0,0
1,10:59.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),0,2
1,10:41.0,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),,2,2
1,10:23.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by A. Wiggins),2,5
1,10:06.0,Shooting foul by T. Gibson (drawn by J. Layman),,2,5
1,10:06.0,J. Layman misses free throw 1 of 2,,2,5
1,10:06.0,Offensive rebound by Team,,2,5
1,10:06.0,J. Layman makes free throw 2 of 2,,3,5
1,9:59.0,,Personal foul by C. McCollum (drawn by A. Wiggins),3,5
1,9:48.0,,A. Wiggins misses 2-pt jump shot from 10 ft,3,5
1,9:44.0,Defensive rebound by J. Nurkić,,3,5
1,9:34.0,J. Nurkić misses 2-pt dunk from 2 ft,,3,5
1,9:32.0,Offensive rebound by D. Lillard,,3,5
1,9:29.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,5,5
1,9:05.0,,T. Gibson misses 2-pt layup from 3 ft,5,5
1,9:03.0,,Offensive rebound by T. Gibson,5,5
1,8:57.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by A. Wiggins),5,7
1,8:45.0,Turnover by A. Aminu (traveling),,5,7
1,8:22.0,,A. Wiggins misses 2-pt jump shot from 13 ft,5,7
1,8:20.0,,Offensive rebound by T. Gibson,5,7
1,8:19.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by T. Gibson),5,10
1,8:00.0,D. Lillard makes 2-pt layup from 1 ft,,7,10
1,7:51.0,,J. Teague misses 3-pt jump shot from 25 ft,7,10
1,7:48.0,Defensive rebound by J. Nurkić,,7,10
1,7:41.0,C. McCollum misses 3-pt jump shot from 25 ft,,7,10
1,7:37.0,Offensive rebound by J. Nurkić,,7,10
1,7:35.0,Turnover by C. McCollum (bad pass; steal by A. Wiggins),,7,10
1,7:24.0,,T. Gibson makes 2-pt layup from 1 ft (assist by J. Teague),7,12
1,7:01.0,A. Aminu misses 3-pt jump shot from 23 ft,,7,12
1,7:00.0,Offensive rebound by J. Nurkić,,7,12
1,6:56.0,Turnover by J. Nurkić (lost ball; steal by R. Covington),,7,12
1,6:51.0,,J. Teague misses 2-pt layup at rim,7,12
1,6:50.0,,Offensive rebound by T. Gibson,7,12
1,6:50.0,,T. Gibson makes 2-pt dunk from 1 ft,7,14
1,6:34.0,D. Lillard misses 3-pt jump shot from 26 ft,,7,14
1,6:32.0,,Defensive rebound by R. Covington,7,14
1,6:24.0,,J. Teague misses 2-pt layup from 2 ft (block by J. Nurkić),7,14
1,6:22.0,Defensive rebound by D. Lillard,,7,14
1,6:19.0,,Minnesota full timeout,7,14
1,6:17.0,J. Layman makes 2-pt layup at rim (assist by D. Lillard),,9,14
1,5:59.0,,Turnover by K. Towns (palming),9,14
1,5:41.0,A. Aminu misses 2-pt jump shot from 7 ft,,9,14
1,5:38.0,,Defensive rebound by K. Towns,9,14
1,5:29.0,,A. Wiggins misses 3-pt jump shot from 26 ft,9,14
1,5:27.0,Defensive rebound by J. Nurkić,,9,14
1,5:13.0,Shooting foul by R. Covington (drawn by J. Nurkić),,9,14
1,5:13.0,J. Nurkić misses free throw 1 of 2,,9,14
1,5:13.0,Offensive rebound by Team,,9,14
1,5:13.0,E. Turner enters the game for J. Layman,,9,14
1,5:13.0,,D. Rose enters the game for R. Covington,9,14
1,5:13.0,,D. Šarić enters the game for T. Gibson,9,14
1,5:13.0,J. Nurkić makes free throw 2 of 2,,10,14
1,4:57.0,,A. Wiggins misses 2-pt jump shot from 2 ft,10,14
1,4:54.0,,Offensive rebound by K. Towns,10,14
1,4:53.0,,K. Towns misses 2-pt layup from 1 ft,10,14
1,4:53.0,Defensive rebound by D. Lillard,,10,14
1,4:47.0,A. Aminu misses 2-pt dunk from 1 ft,,10,14
1,4:44.0,,Defensive rebound by D. Šarić,10,14
1,4:40.0,,Turnover by D. Šarić (bad pass; steal by E. Turner),10,14
1,4:36.0,C. McCollum makes 2-pt layup from 2 ft,,12,14
1,4:16.0,,A. Wiggins misses 3-pt jump shot from 26 ft,12,14
1,4:14.0,,Offensive rebound by D. Šarić,12,14
1,4:14.0,,D. Šarić makes 2-pt layup from 1 ft,12,16
1,3:51.0,J. Nurkić makes 2-pt jump shot from 14 ft (assist by A. Aminu),,14,16
1,3:39.0,,D. Rose makes 2-pt layup from 1 ft,14,18
1,3:20.0,C. McCollum makes 2-pt layup at rim (assist by E. Turner),,16,18
1,3:07.0,,K. Towns makes 2-pt layup from 2 ft (assist by D. Rose),16,20
1,3:06.0,Portland full timeout,,16,20
1,3:06.0,Z. Collins enters the game for J. Nurkić,,16,20
1,2:46.0,D. Lillard misses 2-pt jump shot from 7 ft,,16,20
1,2:44.0,,Defensive rebound by D. Šarić,16,20
1,2:31.0,,D. Šarić misses 2-pt jump shot from 23 ft,16,20
1,2:30.0,,Offensive rebound by K. Towns,16,20
1,2:25.0,,D. Rose makes 2-pt layup at rim,16,22
1,2:04.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,19,22
1,1:57.0,,A. Wiggins makes 2-pt jump shot from 20 ft (assist by J. Teague),19,24
1,1:38.0,Z. Collins misses 3-pt jump shot from 25 ft,,19,24
1,1:33.0,,Defensive rebound by D. Rose,19,24
1,1:27.0,,K. Towns misses 2-pt layup from 2 ft,19,24
1,1:25.0,Defensive rebound by Z. Collins,,19,24
1,1:19.0,Shooting foul by D. Šarić (drawn by A. Aminu),,19,24
1,1:19.0,N. Stauskas enters the game for C. McCollum,,19,24
1,1:19.0,,G. Dieng enters the game for K. Towns,19,24
1,1:19.0,A. Aminu makes free throw 1 of 2,,20,24
1,1:19.0,A. Aminu makes free throw 2 of 2,,21,24
1,1:11.0,,D. Šarić makes 3-pt jump shot from 24 ft (assist by J. Teague),21,27
1,0:51.0,Turnover by Z. Collins (lost ball; steal by D. Šarić),,21,27
1,0:47.0,,D. Šarić makes 2-pt layup from 2 ft (assist by D. Rose),21,29
1,0:33.0,D. Lillard misses 3-pt jump shot from 25 ft,,21,29
1,0:30.0,,Defensive rebound by A. Wiggins,21,29
1,0:12.0,,D. Rose misses 2-pt jump shot from 21 ft,21,29
1,0:10.0,Defensive rebound by Z. Collins,,21,29
1,0:01.0,D. Lillard misses 2-pt jump shot from 13 ft,,21,29
1,0:00.0,,Defensive rebound by A. Wiggins,21,29
2,11:46.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by D. Rose),21,32
2,11:27.0,A. Simons misses 2-pt jump shot from 8 ft,,21,32
2,11:24.0,,Defensive rebound by D. Šarić,21,32
2,11:21.0,,D. Rose misses 3-pt jump shot from 25 ft,21,32
2,11:18.0,Defensive rebound by N. Stauskas,,21,32
2,11:10.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by E. Turner),,24,32
2,10:53.0,,R. Covington misses 3-pt jump shot from 25 ft,24,32
2,10:49.0,,Offensive rebound by G. Dieng,24,32
2,10:47.0,,D. Šarić misses 3-pt jump shot from 27 ft,24,32
2,10:45.0,Defensive rebound by M. Leonard,,24,32
2,10:39.0,Turnover by N. Stauskas (step out of bounds),,24,32
2,10:24.0,,Turnover by D. Rose (lost ball; steal by E. Turner),24,32
2,10:18.0,Turnover by E. Turner (bad pass; steal by R. Covington),,24,32
2,10:17.0,,Personal foul by Z. Collins (drawn by D. Rose),24,32
2,10:06.0,,Shooting foul by M. Leonard (drawn by D. Rose),24,32
2,10:06.0,,D. Rose makes free throw 1 of 2,24,33
2,10:06.0,,D. Rose makes free throw 2 of 2,24,34
2,9:55.0,M. Leonard misses 2-pt jump shot from 19 ft,,24,34
2,9:53.0,,Defensive rebound by T. Jones,24,34
2,9:42.0,,Turnover by R. Covington (traveling),24,34
2,9:27.0,N. Stauskas makes 2-pt layup at rim (assist by E. Turner),,26,34
2,9:18.0,,D. Šarić misses 3-pt jump shot from 25 ft,26,34
2,9:16.0,Defensive rebound by M. Leonard,,26,34
2,9:07.0,Turnover by E. Turner (bad pass; steal by T. Jones),,26,34
2,9:02.0,,G. Dieng makes 2-pt layup from 1 ft (assist by T. Jones),26,36
2,8:40.0,A. Simons misses 2-pt jump shot from 18 ft,,26,36
2,8:38.0,,Defensive rebound by D. Šarić,26,36
2,8:19.0,,D. Šarić misses 3-pt jump shot from 26 ft,26,36
2,8:15.0,Defensive rebound by E. Turner,,26,36
2,8:07.0,M. Leonard makes 3-pt jump shot from 25 ft (assist by N. Stauskas),,29,36
2,7:53.0,,T. Jones makes 2-pt jump shot from 19 ft,29,38
2,7:32.0,E. Turner misses 2-pt jump shot from 17 ft,,29,38
2,7:30.0,,Defensive rebound by R. Covington,29,38
2,7:24.0,,G. Dieng makes 2-pt jump shot from 21 ft (assist by T. Jones),29,40
2,7:23.0,Portland full timeout,,29,40
2,7:02.0,A. Simons makes 2-pt layup from 3 ft,,31,40
2,6:42.0,,D. Rose makes 2-pt layup from 1 ft,31,42
2,6:27.0,N. Stauskas misses 3-pt jump shot from 25 ft,,31,42
2,6:25.0,,Defensive rebound by D. Rose,31,42
2,6:19.0,,Personal foul by N. Stauskas (drawn by R. Covington),31,42
2,6:19.0,D. Lillard enters the game for M. Leonard,,31,42
2,6:19.0,C. McCollum enters the game for N. Stauskas,,31,42
2,6:19.0,J. Nurkić enters the game for E. Turner,,31,42
2,6:19.0,,J. Teague enters the game for G. Dieng,31,42
2,6:19.0,,K. Towns enters the game for T. Jones,31,42
2,6:13.0,,K. Towns misses 3-pt jump shot from 25 ft,31,42
2,6:10.0,Defensive rebound by D. Lillard,,31,42
2,6:08.0,Turnover by D. Lillard (bad pass),,31,42
2,5:57.0,,Turnover by D. Rose (bad pass; steal by C. McCollum),31,42
2,5:52.0,A. Simons makes 2-pt layup from 3 ft (assist by C. McCollum),,33,42
2,5:35.0,,K. Towns makes 2-pt jump shot from 4 ft,33,44
2,5:22.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,35,44
2,5:04.0,,D. Šarić misses 2-pt jump shot from 21 ft,35,44
2,5:01.0,Defensive rebound by A. Simons,,35,44
2,4:46.0,A. Simons misses 3-pt jump shot from 23 ft,,35,44
2,4:43.0,Offensive rebound by J. Nurkić,,35,44
2,4:42.0,J. Nurkić makes 2-pt hook shot from 7 ft,,37,44
2,4:32.0,,J. Teague misses 2-pt layup from 1 ft,37,44
2,4:29.0,Defensive rebound by A. Simons,,37,44
2,4:25.0,C. McCollum misses 2-pt jump shot from 7 ft,,37,44
2,4:23.0,,Defensive rebound by D. Šarić,37,44
2,4:19.0,,Offensive foul by D. Šarić (drawn by D. Lillard),37,44
