QUARTER,TIME_REMAINING,BROOKLYN_ACTION,INDIANA_ACTION,BROOKLYN_SCORE,INDIANA_SCORE
1,11:47.0,Turnover by D. Carroll (bad pass; steal by T. Young),,0,0
1,11:34.0,,Turnover by T. Young (bad pass),0,0
1,11:25.0,J. Harris makes 2-pt layup at rim (assist by D. Russell),,2,0
1,11:06.0,,D. Collison misses 2-pt jump shot from 9 ft,2,0
1,11:03.0,Defensive rebound by D. Russell,,2,0
1,10:55.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Harris),,5,0
1,10:31.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,5,0
1,10:28.0,Defensive rebound by J. Harris,,5,0
1,10:19.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,7,0
1,10:18.0,,Indiana full timeout,7,0
1,10:10.0,,Turnover by D. Collison (bad pass; steal by J. Allen),7,0
1,10:06.0,Turnover by J. Allen (lost ball; steal by W. Matthews),,7,0
1,10:04.0,,Turnover by W. Matthews (bad pass),7,0
1,9:59.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by D. Russell),,9,0
1,9:40.0,,D. Collison makes 2-pt jump shot from 17 ft,9,2
1,9:25.0,R. Kurucs misses 2-pt layup at rim,,9,2
1,9:23.0,,Defensive rebound by M. Turner,9,2
1,9:13.0,,T. Young makes 2-pt hook shot from 7 ft,9,4
1,8:53.0,R. Kurucs makes 2-pt jump shot from 22 ft,,11,4
1,8:37.0,,B. Bogdanović makes 2-pt jump shot from 19 ft,11,6
1,8:28.0,D. Russell misses 2-pt jump shot from 11 ft,,11,6
1,8:25.0,Offensive rebound by D. Russell,,11,6
1,8:23.0,D. Carroll misses 3-pt jump shot from 29 ft,,11,6
1,8:21.0,,Defensive rebound by D. Collison,11,6
1,8:13.0,,D. Collison misses 2-pt layup from 1 ft,11,6
1,8:10.0,Defensive rebound by D. Russell,,11,6
1,8:07.0,J. Harris misses 3-pt jump shot from 27 ft,,11,6
1,8:03.0,Offensive rebound by R. Kurucs,,11,6
1,7:57.0,R. Kurucs misses 2-pt layup at rim (block by M. Turner),,11,6
1,7:57.0,,Defensive rebound by Team,11,6
1,7:57.0,Loose ball foul by R. Kurucs (drawn by M. Turner),,11,6
1,7:45.0,,Turnover by T. Young (bad pass),11,6
1,7:34.0,R. Kurucs misses 2-pt jump shot from 5 ft (block by M. Turner),,11,6
1,7:32.0,Offensive rebound by R. Kurucs,,11,6
1,7:31.0,R. Kurucs misses 2-pt jump shot from 10 ft,,11,6
1,7:30.0,,Defensive rebound by M. Turner,11,6
1,7:21.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),11,9
1,7:19.0,Brooklyn full timeout,,11,9
