QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
1,11:47.0,,Personal foul by F. Ntilikina (drawn by H. Barnes),0,0
1,11:35.0,,H. Barnes misses 2-pt jump shot from 22 ft,0,0
1,11:32.0,Defensive rebound by T. Hardaway,,0,0
1,11:17.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,0,0
1,11:14.0,,Defensive rebound by D. Jordan,0,0
1,11:09.0,,D. Smith misses 2-pt layup from 2 ft,0,0
1,11:08.0,,Offensive rebound by D. Smith,0,0
1,11:08.0,,D. Smith makes 2-pt layup from 1 ft,0,2
1,11:08.0,,Shooting foul by N. Vonleh (drawn by D. Smith),0,2
1,11:08.0,,D. Smith misses free throw 1 of 1,0,2
1,11:08.0,Defensive rebound by T. Hardaway,,0,2
1,10:56.0,N. Vonleh misses 3-pt jump shot from 25 ft,,0,2
1,10:53.0,,Defensive rebound by H. Barnes,0,2
1,10:48.0,,Turnover by D. Smith (bad pass; steal by M. Robinson),0,2
1,10:43.0,D. Dotson misses 2-pt layup from 1 ft,,0,2
1,10:41.0,Offensive rebound by M. Robinson,,0,2
1,10:40.0,M. Robinson makes 2-pt dunk at rim,,2,2
1,10:35.0,,Personal foul by T. Hardaway (drawn by W. Matthews),2,2
1,10:25.0,,H. Barnes misses 3-pt jump shot from 23 ft,2,2
1,10:24.0,,Offensive rebound by Team,2,2
1,10:24.0,,Personal foul by N. Vonleh (drawn by D. Jordan),2,2
1,10:12.0,,D. Jordan makes 2-pt jump shot from 4 ft (assist by L. Dončić),2,4
1,9:55.0,N. Vonleh makes 2-pt hook shot from 9 ft,,4,4
1,9:55.0,,Violation by Team (def goaltending),4,4
1,9:46.0,,D. Smith misses 3-pt jump shot from 25 ft,4,4
1,9:42.0,Defensive rebound by D. Dotson,,4,4
1,9:34.0,T. Hardaway misses 2-pt jump shot from 16 ft,,4,4
1,9:32.0,,Defensive rebound by L. Dončić,4,4
1,9:23.0,,L. Dončić misses 3-pt jump shot from 27 ft,4,4
1,9:19.0,Defensive rebound by M. Robinson,,4,4
1,9:08.0,F. Ntilikina misses 2-pt jump shot from 21 ft,,4,4
1,9:04.0,Offensive rebound by D. Dotson,,4,4
1,9:01.0,D. Dotson makes 2-pt jump shot from 14 ft,,6,4
1,8:41.0,,Turnover by W. Matthews (bad pass; steal by T. Hardaway),6,4
1,8:35.0,D. Dotson misses 3-pt jump shot from 24 ft,,6,4
1,8:33.0,Offensive rebound by M. Robinson,,6,4
1,8:31.0,M. Robinson makes 2-pt layup from 1 ft,,8,4
1,8:14.0,,Turnover by H. Barnes (bad pass; steal by D. Dotson),8,4
1,8:10.0,Turnover by D. Dotson (bad pass; steal by L. Dončić),,8,4
1,7:50.0,,D. Smith makes 2-pt layup from 1 ft,8,6
1,7:40.0,T. Hardaway misses 3-pt jump shot from 27 ft,,8,6
1,7:37.0,,Defensive rebound by W. Matthews,8,6
1,7:33.0,,W. Matthews misses 3-pt jump shot from 26 ft,8,6
1,7:28.0,Defensive rebound by N. Vonleh,,8,6
1,7:19.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by F. Ntilikina),,11,6
1,7:18.0,,Dallas full timeout,11,6
1,7:18.0,L. Thomas enters the game for N. Vonleh,,11,6
1,7:18.0,,D. Finney-Smith enters the game for W. Matthews,11,6
1,7:09.0,,Shooting foul by L. Thomas (drawn by H. Barnes),11,6
1,7:09.0,,H. Barnes makes free throw 1 of 2,11,7
1,7:09.0,,H. Barnes misses free throw 2 of 2,11,7
1,7:06.0,Defensive rebound by T. Hardaway,,11,7
1,6:57.0,F. Ntilikina misses 2-pt layup from 1 ft,,11,7
1,6:56.0,,Defensive rebound by D. Jordan,11,7
1,6:56.0,,J. Barea enters the game for D. Smith,11,7
1,6:39.0,,D. Jordan misses 2-pt dunk from 3 ft,11,7
1,6:38.0,Defensive rebound by L. Thomas,,11,7
1,6:28.0,F. Ntilikina makes 2-pt jump shot from 10 ft,,13,7
1,6:28.0,Shooting foul by L. Dončić (drawn by F. Ntilikina),,13,7
1,6:28.0,F. Ntilikina makes free throw 1 of 1,,14,7
1,6:16.0,,H. Barnes misses 3-pt jump shot from 25 ft,14,7
1,6:16.0,Defensive rebound by Team,,14,7
1,6:02.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Dotson),,17,7
1,5:40.0,,D. Jordan misses 2-pt hook shot from 2 ft,17,7
1,5:38.0,,Offensive rebound by D. Finney-Smith,17,7
1,5:37.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,17,9
1,5:23.0,L. Thomas makes 2-pt hook shot from 4 ft (assist by F. Ntilikina),,19,9
1,5:10.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by J. Barea),19,12
1,4:53.0,D. Dotson makes 2-pt layup at rim (assist by F. Ntilikina),,21,12
1,4:43.0,,H. Barnes makes 3-pt jump shot from 26 ft (assist by J. Barea),21,15
1,4:29.0,F. Ntilikina makes 2-pt jump shot from 15 ft,,23,15
1,4:14.0,,J. Barea makes 2-pt jump shot from 11 ft,23,17
1,4:04.0,D. Dotson misses 2-pt layup from 1 ft,,23,17
1,4:03.0,,Defensive rebound by D. Jordan,23,17
1,3:58.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by J. Barea),23,19
1,3:58.0,,Shooting foul by L. Thomas (drawn by H. Barnes),23,19
1,3:58.0,E. Freedom enters the game for T. Hardaway,,23,19
1,3:58.0,E. Mudiay enters the game for F. Ntilikina,,23,19
1,3:58.0,A. Trier enters the game for M. Robinson,,23,19
1,3:58.0,,W. Matthews enters the game for L. Dončić,23,19
1,3:58.0,,D. Powell enters the game for D. Jordan,23,19
1,3:58.0,,H. Barnes makes free throw 1 of 1,23,20
1,3:34.0,E. Freedom makes 2-pt layup at rim (assist by A. Trier),,25,20
1,3:18.0,,Turnover by J. Barea (bad pass; steal by L. Thomas),25,20
1,3:11.0,A. Trier makes 2-pt layup from 1 ft,,27,20
1,3:11.0,Shooting foul by D. Powell (drawn by A. Trier),,27,20
1,3:11.0,A. Trier misses free throw 1 of 1,,27,20
1,3:09.0,Offensive rebound by A. Trier,,27,20
