QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
1,11:47.0,,Turnover by B. Simmons (lost ball; steal by J. Dudley),0,0
1,11:28.0,D. Russell misses 2-pt jump shot from 20 ft,,0,0
1,11:25.0,,Defensive rebound by J. Embiid,0,0
1,11:14.0,,B. Simmons misses 2-pt layup from 3 ft,0,0
1,11:09.0,,Offensive rebound by J. Embiid,0,0
1,11:09.0,,J. Embiid makes 2-pt layup at rim,0,2
1,10:55.0,J. Allen misses 2-pt jump shot from 10 ft,,0,2
1,10:53.0,,Defensive rebound by J. Embiid,0,2
1,10:42.0,,J. Embiid makes 2-pt jump shot from 14 ft (assist by T. Harris),0,4
1,10:26.0,J. Harris misses 2-pt jump shot from 11 ft,,0,4
1,10:23.0,,Defensive rebound by J. Embiid,0,4
1,10:19.0,,J. Redick misses 3-pt jump shot from 26 ft,0,4
1,10:17.0,Defensive rebound by J. Allen,,0,4
1,10:09.0,C. LeVert misses 2-pt jump shot from 11 ft,,0,4
1,10:06.0,,Defensive rebound by J. Embiid,0,4
1,10:01.0,,J. Embiid misses 2-pt jump shot from 12 ft,0,4
1,9:57.0,Defensive rebound by D. Russell,,0,4
1,9:52.0,D. Russell misses 3-pt jump shot from 26 ft,,0,4
1,9:49.0,,Defensive rebound by B. Simmons,0,4
1,9:30.0,,J. Embiid makes 2-pt dunk from 1 ft (assist by B. Simmons),0,6
1,9:17.0,Personal foul by J. Redick (drawn by C. LeVert),,0,6
1,9:15.0,Turnover by J. Harris (bad pass; steal by J. Butler),,0,6
1,9:13.0,,J. Butler makes 2-pt dunk from 1 ft,0,8
1,9:13.0,Brooklyn full timeout,,0,8
1,8:58.0,Turnover by J. Dudley (bad pass; steal by T. Harris),,0,8
1,8:53.0,,J. Butler misses 3-pt jump shot from 23 ft,0,8
1,8:49.0,Defensive rebound by J. Harris,,0,8
1,8:44.0,J. Dudley misses 3-pt jump shot from 27 ft,,0,8
1,8:41.0,Offensive rebound by J. Allen,,0,8
1,8:27.0,Turnover by Team (shot clock),,0,8
1,8:13.0,,J. Butler makes 2-pt jump shot from 8 ft,0,10
1,8:03.0,J. Harris misses 3-pt jump shot from 25 ft,,0,10
1,8:00.0,,Defensive rebound by B. Simmons,0,10
1,7:56.0,,T. Harris misses 3-pt jump shot from 26 ft,0,10
1,7:50.0,Defensive rebound by J. Allen,,0,10
1,7:34.0,Turnover by C. LeVert (back court),,0,10
1,7:18.0,,J. Embiid makes 2-pt jump shot from 4 ft,0,12
1,6:57.0,D. Russell misses 2-pt jump shot from 11 ft,,0,12
1,6:55.0,,Defensive rebound by T. Harris,0,12
1,6:45.0,,J. Embiid misses 2-pt hook shot from 5 ft,0,12
1,6:43.0,,Offensive rebound by T. Harris,0,12
1,6:41.0,,Shooting foul by J. Dudley (drawn by J. Embiid),0,12
1,6:41.0,,J. Embiid makes free throw 1 of 2,0,13
1,6:41.0,S. Dinwiddie enters the game for J. Dudley,,0,13
1,6:41.0,T. Graham enters the game for C. LeVert,,0,13
1,6:41.0,,J. Embiid makes free throw 2 of 2,0,14
1,6:34.0,Turnover by J. Harris (bad pass),,0,14
1,6:34.0,,B. Marjanović enters the game for J. Embiid,0,14
1,6:34.0,,Philadelphia full timeout,0,14
1,6:34.0,,J. Ennis enters the game for J. Redick,0,14
1,6:34.0,,M. Scott enters the game for B. Simmons,0,14
1,6:17.0,,Turnover by M. Scott (out of bounds lost ball),0,14
1,6:08.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,2,14
1,5:54.0,,T. Harris makes 2-pt jump shot from 14 ft (assist by B. Marjanović),2,16
1,5:37.0,Turnover by D. Russell (bad pass; steal by T. Harris),,2,16
