QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
1,11:43.0,Shooting foul by J. Okogie (drawn by I. Zubac),,0,0
1,11:43.0,I. Zubac makes free throw 1 of 2,,1,0
1,11:43.0,I. Zubac misses free throw 2 of 2,,1,0
1,11:41.0,,Defensive rebound by J. Teague,1,0
1,11:23.0,,A. Wiggins misses 2-pt jump shot from 22 ft,1,0
1,11:20.0,Defensive rebound by L. Ball,,1,0
1,11:05.0,Turnover by J. Hart (lost ball; steal by J. Okogie),,1,0
1,10:54.0,,J. Teague misses 3-pt jump shot from 24 ft,1,0
1,10:51.0,Defensive rebound by J. McGee,,1,0
1,10:42.0,I. Zubac misses 2-pt jump shot from 12 ft,,1,0
1,10:37.0,,Defensive rebound by K. Towns,1,0
1,10:33.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by K. Towns),1,3
1,10:16.0,J. Hart misses 2-pt jump shot from 13 ft,,1,3
1,10:11.0,,Defensive rebound by K. Towns,1,3
1,10:07.0,,A. Wiggins makes 3-pt jump shot from 23 ft (assist by J. Teague),1,6
1,9:41.0,B. Ingram misses 2-pt layup from 2 ft,,1,6
1,9:39.0,,Defensive rebound by K. Towns,1,6
1,9:28.0,,T. Gibson makes 2-pt layup from 1 ft (assist by A. Wiggins),1,8
1,9:11.0,J. McGee misses 2-pt hook shot from 6 ft,,1,8
1,9:09.0,,Defensive rebound by J. Teague,1,8
1,9:02.0,,J. Teague makes 2-pt layup from 1 ft,1,10
1,8:50.0,B. Ingram misses 2-pt jump shot from 6 ft,,1,10
1,8:48.0,Offensive rebound by I. Zubac,,1,10
1,8:48.0,I. Zubac misses 2-pt layup from 1 ft (block by K. Towns),,1,10
1,8:46.0,,Defensive rebound by T. Gibson,1,10
1,8:43.0,,J. Teague makes 3-pt jump shot from 25 ft,1,13
1,8:42.0,LA Lakers full timeout,,1,13
1,8:24.0,L. Ball misses 3-pt jump shot from 25 ft,,1,13
1,8:20.0,,Defensive rebound by T. Gibson,1,13
1,8:06.0,,Turnover by J. Teague (bad pass),1,13
1,7:57.0,J. McGee misses 2-pt layup from 4 ft,,1,13
1,7:54.0,,Defensive rebound by T. Gibson,1,13
1,7:51.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),1,13
1,7:51.0,,A. Wiggins makes free throw 1 of 2,1,14
1,7:51.0,M. Beasley enters the game for I. Zubac,,1,14
1,7:51.0,,A. Wiggins makes free throw 2 of 2,1,15
1,7:28.0,M. Beasley makes 2-pt jump shot from 2 ft,,3,15
1,7:15.0,,Shooting foul by B. Ingram (drawn by A. Wiggins),3,15
1,7:15.0,,A. Wiggins makes free throw 1 of 2,3,16
1,7:15.0,L. Stephenson enters the game for B. Ingram,,3,16
1,7:15.0,,A. Wiggins makes free throw 2 of 2,3,17
1,7:05.0,L. Stephenson misses 3-pt jump shot from 23 ft,,3,17
1,7:01.0,,Defensive rebound by K. Towns,3,17
1,6:54.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),3,20
1,6:41.0,Turnover by M. Beasley (bad pass; steal by K. Towns),,3,20
1,6:35.0,,Turnover by J. Okogie (bad pass; steal by J. Hart),3,20
1,6:22.0,Turnover by J. McGee (lost ball; steal by J. Teague),,3,20
1,6:09.0,,A. Wiggins makes 2-pt jump shot from 18 ft,3,22
1,6:00.0,LA Lakers full timeout,,3,22
1,6:00.0,T. Chandler enters the game for J. McGee,,3,22
1,5:54.0,M. Beasley makes 2-pt layup from 1 ft (assist by L. Ball),,5,22
1,5:29.0,,J. Teague makes 2-pt jump shot from 12 ft,5,24
1,5:14.0,Offensive foul by M. Beasley (drawn by J. Teague),,5,24
1,5:14.0,Turnover by M. Beasley (offensive foul),,5,24
1,5:14.0,K. Caldwell-Pope enters the game for L. Ball,,5,24
1,5:00.0,,Shooting foul by M. Beasley (drawn by K. Towns),5,24
1,5:00.0,,K. Towns makes free throw 1 of 2,5,25
1,5:00.0,,K. Towns makes free throw 2 of 2,5,26
1,4:46.0,L. Stephenson misses 2-pt layup from 1 ft,,5,26
1,4:43.0,Offensive rebound by T. Chandler,,5,26
1,4:43.0,T. Chandler misses 2-pt layup from 1 ft,,5,26
1,4:42.0,,Defensive rebound by A. Wiggins,5,26
1,4:38.0,,Turnover by T. Gibson (step out of bounds),5,26
1,4:38.0,,D. Šarić enters the game for T. Gibson,5,26
1,4:26.0,Personal foul by D. Šarić (drawn by M. Beasley),,5,26
1,4:23.0,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by J. Hart),,7,26
1,4:03.0,,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),7,28
1,3:51.0,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Stephenson),,10,28
1,3:42.0,,J. Teague misses 2-pt layup from 1 ft (block by M. Beasley),10,28
1,3:38.0,Defensive rebound by L. Stephenson,,10,28
1,3:34.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. Stephenson),,12,28
1,3:26.0,,Minnesota full timeout,12,28
1,3:26.0,,T. Jones enters the game for J. Teague,12,28
1,3:19.0,,K. Towns misses 3-pt jump shot from 23 ft,12,28
1,3:16.0,Defensive rebound by M. Beasley,,12,28
1,3:10.0,Shooting foul by K. Towns (drawn by L. Stephenson),,12,28
1,3:10.0,L. Stephenson misses free throw 1 of 2,,12,28
1,3:10.0,Offensive rebound by Team,,12,28
1,3:10.0,L. Stephenson misses free throw 2 of 2,,12,28
1,3:08.0,,Defensive rebound by K. Towns,12,28
1,2:58.0,,K. Towns misses 2-pt jump shot from 15 ft,12,28
1,2:54.0,Defensive rebound by T. Chandler,,12,28
1,2:46.0,L. Stephenson misses 2-pt layup at rim,,12,28
1,2:44.0,,Defensive rebound by K. Towns,12,28
1,2:29.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by A. Wiggins),12,31
1,2:14.0,Personal foul by K. Towns (drawn by T. Chandler),,12,31
