QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,INDIANA_ACTION,NEW ORLEANS_SCORE,INDIANA_SCORE
1,11:46.0,,Turnover by K. O'Quinn (bad pass),0,0
1,11:32.0,J. Holiday misses 2-pt jump shot from 3 ft,,0,0
1,11:29.0,,Defensive rebound by K. O'Quinn,0,0
1,11:21.0,,Turnover by T. Young (bad pass; steal by A. Davis),0,0
1,11:17.0,J. Randle makes 2-pt layup from 1 ft (assist by A. Davis),,2,0
1,11:17.0,Shooting foul by D. Collison (drawn by J. Randle),,2,0
1,11:17.0,J. Randle misses free throw 1 of 1,,2,0
1,11:16.0,,Defensive rebound by K. O'Quinn,2,0
1,11:04.0,,B. Bogdanović misses 2-pt layup from 4 ft (block by J. Holiday),2,0
1,11:03.0,Defensive rebound by J. Holiday,,2,0
1,10:59.0,J. Holiday makes 2-pt layup from 1 ft,,4,0
1,10:59.0,Shooting foul by W. Matthews (drawn by J. Holiday),,4,0
1,10:59.0,J. Holiday makes free throw 1 of 1,,5,0
1,10:44.0,,Turnover by T. Young (lost ball; steal by J. Randle),5,0
1,10:36.0,Turnover by A. Davis (lost ball; steal by T. Young),,5,0
1,10:32.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),5,2
1,10:22.0,J. Randle makes 3-pt jump shot from 29 ft (assist by E. Payton),,8,2
1,10:06.0,,B. Bogdanović misses 2-pt jump shot from 6 ft (block by E. Payton),8,2
1,10:04.0,Defensive rebound by J. Holiday,,8,2
1,9:57.0,Turnover by J. Randle (dbl dribble),,8,2
1,9:47.0,,W. Matthews makes 2-pt jump shot from 20 ft (assist by K. O'Quinn),8,4
1,9:33.0,J. Randle misses 3-pt jump shot from 26 ft,,8,4
1,9:33.0,Offensive rebound by K. Williams,,8,4
1,9:24.0,E. Payton makes 2-pt layup from 1 ft (assist by J. Randle),,10,4
1,9:24.0,Shooting foul by B. Bogdanović (drawn by E. Payton),,10,4
1,9:24.0,E. Payton misses free throw 1 of 1,,10,4
1,9:23.0,,Defensive rebound by B. Bogdanović,10,4
1,9:03.0,,W. Matthews misses 3-pt jump shot from 30 ft,10,4
1,8:59.0,Defensive rebound by J. Randle,,10,4
1,8:53.0,A. Davis makes 2-pt dunk at rim (assist by J. Randle),,12,4
1,8:45.0,,Indiana full timeout,12,4
1,8:36.0,,K. O'Quinn makes 2-pt layup from 1 ft (assist by B. Bogdanović),12,6
1,8:21.0,J. Holiday misses 3-pt jump shot from 26 ft,,12,6
1,8:18.0,,Defensive rebound by B. Bogdanović,12,6
1,8:11.0,,T. Young makes 3-pt jump shot from 28 ft (assist by D. Collison),12,9
1,7:48.0,J. Randle misses 2-pt jump shot from 2 ft,,12,9
1,7:45.0,,Defensive rebound by T. Young,12,9
1,7:40.0,,D. Collison misses 3-pt jump shot from 23 ft,12,9
1,7:37.0,Defensive rebound by A. Davis,,12,9
1,7:31.0,K. Williams makes 3-pt jump shot from 24 ft (assist by A. Davis),,15,9
1,7:14.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Collison),15,12
1,7:02.0,A. Davis makes 2-pt jump shot from 19 ft,,17,12
1,6:43.0,,K. O'Quinn misses 2-pt jump shot from 16 ft,17,12
1,6:40.0,Defensive rebound by J. Holiday,,17,12
1,6:34.0,J. Holiday makes 2-pt layup from 1 ft (assist by E. Payton),,19,12
1,6:20.0,,Shooting foul by E. Payton (drawn by W. Matthews),19,12
1,6:20.0,,W. Matthews misses free throw 1 of 2,19,12
1,6:20.0,,Offensive rebound by Team,19,12
1,6:20.0,,D. Sabonis enters the game for K. O'Quinn,19,12
1,6:20.0,,W. Matthews makes free throw 2 of 2,19,13
1,6:15.0,Turnover by E. Payton (bad pass; steal by D. Collison),,19,13
1,6:08.0,,D. Collison misses 3-pt jump shot from 26 ft,19,13
1,6:04.0,Defensive rebound by E. Payton,,19,13
1,5:56.0,J. Holiday misses 2-pt jump shot from 12 ft,,19,13
1,5:53.0,,Defensive rebound by D. Sabonis,19,13
1,5:48.0,,Personal foul by E. Payton (drawn by D. Collison),19,13
1,5:43.0,,D. Collison misses 3-pt jump shot from 27 ft,19,13
1,5:39.0,Defensive rebound by J. Randle,,19,13
1,5:30.0,E. Payton misses 2-pt jump shot from 3 ft,,19,13
1,5:27.0,Offensive rebound by A. Davis,,19,13
1,5:27.0,A. Davis makes 2-pt layup at rim,,21,13
1,5:17.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by A. Davis),21,13
1,5:13.0,Defensive rebound by K. Williams,,21,13
1,5:10.0,K. Williams makes 3-pt jump shot from 27 ft (assist by A. Davis),,24,13
1,4:55.0,,Turnover by B. Bogdanović (bad pass; steal by K. Williams),24,13
1,4:51.0,K. Williams misses 2-pt layup from 1 ft (block by T. Young),,24,13
1,4:48.0,Offensive rebound by J. Holiday,,24,13
1,4:42.0,K. Williams misses 3-pt jump shot from 24 ft,,24,13
1,4:39.0,,Defensive rebound by D. Sabonis,24,13
1,4:28.0,,Personal foul by K. Williams (drawn by W. Matthews),24,13
1,4:28.0,S. Johnson enters the game for J. Holiday,,24,13
1,4:28.0,E. Moore enters the game for E. Payton,,24,13
1,4:28.0,J. Okafor enters the game for J. Randle,,24,13
1,4:28.0,,T. Evans enters the game for B. Bogdanović,24,13
1,4:28.0,,C. Joseph enters the game for D. Collison,24,13
1,4:15.0,,T. Evans misses 3-pt jump shot from 23 ft,24,13
1,4:12.0,Defensive rebound by J. Okafor,,24,13
1,3:57.0,A. Davis makes 2-pt layup at rim (assist by J. Okafor),,26,13
1,3:44.0,,T. Young makes 2-pt layup from 3 ft,26,15
1,3:30.0,E. Moore makes 2-pt jump shot from 19 ft,,28,15
1,3:23.0,,W. Matthews misses 3-pt jump shot from 25 ft,28,15
1,3:20.0,Defensive rebound by J. Okafor,,28,15
1,3:05.0,Turnover by A. Davis (lost ball; steal by T. Young),,28,15
1,3:00.0,,T. Young makes 2-pt layup from 1 ft,28,17
1,2:36.0,Turnover by S. Johnson (lost ball; steal by T. Evans),,28,17
1,2:33.0,,Shooting foul by K. Williams (drawn by T. Evans),28,17
1,2:33.0,New Orleans full timeout,,28,17
1,2:33.0,C. Diallo enters the game for A. Davis,,28,17
1,2:33.0,F. Jackson enters the game for K. Williams,,28,17
1,2:33.0,,T. Leaf enters the game for W. Matthews,28,17
1,2:33.0,,D. McDermott enters the game for T. Young,28,17
1,2:33.0,,Offensive rebound by Team,28,17
1,2:33.0,,T. Evans misses free throw 1 of 2,28,17
1,2:33.0,,T. Evans makes free throw 2 of 2,28,18
1,2:22.0,E. Moore makes 3-pt jump shot from 24 ft (assist by S. Johnson),,31,18
1,2:01.0,,D. Sabonis makes 2-pt layup from 1 ft,31,20
1,1:49.0,E. Moore makes 2-pt jump shot from 17 ft (assist by J. Okafor),,33,20
1,1:38.0,,Turnover by T. Evans (bad pass),33,20
1,1:26.0,J. Okafor makes 2-pt hook shot from 7 ft,,35,20
1,1:15.0,,C. Joseph misses 2-pt jump shot from 17 ft,35,20
1,1:13.0,,Offensive rebound by T. Leaf,35,20
1,1:09.0,,T. Evans misses 3-pt jump shot from 28 ft,35,20
1,1:06.0,Defensive rebound by C. Diallo,,35,20
1,0:58.0,F. Jackson misses 3-pt jump shot from 25 ft,,35,20
1,0:54.0,,Defensive rebound by D. Sabonis,35,20
1,0:48.0,,Shooting foul by S. Johnson (drawn by T. Evans),35,20
1,0:48.0,,T. Evans misses free throw 1 of 2,35,20
1,0:48.0,,Offensive rebound by Team,35,20
1,0:48.0,,T. Evans makes free throw 2 of 2,35,21
1,0:40.0,E. Moore misses 2-pt jump shot from 17 ft,,35,21
1,0:37.0,,Defensive rebound by D. Sabonis,35,21
1,0:25.0,,D. McDermott makes 3-pt jump shot from 29 ft (assist by D. Sabonis),35,24
1,0:01.0,J. Okafor misses 2-pt layup from 1 ft,,35,24
1,0:01.0,,Defensive rebound by T. Evans,35,24
2,11:52.0,J. Randle makes 2-pt layup from 1 ft (assist by S. Johnson),,37,24
2,11:38.0,,Offensive foul by D. Sabonis (drawn by S. Johnson),37,24
2,11:38.0,,Turnover by D. Sabonis (offensive foul),37,24
2,11:22.0,S. Johnson misses 2-pt layup from 1 ft (block by T. Evans),,37,24
2,11:20.0,,Defensive rebound by D. McDermott,37,24
2,11:16.0,,T. Evans misses 2-pt layup from 1 ft,37,24
2,11:12.0,,Offensive rebound by D. Sabonis,37,24
2,11:12.0,,D. Sabonis makes 2-pt layup from 1 ft,37,26
2,11:01.0,J. Randle makes 3-pt jump shot from 26 ft (assist by S. Johnson),,40,26
2,10:45.0,,D. McDermott misses 3-pt jump shot from 24 ft,40,26
2,10:40.0,,Offensive rebound by T. Leaf,40,26
2,10:40.0,,T. Leaf misses 2-pt layup from 1 ft,40,26
2,10:39.0,Defensive rebound by C. Diallo,,40,26
2,10:28.0,J. Randle makes 3-pt jump shot from 28 ft (assist by F. Jackson),,43,26
2,10:07.0,,Def 3 sec tech foul by Team,43,26
2,10:07.0,,D. McDermott makes technical free throw,43,27
2,9:57.0,,T. Evans makes 2-pt layup from 1 ft,43,29
2,9:38.0,C. Diallo makes 2-pt jump shot from 16 ft (assist by S. Johnson),,45,29
2,9:22.0,,D. Sabonis makes 2-pt layup from 4 ft,45,31
2,9:22.0,,Shooting foul by C. Diallo (drawn by D. Sabonis),45,31
2,9:22.0,,D. Sabonis makes free throw 1 of 1,45,32
2,9:07.0,F. Jackson misses 3-pt jump shot from 24 ft,,45,32
2,9:03.0,,Defensive rebound by T. Evans,45,32
2,9:03.0,J. Okafor enters the game for C. Diallo,,45,32
2,8:56.0,,D. McDermott misses 2-pt jump shot from 15 ft,45,32
2,8:53.0,,Offensive rebound by D. McDermott,45,32
2,8:47.0,,D. Sabonis misses 2-pt jump shot from 17 ft,45,32
2,8:45.0,Defensive rebound by Team,,45,32
2,8:45.0,J. Holiday enters the game for S. Johnson,,45,32
2,8:45.0,E. Payton enters the game for E. Moore,,45,32
2,8:22.0,Turnover by J. Randle (bad pass),,45,32
2,8:17.0,,T. Evans makes 2-pt layup from 1 ft,45,34
2,8:11.0,F. Jackson makes 2-pt layup from 1 ft (assist by J. Holiday),,47,34
2,8:03.0,,Indiana full timeout,47,34
2,8:03.0,,T. Young enters the game for T. Leaf,47,34
2,7:58.0,,T. Young misses 2-pt layup from 2 ft (block by E. Payton),47,34
2,7:56.0,Defensive rebound by E. Payton,,47,34
2,7:48.0,E. Payton makes 3-pt jump shot from 27 ft (assist by F. Jackson),,50,34
2,7:28.0,,C. Joseph misses 3-pt jump shot from 23 ft,50,34
2,7:25.0,,Offensive rebound by C. Joseph,50,34
2,7:23.0,,C. Joseph makes 2-pt jump shot from 8 ft,50,36
