QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
1,11:41.0,,F. Jackson makes 3-pt jump shot from 26 ft (assist by J. Randle),0,3
1,11:23.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Young),,2,3
1,11:13.0,,E. Payton misses 3-pt jump shot from 25 ft,2,3
1,11:10.0,Defensive rebound by J. Collins,,2,3
1,11:04.0,T. Prince misses 2-pt layup from 7 ft,,2,3
1,11:04.0,,Defensive rebound by C. Diallo,2,3
1,10:58.0,,Shooting foul by K. Huerter (drawn by F. Jackson),2,3
1,10:58.0,,F. Jackson makes free throw 1 of 2,2,4
1,10:58.0,,F. Jackson makes free throw 2 of 2,2,5
1,10:37.0,J. Collins misses 3-pt jump shot from 24 ft,,2,5
1,10:32.0,,Defensive rebound by E. Payton,2,5
1,10:28.0,,C. Diallo makes 2-pt jump shot from 7 ft (assist by E. Payton),2,7
1,10:07.0,J. Collins misses 3-pt jump shot from 25 ft,,2,7
1,10:04.0,,Defensive rebound by E. Payton,2,7
1,10:02.0,,Shooting foul by J. Collins (drawn by C. Diallo),2,7
1,10:02.0,,C. Diallo makes free throw 1 of 2,2,8
1,10:02.0,,C. Diallo misses free throw 2 of 2,2,8
1,10:00.0,Defensive rebound by D. Dedmon,,2,8
1,9:52.0,D. Dedmon misses 3-pt jump shot from 26 ft,,2,8
1,9:48.0,Offensive rebound by J. Collins,,2,8
1,9:46.0,T. Young misses 3-pt jump shot from 25 ft,,2,8
1,9:43.0,,Defensive rebound by Team,2,8
1,9:29.0,,C. Diallo makes 2-pt jump shot from 6 ft (assist by E. Payton),2,10
1,9:10.0,K. Huerter makes 2-pt layup from 2 ft,,4,10
1,8:57.0,,E. Payton makes 2-pt layup from 3 ft,4,12
1,8:39.0,J. Collins makes 2-pt layup from 2 ft (assist by T. Young),,6,12
1,8:35.0,,F. Jackson makes 2-pt layup from 2 ft (assist by E. Payton),6,14
1,8:23.0,T. Young misses 2-pt layup from 2 ft,,6,14
1,8:23.0,,Defensive rebound by C. Diallo,6,14
1,8:16.0,,J. Randle misses 2-pt layup from 1 ft,6,14
1,8:14.0,Defensive rebound by D. Dedmon,,6,14
1,8:12.0,T. Young misses 3-pt jump shot from 25 ft,,6,14
1,8:12.0,,Defensive rebound by F. Jackson,6,14
1,8:02.0,,K. Williams misses 3-pt jump shot from 23 ft,6,14
1,7:58.0,Defensive rebound by D. Dedmon,,6,14
1,7:48.0,T. Young makes 2-pt jump shot from 8 ft,,8,14
1,7:36.0,,Personal foul by J. Collins (drawn by J. Randle),8,14
1,7:23.0,,J. Randle misses 3-pt jump shot from 26 ft,8,14
1,7:18.0,Defensive rebound by D. Dedmon,,8,14
1,7:14.0,T. Young misses 2-pt jump shot from 6 ft,,8,14
1,7:11.0,,Defensive rebound by E. Payton,8,14
1,7:08.0,,Shooting foul by D. Dedmon (drawn by J. Randle),8,14
1,7:08.0,,J. Randle misses free throw 1 of 2,8,14
1,7:08.0,,Offensive rebound by Team,8,14
1,7:08.0,D. Davis enters the game for J. Collins,,8,14
1,7:08.0,,J. Randle makes free throw 2 of 2,8,15
1,6:58.0,D. Dedmon misses 3-pt jump shot from 25 ft,,8,15
1,6:56.0,Offensive rebound by Team,,8,15
1,6:56.0,,New Orleans full timeout,8,15
1,6:56.0,D. Bembry enters the game for K. Huerter,,8,15
1,6:49.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,10,15
1,6:31.0,,F. Jackson makes 3-pt jump shot from 25 ft (assist by J. Randle),10,18
1,6:18.0,Shooting foul by J. Randle (drawn by D. Dedmon),,10,18
1,6:18.0,D. Dedmon makes free throw 1 of 2,,11,18
1,6:18.0,D. Dedmon makes free throw 2 of 2,,12,18
1,6:09.0,,K. Williams misses 2-pt layup from 1 ft,12,18
1,6:09.0,,Offensive rebound by J. Randle,12,18
1,6:09.0,,J. Randle makes 2-pt layup from 3 ft,12,20
1,6:09.0,,Shooting foul by D. Dedmon (drawn by J. Randle),12,20
1,6:09.0,A. Len enters the game for D. Dedmon,,12,20
1,6:09.0,,J. Randle makes free throw 1 of 1,12,21
1,6:01.0,T. Young makes 3-pt jump shot from 26 ft (assist by A. Len),,15,21
1,5:49.0,,K. Williams misses 3-pt jump shot from 23 ft,15,21
1,5:49.0,Defensive rebound by T. Young,,15,21
1,5:34.0,A. Len makes 3-pt jump shot from 24 ft (assist by T. Prince),,18,21
1,5:22.0,,Shooting foul by D. Davis (drawn by F. Jackson),18,21
1,5:22.0,,F. Jackson makes free throw 1 of 2,18,22
1,5:22.0,,F. Jackson makes free throw 2 of 2,18,23
1,5:13.0,A. Len makes 3-pt jump shot from 26 ft (assist by T. Young),,21,23
1,4:46.0,,F. Jackson misses 2-pt layup from 2 ft (block by T. Prince),21,23
1,4:43.0,Defensive rebound by A. Len,,21,23
1,4:41.0,T. Young makes 3-pt jump shot from 26 ft (assist by D. Bembry),,24,23
1,4:25.0,,J. Randle makes 3-pt jump shot from 25 ft (assist by K. Williams),24,26
1,4:12.0,A. Len makes 3-pt jump shot from 23 ft (assist by T. Prince),,27,26
1,4:06.0,,New Orleans full timeout,27,26
1,4:06.0,,I. Clark enters the game for E. Payton,27,26
1,4:06.0,,D. Miller enters the game for K. Williams,27,26
1,3:52.0,,J. Randle misses 3-pt jump shot from 24 ft,27,26
1,3:49.0,Defensive rebound by D. Bembry,,27,26
1,3:35.0,T. Young makes 2-pt jump shot from 6 ft,,29,26
1,3:25.0,,Turnover by D. Miller (traveling),29,26
1,3:25.0,,J. Okafor enters the game for C. Diallo,29,26
1,3:17.0,T. Young misses 2-pt jump shot from 12 ft,,29,26
1,3:14.0,Offensive rebound by D. Davis,,29,26
1,3:14.0,Shooting foul by J. Okafor (drawn by D. Davis),,29,26
1,3:14.0,D. Davis makes free throw 1 of 2,,30,26
1,3:14.0,D. Davis makes free throw 2 of 2,,31,26
1,3:08.0,,Personal foul by T. Young (drawn by I. Clark),31,26
1,3:08.0,,I. Clark makes free throw 1 of 2,31,27
1,3:08.0,,I. Clark makes free throw 2 of 2,31,28
1,3:01.0,Personal foul by D. Miller (drawn by T. Prince),,31,28
1,2:52.0,Personal foul by I. Clark (drawn by T. Young),,31,28
1,2:43.0,Turnover by A. Len (lost ball; steal by I. Clark),,31,28
1,2:35.0,,Shooting foul by T. Prince (drawn by J. Randle),31,28
1,2:35.0,,J. Randle makes free throw 1 of 2,31,29
1,2:35.0,K. Bazemore enters the game for D. Davis,,31,29
1,2:35.0,V. Carter enters the game for T. Prince,,31,29
1,2:35.0,K. Huerter enters the game for T. Young,,31,29
1,2:35.0,,J. Randle makes free throw 2 of 2,31,30
1,2:22.0,D. Bembry makes 2-pt jump shot from 2 ft (assist by K. Bazemore),,33,30
1,2:22.0,Shooting foul by F. Jackson (drawn by D. Bembry),,33,30
1,2:22.0,,S. Johnson enters the game for F. Jackson,33,30
1,2:22.0,,C. Wood enters the game for J. Randle,33,30
1,2:22.0,D. Bembry makes free throw 1 of 1,,34,30
1,2:08.0,,Turnover by D. Miller (bad pass; steal by D. Bembry),34,30
1,2:07.0,Turnover by D. Bembry (out of bounds lost ball),,34,30
