QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
1,11:51.0,J. Bolden misses 3-pt jump shot from 24 ft,,0,0
1,11:48.0,,Defensive rebound by C. Lee,0,0
1,11:38.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,0,0
1,11:36.0,Defensive rebound by J. Bolden,,0,0
1,11:30.0,J. Ennis misses 3-pt jump shot from 23 ft,,0,0
1,11:27.0,,Defensive rebound by J. Jackson,0,0
1,11:10.0,,D. Powell makes 2-pt layup from 3 ft (assist by J. Brunson),0,2
1,11:00.0,B. Simmons misses 2-pt layup from 3 ft,,0,2
1,10:58.0,,Defensive rebound by C. Lee,0,2
1,10:47.0,,J. Brunson makes 2-pt jump shot from 20 ft,0,4
1,10:34.0,J. Redick makes 2-pt layup from 1 ft (assist by J. Ennis),,2,4
1,10:17.0,,D. Powell makes 2-pt jump shot from 3 ft (assist by J. Brunson),2,6
1,10:17.0,,Shooting foul by J. Bolden (drawn by D. Powell),2,6
1,10:17.0,,D. Powell makes free throw 1 of 1,2,7
1,10:08.0,Turnover by J. Ennis (bad pass),,2,7
1,9:57.0,,J. Jackson misses 2-pt jump shot from 14 ft,2,7
1,9:54.0,Defensive rebound by T. Harris,,2,7
1,9:49.0,T. Harris makes 2-pt jump shot from 4 ft,,4,7
1,9:34.0,,D. Nowitzki makes 2-pt jump shot from 10 ft (assist by C. Lee),4,9
1,9:21.0,B. Simmons misses 2-pt jump shot from 6 ft,,4,9
1,9:18.0,,Defensive rebound by C. Lee,4,9
1,9:15.0,,C. Lee misses 2-pt layup from 8 ft (block by J. Ennis),4,9
1,9:15.0,Defensive rebound by Team,,4,9
1,8:57.0,T. Harris misses 2-pt jump shot from 17 ft,,4,9
1,8:54.0,,Defensive rebound by C. Lee,4,9
1,8:38.0,,J. Brunson makes 2-pt jump shot from 7 ft,4,11
1,8:29.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,7,11
1,8:29.0,Shooting foul by J. Jackson (drawn by J. Redick),,7,11
1,8:29.0,J. Redick makes free throw 1 of 1,,8,11
1,8:18.0,,J. Jackson misses 3-pt jump shot from 26 ft,8,11
1,8:16.0,Defensive rebound by J. Bolden,,8,11
1,8:00.0,B. Simmons makes 2-pt hook shot from 2 ft (assist by T. Harris),,10,11
1,7:50.0,,J. Brunson misses 2-pt jump shot from 16 ft,10,11
1,7:47.0,Defensive rebound by J. Ennis,,10,11
1,7:40.0,B. Simmons makes 2-pt layup at rim,,12,11
1,7:28.0,,D. Powell misses 3-pt jump shot from 25 ft,12,11
1,7:25.0,Defensive rebound by J. Redick,,12,11
1,7:18.0,Turnover by T. Harris (bad pass),,12,11
1,7:03.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Brunson),12,14
1,6:50.0,Turnover by J. Redick (lost ball; steal by D. Powell),,12,14
1,6:45.0,,J. Brunson makes 2-pt layup from 1 ft,12,16
1,6:45.0,Philadelphia full timeout,,12,16
1,6:45.0,,M. Kleber enters the game for D. Nowitzki,12,16
1,6:30.0,T. Harris makes 2-pt jump shot from 5 ft (assist by J. Redick),,14,16
1,6:30.0,Shooting foul by C. Lee (drawn by T. Harris),,14,16
1,6:30.0,T. Harris makes free throw 1 of 1,,15,16
1,6:18.0,,J. Brunson misses 2-pt layup from 3 ft,15,16
1,6:16.0,Defensive rebound by B. Simmons,,15,16
1,6:11.0,B. Simmons makes 2-pt layup from 1 ft,,17,16
1,6:01.0,,C. Lee misses 3-pt jump shot from 25 ft,17,16
1,5:58.0,Defensive rebound by J. Bolden,,17,16
1,5:51.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,20,16
1,5:32.0,,C. Lee misses 2-pt layup from 3 ft,20,16
1,5:31.0,,Offensive rebound by D. Powell,20,16
1,5:30.0,,D. Powell makes 2-pt layup from 2 ft,20,18
1,5:17.0,T. Harris misses 2-pt layup from 5 ft (block by D. Powell),,20,18
1,5:17.0,,Defensive rebound by Team,20,18
1,5:17.0,B. Marjanović enters the game for J. Bolden,,20,18
1,5:17.0,T. McConnell enters the game for J. Ennis,,20,18
1,5:17.0,S. Milton enters the game for J. Redick,,20,18
1,5:17.0,M. Scott enters the game for B. Simmons,,20,18
1,5:17.0,,T. Burke enters the game for J. Brunson,20,18
1,5:17.0,,S. Mejri enters the game for D. Powell,20,18
1,4:59.0,,S. Mejri makes 3-pt jump shot from 22 ft (assist by T. Burke),20,21
1,4:39.0,T. Harris makes 2-pt jump shot from 4 ft (assist by B. Marjanović),,22,21
1,4:29.0,,T. Burke makes 2-pt jump shot from 12 ft (assist by S. Mejri),22,23
1,4:13.0,B. Marjanović misses 2-pt jump shot from 6 ft,,22,23
1,4:11.0,,Defensive rebound by T. Burke,22,23
1,4:02.0,,Personal foul by B. Marjanović (drawn by S. Mejri),22,23
1,4:02.0,,R. Broekhoff enters the game for J. Jackson,22,23
1,3:51.0,,C. Lee makes 2-pt jump shot from 6 ft,22,25
1,3:26.0,T. Harris makes 2-pt layup from 2 ft,,24,25
1,3:11.0,,R. Broekhoff misses 2-pt jump shot from 10 ft,24,25
1,3:11.0,Defensive rebound by B. Marjanović,,24,25
1,3:04.0,T. McConnell makes 2-pt jump shot from 15 ft,,26,25
1,2:56.0,,Dallas full timeout,26,25
1,2:56.0,,D. Macon enters the game for C. Lee,26,25
1,2:44.0,,D. Macon misses 2-pt jump shot from 15 ft (block by T. McConnell),26,25
1,2:40.0,,Offensive rebound by S. Mejri,26,25
1,2:40.0,,Turnover by S. Mejri (bad pass; steal by T. McConnell),26,25
1,2:29.0,T. McConnell misses 2-pt jump shot from 11 ft,,26,25
1,2:27.0,Offensive rebound by B. Marjanović,,26,25
1,2:27.0,Shooting foul by S. Mejri (drawn by B. Marjanović),,26,25
1,2:27.0,B. Marjanović makes free throw 1 of 2,,27,25
1,2:27.0,J. Redick enters the game for T. Harris,,27,25
1,2:27.0,B. Simmons enters the game for T. McConnell,,27,25
1,2:27.0,B. Marjanović misses free throw 2 of 2,,27,25
1,2:25.0,,Defensive rebound by M. Kleber,27,25
1,2:12.0,,S. Mejri misses 2-pt layup from 1 ft,27,25
1,2:10.0,Defensive rebound by B. Marjanović,,27,25
1,2:02.0,B. Marjanović misses 2-pt layup from 3 ft,,27,25
1,2:01.0,Offensive rebound by B. Marjanović,,27,25
1,1:59.0,B. Marjanović makes 2-pt dunk from 1 ft,,29,25
1,1:40.0,,R. Broekhoff misses 2-pt jump shot from 13 ft,29,25
1,1:37.0,Defensive rebound by J. Redick,,29,25
1,1:29.0,J. Redick misses 2-pt layup from 3 ft,,29,25
1,1:26.0,,Defensive rebound by S. Mejri,29,25
1,1:07.0,,R. Broekhoff makes 2-pt layup from 1 ft (assist by S. Mejri),29,27
1,0:57.0,S. Milton misses 2-pt jump shot from 16 ft,,29,27
1,0:55.0,,Defensive rebound by R. Broekhoff,29,27
1,0:46.0,,Personal foul by J. Redick (drawn by M. Kleber),29,27
1,0:34.0,,D. Macon misses 2-pt jump shot from 19 ft (block by B. Simmons),29,27
1,0:30.0,Defensive rebound by M. Scott,,29,27
1,0:23.0,B. Simmons misses 2-pt layup from 4 ft,,29,27
1,0:22.0,Offensive rebound by Team,,29,27
1,0:19.0,Turnover by J. Redick (bad pass; steal by M. Kleber),,29,27
1,0:17.0,,Shooting foul by M. Scott (drawn by T. Burke),29,27
1,0:17.0,,T. Burke misses free throw 1 of 2,29,27
1,0:17.0,,Offensive rebound by Team,29,27
1,0:17.0,,T. Burke misses free throw 2 of 2,29,27
1,0:15.0,Defensive rebound by J. Redick,,29,27
1,0:03.0,J. Redick makes 3-pt jump shot from 25 ft (assist by B. Simmons),,32,27
2,11:44.0,,T. Burke makes 2-pt jump shot from 18 ft,32,29
2,11:30.0,J. Redick misses 3-pt jump shot from 24 ft,,32,29
2,11:27.0,,Defensive rebound by R. Broekhoff,32,29
2,11:21.0,,D. Macon misses 2-pt jump shot from 18 ft,32,29
2,11:19.0,,Offensive rebound by S. Mejri,32,29
2,11:11.0,,T. Burke makes 2-pt layup from 1 ft,32,31
2,11:00.0,J. Redick makes 2-pt jump shot from 17 ft (assist by B. Simmons),,34,31
2,10:46.0,,D. Macon misses 2-pt jump shot from 21 ft,34,31
2,10:44.0,Defensive rebound by J. Ennis,,34,31
2,10:35.0,Shooting foul by S. Mejri (drawn by J. Ennis),,34,31
2,10:35.0,J. Ennis makes free throw 1 of 2,,35,31
2,10:35.0,,D. Nowitzki enters the game for M. Kleber,35,31
2,10:35.0,,D. Powell enters the game for S. Mejri,35,31
2,10:35.0,J. Ennis misses free throw 2 of 2,,35,31
2,10:33.0,,Defensive rebound by D. Nowitzki,35,31
2,10:22.0,,R. Broekhoff makes 2-pt layup from 2 ft,35,33
2,10:00.0,T. Harris makes 3-pt jump shot from 25 ft,,38,33
2,9:43.0,,T. Burke misses 3-pt jump shot from 28 ft,38,33
2,9:40.0,Defensive rebound by J. Ennis,,38,33
2,9:29.0,J. Bolden misses 3-pt jump shot from 22 ft,,38,33
2,9:27.0,,Defensive rebound by D. Macon,38,33
2,9:23.0,,D. Powell makes 3-pt jump shot from 25 ft (assist by D. Macon),38,36
2,9:11.0,Turnover by B. Simmons (bad pass),,38,36
2,8:47.0,,T. Burke makes 2-pt jump shot from 13 ft,38,38
2,8:42.0,Shooting foul by D. Powell (drawn by B. Simmons),,38,38
2,8:42.0,B. Simmons makes free throw 1 of 2,,39,38
2,8:42.0,B. Simmons misses free throw 2 of 2,,39,38
2,8:40.0,Offensive rebound by J. Ennis,,39,38
2,8:37.0,J. Ennis misses 2-pt dunk at rim,,39,38
2,8:36.0,,Defensive rebound by D. Powell,39,38
2,8:34.0,,R. Broekhoff makes 2-pt dunk from 1 ft (assist by T. Burke),39,40
2,8:22.0,J. Redick makes 2-pt layup from 2 ft (assist by J. Bolden),,41,40
2,8:22.0,Shooting foul by D. Macon (drawn by J. Redick),,41,40
