QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
2,0:01.0,Defensive rebound by L. Dončić,,42,58
2,0:00.0,L. Dončić misses 3-pt jump shot from 59 ft,,42,58
2,0:00.0,Offensive rebound by Team,,42,58
3,12:00.0,Technical foul by L. Dončić,,42,58
3,12:00.0,,B. Bogdanović makes technical free throw,42,59
3,11:45.0,,V. Oladipo misses 3-pt jump shot from 24 ft,42,59
3,11:42.0,Defensive rebound by D. Jordan,,42,59
3,11:34.0,Shooting foul by B. Bogdanović (drawn by L. Dončić),,42,59
3,11:34.0,L. Dončić makes free throw 1 of 2,,43,59
3,11:34.0,L. Dončić makes free throw 2 of 2,,44,59
3,11:22.0,,T. Young misses 3-pt jump shot from 26 ft,44,59
3,11:19.0,Defensive rebound by W. Matthews,,44,59
3,11:06.0,H. Barnes misses 2-pt layup at rim,,44,59
3,11:01.0,Offensive rebound by D. Jordan,,44,59
3,11:01.0,D. Jordan makes 2-pt dunk from 1 ft,,46,59
3,10:54.0,,D. Collison misses 2-pt layup from 1 ft,46,59
3,10:51.0,,Offensive rebound by T. Young,46,59
3,10:43.0,,T. Young makes 2-pt jump shot from 8 ft (assist by V. Oladipo),46,61
3,10:30.0,M. Kleber misses 3-pt jump shot from 23 ft,,46,61
3,10:26.0,,Defensive rebound by B. Bogdanović,46,61
3,10:22.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,46,61
3,10:20.0,,Offensive rebound by V. Oladipo,46,61
3,10:20.0,,V. Oladipo misses 2-pt layup at rim,46,61
3,10:20.0,,Offensive rebound by Team,46,61
3,10:07.0,,Turnover by D. Collison (bad pass; steal by L. Dončić),46,61
3,10:02.0,H. Barnes misses 2-pt layup from 3 ft (block by M. Turner),,46,61
3,10:02.0,Offensive rebound by Team,,46,61
3,9:59.0,W. Matthews misses 3-pt jump shot from 28 ft,,46,61
3,9:56.0,Offensive rebound by L. Dončić,,46,61
3,9:54.0,L. Dončić misses 2-pt layup from 1 ft (block by M. Turner),,46,61
3,9:51.0,,Defensive rebound by V. Oladipo,46,61
3,9:49.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,46,61
3,9:47.0,Defensive rebound by D. Jordan,,46,61
3,9:40.0,Shooting foul by D. Collison (drawn by W. Matthews),,46,61
3,9:40.0,W. Matthews makes free throw 1 of 2,,47,61
3,9:40.0,W. Matthews makes free throw 2 of 2,,48,61
3,9:29.0,,V. Oladipo misses 3-pt jump shot from 28 ft,48,61
3,9:27.0,Defensive rebound by D. Jordan,,48,61
3,9:20.0,Personal foul by D. Collison (drawn by L. Dončić),,48,61
3,9:13.0,Personal foul by V. Oladipo (drawn by L. Dončić),,48,61
3,9:02.0,H. Barnes misses 2-pt layup from 4 ft (block by M. Turner),,48,61
3,8:59.0,,Defensive rebound by D. Collison,48,61
3,8:57.0,,V. Oladipo misses 3-pt jump shot from 23 ft,48,61
3,8:54.0,,Offensive rebound by T. Young,48,61
3,8:52.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Young),48,64
3,8:38.0,D. Jordan makes 2-pt layup at rim (assist by L. Dončić),,50,64
3,8:26.0,,M. Turner misses 3-pt jump shot from 27 ft,50,64
3,8:24.0,Defensive rebound by D. Jordan,,50,64
3,8:07.0,Shooting foul by B. Bogdanović (drawn by H. Barnes),,50,64
3,8:07.0,H. Barnes makes free throw 1 of 2,,51,64
3,8:07.0,H. Barnes makes free throw 2 of 2,,52,64
3,7:56.0,,D. Collison makes 3-pt jump shot from 28 ft,52,67
3,7:42.0,D. Jordan makes 2-pt layup from 1 ft (assist by L. Dončić),,54,67
3,7:42.0,,Indiana full timeout,54,67
3,7:32.0,,D. Collison makes 2-pt jump shot from 19 ft,54,69
3,7:06.0,W. Matthews misses 3-pt jump shot from 28 ft,,54,69
3,7:04.0,,Defensive rebound by T. Young,54,69
3,6:59.0,,M. Turner makes 2-pt dunk from 1 ft (assist by V. Oladipo),54,71
3,6:43.0,Turnover by D. Jordan (traveling),,54,71
3,6:29.0,,Shooting foul by L. Dončić (drawn by D. Collison),54,71
3,6:29.0,,D. Collison makes free throw 1 of 2,54,72
3,6:29.0,,D. Collison makes free throw 2 of 2,54,73
3,6:05.0,L. Dončić misses 3-pt jump shot from 27 ft,,54,73
3,6:02.0,,Defensive rebound by B. Bogdanović,54,73
3,5:50.0,,D. Collison misses 2-pt jump shot from 17 ft,54,73
3,5:48.0,Defensive rebound by H. Barnes,,54,73
3,5:38.0,H. Barnes makes 2-pt jump shot from 19 ft,,56,73
3,5:29.0,,V. Oladipo misses 2-pt jump shot from 17 ft,56,73
3,5:26.0,Defensive rebound by H. Barnes,,56,73
3,5:19.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by H. Barnes),,59,73
3,4:57.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,59,73
3,4:56.0,Defensive rebound by L. Dončić,,59,73
3,4:52.0,W. Matthews misses 3-pt jump shot from 29 ft,,59,73
3,4:49.0,,Defensive rebound by T. Young,59,73
3,4:38.0,,T. Young misses 2-pt layup from 4 ft,59,73
3,4:35.0,Defensive rebound by D. Jordan,,59,73
3,4:26.0,H. Barnes makes 3-pt jump shot from 25 ft (assist by L. Dončić),,62,73
3,4:08.0,,V. Oladipo misses 2-pt jump shot from 18 ft,62,73
3,4:05.0,Defensive rebound by D. Jordan,,62,73
3,3:57.0,Shooting foul by T. Young (drawn by L. Dončić),,62,73
3,3:57.0,,Technical foul by T. Young,62,73
3,3:57.0,H. Barnes makes technical free throw,,63,73
3,3:57.0,L. Dončić misses free throw 1 of 2,,63,73
3,3:57.0,Offensive rebound by Team,,63,73
3,3:57.0,D. Finney-Smith enters the game for M. Kleber,,63,73
3,3:57.0,,T. Evans enters the game for B. Bogdanović,63,73
3,3:57.0,,D. Sabonis enters the game for T. Young,63,73
3,3:57.0,L. Dončić misses free throw 2 of 2,,63,73
3,3:56.0,,Defensive rebound by M. Turner,63,73
3,3:44.0,,V. Oladipo makes 3-pt jump shot from 29 ft (assist by D. Collison),63,76
3,3:29.0,H. Barnes makes 2-pt layup at rim (assist by W. Matthews),,65,76
3,3:03.0,,M. Turner misses 2-pt jump shot from 20 ft,65,76
3,3:00.0,,Offensive rebound by D. Sabonis,65,76
3,3:00.0,,D. Sabonis makes 2-pt layup at rim,65,78
3,3:00.0,Dallas full timeout,,65,78
3,3:00.0,Technical foul by L. Dončić,,65,78
3,3:00.0,L. Dončić ejected from game,,65,78
3,3:00.0,J. Brunson enters the game for L. Dončić,,65,78
3,3:00.0,,D. Collison makes technical free throw,65,79
3,2:46.0,J. Brunson misses 3-pt jump shot from 27 ft,,65,79
3,2:44.0,,Defensive rebound by V. Oladipo,65,79
3,2:25.0,,D. Collison misses 2-pt jump shot from 13 ft,65,79
3,2:21.0,Defensive rebound by D. Jordan,,65,79
3,2:09.0,H. Barnes misses 2-pt jump shot from 19 ft,,65,79
3,2:07.0,,Defensive rebound by V. Oladipo,65,79
3,1:59.0,,Personal foul by H. Barnes (drawn by V. Oladipo),65,79
3,1:59.0,D. Harris enters the game for D. Jordan,,65,79
3,1:59.0,D. Powell enters the game for W. Matthews,,65,79
3,1:59.0,,C. Joseph enters the game for D. Collison,65,79
3,1:46.0,,T. Evans misses 2-pt jump shot from 20 ft,65,79
3,1:43.0,Defensive rebound by J. Brunson,,65,79
3,1:38.0,Personal foul by T. Evans (drawn by D. Powell),,65,79
3,1:38.0,,D. McDermott enters the game for V. Oladipo,65,79
3,1:38.0,,T. Young enters the game for M. Turner,65,79
3,1:38.0,D. Powell misses free throw 1 of 2,,65,79
3,1:38.0,Offensive rebound by Team,,65,79
3,1:38.0,D. Powell makes free throw 2 of 2,,66,79
3,1:26.0,,C. Joseph makes 2-pt jump shot from 21 ft,66,81
3,1:11.0,H. Barnes misses 3-pt jump shot from 26 ft,,66,81
3,1:08.0,,Defensive rebound by C. Joseph,66,81
3,0:53.0,,Shooting foul by D. Finney-Smith (drawn by T. Evans),66,81
3,0:53.0,,T. Evans makes free throw 1 of 2,66,82
3,0:53.0,R. Broekhoff enters the game for H. Barnes,,66,82
3,0:53.0,,T. Evans misses free throw 2 of 2,66,82
3,0:53.0,Defensive rebound by D. Powell,,66,82
3,0:40.0,J. Brunson makes 3-pt jump shot from 28 ft (assist by D. Powell),,69,82
3,0:32.0,,T. Evans makes 2-pt layup from 1 ft,69,84
3,0:15.0,D. Finney-Smith misses 2-pt jump shot from 5 ft,,69,84
3,0:11.0,Offensive rebound by D. Harris,,69,84
3,0:06.0,J. Brunson misses 3-pt jump shot from 25 ft,,69,84
3,0:04.0,,Defensive rebound by T. Young,69,84
3,0:01.0,,C. Joseph misses 3-pt jump shot from 49 ft,69,84
3,0:00.0,,Offensive rebound by Team,69,84
4,11:48.0,R. Broekhoff misses 3-pt jump shot from 27 ft,,69,84
4,11:44.0,,Defensive rebound by C. Joseph,69,84
4,11:27.0,,Shooting foul by D. Harris (drawn by D. McDermott),69,84
4,11:27.0,,D. McDermott makes free throw 1 of 2,69,85
4,11:27.0,,D. McDermott makes free throw 2 of 2,69,86
4,11:10.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith),,71,86
4,10:54.0,,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),71,88
4,10:45.0,J. Brunson makes 2-pt layup from 1 ft,,73,88
4,10:31.0,,C. Joseph misses 3-pt jump shot from 25 ft,73,88
4,10:29.0,Defensive rebound by Team,,73,88
4,10:15.0,J. Brunson makes 2-pt jump shot from 5 ft (assist by R. Broekhoff),,75,88
4,9:54.0,,Personal foul by D. Finney-Smith (drawn by T. Young),75,88
4,9:49.0,,D. McDermott makes 2-pt layup from 1 ft (assist by T. Young),75,90
4,9:40.0,Personal foul by D. Sabonis (drawn by D. Powell),,75,90
4,9:35.0,D. Finney-Smith makes 3-pt jump shot from 30 ft (assist by D. Harris),,78,90
4,9:20.0,,Offensive foul by T. Evans (drawn by D. Harris),78,90
4,9:20.0,,Turnover by T. Evans (offensive foul),78,90
4,9:02.0,J. Brunson makes 2-pt jump shot from 11 ft,,80,90
4,9:02.0,Shooting foul by C. Joseph (drawn by J. Brunson),,80,90
4,9:02.0,J. Brunson makes free throw 1 of 1,,81,90
4,8:49.0,,T. Evans makes 2-pt layup from 2 ft,81,92
4,8:33.0,D. Harris misses 3-pt jump shot from 29 ft,,81,92
4,8:30.0,Offensive rebound by D. Powell,,81,92
4,8:28.0,D. Harris makes 2-pt layup from 2 ft (assist by D. Powell),,83,92
4,8:28.0,,Indiana full timeout,83,92
4,8:28.0,,B. Bogdanović enters the game for T. Young,83,92
4,8:08.0,,Shooting foul by D. Harris (drawn by T. Evans),83,92
4,8:08.0,,T. Evans makes free throw 1 of 2,83,93
4,8:08.0,,V. Oladipo enters the game for D. McDermott,83,93
4,8:08.0,,T. Evans makes free throw 2 of 2,83,94
4,7:58.0,R. Broekhoff misses 3-pt jump shot from 28 ft,,83,94
4,7:56.0,,Defensive rebound by C. Joseph,83,94
4,7:46.0,,Offensive foul by D. Sabonis (drawn by D. Finney-Smith),83,94
4,7:46.0,,Turnover by D. Sabonis (offensive foul),83,94
4,7:31.0,D. Powell misses 2-pt layup from 1 ft,,83,94
4,7:28.0,Offensive rebound by D. Finney-Smith,,83,94
4,7:25.0,D. Harris misses 3-pt jump shot from 26 ft,,83,94
4,7:22.0,,Defensive rebound by B. Bogdanović,83,94
4,7:06.0,,T. Evans makes 2-pt jump shot from 6 ft,83,96
4,7:05.0,Dallas full timeout,,83,96
4,7:05.0,H. Barnes enters the game for R. Broekhoff,,83,96
4,7:05.0,D. Jordan enters the game for D. Finney-Smith,,83,96
4,7:05.0,M. Kleber enters the game for D. Harris,,83,96
4,7:05.0,W. Matthews enters the game for D. Powell,,83,96
4,6:46.0,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Brunson),,86,96
4,6:27.0,,B. Bogdanović misses 2-pt layup from 1 ft (block by M. Kleber),86,96
4,6:24.0,Defensive rebound by J. Brunson,,86,96
4,6:20.0,H. Barnes misses 3-pt jump shot from 27 ft,,86,96
4,6:18.0,,Defensive rebound by D. Sabonis,86,96
4,6:10.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by V. Oladipo),86,98
4,5:57.0,J. Brunson makes 2-pt jump shot from 19 ft,,88,98
4,5:42.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by D. Sabonis),88,101
4,5:26.0,Turnover by J. Brunson (bad pass; steal by V. Oladipo),,88,101
4,5:22.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by T. Evans),88,103
4,5:21.0,Dallas full timeout,,88,103
4,5:10.0,Turnover by H. Barnes (out of bounds lost ball),,88,103
4,4:53.0,,V. Oladipo misses 2-pt jump shot from 20 ft,88,103
4,4:50.0,Defensive rebound by D. Jordan,,88,103
4,4:43.0,Turnover by W. Matthews (lost ball; steal by V. Oladipo),,88,103
4,4:26.0,,C. Joseph makes 2-pt jump shot from 9 ft,88,105
4,4:04.0,Personal foul by D. Sabonis (drawn by J. Brunson),,88,105
4,3:53.0,W. Matthews misses 3-pt jump shot from 26 ft,,88,105
4,3:49.0,,Defensive rebound by B. Bogdanović,88,105
4,3:39.0,,Turnover by V. Oladipo (bad pass),88,105
4,3:39.0,R. Broekhoff enters the game for M. Kleber,,88,105
4,3:29.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by J. Brunson),,91,105
4,3:06.0,,T. Evans misses 3-pt jump shot from 28 ft,91,105
4,3:03.0,,Offensive rebound by V. Oladipo,91,105
