QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
1,11:49.0,Personal foul by M. Turner (drawn by D. Jordan),,0,0
1,11:37.0,Turnover by W. Matthews (bad pass; steal by M. Turner),,0,0
1,11:30.0,,Shooting foul by D. Jordan (drawn by B. Bogdanović),0,0
1,11:30.0,,B. Bogdanović makes free throw 1 of 2,0,1
1,11:30.0,,B. Bogdanović makes free throw 2 of 2,0,2
1,11:13.0,L. Dončić misses 3-pt jump shot from 31 ft,,0,2
1,11:09.0,Offensive rebound by D. Jordan,,0,2
1,11:08.0,D. Jordan makes 2-pt dunk at rim,,2,2
1,10:51.0,,D. Collison misses 3-pt jump shot from 24 ft,2,2
1,10:49.0,Defensive rebound by L. Dončić,,2,2
1,10:41.0,L. Dončić misses 2-pt layup from 3 ft (block by D. Collison),,2,2
1,10:38.0,,Defensive rebound by D. Collison,2,2
1,10:37.0,,B. Bogdanović misses 2-pt layup from 2 ft (block by M. Kleber),2,2
1,10:35.0,Defensive rebound by Team,,2,2
1,10:22.0,H. Barnes makes 2-pt jump shot from 4 ft (assist by W. Matthews),,4,2
1,10:05.0,,T. Young makes 2-pt layup at rim (assist by D. Collison),4,4
1,9:46.0,L. Dončić makes 2-pt jump shot from 5 ft,,6,4
1,9:30.0,,V. Oladipo misses 2-pt layup from 4 ft (block by M. Kleber),6,4
1,9:26.0,,Offensive rebound by V. Oladipo,6,4
1,9:19.0,,M. Turner misses 2-pt jump shot from 14 ft,6,4
1,9:16.0,Defensive rebound by D. Jordan,,6,4
1,9:09.0,L. Dončić misses 2-pt jump shot from 8 ft,,6,4
1,9:07.0,,Defensive rebound by D. Collison,6,4
1,8:58.0,,Turnover by D. Collison (bad pass; steal by L. Dončić),6,4
1,8:49.0,D. Jordan makes 2-pt jump shot from 4 ft (assist by L. Dončić),,8,4
1,8:37.0,,V. Oladipo misses 2-pt jump shot from 18 ft,8,4
1,8:35.0,Defensive rebound by D. Jordan,,8,4
1,8:23.0,W. Matthews makes 2-pt jump shot from 3 ft,,10,4
1,7:59.0,,D. Collison makes 2-pt jump shot from 16 ft,10,6
1,7:42.0,W. Matthews makes 3-pt jump shot from 27 ft (assist by L. Dončić),,13,6
1,7:21.0,,M. Turner makes 2-pt jump shot from 8 ft,13,8
1,7:01.0,Personal foul by V. Oladipo (drawn by L. Dončić),,13,8
1,6:52.0,Turnover by W. Matthews (bad pass),,13,8
1,6:52.0,,Indiana full timeout,13,8
1,6:52.0,J. Brunson enters the game for L. Dončić,,13,8
1,6:34.0,,M. Turner makes 2-pt dunk from 1 ft (assist by V. Oladipo),13,10
1,6:15.0,H. Barnes misses 2-pt jump shot from 11 ft,,13,10
1,6:14.0,Offensive rebound by D. Jordan,,13,10
1,6:14.0,D. Jordan misses 2-pt layup from 2 ft,,13,10
1,6:13.0,,Defensive rebound by V. Oladipo,13,10
1,6:07.0,,V. Oladipo misses 2-pt layup from 1 ft,13,10
1,6:03.0,,Offensive rebound by T. Young,13,10
1,6:03.0,,T. Young makes 2-pt layup from 1 ft,13,12
1,5:41.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by J. Brunson),,16,12
1,5:23.0,,B. Bogdanović misses 2-pt jump shot from 4 ft,16,12
1,5:19.0,Defensive rebound by J. Brunson,,16,12
1,5:05.0,M. Kleber makes 3-pt jump shot from 29 ft (assist by H. Barnes),,19,12
1,4:49.0,,T. Young misses 2-pt layup from 9 ft,19,12
1,4:47.0,Defensive rebound by W. Matthews,,19,12
1,4:41.0,Turnover by W. Matthews (bad pass; steal by D. Collison),,19,12
1,4:25.0,,M. Turner misses 2-pt hook shot from 8 ft,19,12
1,4:21.0,,Offensive rebound by V. Oladipo,19,12
1,4:21.0,,M. Turner makes 2-pt layup from 1 ft (assist by V. Oladipo),19,14
1,4:21.0,,Shooting foul by M. Kleber (drawn by M. Turner),19,14
1,4:21.0,Dallas full timeout,,19,14
1,4:21.0,D. Finney-Smith enters the game for M. Kleber,,19,14
1,4:21.0,,D. Sabonis enters the game for T. Young,19,14
1,4:21.0,,M. Turner makes free throw 1 of 1,19,15
1,4:07.0,J. Brunson misses 2-pt jump shot from 19 ft,,19,15
1,4:04.0,,Defensive rebound by D. Sabonis,19,15
1,3:44.0,,D. Sabonis makes 2-pt hook shot from 7 ft,19,17
1,3:28.0,W. Matthews makes 2-pt jump shot from 13 ft,,21,17
1,3:11.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,21,17
1,3:07.0,Defensive rebound by W. Matthews,,21,17
1,3:01.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,21,17
1,2:58.0,,Defensive rebound by B. Bogdanović,21,17
1,2:46.0,,D. Sabonis misses 2-pt layup from 7 ft,21,17
1,2:44.0,,Offensive rebound by D. Sabonis,21,17
1,2:40.0,,M. Turner misses 3-pt jump shot from 26 ft,21,17
1,2:37.0,Defensive rebound by H. Barnes,,21,17
1,2:30.0,Turnover by J. Brunson (lost ball; steal by D. Collison),,21,17
1,2:25.0,,V. Oladipo makes 2-pt dunk from 1 ft (assist by D. Collison),21,19
1,2:08.0,H. Barnes misses 3-pt jump shot from 25 ft,,21,19
1,2:04.0,,Defensive rebound by D. Sabonis,21,19
1,1:57.0,,D. Collison makes 2-pt jump shot from 18 ft,21,21
1,1:36.0,W. Matthews makes 2-pt layup from 2 ft,,23,21
1,1:18.0,,Shooting foul by J. Brunson (drawn by D. Collison),23,21
1,1:18.0,,D. Collison makes free throw 1 of 2,23,22
1,1:18.0,L. Dončić enters the game for H. Barnes,,23,22
1,1:18.0,D. Nowitzki enters the game for D. Jordan,,23,22
1,1:18.0,D. Powell enters the game for W. Matthews,,23,22
1,1:18.0,,T. Evans enters the game for B. Bogdanović,23,22
1,1:18.0,,D. McDermott enters the game for V. Oladipo,23,22
1,1:18.0,,D. Collison misses free throw 2 of 2,23,22
1,1:17.0,Defensive rebound by D. Powell,,23,22
1,1:06.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,23,22
1,1:03.0,,Defensive rebound by D. Sabonis,23,22
1,0:49.0,,D. McDermott misses 3-pt jump shot from 25 ft,23,22
1,0:45.0,Defensive rebound by D. Nowitzki,,23,22
1,0:38.0,Offensive foul by D. Powell (drawn by D. Collison),,23,22
1,0:38.0,Turnover by D. Powell (offensive foul),,23,22
1,0:38.0,,C. Joseph enters the game for D. Collison,23,22
1,0:31.0,,T. Evans makes 2-pt layup from 1 ft,23,24
1,0:22.0,L. Dončić misses 3-pt jump shot from 28 ft,,23,24
1,0:20.0,,Defensive rebound by M. Turner,23,24
1,0:20.0,,Turnover by M. Turner (out of bounds lost ball),23,24
1,0:00.0,L. Dončić misses 2-pt jump shot from 16 ft,,23,24
1,0:00.0,Offensive rebound by Team,,23,24
2,11:45.0,,T. Young makes 2-pt jump shot from 6 ft (assist by T. Evans),23,26
2,11:24.0,Offensive foul by D. Harris (drawn by C. Joseph),,23,26
2,11:24.0,Turnover by D. Harris (offensive foul),,23,26
2,11:12.0,,Turnover by D. Sabonis (lost ball; steal by L. Dončić),23,26
2,11:08.0,L. Dončić makes 2-pt layup from 1 ft,,25,26
2,10:50.0,,T. Evans makes 3-pt jump shot from 26 ft (assist by T. Young),25,29
2,10:30.0,D. Powell makes 2-pt layup from 1 ft (assist by L. Dončić),,27,29
2,10:30.0,Shooting foul by T. Young (drawn by D. Powell),,27,29
2,10:30.0,D. Powell makes free throw 1 of 1,,28,29
2,10:17.0,Violation by Team (kicked ball),,28,29
2,10:12.0,,C. Joseph makes 2-pt jump shot from 16 ft,28,31
2,9:49.0,Turnover by L. Dončić (bad pass),,28,31
2,9:37.0,,Turnover by D. McDermott (bad pass),28,31
2,9:20.0,D. Powell makes 2-pt layup from 2 ft (assist by D. Harris),,30,31
2,9:05.0,,C. Joseph misses 2-pt jump shot from 14 ft,30,31
2,9:03.0,,Offensive rebound by C. Joseph,30,31
2,8:50.0,,D. Sabonis makes 3-pt jump shot from 24 ft (assist by C. Joseph),30,34
2,8:24.0,L. Dončić misses 3-pt jump shot from 26 ft,,30,34
2,8:21.0,,Defensive rebound by D. Sabonis,30,34
2,8:13.0,,Personal foul by D. Harris (drawn by D. Sabonis),30,34
2,8:08.0,,C. Joseph misses 3-pt jump shot from 28 ft,30,34
2,8:05.0,Defensive rebound by D. Finney-Smith,,30,34
2,7:56.0,L. Dončić misses 2-pt layup from 2 ft,,30,34
2,7:51.0,Offensive rebound by D. Finney-Smith,,30,34
2,7:51.0,D. Finney-Smith misses 2-pt dunk at rim,,30,34
2,7:50.0,,Defensive rebound by D. Sabonis,30,34
2,7:44.0,,Offensive foul by D. McDermott (drawn by D. Harris),30,34
2,7:44.0,,Turnover by D. McDermott (offensive foul),30,34
2,7:30.0,D. Nowitzki misses 3-pt jump shot from 23 ft,,30,34
2,7:27.0,Offensive rebound by D. Finney-Smith,,30,34
2,7:26.0,D. Finney-Smith misses 2-pt layup from 1 ft,,30,34
2,7:23.0,,Defensive rebound by T. Young,30,34
2,7:19.0,,T. Evans makes 2-pt layup at rim (assist by T. Young),30,36
2,7:18.0,Dallas full timeout,,30,36
2,7:18.0,J. Brunson enters the game for L. Dončić,,30,36
2,7:18.0,,B. Bogdanović enters the game for T. Young,30,36
2,7:05.0,D. Harris misses 2-pt jump shot from 7 ft,,30,36
2,7:02.0,Offensive rebound by D. Powell,,30,36
2,7:01.0,D. Powell misses 2-pt layup from 1 ft,,30,36
2,6:59.0,,Defensive rebound by B. Bogdanović,30,36
2,6:48.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by C. Joseph),30,38
2,6:31.0,D. Powell makes 2-pt dunk from 1 ft (assist by J. Brunson),,32,38
2,6:31.0,Shooting foul by D. McDermott (drawn by D. Powell),,32,38
2,6:31.0,H. Barnes enters the game for D. Nowitzki,,32,38
2,6:31.0,D. Powell makes free throw 1 of 1,,33,38
2,6:19.0,,T. Evans misses 2-pt layup from 1 ft,33,38
2,6:16.0,Defensive rebound by D. Powell,,33,38
2,6:12.0,D. Harris misses 2-pt layup from 5 ft,,33,38
2,6:11.0,,Defensive rebound by Team,33,38
2,6:11.0,D. Jordan enters the game for D. Powell,,33,38
2,5:58.0,,B. Bogdanović makes 2-pt jump shot from 13 ft (assist by C. Joseph),33,40
2,5:39.0,Shooting foul by D. Sabonis (drawn by D. Jordan),,33,40
2,5:39.0,D. Jordan misses free throw 1 of 2,,33,40
2,5:39.0,Offensive rebound by Team,,33,40
2,5:39.0,,V. Oladipo enters the game for D. McDermott,33,40
2,5:39.0,D. Jordan makes free throw 2 of 2,,34,40
2,5:28.0,,C. Joseph makes 2-pt jump shot from 10 ft,34,42
2,5:07.0,D. Jordan makes 2-pt layup from 1 ft (assist by D. Finney-Smith),,36,42
2,4:51.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by C. Joseph),36,44
2,4:31.0,J. Brunson misses 2-pt jump shot from 10 ft,,36,44
2,4:29.0,,Defensive rebound by D. Sabonis,36,44
2,4:21.0,,V. Oladipo makes 2-pt jump shot from 18 ft,36,46
2,4:21.0,Dallas full timeout,,36,46
2,4:21.0,L. Dončić enters the game for J. Brunson,,36,46
2,4:21.0,M. Kleber enters the game for D. Finney-Smith,,36,46
2,4:21.0,W. Matthews enters the game for D. Harris,,36,46
2,4:00.0,Personal foul by D. Sabonis (drawn by D. Jordan),,36,46
2,3:59.0,Turnover by M. Kleber (bad pass; steal by V. Oladipo),,36,46
2,3:55.0,,V. Oladipo makes 2-pt dunk from 1 ft,36,48
2,3:40.0,W. Matthews misses 2-pt jump shot from 8 ft,,36,48
2,3:38.0,,Defensive rebound by D. Sabonis,36,48
2,3:23.0,,T. Evans misses 2-pt jump shot from 18 ft,36,48
2,3:20.0,,Offensive rebound by D. Sabonis,36,48
2,3:20.0,,D. Sabonis makes 2-pt layup from 2 ft,36,50
2,3:20.0,,Shooting foul by H. Barnes (drawn by D. Sabonis),36,50
2,3:20.0,,D. Sabonis makes free throw 1 of 1,36,51
2,3:00.0,D. Jordan misses 2-pt hook shot from 6 ft,,36,51
2,2:57.0,Offensive rebound by D. Jordan,,36,51
2,2:56.0,D. Jordan makes 2-pt layup from 3 ft,,38,51
2,2:38.0,,C. Joseph misses 2-pt jump shot from 9 ft,38,51
2,2:35.0,Defensive rebound by D. Jordan,,38,51
2,2:31.0,Turnover by L. Dončić (traveling),,38,51
2,2:31.0,,Indiana full timeout,38,51
2,2:31.0,,M. Turner enters the game for T. Evans,38,51
2,2:31.0,,T. Young enters the game for D. Sabonis,38,51
2,2:19.0,,Shooting foul by W. Matthews (drawn by V. Oladipo),38,51
2,2:19.0,,V. Oladipo makes free throw 1 of 2,38,52
2,2:19.0,,D. Collison enters the game for C. Joseph,38,52
2,2:19.0,,V. Oladipo makes free throw 2 of 2,38,53
2,2:07.0,L. Dončić misses 2-pt layup from 2 ft,,38,53
2,2:04.0,,Defensive rebound by M. Turner,38,53
2,1:59.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),38,56
2,1:37.0,Shooting foul by B. Bogdanović (drawn by H. Barnes),,38,56
2,1:37.0,H. Barnes makes free throw 1 of 2,,39,56
2,1:37.0,H. Barnes makes free throw 2 of 2,,40,56
2,1:20.0,,Shooting foul by W. Matthews (drawn by M. Turner),40,56
2,1:20.0,,M. Turner misses free throw 1 of 2,40,56
2,1:20.0,,Offensive rebound by Team,40,56
2,1:20.0,,M. Turner misses free throw 2 of 2,40,56
2,1:18.0,Defensive rebound by D. Jordan,,40,56
2,1:01.0,W. Matthews misses 3-pt jump shot from 27 ft,,40,56
2,0:58.0,,Defensive rebound by B. Bogdanović,40,56
2,0:55.0,,Personal take foul by H. Barnes (drawn by B. Bogdanović),40,56
2,0:55.0,,B. Bogdanović makes free throw 1 of 2,40,57
2,0:55.0,,B. Bogdanović makes free throw 2 of 2,40,58
2,0:31.0,H. Barnes misses 3-pt jump shot from 27 ft,,40,58
2,0:28.0,Offensive rebound by L. Dončić,,40,58
2,0:27.0,L. Dončić makes 2-pt layup at rim,,42,58
2,0:04.0,,V. Oladipo misses 2-pt jump shot from 18 ft,42,58
