QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MIAMI_ACTION,BROOKLYN_SCORE,MIAMI_SCORE
1,11:46.0,,Turnover by R. McGruder (bad pass; steal by D. Russell),0,0
1,11:41.0,D. Russell misses 3-pt jump shot from 25 ft,,0,0
1,11:37.0,,Defensive rebound by H. Whiteside,0,0
1,11:32.0,,J. Richardson misses 3-pt jump shot from 24 ft,0,0
1,11:29.0,Defensive rebound by D. Russell,,0,0
1,11:16.0,D. Russell makes 3-pt jump shot from 26 ft,,3,0
1,11:01.0,,D. Jones misses 2-pt layup from 1 ft,3,0
1,10:57.0,,Offensive rebound by D. Jones,3,0
1,10:55.0,,W. Ellington misses 3-pt jump shot from 25 ft,3,0
1,10:51.0,Defensive rebound by D. Russell,,3,0
1,10:34.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Allen),,6,0
1,10:11.0,,H. Whiteside misses 2-pt layup from 1 ft (block by J. Allen),6,0
1,10:08.0,Defensive rebound by J. Dudley,,6,0
1,10:06.0,Turnover by D. Russell (bad pass),,6,0
1,9:52.0,,R. McGruder misses 3-pt jump shot from 23 ft,6,0
1,9:52.0,,Offensive rebound by H. Whiteside,6,0
1,9:52.0,,Personal foul by J. Dudley (drawn by H. Whiteside),6,0
1,9:44.0,,J. Richardson misses 2-pt jump shot from 15 ft,6,0
1,9:38.0,Defensive rebound by J. Allen,,6,0
1,9:26.0,A. Crabbe misses 3-pt jump shot from 27 ft,,6,0
1,9:22.0,,Defensive rebound by H. Whiteside,6,0
1,9:16.0,,H. Whiteside misses 2-pt jump shot from 4 ft,6,0
1,9:12.0,Defensive rebound by A. Crabbe,,6,0
1,9:06.0,J. Dudley misses 3-pt jump shot from 27 ft,,6,0
1,9:04.0,Offensive rebound by J. Allen,,6,0
1,9:04.0,Shooting foul by H. Whiteside (drawn by J. Allen),,6,0
1,9:04.0,J. Allen makes free throw 1 of 2,,7,0
1,9:04.0,J. Allen makes free throw 2 of 2,,8,0
1,8:54.0,,D. Jones misses 2-pt layup from 1 ft (block by J. Allen),8,0
1,8:49.0,Defensive rebound by D. Russell,,8,0
1,8:42.0,D. Russell misses 2-pt jump shot from 17 ft,,8,0
1,8:39.0,,Defensive rebound by D. Jones,8,0
1,8:30.0,,R. McGruder makes 2-pt jump shot from 7 ft,8,2
1,8:24.0,Personal foul by J. Richardson (drawn by J. Allen),,8,2
1,8:18.0,J. Harris misses 3-pt jump shot from 26 ft,,8,2
1,8:16.0,,Defensive rebound by D. Jones,8,2
1,8:13.0,,Turnover by D. Jones (bad pass; steal by D. Russell),8,2
1,7:59.0,J. Allen misses 2-pt jump shot from 7 ft,,8,2
1,7:56.0,,Defensive rebound by W. Ellington,8,2
1,7:51.0,,Turnover by H. Whiteside (traveling),8,2
1,7:43.0,Turnover by D. Russell (bad pass),,8,2
1,7:27.0,,Turnover by H. Whiteside (bad pass; steal by D. Russell),8,2
1,7:19.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,10,2
1,7:09.0,,R. McGruder misses 2-pt layup from 1 ft,10,2
1,7:04.0,,Offensive rebound by H. Whiteside,10,2
1,7:04.0,,H. Whiteside makes 2-pt dunk from 1 ft,10,4
1,6:59.0,D. Russell misses 2-pt jump shot from 10 ft,,10,4
1,6:56.0,,Defensive rebound by H. Whiteside,10,4
1,6:52.0,,J. Richardson misses 2-pt layup from 2 ft,10,4
1,6:50.0,Defensive rebound by D. Russell,,10,4
1,6:40.0,A. Crabbe misses 2-pt jump shot from 6 ft,,10,4
