QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
1,11:38.0,,J. Layman makes 2-pt hook shot from 4 ft,0,2
1,11:28.0,Personal foul by J. Nurkić (drawn by E. Moore),,0,2
1,11:12.0,J. Holiday misses 2-pt jump shot from 7 ft,,0,2
1,11:11.0,Offensive rebound by Team,,0,2
1,11:11.0,Turnover by Team (shot clock),,0,2
1,10:57.0,,J. Nurkić misses 2-pt layup from 2 ft,0,2
1,10:55.0,Defensive rebound by T. Frazier,,0,2
1,10:48.0,Turnover by J. Okafor (traveling),,0,2
1,10:34.0,,C. McCollum misses 3-pt jump shot from 23 ft,0,2
1,10:31.0,Defensive rebound by E. Moore,,0,2
1,10:25.0,N. Mirotić misses 3-pt jump shot from 27 ft,,0,2
1,10:23.0,,Defensive rebound by J. Layman,0,2
1,10:17.0,,D. Lillard makes 3-pt jump shot from 32 ft,0,5
1,9:59.0,N. Mirotić misses 2-pt jump shot from 17 ft,,0,5
1,9:57.0,,Defensive rebound by D. Lillard,0,5
1,9:47.0,,D. Lillard misses 2-pt layup from 2 ft,0,5
1,9:46.0,Defensive rebound by N. Mirotić,,0,5
1,9:34.0,T. Frazier makes 3-pt jump shot from 25 ft (assist by J. Holiday),,3,5
1,9:20.0,,J. Layman makes 3-pt jump shot from 26 ft,3,8
1,9:08.0,E. Moore misses 2-pt jump shot from 5 ft,,3,8
1,9:06.0,,Defensive rebound by A. Aminu,3,8
1,8:59.0,,D. Lillard misses 3-pt jump shot from 25 ft,3,8
1,8:57.0,Defensive rebound by N. Mirotić,,3,8
1,8:53.0,Personal foul by C. McCollum (drawn by J. Holiday),,3,8
1,8:49.0,J. Holiday misses 2-pt layup from 1 ft (block by J. Layman),,3,8
1,8:46.0,,Defensive rebound by D. Lillard,3,8
1,8:44.0,,A. Aminu makes 2-pt dunk from 2 ft (assist by C. McCollum),3,10
1,8:25.0,J. Holiday makes 2-pt layup from 1 ft,,5,10
1,8:16.0,,C. McCollum misses 2-pt layup from 1 ft (block by N. Mirotić),5,10
1,8:16.0,,Offensive rebound by Team,5,10
1,8:14.0,,D. Lillard misses 2-pt jump shot from 17 ft,5,10
1,8:11.0,,Offensive rebound by J. Layman,5,10
1,8:07.0,,J. Layman makes 3-pt jump shot from 23 ft (assist by D. Lillard),5,13
1,7:54.0,N. Mirotić makes 2-pt hook shot from 2 ft,,7,13
1,7:54.0,Shooting foul by J. Layman (drawn by N. Mirotić),,7,13
1,7:54.0,N. Mirotić makes free throw 1 of 1,,8,13
1,7:46.0,,Turnover by J. Layman (bad pass; steal by N. Mirotić),8,13
