QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
1,7:32.0,Defensive rebound by K. Durant,,14,11
1,7:31.0,Turnover by K. Durant (bad pass),,14,11
1,7:16.0,,J. Valančiūnas misses 2-pt jump shot from 8 ft,14,11
1,7:14.0,Defensive rebound by D. Cousins,,14,11
1,7:10.0,S. Curry misses 2-pt jump shot from 3 ft,,14,11
1,7:05.0,,Defensive rebound by J. Valančiūnas,14,11
1,6:56.0,,J. Valančiūnas misses 2-pt layup from 4 ft,14,11
1,6:55.0,Defensive rebound by S. Curry,,14,11
1,6:49.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Durant),,17,11
1,6:48.0,,Technical foul by J. Valančiūnas,17,11
1,6:48.0,S. Curry makes technical free throw,,18,11
1,6:27.0,,B. Caboclo makes 2-pt layup from 3 ft (assist by M. Conley),18,13
1,6:15.0,Turnover by D. Cousins (lost ball; steal by B. Caboclo),,18,13
1,6:08.0,,J. Holiday misses 3-pt jump shot from 26 ft,18,13
1,6:05.0,,Offensive rebound by B. Caboclo,18,13
1,6:05.0,,B. Caboclo misses 2-pt layup from 1 ft (block by D. Cousins),18,13
1,6:05.0,Defensive rebound by Team,,18,13
1,5:48.0,D. Cousins misses 3-pt jump shot from 25 ft,,18,13
1,5:44.0,,Defensive rebound by B. Caboclo,18,13
1,5:36.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by M. Conley),18,15
1,5:29.0,Golden State full timeout,,18,15
1,5:29.0,K. Looney enters the game for D. Cousins,,18,15
1,5:20.0,D. Green makes 3-pt jump shot from 23 ft (assist by S. Curry),,21,15
1,4:57.0,,J. Valančiūnas makes 2-pt layup from 1 ft,21,17
1,4:47.0,K. Looney makes 2-pt layup from 1 ft (assist by S. Curry),,23,17
1,4:36.0,,M. Conley misses 3-pt jump shot from 26 ft,23,17
1,4:34.0,,Offensive rebound by J. Valančiūnas,23,17
1,4:34.0,,J. Valančiūnas makes 2-pt layup from 1 ft,23,19
1,4:34.0,,Shooting foul by S. Curry (drawn by J. Valančiūnas),23,19
1,4:34.0,A. Iguodala enters the game for K. Thompson,,23,19
1,4:34.0,,C. Parsons enters the game for B. Caboclo,23,19
1,4:34.0,,D. Wright enters the game for M. Conley,23,19
1,4:34.0,,J. Valančiūnas misses free throw 1 of 1,23,19
1,4:32.0,Defensive rebound by D. Green,,23,19
1,4:27.0,Turnover by D. Green (bad pass; steal by J. Holiday),,23,19
1,4:13.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,23,21
1,4:01.0,K. Looney makes 2-pt layup from 2 ft (assist by K. Durant),,25,21
1,3:42.0,,J. Valančiūnas makes 2-pt layup from 3 ft,25,23
1,3:28.0,Turnover by K. Looney (bad pass; steal by J. Holiday),,25,23
1,3:16.0,,Personal foul by K. Looney (drawn by J. Valančiūnas),25,23
1,3:16.0,,I. Rabb enters the game for J. Valančiūnas,25,23
1,3:04.0,,I. Rabb misses 2-pt hook shot from 8 ft (block by K. Looney),25,23
1,3:00.0,Defensive rebound by K. Durant,,25,23
1,2:46.0,K. Durant makes 2-pt jump shot from 19 ft (assist by S. Curry),,27,23
1,2:36.0,,D. Wright makes 2-pt jump shot from 6 ft,27,25
1,2:25.0,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),,30,25
1,2:06.0,,T. Dorsey makes 2-pt jump shot from 8 ft,30,27
1,1:55.0,Turnover by S. Curry (bad pass; steal by J. Holiday),,30,27
1,1:53.0,,Personal foul by K. Durant (drawn by J. Holiday),30,27
1,1:53.0,A. McKinnie enters the game for K. Durant,,30,27
1,1:53.0,,B. Caboclo enters the game for T. Dorsey,30,27
1,1:53.0,,J. Washburn enters the game for J. Holiday,30,27
1,1:44.0,,D. Wright misses 2-pt jump shot from 2 ft,30,27
1,1:41.0,,Offensive rebound by J. Washburn,30,27
1,1:41.0,,J. Washburn misses 2-pt layup at rim,30,27
1,1:40.0,Defensive rebound by S. Curry,,30,27
1,1:31.0,Personal foul by I. Rabb (drawn by K. Looney),,30,27
1,1:23.0,D. Green misses 3-pt jump shot from 26 ft,,30,27
1,1:21.0,,Defensive rebound by B. Caboclo,30,27
1,1:02.0,,B. Caboclo makes 2-pt layup from 1 ft (assist by D. Wright),30,29
1,0:49.0,S. Curry misses 3-pt jump shot from 28 ft,,30,29
1,0:46.0,,Defensive rebound by J. Washburn,30,29
1,0:41.0,,C. Parsons makes 3-pt jump shot from 26 ft (assist by J. Washburn),30,32
1,0:34.0,Personal foul by J. Washburn (drawn by S. Curry),,30,32
1,0:34.0,S. Curry misses free throw 1 of 2,,30,32
1,0:34.0,Offensive rebound by Team,,30,32
1,0:34.0,,M. Conley enters the game for J. Washburn,30,32
