QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
1,11:37.0,,L. Markkanen misses 3-pt jump shot from 25 ft,0,0
1,11:33.0,Defensive rebound by J. McGee,,0,0
1,11:22.0,J. McGee makes 2-pt dunk from 1 ft (assist by R. Rondo),,2,0
1,11:04.0,,Turnover by K. Dunn (bad pass; steal by R. Bullock),2,0
1,10:58.0,Turnover by L. James (bad pass; steal by K. Dunn),,2,0
1,10:54.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),2,3
1,10:34.0,K. Kuzma misses 3-pt jump shot from 26 ft,,2,3
1,10:30.0,,Defensive rebound by R. Lopez,2,3
1,10:22.0,,L. Markkanen misses 2-pt layup from 3 ft,2,3
1,10:19.0,Defensive rebound by L. James,,2,3
1,10:12.0,L. James misses 3-pt jump shot from 25 ft,,2,3
1,10:09.0,,Defensive rebound by R. Arcidiacono,2,3
1,9:54.0,,R. Lopez makes 2-pt dunk from 2 ft,2,5
1,9:27.0,K. Kuzma misses 3-pt jump shot from 23 ft,,2,5
1,9:23.0,,Defensive rebound by K. Dunn,2,5
1,9:19.0,,R. Arcidiacono makes 2-pt layup from 1 ft (assist by K. Dunn),2,7
1,9:19.0,LA Lakers full timeout,,2,7
1,9:12.0,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),,4,7
1,8:53.0,,R. Lopez misses 2-pt hook shot from 6 ft,4,7
1,8:50.0,Defensive rebound by L. James,,4,7
1,8:35.0,J. McGee misses 2-pt hook shot from 7 ft,,4,7
1,8:33.0,,Defensive rebound by L. Markkanen,4,7
1,8:22.0,,K. Dunn misses 2-pt layup from 1 ft,4,7
1,8:22.0,,Offensive rebound by L. Markkanen,4,7
1,8:18.0,,L. Markkanen makes 2-pt layup at rim,4,9
1,8:05.0,R. Bullock misses 3-pt jump shot from 25 ft,,4,9
1,8:02.0,,Defensive rebound by O. Porter,4,9
1,7:59.0,,Shooting foul by R. Rondo (drawn by O. Porter),4,9
1,7:59.0,,O. Porter makes free throw 1 of 2,4,10
1,7:59.0,,O. Porter makes free throw 2 of 2,4,11
1,7:46.0,L. James misses 2-pt layup from 1 ft,,4,11
1,7:43.0,,Defensive rebound by O. Porter,4,11
1,7:39.0,,O. Porter misses 2-pt jump shot from 20 ft,4,11
1,7:37.0,Defensive rebound by L. James,,4,11
1,7:31.0,L. James makes 2-pt layup from 1 ft,,6,11
1,7:22.0,,K. Dunn misses 2-pt layup from 2 ft (block by J. McGee),6,11
1,7:22.0,,Offensive rebound by Team,6,11
