QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,HOUSTON_ACTION,OKLAHOMA CITY_SCORE,HOUSTON_SCORE
1,11:44.0,P. George makes 2-pt jump shot from 8 ft (assist by S. Adams),,2,0
1,11:22.0,,C. Capela misses 2-pt layup from 1 ft,2,0
1,11:21.0,,Offensive rebound by Team,2,0
1,11:14.0,,J. Harden misses 3-pt jump shot from 23 ft,2,0
1,11:12.0,Defensive rebound by J. Grant,,2,0
1,10:56.0,T. Ferguson misses 2-pt jump shot from 13 ft,,2,0
1,10:52.0,,Defensive rebound by C. Capela,2,0
1,10:45.0,,J. Harden makes 2-pt layup from 1 ft,2,2
1,10:35.0,P. George misses 2-pt layup from 6 ft (block by D. House),,2,2
1,10:33.0,Offensive rebound by J. Grant,,2,2
1,10:32.0,J. Grant makes 2-pt layup from 1 ft,,4,2
1,10:22.0,,Personal foul by T. Ferguson (drawn by E. Gordon),4,2
1,10:13.0,,E. Gordon misses 3-pt jump shot from 30 ft,4,2
1,10:10.0,Defensive rebound by Team,,4,2
1,10:00.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,6,2
1,9:50.0,,Turnover by E. Gordon (bad pass; steal by J. Grant),6,2
1,9:43.0,P. George misses 2-pt jump shot from 22 ft,,6,2
1,9:40.0,,Defensive rebound by J. Harden,6,2
1,9:35.0,,J. Harden misses 2-pt layup at rim,6,2
1,9:33.0,,Offensive rebound by C. Capela,6,2
1,9:33.0,,C. Capela makes 2-pt dunk from 1 ft,6,4
1,9:15.0,R. Westbrook misses 2-pt jump shot from 20 ft,,6,4
1,9:12.0,,Defensive rebound by E. Gordon,6,4
1,9:08.0,,E. Gordon makes 3-pt jump shot from 26 ft,6,7
1,8:56.0,Personal foul by P. Tucker (drawn by J. Grant),,6,7
1,8:50.0,T. Ferguson misses 3-pt jump shot from 24 ft,,6,7
1,8:46.0,,Defensive rebound by C. Capela,6,7
1,8:41.0,,Offensive foul by J. Harden (drawn by P. George),6,7
1,8:41.0,,Turnover by J. Harden (offensive foul),6,7
1,8:36.0,T. Ferguson misses 2-pt layup from 3 ft (block by J. Harden),,6,7
1,8:33.0,,Defensive rebound by P. Tucker,6,7
1,8:31.0,,Turnover by P. Tucker (bad pass),6,7
1,8:26.0,R. Westbrook makes 3-pt jump shot from 25 ft,,9,7
1,8:15.0,,Turnover by E. Gordon (lost ball; steal by J. Grant),9,7
1,8:09.0,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),,11,7
1,7:57.0,Violation by Team (kicked ball),,11,7
1,7:45.0,,J. Harden misses 2-pt jump shot from 7 ft (block by J. Grant),11,7
1,7:42.0,,Offensive rebound by C. Capela,11,7
1,7:40.0,,C. Capela makes 2-pt layup from 1 ft,11,9
1,7:36.0,Turnover by R. Westbrook (bad pass),,11,9
1,7:31.0,,Turnover by C. Capela (offensive foul),11,9
