QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,TORONTO_ACTION,OKLAHOMA CITY_SCORE,TORONTO_SCORE
1,11:43.0,J. Grant misses 2-pt jump shot from 18 ft,,0,0
1,11:39.0,,Defensive rebound by K. Leonard,0,0
1,11:23.0,,Personal foul by P. George (drawn by K. Leonard),0,0
1,11:13.0,,Turnover by P. Siakam (bad pass; steal by P. George),0,0
1,10:59.0,J. Grant misses 2-pt layup from 1 ft (block by M. Gasol),,0,0
1,10:55.0,,Defensive rebound by M. Gasol,0,0
1,10:41.0,,P. Siakam makes 3-pt jump shot from 24 ft (assist by M. Gasol),0,3
1,10:23.0,Personal foul by K. Leonard (drawn by P. George),,0,3
1,10:12.0,R. Westbrook misses 3-pt jump shot from 23 ft,,0,3
1,10:09.0,,Defensive rebound by M. Gasol,0,3
1,10:03.0,,Turnover by M. Gasol (bad pass),0,3
1,9:49.0,P. George makes 2-pt jump shot from 11 ft,,2,3
1,9:49.0,Shooting foul by D. Green (drawn by P. George),,2,3
1,9:49.0,P. George makes free throw 1 of 1,,3,3
1,9:37.0,,K. Leonard misses 2-pt jump shot from 17 ft,3,3
1,9:34.0,Defensive rebound by T. Ferguson,,3,3
1,9:27.0,R. Westbrook misses 2-pt layup from 1 ft,,3,3
1,9:23.0,Offensive rebound by R. Westbrook,,3,3
1,9:23.0,R. Westbrook makes 2-pt layup at rim,,5,3
1,9:06.0,,Personal foul by S. Adams (drawn by M. Gasol),5,3
1,8:53.0,,K. Leonard makes 3-pt jump shot from 27 ft (assist by M. Gasol),5,6
1,8:33.0,Turnover by S. Adams (3 sec),,5,6
1,8:12.0,,K. Leonard makes 2-pt layup from 1 ft (assist by P. Siakam),5,8
1,7:59.0,J. Grant misses 3-pt jump shot from 24 ft,,5,8
1,7:56.0,Offensive rebound by P. George,,5,8
1,7:47.0,P. George misses 2-pt layup from 2 ft,,5,8
1,7:43.0,Offensive rebound by S. Adams,,5,8
1,7:41.0,S. Adams misses 2-pt layup at rim,,5,8
1,7:41.0,,Defensive rebound by D. Green,5,8
1,7:35.0,,D. Green makes 3-pt jump shot from 24 ft (assist by M. Gasol),5,11
1,7:24.0,J. Grant makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,8,11
1,6:57.0,,Turnover by K. Leonard (lost ball; steal by P. George),8,11
1,6:57.0,Personal take foul by K. Leonard (drawn by J. Grant),,8,11
1,6:57.0,,Toronto full timeout,8,11
1,6:38.0,T. Ferguson misses 3-pt jump shot from 24 ft,,8,11
1,6:35.0,,Defensive rebound by K. Leonard,8,11
1,6:33.0,,Turnover by K. Leonard (lost ball; steal by R. Westbrook),8,11
1,6:25.0,J. Grant makes 2-pt layup from 1 ft (assist by R. Westbrook),,10,11
1,6:09.0,,K. Leonard misses 3-pt jump shot from 27 ft,10,11
1,6:07.0,Defensive rebound by R. Westbrook,,10,11
1,6:04.0,Turnover by R. Westbrook (bad pass; steal by K. Leonard),,10,11
1,5:51.0,,D. Green makes 3-pt jump shot from 27 ft (assist by K. Leonard),10,14
1,5:39.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),,13,14
1,5:14.0,,Shooting foul by R. Westbrook (drawn by F. VanVleet),13,14
1,5:14.0,,F. VanVleet makes free throw 1 of 2,13,15
1,5:14.0,D. Schröder enters the game for P. George,,13,15
1,5:14.0,,N. Powell enters the game for K. Leonard,13,15
1,5:14.0,,F. VanVleet makes free throw 2 of 2,13,16
1,5:05.0,R. Westbrook makes 3-pt jump shot from 25 ft,,16,16
1,4:51.0,,Offensive foul by P. Siakam (drawn by R. Westbrook),16,16
1,4:51.0,,Turnover by P. Siakam (offensive foul),16,16
1,4:33.0,Turnover by R. Westbrook (bad pass; steal by M. Gasol),,16,16
1,4:28.0,,Turnover by N. Powell (bad pass; steal by S. Adams),16,16
1,4:15.0,Turnover by D. Schröder (bad pass),,16,16
1,4:04.0,,D. Green makes 3-pt jump shot from 23 ft (assist by M. Gasol),16,19
1,3:54.0,Personal foul by M. Gasol (drawn by S. Adams),,16,19
1,3:46.0,R. Westbrook misses 2-pt jump shot from 19 ft,,16,19
1,3:44.0,,Defensive rebound by N. Powell,16,19
1,3:37.0,,N. Powell misses 2-pt layup from 3 ft (block by S. Adams),16,19
1,3:34.0,,Offensive rebound by N. Powell,16,19
1,3:27.0,,Turnover by P. Siakam (step out of bounds),16,19
1,3:27.0,M. Morris enters the game for S. Adams,,16,19
1,3:27.0,,S. Ibaka enters the game for M. Gasol,16,19
1,3:21.0,J. Grant misses 3-pt jump shot from 25 ft,,16,19
1,3:20.0,,Defensive rebound by N. Powell,16,19
1,2:59.0,,N. Powell misses 2-pt layup from 1 ft,16,19
1,2:57.0,,Offensive rebound by S. Ibaka,16,19
1,2:57.0,,Turnover by Team (shot clock),16,19
1,2:57.0,Oklahoma City full timeout,,16,19
1,2:57.0,P. George enters the game for T. Ferguson,,16,19
1,2:57.0,A. Nader enters the game for R. Westbrook,,16,19
1,2:57.0,,O. Anunoby enters the game for D. Green,16,19
1,2:43.0,M. Morris misses 2-pt jump shot from 13 ft,,16,19
1,2:41.0,,Defensive rebound by N. Powell,16,19
1,2:17.0,,S. Ibaka misses 2-pt hook shot from 9 ft,16,19
1,2:12.0,,Offensive rebound by P. Siakam,16,19
1,2:12.0,,P. Siakam makes 2-pt layup from 1 ft,16,21
1,1:54.0,P. George makes 3-pt jump shot from 25 ft (assist by J. Grant),,19,21
1,1:32.0,,P. Siakam makes 2-pt hook shot from 5 ft,19,23
1,1:12.0,D. Schröder misses 2-pt jump shot from 5 ft,,19,23
1,1:10.0,Offensive rebound by D. Schröder,,19,23
1,1:07.0,P. George misses 3-pt jump shot from 26 ft,,19,23
1,1:04.0,,Defensive rebound by S. Ibaka,19,23
1,0:55.0,,F. VanVleet makes 2-pt hook shot from 3 ft,19,25
1,0:42.0,A. Nader misses 2-pt layup from 3 ft,,19,25
1,0:40.0,,Defensive rebound by S. Ibaka,19,25
1,0:24.0,,P. Siakam makes 2-pt layup from 1 ft (assist by F. VanVleet),19,27
1,0:06.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by J. Grant),,22,27
1,0:00.0,,F. VanVleet makes 2-pt layup from 1 ft,22,29
2,11:43.0,,J. Lin makes 2-pt layup from 2 ft,22,31
2,11:42.0,Oklahoma City full timeout,,22,31
2,11:27.0,M. Morris misses 2-pt hook shot from 9 ft,,22,31
2,11:25.0,,Defensive rebound by N. Powell,22,31
2,11:15.0,,K. Leonard misses 2-pt jump shot from 9 ft,22,31
2,11:12.0,Defensive rebound by N. Noel,,22,31
2,11:06.0,D. Schröder misses 2-pt layup from 1 ft,,22,31
2,11:04.0,,Defensive rebound by N. Powell,22,31
