QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
4,3:49.0,,K. Lowry misses 3-pt jump shot from 25 ft,97,94
4,3:46.0,,Offensive rebound by S. Ibaka,97,94
4,3:44.0,,S. Ibaka makes 2-pt jump shot from 3 ft,97,96
4,3:44.0,Atlanta full timeout,,97,96
4,3:44.0,J. Collins enters the game for V. Carter,,97,96
4,3:44.0,D. Dedmon enters the game for T. Dorsey,,97,96
4,3:44.0,J. Lin enters the game for A. Len,,97,96
4,3:25.0,Turnover by D. Dedmon (bad pass; steal by K. Leonard),,97,96
4,3:21.0,,K. Leonard makes 2-pt layup from 1 ft,97,98
4,3:01.0,Personal foul by O. Anunoby (drawn by J. Lin),,97,98
4,2:50.0,T. Young misses 2-pt jump shot from 10 ft (block by S. Ibaka),,97,98
4,2:44.0,Offensive rebound by D. Dedmon,,97,98
4,2:44.0,D. Dedmon makes 2-pt layup from 1 ft,,99,98
4,2:28.0,,K. Leonard misses 3-pt jump shot from 25 ft,99,98
4,2:24.0,Defensive rebound by D. Dedmon,,99,98
4,2:15.0,Shooting foul by K. Leonard (drawn by D. Dedmon),,99,98
4,2:15.0,D. Dedmon makes free throw 1 of 2,,100,98
4,2:15.0,D. Dedmon makes free throw 2 of 2,,101,98
4,1:57.0,,O. Anunoby makes 2-pt layup from 2 ft (assist by K. Lowry),101,100
4,1:43.0,D. Dedmon misses 3-pt jump shot from 26 ft,,101,100
4,1:38.0,,Defensive rebound by K. Leonard,101,100
4,1:27.0,,K. Lowry misses 3-pt jump shot from 24 ft,101,100
4,1:25.0,Defensive rebound by D. Dedmon,,101,100
4,1:08.0,Atlanta full timeout,,101,100
4,1:05.0,Turnover by J. Lin (bad pass; steal by S. Ibaka),,101,100
4,0:49.0,,Toronto full timeout,101,100
4,0:47.0,,K. Leonard misses 3-pt jump shot from 24 ft,101,100
4,0:44.0,Defensive rebound by D. Dedmon,,101,100
4,0:24.0,Turnover by D. Bembry (lost ball; steal by K. Leonard),,101,100
4,0:17.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),101,102
4,0:17.0,Atlanta full timeout,,101,102
4,0:17.0,V. Carter enters the game for D. Dedmon,,101,102
4,0:05.0,T. Young misses 2-pt hook shot from 2 ft,,101,102
4,0:03.0,,Defensive rebound by S. Ibaka,101,102
4,0:01.0,,O. Anunoby makes 2-pt dunk from 1 ft (assist by K. Lowry),101,104
4,0:01.0,V. Carter misses 3-pt jump shot from 51 ft,,101,104
4,0:01.0,,Defensive rebound by Team,101,104
