QUARTER,TIME_REMAINING,INDIANA_ACTION,CHICAGO_ACTION,INDIANA_SCORE,CHICAGO_SCORE
1,11:41.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),0,3
1,11:22.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,2,3
1,11:01.0,,Shooting foul by V. Oladipo (drawn by Z. LaVine),2,3
1,11:01.0,,Z. LaVine makes free throw 1 of 2,2,4
1,11:01.0,,Z. LaVine makes free throw 2 of 2,2,5
1,10:37.0,T. Young misses 2-pt jump shot from 22 ft,,2,5
1,10:34.0,,Defensive rebound by Z. LaVine,2,5
1,10:23.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),2,8
1,10:02.0,Turnover by M. Turner (bad pass; steal by W. Carter),,2,8
1,9:49.0,,Z. LaVine makes 3-pt jump shot from 26 ft (assist by L. Markkanen),2,11
1,9:41.0,Indiana full timeout,,2,11
1,9:23.0,D. Collison misses 2-pt jump shot from 23 ft,,2,11
1,9:20.0,,Defensive rebound by Team,2,11
1,9:06.0,,W. Carter makes 2-pt layup from 1 ft (assist by Z. LaVine),2,13
1,8:46.0,T. Young makes 2-pt hook shot from 1 ft,,4,13
1,8:37.0,,Turnover by Z. LaVine (bad pass; steal by V. Oladipo),4,13
1,8:32.0,Turnover by V. Oladipo (bad pass; steal by W. Carter),,4,13
1,8:23.0,,Z. LaVine makes 2-pt jump shot from 20 ft (assist by K. Dunn),4,15
1,8:08.0,B. Bogdanović misses 2-pt jump shot from 18 ft,,4,15
1,8:05.0,,Defensive rebound by C. Hutchison,4,15
1,7:53.0,,L. Markkanen misses 3-pt jump shot from 23 ft,4,15
1,7:50.0,Defensive rebound by V. Oladipo,,4,15
1,7:48.0,V. Oladipo makes 2-pt layup from 1 ft,,6,15
1,7:48.0,Shooting foul by Z. LaVine (drawn by V. Oladipo),,6,15
1,7:48.0,V. Oladipo makes free throw 1 of 1,,7,15
1,7:33.0,,W. Carter misses 2-pt jump shot from 12 ft,7,15
1,7:31.0,Defensive rebound by V. Oladipo,,7,15
1,7:24.0,V. Oladipo misses 2-pt layup from 2 ft,,7,15
1,7:21.0,,Defensive rebound by L. Markkanen,7,15
1,7:12.0,,Turnover by L. Markkanen (traveling),7,15
1,6:59.0,Turnover by D. Collison (bad pass; steal by Z. LaVine),,7,15
1,6:56.0,,Z. LaVine makes 2-pt dunk at rim,7,17
1,6:38.0,V. Oladipo makes 2-pt layup from 1 ft,,9,17
1,6:24.0,,C. Hutchison misses 2-pt layup from 2 ft,9,17
1,6:22.0,Defensive rebound by V. Oladipo,,9,17
1,6:17.0,V. Oladipo misses 3-pt jump shot from 25 ft,,9,17
1,6:15.0,,Defensive rebound by L. Markkanen,9,17
1,6:10.0,,Chicago full timeout,9,17
1,6:04.0,,Z. LaVine makes 3-pt jump shot from 24 ft (assist by W. Carter),9,20
1,5:50.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Collison),,11,20
1,5:24.0,,C. Hutchison makes 2-pt jump shot from 18 ft (assist by K. Dunn),11,22
1,4:59.0,M. Turner makes 2-pt layup from 2 ft (assist by T. Young),,13,22
1,4:59.0,Shooting foul by L. Markkanen (drawn by M. Turner),,13,22
1,4:59.0,M. Turner misses free throw 1 of 1,,13,22
1,4:54.0,,Defensive rebound by L. Markkanen,13,22
1,4:38.0,,Z. LaVine makes 2-pt jump shot from 23 ft,13,24
1,4:14.0,V. Oladipo misses 2-pt layup from 2 ft,,13,24
1,4:12.0,,Defensive rebound by L. Markkanen,13,24
1,4:02.0,,Z. LaVine misses 3-pt jump shot from 23 ft,13,24
1,3:58.0,Defensive rebound by T. Young,,13,24
1,3:55.0,Turnover by T. Young (bad pass; steal by Z. LaVine),,13,24
1,3:49.0,,Offensive foul by L. Markkanen (drawn by T. Young),13,24
1,3:49.0,,Turnover by L. Markkanen (offensive foul),13,24
1,3:49.0,C. Joseph enters the game for B. Bogdanović,,13,24
1,3:49.0,D. Sabonis enters the game for T. Young,,13,24
1,3:49.0,,J. Parker enters the game for L. Markkanen,13,24
1,3:33.0,M. Turner misses 2-pt jump shot from 17 ft,,13,24
1,3:33.0,Offensive rebound by Team,,13,24
1,3:33.0,,Loose ball foul by Z. LaVine (drawn by D. Sabonis),13,24
1,3:17.0,C. Joseph makes 2-pt jump shot from 13 ft,,15,24
1,3:00.0,,W. Carter makes 2-pt jump shot from 5 ft (assist by K. Dunn),15,26
1,3:00.0,,Shooting foul by M. Turner (drawn by W. Carter),15,26
1,3:00.0,T. Evans enters the game for D. Collison,,15,26
1,3:00.0,,W. Carter makes free throw 1 of 1,15,27
1,2:49.0,V. Oladipo misses 2-pt jump shot from 22 ft,,15,27
1,2:45.0,,Defensive rebound by J. Parker,15,27
1,2:35.0,,Z. LaVine makes 3-pt jump shot from 26 ft,15,30
