QUARTER,TIME_REMAINING,CLEVELAND_ACTION,HOUSTON_ACTION,CLEVELAND_SCORE,HOUSTON_SCORE
1,11:47.0,,Turnover by J. Harden (bad pass; steal by C. Sexton),0,0
1,11:33.0,T. Thompson makes 2-pt jump shot from 7 ft (assist by C. Sexton),,2,0
1,11:11.0,,A. Rivers misses 3-pt jump shot from 23 ft,2,0
1,11:09.0,Defensive rebound by A. Burks,,2,0
1,10:51.0,A. Burks makes 3-pt jump shot from 26 ft,,5,0
1,10:34.0,,J. Harden misses 2-pt jump shot from 8 ft,5,0
1,10:32.0,,Offensive rebound by C. Capela,5,0
1,10:29.0,,D. House misses 3-pt jump shot from 28 ft,5,0
1,10:27.0,Defensive rebound by C. Sexton,,5,0
1,10:16.0,A. Burks misses 3-pt jump shot from 26 ft,,5,0
1,10:14.0,,Defensive rebound by P. Tucker,5,0
1,10:02.0,,P. Tucker makes 2-pt jump shot from 11 ft (assist by J. Harden),5,2
1,9:38.0,T. Thompson misses 2-pt hook shot from 7 ft,,5,2
1,9:36.0,,Defensive rebound by C. Capela,5,2
1,9:30.0,,J. Harden makes 3-pt jump shot from 26 ft,5,5
1,9:08.0,C. Osman misses 3-pt jump shot from 27 ft,,5,5
1,9:06.0,,Defensive rebound by J. Harden,5,5
1,8:53.0,,J. Harden misses 3-pt jump shot from 25 ft,5,5
1,8:51.0,Defensive rebound by C. Osman,,5,5
1,8:45.0,C. Osman makes 2-pt jump shot from 6 ft,,7,5
1,8:33.0,,A. Rivers makes 2-pt jump shot from 12 ft,7,7
1,8:12.0,A. Burks misses 2-pt jump shot from 14 ft (block by J. Harden),,7,7
1,8:10.0,Offensive rebound by A. Burks,,7,7
1,8:07.0,C. Osman misses 2-pt layup from 4 ft (block by C. Capela),,7,7
1,8:07.0,,Defensive rebound by D. House,7,7
1,8:02.0,,D. House makes 2-pt dunk from 1 ft (assist by J. Harden),7,9
1,8:02.0,,Shooting foul by T. Thompson (drawn by D. House),7,9
1,8:02.0,,D. House makes free throw 1 of 1,7,10
1,7:42.0,C. Sexton misses 3-pt jump shot from 26 ft,,7,10
1,7:40.0,,Defensive rebound by J. Harden,7,10
1,7:36.0,,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),7,12
1,7:36.0,Cleveland full timeout,,7,12
1,7:22.0,C. Osman makes 2-pt jump shot from 9 ft (assist by R. Hood),,9,12
1,7:06.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by C. Capela),9,15
1,6:51.0,Shooting foul by A. Rivers (drawn by C. Osman),,9,15
1,6:51.0,C. Osman makes free throw 1 of 2,,10,15
1,6:51.0,J. Clarkson enters the game for R. Hood,,10,15
1,6:51.0,,G. Green enters the game for D. House,10,15
1,6:51.0,C. Osman makes free throw 2 of 2,,11,15
1,6:37.0,,J. Harden misses 2-pt layup from 5 ft,11,15
1,6:33.0,,Offensive rebound by C. Capela,11,15
1,6:33.0,,Turnover by C. Capela (bad pass; steal by T. Thompson),11,15
1,6:28.0,C. Osman misses 3-pt jump shot from 23 ft,,11,15
1,6:24.0,,Defensive rebound by G. Green,11,15
1,6:19.0,,Shooting foul by C. Sexton (drawn by J. Harden),11,15
1,6:19.0,,J. Harden makes free throw 1 of 2,11,16
1,6:19.0,,J. Ennis enters the game for A. Rivers,11,16
1,6:19.0,,J. Harden makes free throw 2 of 2,11,17
1,6:04.0,J. Clarkson misses 3-pt jump shot from 27 ft,,11,17
1,6:02.0,,Defensive rebound by J. Harden,11,17
1,5:55.0,,J. Harden makes 2-pt layup from 4 ft,11,19
1,5:39.0,T. Thompson makes 2-pt hook shot from 5 ft,,13,19
1,5:31.0,,Turnover by J. Harden (bad pass; steal by T. Thompson),13,19
1,5:26.0,A. Burks misses 3-pt jump shot from 23 ft,,13,19
1,5:23.0,,Defensive rebound by J. Ennis,13,19
1,5:06.0,,J. Harden misses 2-pt jump shot from 16 ft,13,19
1,5:04.0,Defensive rebound by C. Sexton,,13,19
1,5:00.0,Turnover by C. Sexton (bad pass; steal by J. Harden),,13,19
1,4:50.0,,G. Green makes 3-pt jump shot from 28 ft (assist by P. Tucker),13,22
1,4:27.0,Personal foul by J. Harden (drawn by T. Thompson),,13,22
1,4:27.0,M. Dellavedova enters the game for C. Sexton,,13,22
1,4:15.0,Turnover by C. Osman (step out of bounds),,13,22
1,3:51.0,,J. Harden makes 3-pt jump shot from 27 ft,13,25
1,3:38.0,Turnover by T. Thompson (bad pass),,13,25
1,3:23.0,,P. Tucker makes 3-pt jump shot from 24 ft (assist by J. Harden),13,28
1,3:02.0,J. Clarkson misses 2-pt layup from 5 ft,,13,28
1,3:00.0,,Defensive rebound by J. Harden,13,28
1,2:51.0,,J. Harden misses 3-pt jump shot from 28 ft,13,28
1,2:49.0,Defensive rebound by A. Burks,,13,28
1,2:36.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by A. Burks),,16,28
1,2:20.0,,J. Harden misses 2-pt layup from 6 ft (block by A. Burks),16,28
1,2:20.0,,Offensive rebound by Team,16,28
1,2:20.0,,Houston full timeout,16,28
1,2:20.0,C. Payne enters the game for A. Burks,,16,28
1,2:20.0,A. Žižić enters the game for T. Thompson,,16,28
1,2:20.0,,N. Hilário enters the game for C. Capela,16,28
1,2:20.0,,B. Knight enters the game for J. Harden,16,28
1,2:20.0,,A. Rivers enters the game for P. Tucker,16,28
1,2:12.0,,B. Knight misses 2-pt jump shot from 14 ft,16,28
1,2:10.0,Defensive rebound by C. Payne,,16,28
1,2:02.0,J. Clarkson misses 3-pt jump shot from 23 ft (block by G. Green),,16,28
1,1:59.0,,Defensive rebound by N. Hilário,16,28
1,1:55.0,,Personal foul by J. Clarkson (drawn by G. Green),16,28
1,1:48.0,,N. Hilário makes 2-pt jump shot from 18 ft (assist by A. Rivers),16,30
1,1:35.0,M. Dellavedova makes 2-pt layup from 2 ft (assist by C. Payne),,18,30
1,1:26.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by B. Knight),18,33
1,1:09.0,J. Clarkson makes 2-pt jump shot from 20 ft (assist by C. Payne),,20,33
1,0:54.0,,N. Hilário makes 2-pt hook shot from 8 ft,20,35
1,0:47.0,Turnover by M. Dellavedova (lost ball; steal by J. Ennis),,20,35
1,0:44.0,,Shooting foul by C. Payne (drawn by B. Knight),20,35
1,0:44.0,,B. Knight makes free throw 1 of 2,20,36
1,0:44.0,J. Jones enters the game for C. Osman,,20,36
1,0:44.0,,B. Knight makes free throw 2 of 2,20,37
1,0:35.0,J. Clarkson makes 2-pt jump shot from 8 ft,,22,37
1,0:32.0,,Personal foul by C. Payne (drawn by B. Knight),22,37
1,0:32.0,,B. Knight makes free throw 1 of 2,22,38
1,0:32.0,,B. Knight makes free throw 2 of 2,22,39
1,0:07.0,J. Clarkson misses 2-pt jump shot from 12 ft,,22,39
1,0:04.0,,Defensive rebound by B. Knight,22,39
1,0:00.0,,G. Green makes 3-pt jump shot from 26 ft (assist by B. Knight),22,42
2,11:42.0,A. Žižić misses 2-pt hook shot from 7 ft,,22,42
2,11:40.0,,Defensive rebound by B. Knight,22,42
2,11:26.0,,Turnover by A. Rivers (bad pass; steal by A. Žižić),22,42
2,11:16.0,J. Clarkson makes 3-pt jump shot from 27 ft (assist by C. Payne),,25,42
2,10:57.0,,B. Knight makes 2-pt jump shot from 22 ft,25,44
2,10:43.0,C. Payne misses 2-pt layup from 6 ft,,25,44
2,10:41.0,,Defensive rebound by N. Hilário,25,44
2,10:37.0,,J. Ennis misses 3-pt jump shot from 27 ft,25,44
2,10:35.0,Defensive rebound by C. Payne,,25,44
2,10:21.0,C. Payne misses 3-pt jump shot from 26 ft,,25,44
2,10:18.0,Offensive rebound by Team,,25,44
2,10:18.0,,G. Clark enters the game for J. Ennis,25,44
2,10:18.0,,D. House enters the game for G. Green,25,44
2,10:11.0,Shooting foul by N. Hilário (drawn by A. Žižić),,25,44
2,10:11.0,A. Žižić makes free throw 1 of 2,,26,44
2,10:11.0,A. Žižić makes free throw 2 of 2,,27,44
2,10:01.0,,A. Rivers misses 3-pt jump shot from 26 ft,27,44
2,9:59.0,,Offensive rebound by G. Clark,27,44
2,9:49.0,,D. House misses 3-pt jump shot from 27 ft,27,44
2,9:46.0,Defensive rebound by C. Payne,,27,44
2,9:42.0,C. Payne misses 3-pt jump shot from 27 ft,,27,44
2,9:39.0,,Defensive rebound by D. House,27,44
2,9:34.0,,B. Knight misses 3-pt jump shot from 28 ft,27,44
2,9:31.0,Defensive rebound by A. Žižić,,27,44
2,9:23.0,Shooting foul by A. Rivers (drawn by M. Dellavedova),,27,44
