QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,GOLDEN STATE_ACTION,LA CLIPPERS_SCORE,GOLDEN STATE_SCORE
1,11:47.0,D. Gallinari misses 3-pt jump shot from 26 ft,,0,0
1,11:45.0,,Defensive rebound by D. Cousins,0,0
1,11:40.0,,Turnover by K. Durant (bad pass; steal by S. Gilgeous-Alexander),0,0
1,11:23.0,S. Gilgeous-Alexander makes 2-pt dunk at rim,,2,0
1,11:09.0,,D. Cousins misses 2-pt jump shot from 20 ft,2,0
1,11:07.0,Defensive rebound by I. Zubac,,2,0
1,10:48.0,Turnover by I. Zubac (lost ball; steal by S. Curry),,2,0
1,10:36.0,,S. Curry makes 2-pt jump shot from 19 ft (assist by D. Cousins),2,2
1,10:12.0,I. Zubac makes 2-pt jump shot from 15 ft (assist by D. Gallinari),,4,2
1,10:02.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),4,5
1,9:41.0,P. Beverley makes 3-pt jump shot from 26 ft,,7,5
1,9:33.0,,Turnover by D. Green (bad pass; steal by L. Shamet),7,5
1,9:28.0,Turnover by L. Shamet (bad pass; steal by D. Green),,7,5
1,9:25.0,,Shooting foul by I. Zubac (drawn by D. Cousins),7,5
1,9:25.0,,D. Cousins makes free throw 1 of 2,7,6
1,9:25.0,,D. Cousins makes free throw 2 of 2,7,7
1,9:11.0,I. Zubac misses 2-pt hook shot from 6 ft,,7,7
1,9:10.0,,Defensive rebound by D. Cousins,7,7
1,9:05.0,,D. Green makes 2-pt dunk from 1 ft (assist by S. Curry),7,9
1,8:57.0,Personal foul by K. Thompson (drawn by L. Shamet),,7,9
1,8:51.0,L. Shamet misses 3-pt jump shot from 25 ft,,7,9
1,8:49.0,Offensive rebound by P. Beverley,,7,9
1,8:44.0,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft (assist by P. Beverley),,9,9
1,8:37.0,,Shooting foul by S. Gilgeous-Alexander (drawn by K. Thompson),9,9
1,8:37.0,,K. Thompson makes free throw 1 of 2,9,10
