QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
1,11:48.0,,T. Young misses 3-pt jump shot from 24 ft,0,0
1,11:43.0,Defensive rebound by J. Lamb,,0,0
1,11:38.0,Personal foul by K. Huerter (drawn by J. Lamb),,0,0
1,11:32.0,M. Williams makes 3-pt jump shot from 26 ft (assist by C. Zeller),,3,0
1,11:13.0,,D. Dedmon misses 3-pt jump shot from 26 ft,3,0
1,11:09.0,Defensive rebound by N. Batum,,3,0
1,11:04.0,Turnover by N. Batum (bad pass; steal by K. Huerter),,3,0
1,11:00.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by K. Huerter),3,3
1,10:41.0,N. Batum misses 3-pt jump shot from 25 ft,,3,3
1,10:39.0,,Defensive rebound by J. Collins,3,3
1,10:31.0,,T. Prince misses 3-pt jump shot from 22 ft,3,3
1,10:28.0,Defensive rebound by J. Lamb,,3,3
1,10:18.0,M. Williams makes 3-pt jump shot from 25 ft (assist by N. Batum),,6,3
1,9:59.0,,Turnover by T. Young (bad pass; steal by J. Lamb),6,3
1,9:54.0,N. Batum makes 2-pt dunk from 1 ft (assist by J. Lamb),,8,3
1,9:54.0,,Atlanta full timeout,8,3
1,9:47.0,,Turnover by T. Prince (traveling),8,3
1,9:36.0,Offensive foul by N. Batum (drawn by T. Prince),,8,3
1,9:36.0,Turnover by N. Batum (offensive foul),,8,3
1,9:30.0,,T. Young makes 3-pt jump shot from 28 ft,8,6
1,9:17.0,M. Williams misses 3-pt jump shot from 25 ft,,8,6
1,9:15.0,,Defensive rebound by Team,8,6
1,9:06.0,,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),8,8
1,8:42.0,Shooting foul by J. Collins (drawn by K. Walker),,8,8
1,8:42.0,K. Walker makes free throw 1 of 2,,9,8
1,8:42.0,K. Walker makes free throw 2 of 2,,10,8
1,8:28.0,,T. Young makes 2-pt layup from 1 ft,10,10
1,8:19.0,Offensive foul by K. Walker (drawn by T. Prince),,10,10
1,8:19.0,Turnover by K. Walker (offensive foul),,10,10
1,8:11.0,,J. Collins makes 2-pt layup from 1 ft (assist by D. Dedmon),10,12
1,7:53.0,C. Zeller makes 2-pt jump shot from 10 ft (assist by K. Walker),,12,12
1,7:44.0,,T. Young makes 3-pt jump shot from 31 ft,12,15
1,7:30.0,K. Walker makes 3-pt jump shot from 25 ft,,15,15
1,7:09.0,,T. Prince misses 2-pt jump shot from 11 ft,15,15
1,7:07.0,Defensive rebound by C. Zeller,,15,15
1,7:01.0,Personal foul by J. Collins (drawn by K. Walker),,15,15
1,7:01.0,,K. Bazemore enters the game for J. Collins,15,15
1,7:01.0,,A. Len enters the game for D. Dedmon,15,15
1,7:01.0,,O. Spellman enters the game for T. Prince,15,15
1,6:55.0,Shooting foul by A. Len (drawn by C. Zeller),,15,15
1,6:55.0,C. Zeller makes free throw 1 of 2,,16,15
1,6:55.0,C. Zeller makes free throw 2 of 2,,17,15
1,6:39.0,,T. Young misses 2-pt jump shot from 8 ft,17,15
1,6:35.0,Defensive rebound by K. Walker,,17,15
1,6:33.0,Shooting foul by O. Spellman (drawn by M. Williams),,17,15
1,6:33.0,M. Williams makes free throw 1 of 2,,18,15
1,6:33.0,,D. Bembry enters the game for K. Huerter,18,15
1,6:33.0,,J. Lin enters the game for T. Young,18,15
1,6:33.0,M. Williams makes free throw 2 of 2,,19,15
1,6:20.0,,O. Spellman makes 3-pt jump shot from 23 ft (assist by J. Lin),19,18
1,6:01.0,J. Lamb makes 3-pt jump shot from 25 ft (assist by K. Walker),,22,18
1,5:51.0,,A. Len misses 3-pt jump shot from 23 ft,22,18
1,5:47.0,Defensive rebound by K. Walker,,22,18
1,5:41.0,K. Walker makes 3-pt jump shot from 25 ft (assist by J. Lamb),,25,18
1,5:20.0,,Turnover by J. Lin (bad pass; steal by C. Zeller),25,18
1,5:09.0,K. Walker misses 3-pt jump shot from 26 ft,,25,18
1,5:07.0,,Defensive rebound by Team,25,18
1,5:07.0,D. Bacon enters the game for N. Batum,,25,18
1,5:07.0,F. Kaminsky enters the game for C. Zeller,,25,18
1,4:54.0,,D. Bembry makes 2-pt jump shot from 10 ft,25,20
1,4:38.0,K. Walker makes 2-pt jump shot from 15 ft,,27,20
1,4:29.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by O. Spellman),27,23
1,4:14.0,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by K. Walker),,29,23
